﻿Title:,"Table 11 - HE staff FTE by HE provider and cost centre"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT025 Table 11
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-11
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-11.zip
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Contract marker,All (including atypical) 
,Academic year,2017/18 
Search:,


"UKPRN","HE Provider","Medicine, dentistry & health","Agriculture, forestry & veterinary science","Biological, mathematical & physical sciences","Engineering & technology","Architecture & planning","Administration & business studies","Social studies","Humanities & language based studies & archaeology","Design, creative & performing arts","Education","Total academic services","Central administration & services, staff and student facilities","Premises","Residences & catering","Total all cost centres"
"10007783","The University of Aberdeen","545","0","485","135","0","45","170","145","20","55","295","395","200","115","2,605"
"10007849","Abertay University","35","15","30","50","0","30","25","0","20","20","45","140","45","10","460"
"10007856","Aberystwyth University","20","85","295","55","0","35","135","70","50","70","75","390","40","160","1,475"
"10000163","AECC University College","55","0","0","0","0","0","0","0","0","0","5","40","10","5","120"
"10000291","Anglia Ruskin University","430","0","115","80","45","250","135","40","95","85","160","485","40","35","2,005"
"10007759","Aston University","265","0","100","320","30","190","50","65","0","0","90","355","115","50","1,630"
"10007857","Bangor University","240","70","215","45","0","60","75","80","15","100","160","350","110","100","1,620"
"10000571","Bath Spa University","20","0","20","0","0","30","65","35","185","105","75","235","85","15","870"
"10007850","The University of Bath","225","0","445","395","75","205","160","45","0","90","315","645","240","275","3,115"
"10007152","University of Bedfordshire","125","0","30","60","5","105","140","15","30","140","250","255","30","5","1,195"
"10005343","Queen's University Belfast","915","0","440","375","45","135","250","195","55","70","380","640","180","85","3,765"
"10007760","Birkbeck College","85","0","100","35","0","70","155","125","15","10","35","755","20","0","1,405"
"10007140","Birmingham City University","335","0","5","210","55","130","140","20","350","140","155","685","50","25","2,300"
"10006840","The University of Birmingham","1,690","0","660","630","0","305","495","515","60","225","860","900","430","395","7,155"
"10000712","University College Birmingham","75","0","0","0","0","210","0","0","0","10","135","60","30","50","570"
"10007832","Birmingham Newman University","45","0","0","0","0","5","5","25","5","85","80","65","5","15","340"
"10007811","Bishop Grosseteste University","20","0","0","0","0","5","5","15","5","70","55","110","25","5","310"
"10006841","The University of Bolton","85","0","15","80","5","50","20","10","30","45","50","125","55","5","575"
"10000385","The Arts University Bournemouth","0","0","0","0","5","5","80","0","160","0","45","75","15","0","385"
"10000824","Bournemouth University","250","0","55","155","0","230","175","20","20","40","300","360","70","0","1,670"
"10007785","The University of Bradford","265","0","125","120","0","85","80","0","0","0","110","470","165","0","1,420"
"10000886","The University of Brighton","365","0","125","145","60","145","170","90","145","205","185","485","180","110","2,410"
"10000936","The University College of Osteopathy","75","0","0","0","0","0","0","0","0","0","0","0","0","0","75"
"10007786","The University of Bristol","1,085","135","1,100","555","0","90","365","350","65","80","485","1,140","450","230","6,130"
"10000961","Brunel University London","100","0","95","445","0","120","150","55","35","55","155","500","55","85","1,840"
"10000975","Buckinghamshire New University","115","0","0","30","0","60","45","0","50","20","10","225","10","35","600"
"10007787","The University of Buckingham","55","0","0","15","0","40","45","30","0","30","15","115","35","30","415"
"10007788","The University of Cambridge","3,025","195","2,400","1,165","90","255","490","720","30","310","880","1,120","265","40","10,990"
"10003324","The Institute of Cancer Research","345","0","430","0","0","0","0","0","0","0","90","120","40","0","1,025"
"10001143","Canterbury Christ Church University","280","0","35","15","0","50","140","85","55","305","150","380","145","55","1,690"
"10007814","Cardiff University","1,860","0","740","385","120","220","495","355","20","60","675","650","265","170","6,010"
"10007854","Cardiff Metropolitan University","80","35","40","15","0","115","15","15","110","195","200","190","45","55","1,110"
"10007141","The University of Central Lancashire","435","0","150","115","35","115","210","70","100","140","515","415","175","55","2,525"
"10007848","University of Chester","200","5","95","65","0","85","105","95","70","135","260","380","105","75","1,680"
"10007137","The University of Chichester","25","0","0","5","0","30","30","40","115","140","65","150","75","15","690"
"10001478","City, University of London","250","0","40","195","0","290","275","20","15","15","215","585","120","0","2,020"
"10001653","Conservatoire for Dance and Drama","0","0","0","0","0","0","0","0","430","0","0","0","0","0","430"
"10007761","Courtauld Institute of Art","0","0","0","0","0","0","0","50","0","0","10","75","5","0","140"
"10001726","Coventry University","365","15","155","400","35","580","270","85","105","60","70","1,305","150","50","3,650"
"10007822","Cranfield University","0","85","55","570","0","105","30","0","0","10","0","500","75","35","1,460"
"10006427","University for the Creative Arts","0","0","0","0","20","35","110","0","235","0","75","225","35","15","750"
"10007842","University of Cumbria","175","10","20","5","0","20","25","5","40","130","75","225","65","10","805"
"10001883","De Montfort University","260","0","70","250","40","210","205","50","155","45","330","455","170","15","2,255"
"10007851","University of Derby","230","0","80","165","10","180","125","30","75","165","275","565","195","5","2,105"
"10007852","The University of Dundee","725","0","750","155","45","45","160","80","150","70","230","460","175","10","3,065"
"10007143","University of Durham","70","0","700","125","0","130","465","480","30","160","260","630","85","735","3,870"
"10007789","The University of East Anglia","590","0","465","65","0","130","285","210","50","55","205","750","260","185","3,240"
"10007144","The University of East London","150","0","55","65","35","45","125","5","80","105","70","465","35","5","1,235"
"10007823","Edge Hill University","275","0","40","45","0","45","120","55","60","405","185","295","75","85","1,680"
"10007772","Edinburgh Napier University","155","5","65","160","60","135","55","25","70","35","30","465","105","35","1,400"
"10007790","The University of Edinburgh","1,930","685","1,725","675","55","205","580","550","260","340","610","1,190","765","550","10,130"
"10007791","The University of Essex","200","0","150","110","0","160","345","170","65","0","175","605","185","0","2,155"
"10007792","The University of Exeter","505","0","500","225","0","125","385","340","20","85","645","1,120","285","195","4,430"
"10008640","Falmouth University","0","0","0","0","5","20","100","20","185","0","15","130","10","0","480"
"10004511","The National Film and Television School","0","0","0","0","0","0","25","0","0","0","0","80","10","0","115"
"10007762","Glasgow Caledonian University","315","0","55","150","75","170","70","5","15","0","205","255","125","0","1,435"
"10002681","Glasgow School of Art","0","0","0","0","20","0","0","0","145","5","25","200","40","0","440"
"10007794","The University of Glasgow","1,155","265","1,060","495","55","185","330","355","90","170","50","1,530","275","110","6,130"
"10007145","University of Gloucestershire","35","0","10","30","10","45","90","25","65","115","55","370","65","0","910"
"10002718","Goldsmiths College","105","0","0","70","0","45","225","80","220","50","140","280","80","5","1,295"
"10007146","The University of Greenwich","155","55","125","145","45","150","125","45","10","80","0","805","0","0","1,740"
"10007825","Guildhall School of Music and Drama","0","0","0","0","0","0","0","0","265","0","5","35","20","0","330"
"10040812","Harper Adams University","0","210","0","30","0","0","0","0","0","0","25","120","55","50","490"
"10007764","Heriot-Watt University","25","0","315","355","70","160","10","50","35","5","45","485","65","145","1,760"
"10007147","University of Hertfordshire","435","20","160","215","5","235","165","85","95","100","360","590","40","100","2,600"
"10007765","Heythrop College","0","0","0","0","0","0","0","25","0","0","0","25","0","0","50"
"10007148","The University of Huddersfield","225","0","105","170","40","150","75","45","135","45","210","580","135","35","1,945"
"10007149","The University of Hull","275","0","225","120","0","130","145","90","45","100","75","790","155","85","2,240"
"10003270","Imperial College of Science, Technology and Medicine","2,490","0","1,320","1,510","0","295","0","0","0","65","440","970","320","225","7,635"
"10007767","Keele University","535","0","205","60","0","50","165","75","15","15","225","250","145","140","1,875"
"10007150","The University of Kent","165","0","315","160","40","140","405","275","90","40","180","655","245","305","3,015"
"10003645","King's College London","3,195","0","495","155","0","130","690","470","45","65","540","940","205","125","7,050"
"10003678","Kingston University","195","0","125","150","45","135","125","50","205","65","160","480","20","0","1,750"
"10007768","The University of Lancaster","210","0","545","215","0","315","225","200","55","25","315","530","280","80","2,995"
"10003854","Leeds Arts University","0","0","0","0","0","0","0","0","150","0","35","55","15","0","255"
"10003861","Leeds Beckett University","185","0","35","85","60","160","100","55","125","265","300","770","155","90","2,390"
"10007795","The University of Leeds","1,570","65","995","630","0","335","395","475","185","85","1,055","985","370","235","7,380"
"10003863","Leeds Trinity University","25","0","0","0","0","10","30","20","0","105","60","90","20","20","380"
"10007796","The University of Leicester","610","0","640","120","0","165","370","215","10","55","165","770","270","110","3,495"
"10007151","The University of Lincoln","195","55","165","115","20","155","190","85","140","65","135","280","30","40","1,670"
"10003956","Liverpool Hope University","45","0","20","10","0","20","50","40","45","115","35","195","45","40","660"
"10003957","Liverpool John Moores University","265","0","215","270","80","160","210","65","90","260","345","280","155","35","2,420"
"10003945","The Liverpool Institute for Performing Arts","0","0","0","5","0","5","0","0","40","0","20","45","15","5","130"
"10006842","The University of Liverpool","1,370","415","800","335","100","185","340","240","25","25","470","600","310","210","5,425"
