﻿Title:,"Table 16 - HE qualifiers by HE provider and level of qualification obtained"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT051 Table 16
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/students/table-16
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/students/table-16.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Academic year,2022/23 
Search:,


"UKPRN","HE provider","Doctorate research","Other postgraduate research","Master's taught","Postgraduate Certificate in Education","Other postgraduate taught","Total postgraduate","First degree","Foundation degree","HNC/HND","Professional Graduate Certificate in Education","Other undergraduate","Total undergraduate","Total"
"10008071","AA School of Architecture","0","0","300","0","0","305","185","0","0","0","45","230","535"
"10007783","The University of Aberdeen","195","25","2,100","305","465","3,090","2,120","0","0","0","335","2,455","5,545"
"10007849","Abertay University","10","5","150","0","65","235","895","0","0","0","135","1,030","1,265"
"10007856","Aberystwyth University","60","10","325","45","125","570","1,415","5","0","10","150","1,580","2,150"
"10067853","ACM Guildford Limited","0","0","20","0","10","30","315","0","0","0","75","390","420"
"10000163","AECC University College","0","0","95","0","55","145","185","0","0","0","25","205","355"
"10032036","Amity Global Education","0","0","5","0","0","5","30","0","0","0","5","40","45"
"10000291","Anglia Ruskin University","90","5","3,530","10","925","4,555","4,730","235","0","0","1,140","6,105","10,660"
"10041898","Apex College","0","0","0","0","0","0","0","0","35","0","0","35","35"
"10062759","Applied Business Academy Limited","0","0","0","0","0","0","0","0","0","0","935","935","935"
"10005451","Arden University","0","0","195","0","80","270","860","0","0","0","290","1,150","1,420"
"10000381","Arts Educational Schools","0","0","30","0","0","30","85","0","0","0","60","145","175"
"10008899","The Ashridge (Bonar Law Memorial) Trust","5","0","125","0","0","125","20","0","0","0","20","45","170"
"10003212","Hult International Business School Ltd","0","0","530","0","0","530","275","0","0","0","0","275","805"
"10007759","Aston University","95","0","1,950","0","425","2,470","2,880","55","0","0","310","3,245","5,710"
"10038772","British Academy of Jewellery Limited","0","0","0","0","0","0","0","0","15","0","0","15","15"
"10007857","Bangor University","100","60","1,095","95","350","1,695","1,490","5","0","0","105","1,600","3,295"
"10000571","Bath Spa University","15","0","400","260","470","1,145","1,955","50","225","0","290","2,525","3,665"
"10007850","The University of Bath","310","10","1,920","0","310","2,550","3,315","40","0","0","135","3,490","6,035"
"10007152","University of Bedfordshire","35","5","2,500","135","355","3,030","2,330","110","0","35","570","3,050","6,075"
"10005343","Queen's University Belfast","355","25","2,435","115","1,095","4,030","4,455","0","0","0","265","4,720","8,745"
"10037544","BIMM University","0","0","175","0","50","230","1,535","0","0","0","400","1,930","2,160"
"10007760","Birkbeck College","90","0","1,980","0","330","2,405","995","10","0","0","385","1,385","3,790"
"10007140","Birmingham City University","60","10","3,080","360","1,170","4,680","5,150","220","75","0","1,670","7,115","11,790"
"10006840","The University of Birmingham","690","145","4,800","255","1,115","7,005","6,115","185","0","0","250","6,550","13,555"
"10000712","University College Birmingham","0","0","370","40","80","490","1,015","485","0","0","175","1,675","2,170"
"10007832","Birmingham Newman University","0","0","55","165","30","245","440","35","0","35","85","595","840"
"10000894","Bristol Baptist College","0","0","10","0","0","10","5","0","0","0","5","10","25"
"10007811","Bishop Grosseteste University","5","0","85","210","60","360","400","60","0","0","65","530","890"
"10004061","Bloomsbury Institute","0","0","115","0","35","145","120","0","0","0","15","135","280"
"10006841","The University of Bolton","15","0","925","125","340","1,410","1,190","230","55","0","355","1,825","3,240"
"10000385","The Arts University Bournemouth","0","0","130","0","10","140","1,025","0","0","0","105","1,130","1,270"
"10000824","Bournemouth University","55","15","1,740","0","380","2,190","2,870","15","10","0","495","3,395","5,585"
"10031982","BPP University","0","0","5,185","0","3,800","8,990","550","20","0","0","795","1,365","10,355"
"10007785","The University of Bradford","65","5","2,055","0","410","2,540","1,880","10","0","0","340","2,230","4,765"
"10000886","The University of Brighton","55","0","730","195","450","1,430","2,810","95","0","95","665","3,665","5,095"
"10000936","The University College of Osteopathy","0","0","5","0","55","60","65","0","0","0","15","80","140"
"10007786","The University of Bristol","500","125","4,135","115","450","5,325","5,895","0","0","0","340","6,240","11,560"
"10028216","Brit College","0","0","0","0","0","0","0","0","15","0","145","160","160"
"10023464","Trinity College Bristol","0","0","15","0","5","15","20","0","0","0","25","45","60"
"10000961","Brunel University London","90","5","2,500","145","390","3,140","2,130","5","0","0","335","2,470","5,610"
