﻿Title:,"Table 7 - HE academic staff by HE provider and employment conditions"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT025 Table 7
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-7
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-7.zip
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Mode of employment,All 
,Activity standard occupational classification,All 
,Academic year,2020/21 
Search:,


"UKPRN","HE provider","Female","Male","Other","Total academic staff"
"10007783","The University of Aberdeen","730","810","0","1,545"
"10007849","Abertay University","85","125","0","210"
"10007856","Aberystwyth University","340","360","0","695"
"10067853","ACM Guildford Limited","25","80","0","110"
"10000163","AECC University College","25","30","0","55"
"10000291","Anglia Ruskin University","475","355","0","830"
"10005451","Arden University","50","35","0","85"
"10007759","Aston University","380","550","0","930"
"10038772","British Academy of Jewellery Limited","10","5","0","15"
"10007857","Bangor University","545","445","5","995"
"10000571","Bath Spa University","330","280","0","610"
"10007850","The University of Bath","575","975","0","1,550"
"10007152","University of Bedfordshire","320","210","0","530"
"10005343","Queen's University Belfast","900","1,120","0","2,020"
"10037544","BIMM University","210","435","0","645"
"10007760","Birkbeck College","540","480","55","1,075"
"10007140","Birmingham City University","1,000","980","5","1,985"
"10006840","The University of Birmingham","1,730","2,150","0","3,880"
"10000712","University College Birmingham","170","95","0","265"
"10007832","Birmingham Newman University","70","55","0","130"
"10007811","Bishop Grosseteste University","75","45","0","120"
"10004061","Bloomsbury Institute","0","5","0","5"
"10006841","The University of Bolton","210","210","0","425"
"10000385","The Arts University Bournemouth","190","180","0","370"
"10000824","Bournemouth University","460","460","5","920"
"10007785","The University of Bradford","245","295","0","540"
"10000886","The University of Brighton","795","620","5","1,420"
"10000936","The University College of Osteopathy","25","50","0","80"
"10007786","The University of Bristol","1,590","1,860","0","3,450"
"10000961","Brunel University London","475","685","0","1,160"
"10000975","Buckinghamshire New University","245","200","0","445"
"10007788","The University of Cambridge","2,635","3,525","5","6,160"
"10003324","The Institute of Cancer Research","395","300","0","695"
"10001143","Canterbury Christ Church University","440","295","0","740"
"10007814","Cardiff University","1,595","1,785","0","3,380"
"10007854","Cardiff Metropolitan University","390","350","0","740"
"10007141","The University of Central Lancashire","850","745","0","1,595"
"10024024","Central Film School London","0","0","0","5"
"10007848","University of Chester","370","280","5","655"
"10007137","The University of Chichester","240","235","0","475"
"10001386","Chicken Shed Theatre Company","15","15","0","25"
"10001478","City, University of London","1,190","1,320","5","2,515"
"10007912","Cliff College","0","10","0","10"
"10066502","The College of Health Ltd","0","0","0","0"
"10001653","Conservatoire for Dance and Drama","85","75","0","160"
"10007761","Courtauld Institute of Art","40","30","0","70"
"10034324","Court Theatre Training Company Ltd","5","10","0","10"
"10001726","Coventry University","1,345","1,485","5","2,835"
"10007822","Cranfield University","155","540","0","695"
"10006427","University for the Creative Arts","195","205","5","400"
"10007842","University of Cumbria","275","190","0","465"
"10001883","De Montfort University","845","805","0","1,650"
"10007851","University of Derby","735","660","5","1,400"
"10007852","The University of Dundee","710","755","0","1,465"
"10007143","University of Durham","915","1,260","0","2,175"
"10007789","The University of East Anglia","905","935","0","1,840"
"10007144","The University of East London","420","395","0","815"
"10032282","The Queen's Foundation for Ecumenical Theological Education","5","5","0","10"
"10007823","Edge Hill University","555","350","0","905"
"10007772","Edinburgh Napier University","365","420","0","785"
"10007790","The University of Edinburgh","3,500","4,220","5","7,730"
"10042570","Escape Studios","10","25","0","35"
"10007791","The University of Essex","660","760","0","1,415"
"10008173","University College of Estate Management","45","55","0","100"
"10007792","The University of Exeter","1,580","1,765","5","3,350"
"10008640","Falmouth University","150","195","0","345"
"10004511","The National Film and Television School","35","30","0","70"
"10022087","Futureworks","0","20","0","25"
"10007762","Glasgow Caledonian University","420","340","0","755"
"10002681","Glasgow School of Art","110","110","0","220"
"10007794","The University of Glasgow","2,270","2,635","0","4,905"
"10007145","University of Gloucestershire","305","320","0","625"
"10002718","Goldsmiths College","605","500","5","1,110"
"10007146","The University of Greenwich","485","485","0","970"
"10007825","Guildhall School of Music and Drama","330","455","0","785"
"10040812","Harper Adams University","125","105","0","230"
"10080811","Hartpury University","85","60","0","145"
"10007764","Heriot-Watt University","300","650","0","950"
"10007147","University of Hertfordshire","1,045","920","0","1,960"
"10007148","The University of Huddersfield","415","495","10","925"
"10007149","The University of Hull","425","500","0","925"
"10003239","ICON College of Technology and Management","5","10","0","15"
"10003270","Imperial College of Science, Technology and Medicine","1,600","2,925","5","4,530"
"10013220","Institute of Art - London Limited","10","10","0","20"
"10035638","Institute of Contemporary Music Performance","5","15","0","20"
"10082570","Kaplan International Colleges U.K. Limited","190","155","0","350"
"10021682","Kaplan Open Learning (Essex) Limited","15","5","0","20"
"10007767","Keele University","435","380","5","820"
"10007150","The University of Kent","700","770","5","1,475"
"10003645","King's College London","2,545","2,305","170","5,015"
"10003678","Kingston University","480","470","5","955"
"10003758","LAMDA Limited","25","30","0","55"
"10007768","The University of Lancaster","890","1,210","0","2,100"
"10003854","Leeds Arts University","100","85","0","185"
"10003861","Leeds Beckett University","565","600","0","1,170"
"10034449","Leeds Conservatoire","70","165","0","235"
"10007795","The University of Leeds","1,665","2,100","5","3,770"
"10003863","Leeds Trinity University","95","85","0","180"
"10007796","The University of Leicester","740","960","5","1,705"
"10007151","The University of Lincoln","660","755","0","1,415"
"10036456","Academy of Live Technology Ltd","5","5","0","10"
"10003956","Liverpool Hope University","160","125","0","285"
"10003957","Liverpool John Moores University","745","895","0","1,640"
"10003945","The Liverpool Institute for Performing Arts","35","60","0","95"
"10006842","The University of Liverpool","1,355","1,730","0","3,085"
"10003958","Liverpool School of Tropical Medicine","125","110","0","235"
"10007162","University of the Arts, London","1,330","985","0","2,315"
"10007769","London Business School","35","80","0","115"
"10007797","University of London (Institutes and activities)","50","45","0","95"
"10004036","London Film School Limited","20","15","0","35"
"10004048","London Metropolitan University","220","245","0","465"
"10004078","London South Bank University","610","545","5","1,160"
"10004063","London School of Economics and Political Science","790","990","0","1,780"
"10007771","London School of Hygiene and Tropical Medicine","620","430","0","1,055"
"10022285","London School of Management Education","5","10","0","15"
"10004075","London School of Theology","10","15","0","25"
"10062810","The London School of Architecture","0","5","0","5"
"10008289","The London Institute of Banking & Finance","0","15","0","15"
"10067623","The London Interdisciplinary School Ltd","5","5","0","10"
"10004113","Loughborough University","555","1,040","0","1,595"
"10009612","Luther King House Educational Trust","0","0","0","5"
"10004180","The Manchester Metropolitan University","1,260","1,090","0","2,345"
"10007798","The University of Manchester","2,125","2,935","0","5,060"
"10030776","St Mellitus College","15","25","0","40"
"10004320","The Metanoia Institute","65","15","0","80"
"10004351","Middlesex University","505","475","0","980"
"10023777","Mont Rose College of Management and Sciences","15","20","0","30"
"10023454","Moorlands College","10","20","0","30"
"10004538","Nazarene Theological College","5","10","0","15"
"10030129","Nelson College London Ltd","0","5","0","5"
"10007799","Newcastle University","1,370","1,635","0","3,010"
"10067406","New Model Institute for Technology and Engineering (NMITE)","5","5","0","10"
"10048199","Northeastern University London","30","35","0","65"
"10007138","The University of Northampton","420","350","0","765"
"10001282","University of Northumbria at Newcastle","800","895","0","1,695"
"10004775","Norwich University of the Arts","120","105","0","225"
"10007154","University of Nottingham","1,500","1,985","10","3,495"
"10004797","The Nottingham Trent University","1,190","1,220","5","2,415"
"10007773","The Open University","2,975","2,130","0","5,105"
"10004930","Oxford Brookes University","825","655","0","1,480"
"10007774","The University of Oxford","2,915","4,055","5","6,980"
"10005127","Arts University Plymouth","70","60","0","130"
"10007801","University of Plymouth","800","760","0","1,560"
"10019178","Point Blank Music School","5","45","0","50"
"10007155","The University of Portsmouth","780","945","5","1,730"
"10005337","Queen Margaret University, Edinburgh","185","80","0","260"
"10007775","Queen Mary University of London","1,395","1,735","0","3,130"
"10009292","Royal Academy of Dramatic Art","35","40","0","75"
"10005389","Ravensbourne University London","105","150","0","255"
"10007802","The University of Reading","900","885","0","1,785"
"10008455","Regent College London","15","45","0","60"
"10005500","Robert Gordon University","310","275","0","585"
"10007776","Roehampton University","280","210","0","490"
"10005523","Rose Bruford College of Theatre and Performance","50","45","0","95"
"10007835","Royal Academy of Music","110","200","0","310"
"10005545","Royal Agricultural University","20","40","0","60"
"10007777","Royal College of Art","100","90","0","190"
"10007778","Royal College of Music","105","200","0","300"
"10005561","Royal Conservatoire of Scotland","145","170","0","315"
"10007816","The Royal Central School of Speech and Drama","50","35","0","85"
"10005553","Royal Holloway and Bedford New College","465","605","0","1,070"
"10007837","Royal Northern College of Music","135","190","0","325"
"10007779","The Royal Veterinary College","185","125","0","315"
