﻿Title:,"Table 59 - UK permanent address HE students by HE provider and permanent address"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT051 Table 59
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/students/table-59
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/students/table-59.zip
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Level of study,All 
,Mode of study,All 
,Academic year,2023/24 
Search:,


"UKPRN","HE Provider","Abertawe - Swansea","Blaenau Gwent - Blaenau Gwent","Bro Morgannwg - The Vale of Glamorgan","Caerdydd - Cardiff","Caerffili - Caerphilly","Casnewydd - Newport","Castell-Nedd Port Talbot - Neath Port Talbot","Conwy - Conwy","Gwynedd - Gwynedd","Merthyr Tudful - Merthyr Tydfil","Pen-Y-Bont Ar Ogwr - Bridgend","Powys - Powys","Rhondda, Cynon, Taff - Rhondda, Cynon, Taff","Sir Benfro - Pembrokeshire","Sir Ceredigion - Ceredigion","Sir Ddinbych - Denbighshire","Sir Fynwy - Monmouthshire","Sir Gaerfyrddin - Carmarthenshire","Sir Y Fflint - Flintshire","Sir Ynys Môn - Isle of Anglesey","Tor-Faen - Torfaen","Wrecsam - Wrexham","Wales (unitary authority unknown)","Total Wales","Total"
"10008071","AA School of Architecture","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","75"
"10007783","The University of Aberdeen","0","0","5","10","0","0","0","5","0","0","5","10","5","5","5","0","0","5","5","0","0","5","0","70","11,780"
"10007849","Abertay University","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15","4,420"
"10007856","Aberystwyth University","90","30","55","95","90","55","60","60","190","20","60","305","125","135","905","40","55","215","80","55","20","75","0","2,830","7,110"
"10067853","ACM Guildford Limited","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","15","930"
"10000163","AECC University College","0","0","0","5","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","20","1,135"
"10032036","Amity Global Education","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20"
"10030497","Anglo Skills College","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","50"
"10000291","Anglia Ruskin University","15","0","10","20","0","5","10","10","5","0","10","5","15","5","5","0","10","10","0","0","5","5","0","135","28,050"
"10041898","Apex College","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","820"
"10005451","Arden University","15","0","10","45","15","15","10","5","10","5","10","10","10","5","0","10","5","10","30","5","5","15","0","245","28,665"
"10000381","Arts Educational Schools","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","295"
"10008899","The Ashridge (Bonar Law Memorial) Trust","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","675"
"10003212","Hult International Business School Ltd","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","120"
"10007759","Aston University","15","5","5","35","10","20","5","5","5","0","10","5","10","5","5","5","10","0","5","0","0","5","0","165","14,185"
"10038772","British Academy of Jewellery Limited","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1,255"
"10007857","Bangor University","25","5","25","55","25","20","20","690","990","5","25","80","30","30","35","385","20","45","325","590","20","260","5","3,705","7,865"
"10000571","Bath Spa University","35","10","50","80","25","35","25","0","5","5","25","20","40","40","15","5","35","40","15","5","20","10","0","545","23,495"
"10007850","The University of Bath","70","10","110","195","40","50","35","15","10","20","40","25","40","45","30","10","55","60","25","5","20","20","0","935","14,840"
"10007152","University of Bedfordshire","5","0","0","5","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","30","7,365"
"10005343","Queen's University Belfast","15","0","15","20","5","5","5","5","5","0","5","5","10","0","5","5","10","10","5","5","0","5","0","135","19,290"
"10037544","BIMM University","15","5","15","20","10","5","5","10","5","10","5","15","15","15","10","0","15","10","10","5","5","10","0","210","6,570"
"10007810","Birmingham Christian College","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","25"
"10007760","Birkbeck College","5","0","5","5","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","35","7,160"
"10007140","Birmingham City University","10","5","10","55","15","30","15","10","5","0","10","25","20","10","10","10","15","20","10","10","5","10","0","315","26,265"
"10006840","The University of Birmingham","45","5","90","225","25","60","20","20","20","5","40","35","35","15","15","10","60","20","25","10","15","30","0","825","26,780"
"10000712","University College Birmingham","5","0","0","10","5","0","5","0","0","0","0","0","5","0","0","5","0","5","0","0","0","5","0","55","3,930"
"10007832","Birmingham Newman University","0","0","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15","4,070"
"10000894","Bristol Baptist College","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","40"
"10007811","Bishop Grosseteste University","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15","2,330"
"10004061","Bloomsbury Institute","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","215"
"10006841","The University of Bolton","0","0","0","5","0","5","0","5","5","0","0","0","0","0","0","5","5","0","10","0","0","5","0","50","9,880"
"10000385","The Arts University Bournemouth","5","0","5","10","5","0","5","0","0","0","0","5","5","0","5","0","5","0","0","0","0","5","0","65","3,390"
"10000824","Bournemouth University","10","5","15","25","10","15","5","5","5","5","5","10","15","5","5","5","15","10","0","0","0","5","0","165","14,945"
"10031982","BPP University","5","0","10","20","5","10","5","0","0","0","0","5","5","0","0","0","10","5","5","5","5","0","0","100","10,040"
"10007785","The University of Bradford","0","0","0","10","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","30","8,290"
"10000886","The University of Brighton","15","5","15","10","10","10","5","0","5","5","5","10","15","5","10","0","10","10","10","5","5","5","0","165","14,145"
