﻿Title:,"Table 24 - HE staff by HE provider and nationality"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT025 Table 24
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-24
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-24.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Atypical marker,Non-atypical 
,Contract marker,All (excluding atypical) 
,Mode of employment,All 
,Academic year,2017/18 
Search:,


"UKPRN","HE provider","UK","European Union","Non-European Union","Not known","Total"
"10007783","The University of Aberdeen","2,430","525","295","0","3,250"
"10007849","Abertay University","445","45","25","0","515"
"10007856","Aberystwyth University","1,745","170","70","0","1,980"
"10000163","AECC University College","130","15","5","0","145"
"10000291","Anglia Ruskin University","1,635","185","130","0","1,950"
"10007759","Aston University","1,295","215","175","0","1,685"
"10007857","Bangor University","1,810","145","100","0","2,060"
"10000571","Bath Spa University","1,070","75","55","40","1,240"
"10007850","The University of Bath","2,675","540","295","0","3,510"
"10007152","University of Bedfordshire","960","115","95","60","1,225"
"10005343","Queen's University Belfast","2,760","820","285","40","3,905"
"10007760","Birkbeck College","1,290","345","210","10","1,855"
"10007140","Birmingham City University","2,720","190","175","70","3,155"
"10006840","The University of Birmingham","6,430","935","710","0","8,075"
"10000712","University College Birmingham","555","30","15","0","605"
"10007832","Birmingham Newman University","340","10","5","0","355"
"10007811","Bishop Grosseteste University","325","10","0","0","340"
"10006841","The University of Bolton","610","20","25","0","655"
"10000385","The Arts University Bournemouth","495","35","25","0","555"
"10000824","Bournemouth University","1,550","185","160","0","1,895"
"10007785","The University of Bradford","1,465","80","80","0","1,630"
"10000886","The University of Brighton","2,815","315","175","5","3,310"
"10000936","The University College of Osteopathy","130","10","0","0","145"
"10007786","The University of Bristol","5,390","800","560","0","6,750"
"10000961","Brunel University London","1,610","290","335","0","2,235"
"10000975","Buckinghamshire New University","655","35","35","0","720"
"10007787","The University of Buckingham","335","20","35","5","400"
"10007788","The University of Cambridge","7,625","2,350","1,625","170","11,775"
"10003324","The Institute of Cancer Research","750","245","85","0","1,085"
"10001143","Canterbury Christ Church University","1,645","130","75","0","1,850"
"10007814","Cardiff University","5,950","675","445","0","7,070"
"10007854","Cardiff Metropolitan University","1,280","60","40","0","1,380"
"10007141","The University of Central Lancashire","2,590","130","120","0","2,840"
"10007848","University of Chester","1,580","70","40","0","1,695"
"10007137","The University of Chichester","905","55","25","0","985"
"10001478","City, University of London","2,175","645","380","25","3,220"
"10001653","Conservatoire for Dance and Drama","485","50","45","5","585"
"10007761","Courtauld Institute of Art","105","20","10","0","135"
"10001726","Coventry University","3,530","420","400","10","4,360"
"10007822","Cranfield University","1,220","235","150","0","1,600"
"10006427","University for the Creative Arts","730","50","25","15","820"
"10007842","University of Cumbria","995","25","10","0","1,030"
"10001883","De Montfort University","2,495","155","180","150","2,980"
"10007851","University of Derby","2,620","115","105","0","2,835"
"10007852","The University of Dundee","2,640","310","250","10","3,215"
"10007143","University of Durham","3,540","415","360","0","4,320"
"10007789","The University of East Anglia","3,325","425","285","0","4,035"
"10007144","The University of East London","1,145","180","175","30","1,530"
"10007823","Edge Hill University","1,870","110","55","0","2,035"
"10007772","Edinburgh Napier University","1,465","190","70","5","1,725"
"10007790","The University of Edinburgh","9,645","2,585","1,590","0","13,820"
"10007791","The University of Essex","1,980","400","360","10","2,750"
"10007792","The University of Exeter","3,830","600","410","0","4,840"
"10008640","Falmouth University","450","25","15","5","495"
"10004511","The National Film and Television School","100","5","5","0","110"
"10007762","Glasgow Caledonian University","1,460","90","50","0","1,595"
"10002681","Glasgow School of Art","470","30","20","0","520"
"10007794","The University of Glasgow","5,860","1,065","745","0","7,670"
"10007145","University of Gloucestershire","1,155","65","45","0","1,270"
"10002718","Goldsmiths College","1,370","295","190","20","1,875"
"10007146","The University of Greenwich","1,665","270","250","10","2,200"
"10007825","Guildhall School of Music and Drama","695","75","60","0","830"
"10040812","Harper Adams University","540","20","15","5","580"
"10007764","Heriot-Watt University","1,400","305","235","0","1,940"
"10007147","University of Hertfordshire","2,875","360","170","0","3,405"
"10007765","Heythrop College","65","10","5","0","80"
"10007148","The University of Huddersfield","1,800","120","115","0","2,035"
"10007149","The University of Hull","2,130","170","90","15","2,405"
"10003270","Imperial College of Science, Technology and Medicine","4,995","2,050","1,230","0","8,275"
"10007767","Keele University","1,935","110","85","0","2,135"
"10007150","The University of Kent","2,745","490","300","0","3,540"
"10003645","King's College London","5,495","1,870","1,025","0","8,390"
"10003678","Kingston University","1,500","225","170","90","1,985"
"10007768","The University of Lancaster","3,070","460","400","10","3,940"
"10003854","Leeds Arts University","245","10","5","0","265"
"10003861","Leeds Beckett University","2,680","150","125","0","2,955"
"10007795","The University of Leeds","6,540","740","645","0","7,925"
"10003863","Leeds Trinity University","415","15","15","0","445"
"10007796","The University of Leicester","3,265","420","265","0","3,950"
"10007151","The University of Lincoln","1,715","195","145","5","2,065"
"10003956","Liverpool Hope University","625","65","30","0","720"
"10003957","Liverpool John Moores University","2,590","175","130","0","2,895"
"10003945","The Liverpool Institute for Performing Arts","170","5","5","0","180"
"10006842","The University of Liverpool","5,125","680","375","0","6,180"
"10003958","Liverpool School of Tropical Medicine","375","55","45","0","470"
"10007162","University of the Arts, London","2,880","470","225","85","3,655"
"10007769","London Business School","505","160","125","0","790"
"10007797","University of London (Institutes and activities)","750","125","55","5","940"
"10004048","London Metropolitan University","790","120","50","5","965"
"10004078","London South Bank University","1,520","195","190","70","1,970"
"10004063","London School of Economics and Political Science","2,110","975","740","0","3,825"
"10007771","London School of Hygiene and Tropical Medicine","940","235","170","0","1,350"
"10004113","Loughborough University","3,180","350","255","15","3,800"
"10004180","The Manchester Metropolitan University","4,040","340","225","55","4,655"
"10007798","The University of Manchester","8,555","1,200","945","0","10,700"
"10004351","Middlesex University","1,435","300","185","0","1,920"
"10007799","Newcastle University","5,115","635","445","0","6,190"
"10007138","The University of Northampton","1,260","70","85","5","1,420"
"10001282","University of Northumbria at Newcastle","2,505","115","150","15","2,785"
"10004775","Norwich University of the Arts","325","15","10","0","350"
"10007154","University of Nottingham","6,160","770","775","5","7,705"
"10004797","The Nottingham Trent University","3,690","300","260","0","4,255"
"10007773","The Open University","7,495","650","230","5","8,380"
"10004930","Oxford Brookes University","2,200","315","200","0","2,715"
"10007774","The University of Oxford","8,380","2,305","1,980","685","13,345"
"10005127","Arts University Plymouth","275","20","10","0","305"
"10007801","University of Plymouth","2,575","210","105","0","2,890"
"10007155","The University of Portsmouth","3,270","390","315","50","4,025"
"10005337","Queen Margaret University, Edinburgh","415","50","20","5","490"
"10007775","Queen Mary University of London","3,475","1,180","815","0","5,465"
"10005389","Ravensbourne University London","275","45","15","0","340"
"10007802","The University of Reading","3,045","565","405","0","4,015"
"10005500","Robert Gordon University","1,290","125","135","0","1,545"
"10007776","Roehampton University","1,100","220","140","100","1,560"
"10005523","Rose Bruford College of Theatre and Performance","115","10","5","0","130"
"10007835","Royal Academy of Music","355","45","20","5","425"
"10005545","Royal Agricultural University","200","10","10","0","220"
"10007777","Royal College of Art","340","45","35","0","420"
"10007778","Royal College of Music","340","60","30","0","435"
"10005561","Royal Conservatoire of Scotland","430","35","25","10","505"
"10007816","The Royal Central School of Speech and Drama","140","15","15","0","165"
"10005553","Royal Holloway and Bedford New College","1,485","340","245","5","2,080"
"10007837","Royal Northern College of Music","430","40","15","0","485"
"10007779","The Royal Veterinary College","750","110","70","20","950"
"10007803","The University of St. Andrews","1,960","370","290","20","2,645"
"10007782","St George's, University of London","765","100","55","30","950"
"10008026","St Mary's University College","55","95","5","0","155"
"10007843","St Mary's University, Twickenham","750","105","55","5","910"
"10007156","The University of Salford","1,990","95","105","0","2,190"
"10007780","SOAS University of London","705","220","315","60","1,295"
"10005700","SRUC","1,165","75","35","0","1,270"
"10005790","Sheffield Hallam University","4,015","165","155","20","4,355"
"10007157","The University of Sheffield","6,020","630","615","0","7,265"
"10006022","Solent University","1,280","95","55","0","1,430"
"10007158","The University of Southampton","4,810","835","665","25","6,335"
"10006299","Staffordshire University","1,520","45","30","0","1,595"
"10007804","The University of Stirling","1,755","230","130","15","2,130"
"10037449","University of St Mark and St John","260","10","5","0","280"
"10008010","Stranmillis University College","155","20","5","5","185"
"10007805","The University of Strathclyde","3,030","395","295","0","3,720"
"10014001","University of Suffolk","400","35","10","0","445"
"10007159","The University of Sunderland","1,475","55","55","40","1,620"
"10007160","The University of Surrey","2,525","365","330","0","3,215"
"10007806","The University of Sussex","2,345","515","375","80","3,320"
"10007855","Swansea University","2,975","260","250","40","3,525"
"10007161","Teesside University","1,640","50","60","0","1,750"
"10008017","Trinity Laban Conservatoire of Music and Dance","495","65","25","5","585"
"10007858","University of Wales Trinity Saint David","1,335","50","40","75","1,500"
"10007114","University of the Highlands and Islands","265","15","5","0","285"
"10007807","Ulster University","1,555","750","110","0","2,415"
"10007784","University College London","8,340","2,805","1,705","45","12,900"
"10007793","University of South Wales","2,560","115","100","0","2,775"
"10008574","The University of Wales (central functions)","110","0","5","0","115"
"10007163","The University of Warwick","5,240","880","730","50","6,900"
"10007164","University of the West of England, Bristol","3,360","230","200","55","3,840"
"10007800","The University of the West of Scotland","1,350","70","70","0","1,495"
"10006566","The University of West London","1,140","160","95","0","1,395"
"10007165","The University of Westminster","1,915","450","190","0","2,555"
"10003614","The University of Winchester","1,120","80","50","10","1,265"
"10007166","The University of Wolverhampton","2,315","95","105","0","2,510"
"10007139","University of Worcester","2,375","155","60","0","2,590"
"10007833","Wrexham University","445","10","15","0","470"
"10007657","Writtle University College","275","15","5","0","295"
"10007713","York St John University","745","30","15","0","790"
"10007167","The University of York","3,370","455","310","0","4,135"
"","Total","339,380","51,770","35,845","2,565","429,560"
