﻿Title:,"Table 49 - HE student enrolments by HE provider and subject of study"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT051 Table 49
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/students/table-49
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/students/table-49.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Level of study,All 
,Mode of study,All 
,Academic year,2021/22 
Search:,


"UKPRN","HE provider","01-01-01 Medical sciences (non-specific)","01-01-02 Medicine (non-specific)","01-01-03 Medicine by specialism","01-01-04 Dentistry","01 Medicine and dentistry"
"10008071","AA School of Architecture","0","0","0","0","0"
"10007783","The University of Aberdeen","85","1,275","0","120","1,480"
"10007849","Abertay University","0","0","0","0","0"
"10007856","Aberystwyth University","0","0","0","0","0"
"10067853","ACM Guildford Limited","0","0","0","0","0"
"10000163","AECC University College","0","0","0","0","0"
"10032036","Amity Global Education","0","0","0","0","0"
"10000291","Anglia Ruskin University","10","435","0","0","445"
"10041898","Apex College","0","0","0","0","0"
"10062759","Applied Business Academy Limited","0","0","0","0","0"
"10005451","Arden University","0","0","0","0","0"
"10000381","Arts Educational Schools","0","0","0","0","0"
"10008899","The Ashridge (Bonar Law Memorial) Trust","0","0","0","0","0"
"10003212","Hult International Business School Ltd","0","0","0","0","0"
"10007759","Aston University","5","435","0","0","435"
"10038772","British Academy of Jewellery Limited","0","0","0","0","0"
"10007857","Bangor University","105","40","0","0","145"
"10000571","Bath Spa University","0","0","0","0","0"
"10007850","The University of Bath","0","60","0","0","60"
"10007152","University of Bedfordshire","0","0","0","0","0"
"10005343","Queen's University Belfast","320","1,520","0","290","2,130"
"10037544","BIMM University","0","0","0","0","0"
"10007760","Birkbeck College","0","0","0","0","0"
"10007140","Birmingham City University","0","0","0","0","0"
"10006840","The University of Birmingham","110","2,185","145","555","3,000"
"10000712","University College Birmingham","0","0","0","0","0"
"10007832","Birmingham Newman University","0","0","0","0","0"
"10000894","Bristol Baptist College","0","0","0","0","0"
"10007811","Bishop Grosseteste University","0","0","0","0","0"
"10004061","Bloomsbury Institute","0","0","0","0","0"
"10006841","The University of Bolton","0","0","0","0","0"
"10000385","The Arts University Bournemouth","0","0","0","0","0"
"10000824","Bournemouth University","0","0","5","0","5"
"10031982","BPP University","0","0","0","0","0"
"10007785","The University of Bradford","0","0","0","0","0"
"10000886","The University of Brighton","0","580","90","0","665"
"10000936","The University College of Osteopathy","0","0","0","0","0"
"10007786","The University of Bristol","20","1,545","0","510","2,075"
"10028216","Brit College","0","0","0","0","0"
"10023464","Trinity College Bristol","0","0","0","0","0"
"10000961","Brunel University London","5","0","0","0","5"
"10000975","Buckinghamshire New University","0","25","0","0","25"
"10007787","The University of Buckingham","0","685","0","0","685"
"10010308","Cambridge Arts and Sciences Limited","0","0","0","0","0"
"10007788","The University of Cambridge","0","1,765","45","0","1,810"
"10032072","The Cambridge Theological Federation","0","0","0","0","0"
"10003324","The Institute of Cancer Research","0","365","0","0","365"
"10001143","Canterbury Christ Church University","15","110","20","0","140"
"10007814","Cardiff University","15","2,205","230","435","2,885"
"10007854","Cardiff Metropolitan University","0","0","0","0","0"
"10057213","CEG UFP Limited","0","0","0","0","0"
"10007141","The University of Central Lancashire","0","1,720","0","330","2,055"
"10024024","Central Film School London","0","0","0","0","0"
"10007848","University of Chester","60","85","150","240","535"
"10007137","The University of Chichester","0","0","0","0","0"
"10001386","Chicken Shed Theatre Company","0","0","0","0","0"
"10001546","The College of Integrated Chinese Medicine","0","0","0","0","0"
"10026921","Christ the Redeemer College","0","0","0","0","0"
"10010213","The City College","0","0","0","0","0"
"10001478","City, University of London","0","0","0","0","0"
"10007912","Cliff College","0","0","0","0","0"
"10066502","The College of Health Ltd","0","0","0","0","0"
"10023442","The College of Osteopaths","0","0","0","0","0"
"10001653","Conservatoire for Dance and Drama","0","0","0","0","0"
"10081618","The Council of the Inns of Court","0","0","0","0","0"
"10007761","Courtauld Institute of Art","0","0","0","0","0"
"10034324","Court Theatre Training Company Ltd","0","0","0","0","0"
"10001726","Coventry University","0","0","0","0","0"
"10007822","Cranfield University","0","0","0","0","0"
"10006427","University for the Creative Arts","0","0","0","0","0"
"10007842","University of Cumbria","0","0","0","0","0"
"10026767","Dartington Hall Trust (The)","0","0","0","0","0"
"10015688","David Game College Ltd","0","0","0","0","0"
"10001883","De Montfort University","0","0","0","0","0"
"10007851","University of Derby","0","0","0","0","0"
"10007852","The University of Dundee","0","2,095","35","410","2,540"
"10007143","University of Durham","0","0","0","0","0"
"10067355","Dyson Technical Training Limited","0","0","0","0","0"
"10007789","The University of East Anglia","50","1,190","50","0","1,285"
"10007144","The University of East London","0","0","0","0","0"
"10032282","The Queen's Foundation for Ecumenical Theological Education","0","0","0","0","0"
"10007823","Edge Hill University","0","115","0","0","115"
"10007772","Edinburgh Napier University","0","0","0","0","0"
"10007790","The University of Edinburgh","145","2,165","50","50","2,415"
"10022047","Empire College London Limited","0","0","0","0","0"
"10042570","Escape Studios","0","0","0","0","0"
"10007791","The University of Essex","0","0","0","10","10"
"10008173","University College of Estate Management","0","0","0","0","0"
"10002313","ESCP Europe Business School","0","0","0","0","0"
"10007792","The University of Exeter","305","1,195","0","0","1,500"
"10008640","Falmouth University","0","0","0","0","0"
"10045476","Met Film School Limited","0","0","0","0","0"
"10004511","The National Film and Television School","0","0","0","0","0"
"10038763","ForMission Ltd","0","0","0","0","0"
"10022087","Futureworks","0","0","0","0","0"
"10042500","Global Banking School Limited","0","0","0","0","0"
"10007762","Glasgow Caledonian University","0","0","90","40","130"
"10002681","Glasgow School of Art","0","0","0","0","0"
"10007794","The University of Glasgow","0","2,715","240","405","3,360"
"10007145","University of Gloucestershire","0","0","0","0","0"
"10002718","Goldsmiths College","0","0","0","0","0"
"10030408","Gower College Swansea","0","0","0","0","0"
"10007146","The University of Greenwich","0","0","0","0","0"
"10007825","Guildhall School of Music and Drama","0","0","0","0","0"
"10040812","Harper Adams University","0","0","0","0","0"
"10080811","Hartpury University","0","0","0","0","0"
"10007764","Heriot-Watt University","0","0","0","0","0"
"10007147","University of Hertfordshire","0","10","340","0","350"
"10007148","The University of Huddersfield","0","0","0","0","0"
"10007149","The University of Hull","45","570","5","0","620"
"10003239","ICON College of Technology and Management","0","0","0","0","0"
"10003270","Imperial College of Science, Technology and Medicine","0","4,280","0","0","4,280"
"10013220","Institute of Art - London Limited","0","0","0","0","0"
"10067388","The Institute of Ismaili Studies","0","0","0","0","0"
"10035638","Institute of Contemporary Music Performance","0","0","0","0","0"
"10082728","INTO University Partnerships Limited","0","0","0","0","0"
"10029682","The Islamic College","0","0","0","0","0"
"10067601","JSA Education Group Ltd.","0","0","0","0","0"
"10082570","Kaplan International Colleges U.K. Limited","0","0","0","0","0"
"10021682","Kaplan Open Learning (Essex) Limited","0","0","0","0","0"
"10007767","Keele University","0","1,000","0","0","1,000"
"10003566","Kensington College of Business","0","0","0","0","0"
"10007150","The University of Kent","0","110","0","0","110"
"10003645","King's College London","40","2,760","120","1,290","4,205"
"10003678","Kingston University","10","0","0","0","10"
"10003758","LAMDA Limited","0","0","0","0","0"
"10007768","The University of Lancaster","5","595","0","0","600"
"10066551","LCCM AU UK Limited","0","0","0","0","0"
"10003854","Leeds Arts University","0","0","0","0","0"
"10003861","Leeds Beckett University","0","0","0","0","0"
"10003798","Le Cordon Bleu Limited","0","0","0","0","0"
"10034449","Leeds Conservatoire","0","0","0","0","0"
"10007795","The University of Leeds","320","1,805","85","620","2,830"
"10003863","Leeds Trinity University","0","0","0","0","0"
"10082828","College of Legal Practice Limited","0","0","0","0","0"
"10007796","The University of Leicester","55","1,460","115","0","1,625"
"10007151","The University of Lincoln","0","0","0","0","0"
"10036456","Academy of Live Technology Ltd","0","0","0","0","0"
"10003956","Liverpool Hope University","0","0","0","0","0"
"10003957","Liverpool John Moores University","0","0","0","0","0"
"10003945","The Liverpool Institute for Performing Arts","0","0","0","0","0"
"10006842","The University of Liverpool","0","1,895","145","430","2,470"
"10003958","Liverpool School of Tropical Medicine","0","190","0","0","190"
"10007820","Grŵp Llandrillo Menai","0","0","0","0","0"
"10007162","University of the Arts, London","0","0","0","0","0"
"10013109","London Bridge Business Academy","0","0","0","0","0"
"10007769","London Business School","0","0","0","0","0"
"10030391","London Churchill College Ltd","0","0","0","0","0"
"10007797","University of London (Institutes and activities)","0","395","0","0","395"
"10039082","City and Guilds of London Art School","0","0","0","0","0"
"10023434","London School of Commerce & IT Limited","0","0","0","0","0"
"10004036","London Film School Limited","0","0","0","0","0"
"10015506","The London College","0","0","0","0","0"
"10004048","London Metropolitan University","0","0","0","0","0"
"10032594","London School of Academics Ltd","0","0","0","0","0"
"10004078","London South Bank University","0","0","0","30","30"
"10004063","London School of Economics and Political Science","0","0","0","0","0"
"10007771","London School of Hygiene and Tropical Medicine","100","135","5","0","240"
"10022285","London School of Management Education","0","0","0","0","0"
"10004075","London School of Theology","0","0","0","0","0"
"10004079","London Studio Centre","0","0","0","0","0"
"10062810","The London School of Architecture","0","0","0","0","0"
"10008289","The London Institute of Banking & Finance","0","0","0","0","0"
"10004035","The Film Education Training Trust Limited","0","0","0","0","0"
"10067623","The London Interdisciplinary School Ltd","0","0","0","0","0"
"10004113","Loughborough University","0","0","0","0","0"
"10009612","Luther King House Educational Trust","0","0","0","0","0"
"10004180","The Manchester Metropolitan University","0","40","0","0","40"
"10007798","The University of Manchester","225","2,695","230","515","3,660"
"10009527","Istituto Marangoni Limited","0","0","0","0","0"
"10023452","The Markfield Institute of Higher Education","0","0","0","0","0"
"10023453","Matrix College of Counselling and Psychotherapy Ltd","0","0","0","0","0"
"10020416","Missio Dei","0","0","0","0","0"
"10030776","St Mellitus College","0","0","0","0","0"
"10004320","The Metanoia Institute","0","0","0","0","0"
"10004351","Middlesex University","0","0","0","0","0"
"10032277","The Minster Centre","0","0","0","0","0"
"10049370","MLA College","0","0","0","0","0"
"10004450","Mountview Academy of Theatre Arts","0","0","0","0","0"
"10023777","Mont Rose College of Management and Sciences","0","0","0","0","0"
"10023454","Moorlands College","0","0","0","0","0"
"10000216","All Nations Christian College","0","0","0","0","0"
"10004538","Nazarene Theological College","0","0","0","0","0"
"10030129","Nelson College London Ltd","0","0","0","0","0"
"10023456","Newbold College","0","0","0","0","0"
"10007799","Newcastle University","555","1,820","20","485","2,885"
"10067406","New Model Institute for Technology and Engineering (NMITE)","0","0","0","0","0"
"10048199","Northeastern University London","0","0","0","0","0"
"10008397","Norland College","0","0","0","0","0"
"10007138","The University of Northampton","0","0","5","0","5"
"10009614","Grŵp NPTC Group","0","0","0","0","0"
"10004740","Northern College of Acupuncture","0","0","0","0","0"
"10001282","University of Northumbria at Newcastle","120","0","5","0","125"
"10004775","Norwich University of the Arts","0","0","0","0","0"
"10007154","University of Nottingham","0","2,610","190","0","2,800"
"10004797","The Nottingham Trent University","0","50","0","0","50"
"10007773","The Open University","0","0","0","0","0"
"10023445","ICOM","0","0","0","0","0"
"10004930","Oxford Brookes University","65","0","5","0","70"
"10007774","The University of Oxford","310","1,195","105","0","1,610"
"10066143","Paris Dauphine International","0","0","0","0","0"
"10006243","St Patrick's International College","0","0","0","0","0"
"10005127","Arts University Plymouth","0","0","0","0","0"
"10007801","University of Plymouth","25","830","0","500","1,355"
"10019178","Point Blank Music School","0","0","0","0","0"
"10007155","The University of Portsmouth","50","0","90","5","145"
"10083476","The Prince's Foundation","0","0","0","0","0"
"10005337","Queen Margaret University, Edinburgh","0","0","0","0","0"
"10007775","Queen Mary University of London","715","2,985","10","635","4,340"
"10025197","University Centre Quayside Limited","0","0","0","0","0"
"10009292","Royal Academy of Dramatic Art","0","0","0","0","0"
"10005544","Royal Academy of Dance","0","0","0","0","0"
"10005389","Ravensbourne University London","0","0","0","0","0"
"10005470","Richmond, The American International University in London","0","0","0","0","0"
"10007802","The University of Reading","45","0","0","0","45"
"10086591","Regent's University London Limited","0","0","0","0","0"
"10021100","Regents Theological College","0","0","0","0","0"
"10023871","Results Consortium Limited","0","0","0","0","0"
"10062833","Raindance Educational Services Limited","0","0","0","0","0"
"10008455","Regent College London","0","0","0","0","0"
"10005500","Robert Gordon University","0","0","0","0","0"
"10007776","Roehampton University","0","0","0","0","0"
"10005523","Rose Bruford College of Theatre and Performance","0","0","0","0","0"
"10007835","Royal Academy of Music","0","0","0","0","0"
"10005545","Royal Agricultural University","0","0","0","0","0"
"10007777","Royal College of Art","0","0","0","0","0"
"10007778","Royal College of Music","0","0","0","0","0"
"10005561","Royal Conservatoire of Scotland","0","0","0","0","0"
"10007816","The Royal Central School of Speech and Drama","0","0","0","0","0"
"10005553","Royal Holloway and Bedford New College","0","0","0","0","0"
"10007837","Royal Northern College of Music","0","0","0","0","0"
"10007779","The Royal Veterinary College","0","0","0","0","0"
"10007803","The University of St. Andrews","0","685","0","0","685"
"10007839","SAE Education Limited","0","0","0","0","0"
"10007782","St George's, University of London","15","1,405","10","0","1,430"
"10008026","St Mary's University College","0","0","0","0","0"
"10007843","St Mary's University, Twickenham","0","0","0","0","0"
"10007156","The University of Salford","0","0","0","55","55"
"10021256","The Salvation Army","0","0","0","0","0"
"10008362","London School of Science and Technology Limited","0","0","0","0","0"
"10007780","SOAS University of London","0","0","0","0","0"
"10005700","SRUC","0","0","0","0","0"
"10005790","Sheffield Hallam University","0","0","0","0","0"
"10007157","The University of Sheffield","40","1,645","40","500","2,225"
"10023458","The Sherwood Psychotherapy Training Institute Limited","0","0","0","0","0"
"10006022","Solent University","0","0","0","0","0"
"10007158","The University of Southampton","0","1,450","135","0","1,585"
"10006093","Spurgeon's College","0","0","0","0","0"
"10006299","Staffordshire University","0","0","45","0","45"
"10008098","Study Group","0","0","0","0","0"
"10007804","The University of Stirling","0","0","0","0","0"
"10037449","University of St Mark and St John","0","0","0","0","0"
"10008010","Stranmillis University College","0","0","0","0","0"
"10007805","The University of Strathclyde","0","0","0","0","0"
"10014001","University of Suffolk","0","0","5","0","5"
"10007159","The University of Sunderland","0","255","10","0","265"
"10007160","The University of Surrey","0","45","0","0","45"
"10007806","The University of Sussex","0","625","65","0","685"
"10007855","Swansea University","75","540","30","0","645"
"10083403","The Engineering and Design Institute London","0","0","0","0","0"
"10007161","Teesside University","0","10","15","110","135"
"10082743","ThinkSpace Education Limited","0","0","0","0","0"
"10008017","Trinity Laban Conservatoire of Music and Dance","0","0","0","0","0"
"10007858","University of Wales Trinity Saint David","0","0","0","0","0"
"10068157","University Centre Peterborough","0","0","0","0","0"
"10007114","University of the Highlands and Islands","0","0","0","45","45"
"10007807","Ulster University","0","75","0","295","370"
"10039956","The University of Law","0","0","0","0","0"
"10007784","University College London","655","3,815","135","285","4,890"
"10007793","University of South Wales","60","0","0","0","60"
"10029843","Waltham International College Limited","0","0","0","0","0"
"10007163","The University of Warwick","35","995","230","70","1,325"
"10007361","Waverley Abbey College","0","0","0","0","0"
"10007164","University of the West of England, Bristol","0","0","0","0","0"
"10007800","The University of the West of Scotland","0","0","0","0","0"
"10032288","West Dean College","0","0","0","0","0"
"10006566","The University of West London","0","0","0","0","0"
"10007165","The University of Westminster","0","0","0","0","0"
"10003614","The University of Winchester","0","0","0","0","0"
"10007166","The University of Wolverhampton","0","0","0","0","0"
"10007139","University of Worcester","15","0","0","0","15"
"10007833","Wrexham University","0","0","0","0","0"
"10007657","Writtle University College","0","0","0","0","0"
"10007713","York St John University","0","0","0","0","0"
"10007167","The University of York","220","520","0","0","735"
"","Total","5,050","64,015","3,345","9,255","81,665"
