﻿Title:,"Table 49 - HE student enrolments by HE provider and subject of study"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT051 Table 49
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/students/table-49
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/students/table-49.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Level of study,All 
,Mode of study,All 
,Academic year,2023/24 
Search:,


"UKPRN","HE provider","15-01-01 Social sciences (non-specific)","15-01-02 Sociology","15-01-03 Social policy","15-01-04 Anthropology","15-01-05 Development studies","15-01-06 Cultural studies","15-02-01 Economics","15-03-01 Politics","15-04-01 Social work","15-04-02 Childhood and youth studies","15-04-03 Health studies","15 Social sciences"
"10008071","AA School of Architecture","0","0","0","0","0","0","0","0","0","0","0","0"
"10007783","The University of Aberdeen","5","320","5","105","0","0","255","475","0","0","60","1,230"
"10007849","Abertay University","25","345","0","0","0","0","0","0","0","0","0","375"
"10007856","Aberystwyth University","0","250","25","0","0","0","65","425","0","0","0","770"
"10067853","ACM Guildford Limited","0","0","0","0","0","0","0","0","0","0","0","0"
"10000163","AECC University College","0","0","0","0","0","0","0","0","0","0","35","35"
"10032036","Amity Global Education","0","0","0","0","0","0","0","0","0","0","0","0"
"10030497","Anglo Skills College","0","0","0","0","0","0","0","0","0","0","0","0"
"10000291","Anglia Ruskin University","0","2,420","35","0","0","0","0","70","635","350","2,555","6,060"
"10041898","Apex College","0","0","0","0","0","0","0","0","0","0","0","0"
"10005451","Arden University","5","1,185","0","0","0","0","0","0","0","0","2,930","4,120"
"10000381","Arts Educational Schools","0","0","0","0","0","0","0","0","0","0","0","0"
"10008899","The Ashridge (Bonar Law Memorial) Trust","0","0","0","0","0","0","0","0","0","0","0","0"
"10003212","Hult International Business School Ltd","0","0","0","0","0","0","0","0","0","0","0","0"
"10007759","Aston University","35","150","35","0","0","0","680","290","0","0","0","1,190"
"10038772","British Academy of Jewellery Limited","0","0","0","0","0","0","0","0","0","0","0","0"
"10007857","Bangor University","0","180","120","0","0","0","25","15","30","105","165","640"
"10000571","Bath Spa University","25","345","0","0","0","0","0","50","0","0","595","1,015"
"10007850","The University of Bath","80","350","195","0","200","0","1,565","765","85","0","105","3,340"
"10007152","University of Bedfordshire","35","120","35","0","0","0","30","10","310","180","1,220","1,940"
"10005343","Queen's University Belfast","30","385","75","120","0","0","425","660","430","0","0","2,120"
"10037544","BIMM University","0","0","0","0","0","0","0","0","0","0","0","0"
"10007810","Birmingham Christian College","0","0","0","0","0","0","0","0","0","0","0","0"
"10007760","Birkbeck College","175","160","45","0","25","30","270","280","0","0","0","985"
"10007140","Birmingham City University","60","815","135","0","0","5","170","0","640","205","90","2,110"
"10006840","The University of Birmingham","100","625","205","55","335","10","1,400","1,150","395","0","390","4,665"
"10000712","University College Birmingham","0","0","0","0","0","0","0","0","0","215","280","495"
"10007832","Birmingham Newman University","0","205","0","0","0","0","0","0","140","0","240","585"
"10000894","Bristol Baptist College","0","0","0","0","0","0","0","0","0","0","0","0"
"10007811","Bishop Grosseteste University","0","30","0","0","0","0","0","0","0","65","55","150"
"10004061","Bloomsbury Institute","0","0","0","0","0","0","0","0","0","0","0","0"
"10006841","The University of Bolton","0","115","0","0","0","0","0","10","190","150","1,190","1,655"
"10000385","The Arts University Bournemouth","0","0","0","0","0","0","0","0","0","0","0","0"
"10000824","Bournemouth University","10","530","5","100","5","0","255","80","140","0","295","1,415"
