﻿Title:,"Table 28 - Non-UK permanent address students by HE provider and country of permanent address"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT051 Table 28
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/students/table-28
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/students/table-28.zip
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Level of study,All 
,Mode of study,All 
,Academic year,2023/24 
Search:,


"UKPRN","HE Provider","Albania","Andorra","Armenia","Azerbaijan","Belarus","Bosnia and Herzegovina","Cyprus (Non-European Union)","Faroe Islands","Georgia","Iceland","Kosovo","Liechtenstein","Moldova","Monaco","Montenegro","North Macedonia","Norway","Russia","San Marino","Serbia","Svalbard and Jan Mayen","Switzerland","Turkey","Ukraine","Vatican City","Europe not otherwise specified","Total Other Europe","Total"
"10008071","AA School of Architecture","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","5","20","0","0","0","5","70","5","0","0","115","850"
"10007783","The University of Aberdeen","0","0","0","25","0","0","0","0","0","0","0","0","0","0","0","0","10","5","0","0","0","15","15","15","0","0","95","3,450"
"10007849","Abertay University","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","5","0","0","0","0","20","530"
"10007856","Aberystwyth University","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","40","5","0","0","0","5","5","5","0","0","65","1,210"
"10067853","ACM Guildford Limited","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15"
"10000163","AECC University College","0","0","0","0","0","0","0","0","0","15","0","0","0","0","0","0","75","0","0","0","0","10","0","0","0","0","100","285"
"10032036","Amity Global Education","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","85"
"10000291","Anglia Ruskin University","15","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","10","15","0","0","0","15","90","25","0","0","180","7,825"
"10005451","Arden University","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","40"
"10000381","Arts Educational Schools","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","35"
"10008899","The Ashridge (Bonar Law Memorial) Trust","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15"
"10003212","Hult International Business School Ltd","10","0","0","5","0","0","0","0","5","0","10","0","0","0","0","0","45","35","0","0","0","55","25","10","0","5","215","1,555"
"10007759","Aston University","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20","0","0","0","0","10","5","0","0","45","4,415"
"10007857","Bangor University","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","5","20","5","0","0","40","2,880"
"10000571","Bath Spa University","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","5","0","0","0","5","0","5","0","0","30","1,085"
"10007850","The University of Bath","10","0","0","0","0","0","5","0","0","0","0","0","0","10","0","0","20","35","0","5","0","110","80","20","0","0","295","4,855"
"10007152","University of Bedfordshire","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","0","0","0","0","5","0","0","0","20","6,415"
"10005343","Queen's University Belfast","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","30","0","0","0","5","30","5","0","0","80","5,625"
"10037544","BIMM University","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","30","5","0","0","0","20","5","10","0","0","75","500"
"10007760","Birkbeck College","5","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","5","25","0","0","0","15","30","5","0","0","95","1,275"
"10007140","Birmingham City University","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","20","5","0","0","35","5,150"
"10006840","The University of Birmingham","10","0","0","20","0","0","0","0","5","0","0","0","0","0","0","0","15","20","0","0","0","25","100","20","0","0","230","10,010"
"10000712","University College Birmingham","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","2,955"
"10007832","Birmingham Newman University","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10"
"10000894","Bristol Baptist College","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10007811","Bishop Grosseteste University","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","45"
"10004061","Bloomsbury Institute","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","375"
"10006841","The University of Bolton","5","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","5","0","0","0","0","0","5","0","0","0","20","2,040"
