﻿Title:,"Table 1 - Buildings and spaces"
Subtitle:,"Academic years 2015/16 to 2022/23"
Reference ID:,DT042 Table 1
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/estates/table-1
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/estates/table-1.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2024
Filters:,Country of HE provider,Choose a value... 
,Region of HE provider,Choose a value... 
,Academic year,2022/23 
Search:,


"UKPRN","HE provider","Total number of sites","Total number of buildings","Total site area (hectares)","Total grounds area (hectares)","Total playing fields area (hectares)","Total gross internal area (m2)","Total number of car parking spaces","Total number of cycle spaces"
"10007783","The University of Aberdeen","4","118","82.354","40.847","21.203","267,984.570","1,528","909"
"10007849","Abertay University","1","7","2.600","1.100","0.000","39,004.000","225","86"
"10007856","Aberystwyth University","15","688","1,709.000","56.000","23.000","260,123.430","2,408","362"
"10000291","Anglia Ruskin University","4","181","22.801","9.140","8.000","131,093.240","676","2,096"
"10007759","Aston University","2","21","31.693","22.320","6.072","112,595.000","753","136"
"10007857","Bangor University","16","168","359.480","353.000","15.200","234,102.195","1,819","685"
"10000571","Bath Spa University","6","71","64.586","55.592","5.033","72,857.150","1,006","340"
"10007850","The University of Bath","1","111","95.563","31.000","24.000","311,179.130","2,157","865"
"10007152","University of Bedfordshire","5","38","36.172","27.168","5.683","95,452.000","471","196"
"10005343","Queen's University Belfast","7","268","60.300","40.230","27.920","425,595.000","1,290","1,554"
"10007760","Birkbeck College","2","18","4.558","0.000","0.000","47,804.000","0","112"
"10007140","Birmingham City University","3","26","28.200","10.900","18.100","157,747.000","",""
"10006840","The University of Birmingham","17","287","266.000","101.700","27.200","569,829.500","3,770","1,805"
"10000712","University College Birmingham","","","","","","80,524.500","",""
"10007811","Bishop Grosseteste University","2","25","8.100","4.300","4.200","25,929.374","368","102"
"10000385","The Arts University Bournemouth","4","24","3.800","3.800","0.000","49,041.000","260","282"
"10000824","Bournemouth University","4","26","17.960","10.940","3.580","95,233.000","1,359","771"
"10007785","The University of Bradford","5","24","15.130","15.130","1.076","116,820.360","825","142"
"10000886","The University of Brighton","6","126","48.665","38.260","9.300","241,208.450","1,903","2,024"
"10007786","The University of Bristol","7","313","364.841","345.122","17.430","540,044.478","1,973","4,008"
"10000961","Brunel University London","1","134","78.350","78.350","19.620","254,892.364","1,968","787"
"10000975","Buckinghamshire New University","5","27","8.500","8.500","0.000","70,455.390","545","378"
"10007788","The University of Cambridge","16","379","669.980","","","736,892.540","3,406","11,200"
"10003324","The Institute of Cancer Research","2","10","5.100","4.050","0.000","42,000.000","381","100"
"10001143","Canterbury Christ Church University","15","97","","","","126,739.512","695","771"
"10007814","Cardiff University","6","301","69.480","25.970","13.770","545,578.000","1,873","4,090"
"10007854","Cardiff Metropolitan University","3","53","27.000","15.000","6.000","97,041.000","1,640","530"
"10007141","The University of Central Lancashire","6","78","62.559","22.182","24.909","204,768.860","2,290","680"
"10007848","University of Chester","4","218","69.080","42.990","17.900","205,199.360","2,417","312"
"10007137","The University of Chichester","2","112","29.008","28.008","","83,524.806","871","575"
"10001478","City, University of London","2","17","12.570","0.000","0.000","125,676.510","16","254"
"10001726","Coventry University","8","111","56.032","32.916","12.395","294,932.737","2,087","1,456"
"10007822","Cranfield University","3","263","254.400","238.310","5.630","193,061.914","2,253","522"
"10006427","University for the Creative Arts","4","61","8.000","8.000","0.000","91,760.560","588","313"
"10007842","University of Cumbria","5","80","38.239","34.517","3.500","68,982.870","960","172"
"10001883","De Montfort University","2","55","23.040","8.310","9.030","180,889.410","1,005","758"
"10007851","University of Derby","8","47","47.700","41.210","7.900","157,188.510","1,755","490"
"10007852","The University of Dundee","3","79","40.000","34.600","5.400","201,910.000","765","653"
"10007143","University of Durham","3","329","257.920","57.920","36.930","408,005.570","3,257","2,066"
"10007789","The University of East Anglia","1","98","146.000","130.000","14.000","285,317.410","2,250","3,034"
"10007144","The University of East London","3","29","13.350","12.773","0.200","119,799.470","700","516"
"10007823","Edge Hill University","3","121","51.000","25.700","4.700","133,898.040","1,679","200"
"10007772","Edinburgh Napier University","11","18","35.000","10.123","0.000","111,456.398","770","677"
"10007790","The University of Edinburgh","7","480","355.000","320.000","10.900","931,987.000","2,508","7,942"
"10007791","The University of Essex","4","129","111.560","102.000","7.000","286,606.710","2,996","1,795"
"10007792","The University of Exeter","3","247","107.670","107.670","31.000","304,124.660","1,832","1,912"
"10008640","Falmouth University","2","93","20.661","17.113","0.237","80,577.887","557","350"
"10004511","The National Film and Television School","1","11","1.420","1.420","0.000","12,424.080","105","30"
"10007762","Glasgow Caledonian University","2","23","7.116","4.762","0.000","104,888.960","143","212"
"10002681","Glasgow School of Art","4","16","2.000","2.000","0.000","65,508.000","40","72"
"10007794","The University of Glasgow","18","322","220.000","81.000","23.000","513,238.620","1,535","1,883"
"10007145","University of Gloucestershire","5","92","39.133","28.970","5.196","91,966.944","1,221","776"
"10002718","Goldsmiths College","2","98","15.730","8.266","7.570","79,780.660","146","308"
"10007146","The University of Greenwich","3","52","41.111","","17.560","145,764.410","1,300","604"
"10007825","Guildhall School of Music and Drama","1","4","0.892","0.140","0.000","33,817.040","2","165"
"10007764","Heriot-Watt University","4","92","89.640","89.460","10.440","234,427.870","2,104","609"
"10007147","University of Hertfordshire","8","86","96.720","96.720","21.640","192,641.000","2,870","1,710"
"10007148","The University of Huddersfield","1","29","17.390","11.790","5.600","125,546.520","645","102"
"10007149","The University of Hull","3","98","80.310","35.980","34.930","200,774.000","1,971","1,137"
"10003270","Imperial College of Science, Technology and Medicine","11","119","139.709","118.873","24.253","591,541.000","735","3,143"
"10007767","Keele University","2","159","228.361","142.077","17.089","175,855.500","3,079","484"
"10007150","The University of Kent","2","393","129.360","120.160","9.900","255,556.220","2,306","1,750"
"10003645","King's College London","6","78","","5.800","16.640","443,606.782","154","1,247"
"10003678","Kingston University","5","136","50.640","17.960","21.320","162,510.241","1,282","2,607"
"10007768","The University of Lancaster","2","255","153.360","94.210","9.050","332,733.000","3,091","1,898"
"10003854","Leeds Arts University","3","4","","","0.000","23,391.000","81","73"
"10003861","Leeds Beckett University","2","80","59.284","17.345","18.801","229,749.800","1,291","880"
"10007795","The University of Leeds","6","364","159.329","87.739","50.289","614,739.644","2,068","2,926"
"10003863","Leeds Trinity University","1","35","18.000","7.000","6.600","42,541.470","483","44"
"10007796","The University of Leicester","5","221","87.590","38.220","26.600","378,259.820","1,977","2,012"
"10007151","The University of Lincoln","3","117","256.818","239.418","3.232","255,849.026","1,214","1,498"
"10003956","Liverpool Hope University","4","35","24.990","14.280","2.110","83,267.000","635","201"
"10003957","Liverpool John Moores University","2","35","24.000","6.544","7.000","153,812.100","250","605"
"10006842","The University of Liverpool","5","204","215.580","83.200","18.600","498,462.000","2,412","755"
"10003958","Liverpool School of Tropical Medicine","1","5","2.100","0.000","0.000","27,514.130","134","120"
"10007162","University of the Arts, London","20","47","9.394","3.850","0.000","197,065.084","115","1,494"
"10007797","University of London (Institutes and activities)","","","","","","208,019.000","",""
"10004048","London Metropolitan University","3","7","2.534","0.375","0.000","83,223.780","25","153"
"10004078","London South Bank University","3","23","7.480","0.360","0.000","150,935.590","30","392"
"10004063","London School of Economics and Political Science","1","42","13.250","1.140","9.300","213,208.656","58","1,007"
"10007771","London School of Hygiene and Tropical Medicine","3","5","2.101","","","25,486.335","","136"
"10004113","Loughborough University","2","132","174.130","93.390","16.230","328,368.260","3,596","2,268"
"10004180","The Manchester Metropolitan University","1","42","25.680","16.654","2.307","268,491.450","820","958"
"10007798","The University of Manchester","6","202","124.170","92.910","8.303","889,095.190","3,662","3,000"
"10004351","Middlesex University","4","41","10.947","6.500","3.200","92,771.000","456","300"
"10007799","Newcastle University","24","220","634.135","22.010","26.450","487,550.310","997","1,997"
"10007138","The University of Northampton","10","33","37.720","29.570","9.000","98,960.000","3,057","553"
"10001282","University of Northumbria at Newcastle","4","59","28.000","25.000","3.000","244,175.000","","1,181"
"10004775","Norwich University of the Arts","","","","","","31,256.000","",""
"10007154","University of Nottingham","5","461","234.500","547.500","48.000","717,601.130","4,591","5,131"
"10004797","The Nottingham Trent University","5","130","266.630","246.875","6.447","242,988.820","1,685","946"
"10007773","The Open University","7","74","52.560","26.510","3.230","129,733.000","2,484","668"
