﻿Title:,"Table 1 - HE student enrolments by HE provider"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT051 Table 1
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/students/table-1
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/students/table-1.zip
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Entrant marker,All 
,Level of study,All 
,Mode of study,All 
,Academic year,2015/16 
Search:,


"UKPRN","HE provider","England","Scotland","Wales","Northern Ireland","Other UK","Total UK","European Union","Non-European Union","Total Non-UK","Not known","Total"
"10008071","AA School of Architecture","70","0","0","0","0","75","120","275","395","0","470"
"10007783","The University of Aberdeen","1,500","8,025","35","210","10","9,775","2,505","1,720","4,225","0","14,000"
"10019746","ABI College Limited","70","0","0","0","0","70","0","0","0","0","70"
"10007849","Abertay University","150","3,245","5","105","0","3,505","410","85","500","0","4,005"
"10007856","Aberystwyth University","4,305","50","3,135","65","10","7,565","680","515","1,195","0","8,755"
"10000080","Access to Music Limited","70","0","0","0","0","70","0","0","0","0","70"
"10000248","Academy of Live and Recorded Arts","165","5","5","0","0","180","5","0","5","0","185"
"10000291","Anglia Ruskin University","17,725","45","95","80","10","17,955","900","2,080","2,980","0","20,935"
"10041898","Apex College","50","0","0","0","0","50","0","0","0","0","50"
"10005451","Arden University","1,775","15","25","10","0","1,825","5","5","10","0","1,835"
"10000381","Arts Educational Schools","205","10","10","5","5","230","10","5","15","0","245"
"10007759","Aston University","9,835","75","165","25","10","10,115","675","1,685","2,360","0","12,475"
"10007857","Bangor University","4,365","50","3,885","80","40","8,415","420","1,790","2,210","0","10,630"
"10000571","Bath Spa University","6,300","15","445","50","25","6,835","200","595","795","0","7,630"
"10007850","The University of Bath","10,370","120","735","145","80","11,455","1,540","3,160","4,700","0","16,155"
"10007152","University of Bedfordshire","11,660","20","50","55","15","11,800","800","1,800","2,600","0","14,400"
"10005343","Queen's University Belfast","1,090","105","55","19,795","20","21,065","935","1,870","2,805","0","23,870"
"10037544","BIMM University","3,540","45","130","30","20","3,765","505","95","600","0","4,365"
"10007760","Birkbeck College","10,910","25","30","10","5","10,975","615","655","1,270","0","12,245"
"10007140","Birmingham City University","20,740","95","320","75","10","21,240","650","2,175","2,820","0","24,065"
"10006840","The University of Birmingham","24,855","210","775","95","180","26,110","1,445","6,175","7,620","105","33,830"
"10000712","University College Birmingham","3,690","5","75","15","5","3,790","635","600","1,235","0","5,025"
"10007832","Birmingham Newman University","2,770","0","10","10","0","2,795","10","5","15","0","2,810"
"10000894","Bristol Baptist College","25","0","0","0","0","30","0","0","0","0","30"
"10007811","Bishop Grosseteste University","2,225","0","0","5","0","2,230","0","5","5","0","2,235"
"10004061","Bloomsbury Institute","1,300","0","0","0","0","1,305","10","25","35","0","1,340"
"10006841","The University of Bolton","5,715","10","55","35","0","5,815","150","355","505","0","6,320"
"10000385","The Arts University Bournemouth","2,655","10","45","15","45","2,765","195","280","475","0","3,240"
"10000824","Bournemouth University","15,990","50","240","45","70","16,390","935","1,720","2,655","0","19,045"
"10031982","BPP University","4,345","45","25","10","10","4,430","195","1,315","1,510","0","5,940"
"10007785","The University of Bradford","9,430","35","75","35","5","9,575","540","1,095","1,635","0","11,215"
"10000886","The University of Brighton","17,765","55","160","105","145","18,235","1,175","1,725","2,900","0","21,135"
"10007786","The University of Bristol","15,885","185","895","170","50","17,185","1,110","3,610","4,720","0","21,905"
"10028216","Brit College","495","0","0","0","0","495","70","0","70","0","565"
"10023464","Trinity College Bristol","80","0","0","0","0","80","0","0","0","0","80"
"10000961","Brunel University London","9,440","20","95","25","15","9,600","815","3,750","4,565","0","14,165"
"10000975","Buckinghamshire New University","7,625","30","95","65","5","7,820","570","190","760","0","8,580"
"10007787","The University of Buckingham","1,420","25","25","5","5","1,480","115","805","915","0","2,400"
"10022021","UK College of Business and Computing","945","0","0","0","0","945","0","0","0","0","945"
"10041974","London College of Business Sciences","55","0","0","0","0","55","0","0","0","0","55"
"10010308","Cambridge Arts and Sciences Limited","15","0","0","0","0","20","5","50","55","0","75"
"10007788","The University of Cambridge","12,240","345","290","230","20","13,135","2,420","4,105","6,525","0","19,660"
"10032072","The Cambridge Theological Federation","155","0","0","0","0","155","5","0","5","0","160"
"10003324","The Institute of Cancer Research","250","5","0","0","0","260","10","5","20","0","275"
"10001143","Canterbury Christ Church University","15,060","45","55","60","30","15,245","545","260","810","0","16,055"
"10007814","Cardiff University","12,180","120","11,035","175","50","23,560","1,345","5,770","7,115","0","30,675"
"10007854","Cardiff Metropolitan University","3,495","30","5,680","65","25","9,295","375","2,905","3,285","0","12,580"
"10007141","The University of Central Lancashire","21,390","150","275","190","45","22,045","535","1,880","2,415","0","24,460"
"10007848","University of Chester","12,135","50","1,680","130","70","14,060","210","645","855","0","14,915"
"10007137","The University of Chichester","5,250","20","45","10","30","5,355","65","95","160","0","5,520"
"10001386","Chicken Shed Theatre Company","85","0","0","0","0","85","0","0","0","0","85"
"10001546","The College of Integrated Chinese Medicine","190","0","5","0","0","200","5","0","5","0","205"
"10001419","Christie's Education Limited","10","5","0","0","0","15","10","10","20","0","35"
"10010213","The City College","305","0","0","0","0","305","15","0","15","0","320"
