﻿Title:,"Table 7 - HE academic staff by HE provider and employment conditions"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT025 Table 7
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-7
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-7.zip
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Mode of employment,All 
,Activity standard occupational classification,All 
,Academic year,2017/18 
Search:,


"UKPRN","HE provider","Wholly general financed by the provider","All other sources of finance","Total academic staff"
"10007783","The University of Aberdeen","970","440","1,410"
"10007849","Abertay University","215","5","220"
"10007856","Aberystwyth University","660","110","770"
"10000163","AECC University College","50","0","50"
"10000291","Anglia Ruskin University","885","0","885"
"10007759","Aston University","725","65","785"
"10007857","Bangor University","810","165","975"
"10000571","Bath Spa University","655","0","655"
"10007850","The University of Bath","1,260","175","1,435"
"10007152","University of Bedfordshire","565","0","565"
"10005343","Queen's University Belfast","1,040","755","1,795"
"10007760","Birkbeck College","965","0","965"
"10007140","Birmingham City University","1,770","170","1,940"
"10006840","The University of Birmingham","2,610","1,270","3,880"
"10000712","University College Birmingham","280","0","280"
"10007832","Birmingham Newman University","155","10","165"
"10007811","Bishop Grosseteste University","105","0","105"
"10006841","The University of Bolton","335","15","345"
"10000385","The Arts University Bournemouth","380","0","380"
"10000824","Bournemouth University","960","10","970"
"10007785","The University of Bradford","505","70","575"
"10000886","The University of Brighton","1,605","70","1,670"
"10000936","The University College of Osteopathy","100","0","100"
"10007786","The University of Bristol","1,585","1,535","3,120"
"10000961","Brunel University London","965","125","1,090"
"10000975","Buckinghamshire New University","385","25","410"
"10007787","The University of Buckingham","155","0","155"
"10007788","The University of Cambridge","1,540","4,570","6,110"
"10003324","The Institute of Cancer Research","110","570","675"
"10001143","Canterbury Christ Church University","750","50","800"
"10007814","Cardiff University","2,750","770","3,520"
"10007854","Cardiff Metropolitan University","680","15","695"
"10007141","The University of Central Lancashire","1,470","35","1,505"
"10007848","University of Chester","620","0","620"
"10007137","The University of Chichester","555","10","565"
"10001478","City, University of London","2,000","105","2,100"
"10001653","Conservatoire for Dance and Drama","285","0","285"
"10007761","Courtauld Institute of Art","35","5","40"
"10001726","Coventry University","2,530","0","2,530"
"10007822","Cranfield University","710","0","710"
"10006427","University for the Creative Arts","375","0","375"
"10007842","University of Cumbria","465","0","465"
"10001883","De Montfort University","1,480","5","1,480"
"10007851","University of Derby","335","1,070","1,405"
"10007852","The University of Dundee","780","630","1,410"
"10007143","University of Durham","1,245","405","1,650"
"10007789","The University of East Anglia","1,670","365","2,035"
