﻿Title:,"Table 5 - Research grants and contracts - breakdown by source of income and HESA cost centre"
Subtitle:,"Academic years 2015/16 to 2023/24"
Reference ID:,DT031 Table 5
Data source:,HESA / OfS
Data source link:,https://www.hesa.ac.uk/data-and-analysis/finances/table-5
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/finances/table-5.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2024
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,HESA cost centre▼101 Clinical medicine,102 Clinical dentistry,103 Nursing & allied health professions,104 Psychology & behavioural sciences,105 Health & community studies,106 Anatomy & physiology,107 Pharmacy & pharmacology,108 Sports science & leisure studies,109 Veterinary science,110 Agriculture, forestry & food science,111 Earth, marine & environmental sciences,112 Biosciences,113 Chemistry,114 Physics,115 General engineering,116 Chemical engineering,117 Mineral, metallurgy & materials engineering,118 Civil engineering,119 Electrical, electronic & computer engineering,120 Mechanical, aero & production engineering,121 IT, systems sciences & computer software engineering,122 Mathematics,123 Architecture, built environment & planning,124 Geography & environmental studies,125 Area studies,126 Archaeology,127 Anthropology & development studies,128 Politics & international studies,129 Economics & econometrics,130 Law,131 Social work & social policy,132 Sociology,133 Business & management studies,134 Catering & hospitality management,135 Education,136 Continuing education,137 Modern languages,138 English language & literature,139 History,140 Classics,141 Philosophy,142 Theology & religious studies,143 Art & design,144 Music, dance, drama & performing arts,145 Media studies,201 Total academic services,202 Central administration & services,203 General educational expenditure,204 Staff & student facilities,207 Total research grants and contracts,Co-investment from external sources on funding council-funded projects (included in Heads 1 to 4 above)Research income-in-kind (included in Heads 1 to 4 above)Total academic departments,Total administration & central services
,Academic year,2022/23 
,Financial year end,All 
Search:,


"","","","","(£000s)","",""
"UKPRN","HE Provider","Financial Year End","1a Biotechnology and Biological Sciences Research Council (BBSRC)","1b Medical Research Council (MRC)","1c Natural Environment Research Council (NERC)","1d Engineering and Physical Sciences Research Council (EPSRC)","1e Economic and Social Research Council (ESRC)","1f Arts & Humanities Research Council (AHRC)","1g Science & Technology Facilities Council (STFC)","1h UK Research and Innovation","1i Other","1j Total Research Councils"
"10007783","The University of Aberdeen","2023-07-31","0","626","35","83","54","0","0","0","15","813"
"10007849","Abertay University","2023-07-31","0","0","0","0","0","0","0","0","0","0"
"10007856","Aberystwyth University","2023-07-31","0","0","0","0","0","0","0","0","0","0"
"10067853","ACM Guildford Limited","2022-08-31","0","0","0","0","0","0","0","0","0","0"
"10000163","AECC University College","2023-07-31","0","0","0","0","0","0","0","0","0","0"
"10032036","Amity Global Education","2023-03-31","0","0","0","0","0","0","0","0","0","0"
"10000291","Anglia Ruskin University","2023-07-31","0","0","0","0","34","0","0","0","1","35"
"10005451","Arden University","2022-10-31","0","0","0","0","0","0","0","0","0","0"
"10005451","Arden University","2023-05-31","0","0","0","0","0","0","0","0","0","0"
"10007759","Aston University","2023-07-31","0","5","0","0","0","0","0","11","0","16"
"10038772","British Academy of Jewellery Limited","2023-06-30","0","0","0","0","0","0","0","0","0","0"
"10007857","Bangor University","2023-07-31","0","404","0","0","0","0","0","0","0","404"
"10000571","Bath Spa University","2023-07-31","0","0","0","0","0","0","0","0","0","0"
"10007850","The University of Bath","2023-07-31","0","0","0","0","0","0","0","0","0","0"
"10007152","University of Bedfordshire","2023-07-31","0","0","0","0","0","0","0","0","0","0"
"10005343","Queen's University Belfast","2023-07-31","1,333","4,301","0","16","1,586","0","0","1,731","30","8,997"
"10037544","BIMM University","2022-08-31","0","0","0","0","0","0","0","0","0","0"
"10007760","Birkbeck College","2023-07-31","0","0","0","0","0","0","0","0","0","0"
"10007140","Birmingham City University","2023-07-31","0","0","0","0","0","0","0","0","0","0"
"10006840","The University of Birmingham","2023-07-31","944","10,141","414","1,027","25","174","0","0","848","13,573"
"10000712","University College Birmingham","2023-07-31","0","0","0","0","0","0","0","0","0","0"
"10007832","Birmingham Newman University","2023-07-31","0","0","0","0","0","0","0","0","0","0"
"10007811","Bishop Grosseteste University","2023-07-31","0","0","0","0","0","0","0","0","0","0"
"10004061","Bloomsbury Institute","2023-07-31","0","0","0","0","0","0","0","0","0","0"
"10006841","The University of Bolton","2023-07-31","0","0","0","0","0","0","0","0","0","0"
"10000385","The Arts University Bournemouth","2023-07-31","0","0","0","0","0","0","0","0","0","0"
"10000824","Bournemouth University","2023-07-31","0","0","0","0","0","0","0","0","0","0"
"10007785","The University of Bradford","2023-07-31","0","0","0","0","0","0","0","0","0","0"
"10000886","The University of Brighton","2023-07-31","76","214","1","0","244","3","0","152","0","690"
"10000936","The University College of Osteopathy","2023-07-31","0","0","0","0","0","0","0","0","0","0"
"10007786","The University of Bristol","2023-07-31","390","8,939","107","337","329","93","0","1,079","68","11,342"
"10000961","Brunel University London","2023-07-31","0","0","0","0","0","0","0","0","0","0"
"10000975","Buckinghamshire New University","2023-07-31","0","0","0","0","0","0","0","0","0","0"
"10007788","The University of Cambridge","2023-07-31","3,149","47,877","13","660","154","(6)","0","911","905","53,663"
"10003324","The Institute of Cancer Research","2023-07-31","0","1,993","(45)","0","0","0","32","0","0","1,980"
"10001143","Canterbury Christ Church University","2023-07-31","0","0","0","0","0","0","0","0","0","0"
"10007814","Cardiff University","2023-07-31","237","3,698","0","54","150","1","0","153","45","4,338"
"10086359","Caspian School of Academics","2023-06-30","0","0","0","0","0","0","0","0","0","0"
"10007854","Cardiff Metropolitan University","2023-07-31","0","0","0","0","0","0","0","0","0","0"
"10001264","Central School of Ballet","2023-07-31","0","0","0","0","0","0","0","0","0","0"
"10007141","The University of Central Lancashire","2023-07-31","0","0","0","0","0","0","0","0","0","0"
"10024024","Central Film School London","2022-09-30","0","0","0","0","0","0","0","0","0","0"
"10007848","University of Chester","2023-07-31","0","0","0","0","0","0","0","0","0","0"
"10007137","The University of Chichester","2023-07-31","0","0","0","0","0","0","0","0","0","0"
"10001386","Chicken Shed Theatre Company","2023-03-31","0","0","0","0","0","0","0","0","0","0"
"10001478","City, University of London","2023-07-31","0","0","0","0","0","0","0","0","0","0"
"10007912","Cliff College","2022-08-31","0","0","0","0","0","0","0","0","0","0"
"10066502","The College of Health Ltd","2022-08-31","0","0","0","0","0","0","0","0","0","0"
"10007761","Courtauld Institute of Art","2023-07-31","0","0","0","0","0","0","0","0","0","0"
"10034324","Court Theatre Training Company Ltd","2022-08-31","0","0","0","0","0","0","0","0","0","0"
"10001726","Coventry University","2023-07-31","0","0","0","0","0","0","0","0","0","0"
"10007822","Cranfield University","2023-07-31","0","0","0","0","0","0","0","0","0","0"
"10006427","University for the Creative Arts","2023-07-31","0","0","0","0","0","0","0","0","0","0"
"10007842","University of Cumbria","2023-07-31","0","0","0","0","0","0","0","0","0","0"
"10015688","David Game College Ltd","2023-01-31","0","0","0","0","0","0","0","0","0","0"
"10001883","De Montfort University","2023-07-31","0","0","0","0","0","0","0","0","0","0"
"10007851","University of Derby","2023-07-31","0","0","0","0","0","0","0","0","0","0"
"10007852","The University of Dundee","2023-07-31","3","3,686","125","98","0","0","0","0","8","3,920"
"10007143","University of Durham","2023-07-31","0","0","0","0","0","0","0","0","0","0"
"10007789","The University of East Anglia","2023-07-31","259","132","0","39","0","0","0","0","1","431"
"10007144","The University of East London","2023-07-31","0","0","0","0","0","0","0","0","0","0"
"10032282","The Queen's Foundation for Ecumenical Theological Education","2022-08-31","0","0","0","0","0","0","0","0","0","0"
"10007823","Edge Hill University","2023-07-31","0","0","0","0","0","0","0","0","0","0"
"10007772","Edinburgh Napier University","2023-07-31","0","0","0","0","0","0","0","0","0","0"
"10007790","The University of Edinburgh","2023-07-31","2,296","30,598","289","974","683","101","0","854","(10)","35,785"
"10042570","Escape Studios","2022-12-31","0","0","0","0","0","0","0","0","0","0"
"10042570","Escape Studios","2023-07-31","0","0","0","0","0","0","0","0","0","0"
"10007791","The University of Essex","2023-07-31","0","0","0","0","0","0","0","0","0","0"
"10008173","University College of Estate Management","2023-07-31","0","0","0","0","0","0","0","0","0","0"
"10007792","The University of Exeter","2023-07-31","1,011","2,987","449","464","43","23","0","359","0","5,336"
"10008640","Falmouth University","2023-07-31","0","0","0","0","0","0","0","0","0","0"
"10004511","The National Film and Television School","2023-07-31","0","0","0","0","0","0","0","0","0","0"
"10022087","Futureworks","2022-08-31","0","0","0","0","0","0","0","0","0","0"
"10007762","Glasgow Caledonian University","2023-07-31","0","0","0","0","0","0","0","0","0","0"
"10002681","Glasgow School of Art","2023-07-31","0","0","0","0","0","0","0","0","0","0"
"10007794","The University of Glasgow","2023-07-31","1,876","19,176","83","1,242","455","0","0","1,220","41","24,093"
"10007145","University of Gloucestershire","2023-07-31","0","0","0","0","0","0","0","0","0","0"
"10002718","Goldsmiths College","2023-07-31","0","0","0","0","0","0","0","0","0","0"
"10007146","The University of Greenwich","2023-07-31","0","0","0","0","0","0","0","0","0","0"
"10007825","Guildhall School of Music and Drama","2023-03-31","0","0","0","0","0","0","0","0","0","0"
"10040812","Harper Adams University","2023-07-31","0","0","0","0","0","0","0","0","0","0"
"10080811","Hartpury University","2023-07-31","0","0","0","0","0","0","0","0","0","0"
"10007764","Heriot-Watt University","2023-07-31","4","0","0","63","2","0","0","19","0","88"
"10007147","University of Hertfordshire","2023-07-31","0","0","0","0","0","0","0","0","0","0"
"10007148","The University of Huddersfield","2023-07-31","0","0","0","0","0","0","0","0","0","0"
"10007149","The University of Hull","2023-07-31","0","120","0","49","0","2","0","0","3","174"
"10003239","ICON College of Technology and Management","2022-09-30","0","0","0","0","0","0","0","0","0","0"
"10003270","Imperial College of Science, Technology and Medicine","2023-07-31","2,804","32,423","1,435","4,229","160","7","40","563","330","41,991"
