﻿Title:,"Table 7 - HE academic staff by HE provider and employment conditions"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT025 Table 7
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-7
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-7.zip
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Mode of employment,All 
,Activity standard occupational classification,All 
,Academic year,2015/16 
Search:,


"UKPRN","HE provider","Wholly general financed by the provider","All other sources of finance","Total academic staff"
"10007783","The University of Aberdeen","1,095","470","1,565"
"10007849","Abertay University","210","5","210"
"10007856","Aberystwyth University","740","110","850"
"10000291","Anglia Ruskin University","805","0","805"
"10007759","Aston University","565","110","675"
"10007857","Bangor University","840","150","990"
"10000571","Bath Spa University","610","0","610"
"10007850","The University of Bath","1,045","300","1,345"
"10007152","University of Bedfordshire","635","0","635"
"10005343","Queen's University Belfast","1,050","665","1,715"
"10007760","Birkbeck College","1,270","0","1,270"
"10007140","Birmingham City University","1,515","185","1,700"
"10006840","The University of Birmingham","2,270","1,365","3,635"
"10000712","University College Birmingham","290","0","290"
"10007832","Birmingham Newman University","155","10","160"
"10007811","Bishop Grosseteste University","95","0","95"
"10006841","The University of Bolton","320","10","330"
"10000385","The Arts University Bournemouth","355","0","355"
"10000824","Bournemouth University","925","15","935"
"10007785","The University of Bradford","555","75","630"
"10000886","The University of Brighton","1,740","60","1,800"
"10007786","The University of Bristol","1,555","1,500","3,055"
"10000961","Brunel University London","980","150","1,130"
"10000975","Buckinghamshire New University","455","5","465"
"10007787","The University of Buckingham","160","0","160"
"10007788","The University of Cambridge","1,550","4,275","5,825"
"10003324","The Institute of Cancer Research","95","555","655"
"10001143","Canterbury Christ Church University","670","60","730"
"10007814","Cardiff University","2,625","790","3,415"
"10007854","Cardiff Metropolitan University","685","30","715"
"10007141","The University of Central Lancashire","1,415","25","1,440"
"10007848","University of Chester","670","0","670"
"10007137","The University of Chichester","515","5","515"
"10001478","City, University of London","1,780","115","1,895"
"10001653","Conservatoire for Dance and Drama","250","0","250"
"10007761","Courtauld Institute of Art","35","5","45"
"10001726","Coventry University","2,250","0","2,250"
"10007822","Cranfield University","665","0","665"
"10006427","University for the Creative Arts","370","0","370"
"10007842","University of Cumbria","400","5","405"
"10001883","De Montfort University","1,275","25","1,300"
"10007851","University of Derby","560","725","1,285"
"10007852","The University of Dundee","795","670","1,465"
"10007143","University of Durham","1,260","430","1,690"
"10007789","The University of East Anglia","1,385","360","1,745"
"10007144","The University of East London","895","5","895"
"10007823","Edge Hill University","1,040","0","1,040"
"10007772","Edinburgh Napier University","860","0","865"
"10007790","The University of Edinburgh","2,210","2,245","4,455"
"10007791","The University of Essex","1,085","110","1,195"
"10007792","The University of Exeter","1,335","540","1,870"
"10008640","Falmouth University","255","15","265"
"10004511","The National Film and Television School","15","0","15"
"10007762","Glasgow Caledonian University","720","75","795"
"10002681","Glasgow School of Art","200","0","200"
"10007794","The University of Glasgow","2,420","1,240","3,665"
"10007145","University of Gloucestershire","635","0","635"
"10002718","Goldsmiths College","925","65","990"
"10007146","The University of Greenwich","1,225","15","1,240"
"10007825","Guildhall School of Music and Drama","625","0","625"
"10040812","Harper Adams University","155","0","155"
"10007764","Heriot-Watt University","630","190","825"
"10007147","University of Hertfordshire","1,390","115","1,505"
"10007765","Heythrop College","60","0","60"
"10007148","The University of Huddersfield","870","0","870"
"10007149","The University of Hull","935","95","1,030"
"10003270","Imperial College of Science, Technology and Medicine","1,335","3,035","4,370"
"10007767","Keele University","600","195","800"
"10007150","The University of Kent","1,925","65","1,990"
"10003645","King's College London","2,815","1,895","4,710"
"10003678","Kingston University","835","200","1,035"
"10007768","The University of Lancaster","1,600","280","1,880"
"10003854","Leeds Arts University","165","0","165"
"10003861","Leeds Beckett University","1,425","65","1,490"
"10007795","The University of Leeds","2,670","675","3,345"
"10003863","Leeds Trinity University","160","0","160"
"10007796","The University of Leicester","1,205","510","1,715"
"10007151","The University of Lincoln","920","75","995"
"10003956","Liverpool Hope University","280","0","280"
"10003957","Liverpool John Moores University","1,240","115","1,355"
"10003945","The Liverpool Institute for Performing Arts","60","0","60"
"10006842","The University of Liverpool","1,750","1,080","2,825"
"10003958","Liverpool School of Tropical Medicine","70","225","295"
"10007162","University of the Arts, London","2,085","0","2,085"
"10007769","London Business School","105","0","105"
"10007797","University of London (Institutes and activities)","50","30","80"
"10004048","London Metropolitan University","545","0","545"
"10004078","London South Bank University","940","0","940"
"10004063","London School of Economics and Political Science","1,635","20","1,655"
"10007771","London School of Hygiene and Tropical Medicine","220","580","795"
"10004113","Loughborough University","1,145","335","1,480"
"10004180","The Manchester Metropolitan University","2,275","170","2,445"
"10007798","The University of Manchester","2,940","2,135","5,075"
"10004351","Middlesex University","995","15","1,010"
"10007799","Newcastle University","2,405","350","2,750"
"10007138","The University of Northampton","790","0","790"
"10001282","University of Northumbria at Newcastle","1,335","45","1,385"
"10004775","Norwich University of the Arts","160","0","160"
"10007154","University of Nottingham","2,210","1,200","3,410"
"10004797","The Nottingham Trent University","1,685","50","1,735"
"10007773","The Open University","5,315","160","5,470"
"10004930","Oxford Brookes University","1,285","5","1,285"
"10007774","The University of Oxford","2,395","4,550","6,945"
"10005127","Arts University Plymouth","135","0","135"
"10007801","University of Plymouth","1,180","155","1,335"
"10007155","The University of Portsmouth","1,610","10","1,625"
"10005337","Queen Margaret University, Edinburgh","260","0","260"
"10007775","Queen Mary University of London","1,555","635","2,185"
"10005389","Ravensbourne University London","185","5","190"
"10007802","The University of Reading","1,380","305","1,690"
"10005500","Robert Gordon University","725","0","725"
"10007776","Roehampton University","520","0","520"
"10005523","Rose Bruford College of Theatre and Performance","75","0","75"
"10007835","Royal Academy of Music","290","0","290"
"10005545","Royal Agricultural University","60","0","60"
"10007777","Royal College of Art","135","30","165"
"10007778","Royal College of Music","280","5","280"
"10005561","Royal Conservatoire of Scotland","295","0","295"
"10007816","The Royal Central School of Speech and Drama","70","0","70"
"10005553","Royal Holloway and Bedford New College","1,035","150","1,185"
"10007837","Royal Northern College of Music","335","0","335"
"10007779","The Royal Veterinary College","240","55","295"
"10007803","The University of St. Andrews","980","185","1,165"
"10007782","St George's, University of London","170","305","470"
"10008026","St Mary's University College","60","0","60"
"10007843","St Mary's University, Twickenham","430","0","430"
"10007156","The University of Salford","925","0","925"
"10007780","SOAS University of London","720","60","775"
"10005700","SRUC","350","0","350"
"10005790","Sheffield Hallam University","1,970","100","2,070"
"10007157","The University of Sheffield","1,720","1,540","3,255"
"10006022","Solent University","750","0","750"
"10007158","The University of Southampton","1,920","1,070","2,995"
"10006299","Staffordshire University","920","15","930"
"10007804","The University of Stirling","655","305","960"
"10037449","University of St Mark and St John","110","0","110"
"10008010","Stranmillis University College","60","0","60"
"10007805","The University of Strathclyde","990","485","1,475"
"10014001","University of Suffolk","180","10","190"
"10007159","The University of Sunderland","775","35","810"
"10007160","The University of Surrey","1,040","300","1,340"
"10007806","The University of Sussex","1,395","390","1,785"
"10007855","Swansea University","960","360","1,320"
"10007161","Teesside University","485","265","745"
"10008017","Trinity Laban Conservatoire of Music and Dance","340","0","340"
"10007858","University of Wales Trinity Saint David","630","20","650"
"10007114","University of the Highlands and Islands","30","5","40"
"10007807","Ulster University","1,120","160","1,280"
"10007784","University College London","4,400","2,820","7,220"
"10007793","University of South Wales","1,765","40","1,805"
"10008574","The University of Wales (central functions)","40","10","50"
"10007163","The University of Warwick","1,695","1,050","2,740"
"10007164","University of the West of England, Bristol","1,485","125","1,610"
"10007800","The University of the West of Scotland","560","25","585"
"10006566","The University of West London","815","60","875"
"10007165","The University of Westminster","1,635","40","1,675"
"10003614","The University of Winchester","700","15","715"
"10007166","The University of Wolverhampton","825","5","830"
"10007139","University of Worcester","705","0","705"
"10007833","Wrexham University","250","15","265"
"10007657","Writtle University College","110","0","110"
"10007713","York St John University","330","0","330"
"10007167","The University of York","1,260","450","1,710"
"","Total","154,125","47,645","201,770"
