﻿Title:,"Table 7 - HE academic staff by HE provider and employment conditions"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT025 Table 7
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-7
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-7.zip
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Mode of employment,All 
,Activity standard occupational classification,All 
,Academic year,2016/17 
Search:,


"UKPRN","HE provider","Female","Male","Other","Total academic staff"
"10007783","The University of Aberdeen","655","805","0","1,460"
"10007849","Abertay University","85","135","0","220"
"10007856","Aberystwyth University","355","435","0","795"
"10000291","Anglia Ruskin University","470","405","0","875"
"10007759","Aston University","280","450","0","730"
"10007857","Bangor University","525","475","0","1,000"
"10000571","Bath Spa University","310","290","0","605"
"10007850","The University of Bath","470","900","0","1,370"
"10007152","University of Bedfordshire","345","240","0","590"
"10005343","Queen's University Belfast","685","980","0","1,665"
"10007760","Birkbeck College","565","560","0","1,125"
"10007140","Birmingham City University","925","950","0","1,875"
"10006840","The University of Birmingham","1,630","1,995","0","3,625"
"10000712","University College Birmingham","190","110","0","300"
"10007832","Birmingham Newman University","80","85","0","165"
"10007811","Bishop Grosseteste University","65","35","0","95"
"10006841","The University of Bolton","150","200","0","345"
"10000385","The Arts University Bournemouth","185","180","0","365"
"10000824","Bournemouth University","465","490","0","960"
"10007785","The University of Bradford","275","315","0","590"
"10000886","The University of Brighton","885","860","0","1,740"
"10000936","The University College of Osteopathy","40","60","0","100"
"10007786","The University of Bristol","1,440","1,735","0","3,175"
"10000961","Brunel University London","435","705","0","1,135"
"10000975","Buckinghamshire New University","225","230","0","460"
"10007787","The University of Buckingham","65","100","0","165"
"10007788","The University of Cambridge","2,420","3,545","0","5,965"
"10003324","The Institute of Cancer Research","370","295","0","665"
"10001143","Canterbury Christ Church University","470","335","0","800"
"10007814","Cardiff University","1,565","1,900","0","3,465"
"10007854","Cardiff Metropolitan University","375","360","0","740"
"10007141","The University of Central Lancashire","695","715","0","1,405"
"10007848","University of Chester","335","295","0","630"
"10007137","The University of Chichester","295","265","0","560"
"10001478","City, University of London","915","1,190","0","2,105"
"10001653","Conservatoire for Dance and Drama","150","120","0","270"
"10007761","Courtauld Institute of Art","30","15","0","40"
"10001726","Coventry University","1,115","1,285","0","2,400"
"10007822","Cranfield University","160","520","0","680"
"10006427","University for the Creative Arts","185","195","0","380"
"10007842","University of Cumbria","300","215","0","515"
"10001883","De Montfort University","685","710","0","1,395"
"10007851","University of Derby","650","660","0","1,310"
"10007852","The University of Dundee","670","760","0","1,425"
"10007143","University of Durham","630","1,075","0","1,700"
"10007789","The University of East Anglia","885","915","0","1,800"
"10007144","The University of East London","465","455","0","920"
"10007823","Edge Hill University","630","390","0","1,020"
"10007772","Edinburgh Napier University","425","490","0","915"
"10007790","The University of Edinburgh","2,020","2,630","0","4,650"
"10007791","The University of Essex","535","660","0","1,195"
"10007792","The University of Exeter","895","1,160","0","2,055"
"10008640","Falmouth University","125","175","0","300"
"10004511","The National Film and Television School","5","15","0","20"
"10007762","Glasgow Caledonian University","435","350","0","790"
"10002681","Glasgow School of Art","110","110","0","215"
"10007794","The University of Glasgow","1,735","2,105","0","3,840"
"10007145","University of Gloucestershire","300","355","0","655"
"10002718","Goldsmiths College","545","485","0","1,030"
"10007146","The University of Greenwich","580","635","0","1,215"
"10007825","Guildhall School of Music and Drama","265","415","0","680"
"10040812","Harper Adams University","65","95","0","160"
"10007764","Heriot-Watt University","265","580","0","840"
"10007147","University of Hertfordshire","945","775","0","1,720"
"10007765","Heythrop College","15","40","0","60"
"10007148","The University of Huddersfield","385","510","0","895"
"10007149","The University of Hull","450","580","0","1,035"
"10003270","Imperial College of Science, Technology and Medicine","1,445","2,885","0","4,330"
"10007767","Keele University","425","390","0","810"
"10007150","The University of Kent","620","805","0","1,425"
"10003645","King's College London","2,445","2,395","0","4,840"
"10003678","Kingston University","545","565","0","1,110"
"10007768","The University of Lancaster","795","1,135","0","1,930"
"10003854","Leeds Arts University","85","80","0","165"
"10003861","Leeds Beckett University","695","745","0","1,435"
"10007795","The University of Leeds","1,480","2,005","0","3,485"
"10003863","Leeds Trinity University","95","85","0","180"
"10007796","The University of Leicester","730","915","0","1,645"
"10007151","The University of Lincoln","515","690","0","1,205"
"10003956","Liverpool Hope University","150","150","0","295"
"10003957","Liverpool John Moores University","605","830","0","1,435"
"10003945","The Liverpool Institute for Performing Arts","25","50","0","75"
"10006842","The University of Liverpool","1,190","1,645","0","2,835"
"10003958","Liverpool School of Tropical Medicine","105","95","0","200"
"10007162","University of the Arts, London","1,775","1,500","0","3,275"
"10007769","London Business School","30","85","0","110"
"10007797","University of London (Institutes and activities)","45","50","0","95"
"10004048","London Metropolitan University","205","230","0","435"
"10004078","London South Bank University","580","530","0","1,110"
"10004063","London School of Economics and Political Science","720","990","0","1,705"
"10007771","London School of Hygiene and Tropical Medicine","500","340","0","840"
"10004113","Loughborough University","505","1,030","0","1,535"
"10004180","The Manchester Metropolitan University","1,335","1,220","0","2,555"
"10007798","The University of Manchester","2,180","3,020","0","5,195"
"10004351","Middlesex University","510","535","0","1,040"
"10007799","Newcastle University","1,240","1,665","0","2,910"
"10007138","The University of Northampton","390","360","0","755"
"10001282","University of Northumbria at Newcastle","630","755","0","1,385"
"10004775","Norwich University of the Arts","90","110","0","200"
"10007154","University of Nottingham","1,405","2,010","0","3,420"
"10004797","The Nottingham Trent University","915","960","0","1,875"
"10007773","The Open University","2,910","2,345","0","5,255"
"10004930","Oxford Brookes University","715","605","0","1,320"
"10007774","The University of Oxford","2,795","3,975","0","6,770"
"10005127","Arts University Plymouth","75","65","0","135"
"10007801","University of Plymouth","615","730","0","1,345"
"10007155","The University of Portsmouth","725","935","0","1,660"
"10005337","Queen Margaret University, Edinburgh","170","80","0","250"
"10007775","Queen Mary University of London","1,070","1,320","0","2,385"
"10005389","Ravensbourne University London","90","125","0","215"
"10007802","The University of Reading","810","890","0","1,700"
"10005500","Robert Gordon University","350","335","0","680"
"10007776","Roehampton University","320","225","0","545"
"10005523","Rose Bruford College of Theatre and Performance","45","30","0","75"
"10007835","Royal Academy of Music","95","200","0","295"
"10005545","Royal Agricultural University","20","45","0","65"
"10007777","Royal College of Art","80","95","0","170"
"10007778","Royal College of Music","95","195","0","290"
"10005561","Royal Conservatoire of Scotland","165","205","0","375"
"10007816","The Royal Central School of Speech and Drama","45","30","0","75"
"10005553","Royal Holloway and Bedford New College","555","675","0","1,230"
"10007837","Royal Northern College of Music","140","195","0","330"
"10007779","The Royal Veterinary College","160","130","0","295"
"10007803","The University of St. Andrews","450","715","0","1,165"
"10007782","St George's, University of London","270","185","0","450"
"10008026","St Mary's University College","25","35","0","60"
"10007843","St Mary's University, Twickenham","260","210","0","470"
"10007156","The University of Salford","445","550","0","995"
"10007780","SOAS University of London","400","390","0","790"
"10005700","SRUC","140","175","0","315"
"10005790","Sheffield Hallam University","1,000","1,005","0","2,005"
"10007157","The University of Sheffield","1,265","2,010","0","3,270"
"10006022","Solent University","260","485","0","745"
"10007158","The University of Southampton","1,230","1,800","0","3,030"
"10006299","Staffordshire University","405","490","0","895"
"10007804","The University of Stirling","485","430","0","915"
"10037449","University of St Mark and St John","60","40","0","100"
"10008010","Stranmillis University College","35","20","0","55"
"10007805","The University of Strathclyde","540","1,040","0","1,580"
