﻿Title:,"Table 1 - HE student enrolments by HE provider"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT051 Table 1
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/students/table-1
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/students/table-1.zip
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Entrant marker,All 
,Level of study,All 
,Mode of study,All 
,Academic year,2023/24 
Search:,


"UKPRN","HE provider","England","Scotland","Wales","Northern Ireland","Other UK","Total UK","European Union","Non-European Union","Total Non-UK","Not known","Total"
"10008071","AA School of Architecture","70","0","0","0","0","75","115","735","850","0","925"
"10007783","The University of Aberdeen","1,930","9,505","70","150","120","11,780","685","2,765","3,450","225","15,455"
"10007849","Abertay University","355","4,000","15","45","0","4,420","240","290","530","0","4,950"
"10007856","Aberystwyth University","4,165","35","2,830","60","15","7,110","245","960","1,210","0","8,320"
"10067853","ACM Guildford Limited","900","10","15","5","5","930","10","5","15","0","945"
"10000163","AECC University College","1,085","10","20","15","5","1,135","95","190","285","0","1,415"
"10032036","Amity Global Education","20","0","0","0","0","20","0","85","85","0","105"
"10030497","Anglo Skills College","50","0","0","0","0","50","0","0","0","0","50"
"10000291","Anglia Ruskin University","27,675","75","135","85","85","28,050","635","7,190","7,825","15","35,895"
"10041898","Apex College","820","0","0","0","0","820","0","0","0","0","820"
"10005451","Arden University","28,380","30","245","10","0","28,665","10","30","40","5","28,710"
"10000381","Arts Educational Schools","270","10","5","5","0","295","15","20","35","0","325"
"10008899","The Ashridge (Bonar Law Memorial) Trust","660","5","5","0","5","675","5","10","15","0","690"
"10003212","Hult International Business School Ltd","115","0","0","0","0","120","565","990","1,555","0","1,670"
"10007759","Aston University","13,965","35","165","20","0","14,185","125","4,285","4,415","5","18,605"
"10038772","British Academy of Jewellery Limited","1,255","0","0","0","0","1,255","0","0","0","0","1,255"
"10007857","Bangor University","3,985","45","3,705","65","65","7,865","255","2,625","2,880","90","10,835"
"10000571","Bath Spa University","22,850","15","545","45","40","23,495","430","655","1,085","5","24,585"
"10007850","The University of Bath","13,555","150","935","120","80","14,840","1,210","3,645","4,855","5","19,695"
"10007152","University of Bedfordshire","7,305","15","30","20","0","7,365","570","5,845","6,415","5","13,790"
"10005343","Queen's University Belfast","1,610","140","135","17,385","15","19,290","1,525","4,100","5,625","15","24,930"
"10037544","BIMM University","6,195","90","210","40","35","6,570","280","215","500","50","7,115"
"10007810","Birmingham Christian College","25","0","0","0","0","25","0","0","0","0","25"
"10007760","Birkbeck College","7,080","30","35","10","5","7,160","300","975","1,275","5","8,440"
"10007140","Birmingham City University","25,765","105","315","70","10","26,265","235","4,915","5,150","0","31,415"
"10006840","The University of Birmingham","25,650","140","825","100","65","26,780","565","9,445","10,010","45","36,835"
"10000712","University College Birmingham","3,860","5","55","10","5","3,930","140","2,820","2,955","0","6,890"
"10007832","Birmingham Newman University","4,045","5","15","5","0","4,070","5","5","10","0","4,080"
"10000894","Bristol Baptist College","40","0","0","0","0","40","0","0","0","0","40"
"10007811","Bishop Grosseteste University","2,310","0","15","5","0","2,330","10","35","45","5","2,375"
"10004061","Bloomsbury Institute","215","0","0","0","0","215","5","370","375","0","590"
"10006841","The University of Bolton","9,765","25","50","35","5","9,880","100","1,940","2,040","0","11,920"
"10000385","The Arts University Bournemouth","3,240","15","65","25","45","3,390","125","445","570","0","3,960"
"10000824","Bournemouth University","14,650","30","165","45","55","14,945","175","3,495","3,670","0","18,620"
