﻿Title:,"Table 24 - HE staff by HE provider and nationality"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT025 Table 24
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-24
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-24.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Atypical marker,Non-atypical 
,Contract marker,All (excluding atypical) 
,Mode of employment,All 
,Academic year,2016/17 
Search:,


"UKPRN","HE provider","UK","European Union","Non-European Union","Not known","Total"
"10007783","The University of Aberdeen","2,520","530","295","0","3,345"
"10007849","Abertay University","455","45","20","0","515"
"10007856","Aberystwyth University","1,910","200","100","0","2,210"
"10000291","Anglia Ruskin University","1,660","170","140","0","1,970"
"10007759","Aston University","1,245","205","155","0","1,605"
"10007857","Bangor University","1,940","165","100","0","2,205"
"10000571","Bath Spa University","1,005","65","60","15","1,150"
"10007850","The University of Bath","2,610","500","265","0","3,370"
"10007152","University of Bedfordshire","950","120","85","55","1,215"
"10005343","Queen's University Belfast","2,605","765","270","35","3,675"
"10007760","Birkbeck College","1,250","345","190","0","1,790"
"10007140","Birmingham City University","2,680","180","165","70","3,095"
"10006840","The University of Birmingham","6,005","820","705","0","7,530"
"10000712","University College Birmingham","575","30","20","0","625"
"10007832","Birmingham Newman University","330","10","5","0","345"
"10007811","Bishop Grosseteste University","295","5","0","0","300"
"10006841","The University of Bolton","610","15","30","0","650"
"10000385","The Arts University Bournemouth","470","30","25","0","525"
"10000824","Bournemouth University","1,495","175","155","0","1,830"
"10007785","The University of Bradford","1,520","70","85","0","1,680"
"10000886","The University of Brighton","2,945","325","185","5","3,460"
"10000936","The University College of Osteopathy","125","10","5","0","140"
"10007786","The University of Bristol","5,195","745","515","5","6,460"
"10000961","Brunel University London","1,670","295","340","0","2,305"
"10000975","Buckinghamshire New University","705","55","40","5","805"
"10007787","The University of Buckingham","355","20","35","5","425"
"10007788","The University of Cambridge","6,855","2,115","1,560","850","11,380"
"10003324","The Institute of Cancer Research","740","230","80","0","1,050"
"10001143","Canterbury Christ Church University","1,680","125","70","5","1,880"
"10007814","Cardiff University","5,815","650","390","0","6,855"
"10007854","Cardiff Metropolitan University","1,430","65","40","5","1,535"
"10007141","The University of Central Lancashire","2,415","145","115","5","2,680"
"10007848","University of Chester","1,580","70","40","0","1,690"
"10007137","The University of Chichester","875","35","25","0","935"
"10001478","City, University of London","2,080","650","405","35","3,165"
"10001653","Conservatoire for Dance and Drama","460","50","40","5","555"
"10007761","Courtauld Institute of Art","105","20","15","0","135"
"10001726","Coventry University","3,285","390","360","0","4,045"
"10007822","Cranfield University","1,260","220","145","0","1,625"
"10006427","University for the Creative Arts","750","50","20","5","820"
"10007842","University of Cumbria","1,095","30","10","0","1,135"
"10001883","De Montfort University","2,350","140","135","200","2,825"
"10007851","University of Derby","2,605","110","95","0","2,810"
"10007852","The University of Dundee","2,605","315","245","10","3,175"
"10007143","University of Durham","3,745","400","360","0","4,505"
"10007789","The University of East Anglia","3,140","395","260","0","3,795"
"10007144","The University of East London","1,205","200","185","115","1,705"
"10007823","Edge Hill University","1,835","95","50","0","1,980"
"10007772","Edinburgh Napier University","1,470","205","55","15","1,745"
"10007790","The University of Edinburgh","7,705","1,710","900","0","10,310"
"10007791","The University of Essex","1,825","365","320","30","2,540"
"10007792","The University of Exeter","3,625","555","360","5","4,550"
"10008640","Falmouth University","475","30","15","5","520"
"10004511","The National Film and Television School","90","5","5","0","100"
"10007762","Glasgow Caledonian University","1,500","85","50","0","1,635"
"10002681","Glasgow School of Art","410","35","25","0","470"
"10007794","The University of Glasgow","5,830","1,020","745","0","7,595"
"10007145","University of Gloucestershire","1,160","80","55","0","1,300"
"10002718","Goldsmiths College","1,260","235","170","50","1,710"
"10007146","The University of Greenwich","1,655","240","235","40","2,170"
"10007825","Guildhall School of Music and Drama","655","80","55","0","790"
"10040812","Harper Adams University","505","20","10","0","535"
"10007764","Heriot-Watt University","1,485","300","210","10","2,000"
"10007147","University of Hertfordshire","2,735","320","145","0","3,200"
"10007765","Heythrop College","85","15","5","0","105"
"10007148","The University of Huddersfield","1,760","120","115","0","1,995"
"10007149","The University of Hull","2,125","175","95","15","2,415"
"10003270","Imperial College of Science, Technology and Medicine","5,060","2,080","1,210","0","8,350"
"10007767","Keele University","1,900","105","75","0","2,085"
"10007150","The University of Kent","2,650","485","295","10","3,440"
"10003645","King's College London","5,220","1,815","940","0","7,975"
"10003678","Kingston University","1,675","250","175","75","2,170"
"10007768","The University of Lancaster","2,845","425","360","20","3,655"
"10003854","Leeds Arts University","245","10","10","0","265"
"10003861","Leeds Beckett University","2,730","175","135","0","3,035"
"10007795","The University of Leeds","6,500","680","665","0","7,850"
"10003863","Leeds Trinity University","435","15","15","5","465"
"10007796","The University of Leicester","3,195","445","275","0","3,910"
"10007151","The University of Lincoln","1,655","180","140","5","1,980"
"10003956","Liverpool Hope University","615","70","30","0","715"
"10003957","Liverpool John Moores University","2,515","160","95","0","2,770"
"10003945","The Liverpool Institute for Performing Arts","165","5","5","0","175"
"10006842","The University of Liverpool","5,020","670","430","0","6,125"
"10003958","Liverpool School of Tropical Medicine","350","55","40","0","445"
"10007162","University of the Arts, London","3,580","625","290","105","4,600"
"10007769","London Business School","505","165","110","0","780"
"10007797","University of London (Institutes and activities)","715","135","65","0","920"
"10004048","London Metropolitan University","830","120","60","5","1,015"
"10004078","London South Bank University","1,500","165","255","70","1,995"
