﻿Title:,"Table 8 - Expenditure - breakdown by HE provider, activity, HESA cost centre and academic year"
Subtitle:,"Academic years 2015/16 to 2023/24"
Reference ID:,DT031 Table 8
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/finances/table-8
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/finances/table-8.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2024
Filters:,Search by HE provider
,Country of HE provider,All 
,Region of HE provider,All 
,HESA cost centre group,Total expenditure 
,HESA cost centre,Total expenditure 
,Academic year,2021/22 
,Financial Year End,All 
Search:,


"","","","","Activity (£000s)",""
"UKPRN","HE Provider","Financial Year End","Academic staff costs","Other staff costs","Total staff costs","Restructuring costs","Other operating expenses","Depreciation and amortisation","Interest and other finance costs","Total expenditure"
"10008071","AA School of Architecture","2022-07-31","6,459","4,594","11,053","0","9,145","388","45","20,631"
"10007783","The University of Aberdeen","2022-07-31","134,566","81,096","215,662","0","74,552","17,969","5,471","313,654"
"10007849","Abertay University","2022-07-31","12,364","14,246","26,610","0","8,654","3,015","278","38,557"
"10007856","Aberystwyth University","2022-07-31","34,969","63,231","98,200","133","34,790","13,390","4,212","150,725"
"10067853","ACM Guildford Limited","2021-08-31","2,821","3,237","6,058","0","3,635","517","0","10,210"
"10000163","AECC University College","2022-07-31","3,177","3,924","7,101","54","3,167","555","103","10,980"
"10032036","Amity Global Education","2022-03-31","258","181","439","0","795","1","0","1,235"
"10000291","Anglia Ruskin University","2022-07-31","58,040","70,390","128,430","0","170,532","13,246","4,639","316,847"
"10041898","Apex College","2021-12-31","465","0","465","0","618","0","0","1,083"
"10062759","Applied Business Academy Limited","2021-12-31","350","0","350","0","1,528","28","19","1,925"
"10005451","Arden University","2021-10-31","10,884","12,824","23,708","0","28,017","1,657","0","53,382"
"10000381","Arts Educational Schools","2021-08-31","5,359","809","6,168","8","3,141","632","179","10,128"
"10008899","The Ashridge (Bonar Law Memorial) Trust","2021-12-31","4,173","2,102","6,275","0","4,851","0","-73","11,053"
"10003212","Hult International Business School Ltd","2022-07-31","3,875","2,648","6,523","0","6,738","872","162","14,295"
"10007759","Aston University","2022-07-31","93,305","53,630","146,935","0","60,391","13,107","1,718","222,151"
"10038772","British Academy of Jewellery Limited","2022-06-30","860","462","1,322","0","985","33","2","2,342"
"10007857","Bangor University","2022-07-31","75,107","45,759","120,866","0","59,450","15,046","4,934","200,296"
"10000571","Bath Spa University","2022-07-31","30,899","21,278","52,177","2,743","39,305","4,159","4,770","103,154"
"10007850","The University of Bath","2022-07-31","131,205","115,125","246,330","0","99,592","35,188","8,725","389,835"
"10000911","BCNO Limited","2021-08-31","304","523","827","0","596","79","17","1,519"
"10007152","University of Bedfordshire","2022-07-31","39,642","35,724","75,366","0","53,962","7,965","2,250","139,543"
"10005343","Queen's University Belfast","2022-07-31","236,149","105,180","341,329","0","150,139","23,848","1,791","517,107"
"10037544","BIMM University","2021-08-31","7,507","9,431","16,938","0","24,636","4,460","134","46,168"
"10007760","Birkbeck College","2022-07-31","43,740","51,349","95,089","2,325","29,361","4,714","242","131,731"
"10007140","Birmingham City University","2022-07-31","71,020","96,735","167,755","0","93,210","18,718","4,744","284,427"
"10006840","The University of Birmingham","2022-07-31","489,750","152,978","642,728","0","325,482","70,817","3,586","1,042,613"
"10000712","University College Birmingham","2022-07-31","18,560","9,792","28,352","0","24,797","5,989","715","59,853"
"10007832","Birmingham Newman University","2022-07-31","8,448","6,487","14,935","0","7,452","1,439","127","23,953"
"10000894","Bristol Baptist College","2022-06-30","155","102","257","0","343","0","16","616"
"10007811","Bishop Grosseteste University","2022-07-31","8,283","9,032","17,315","0","8,193","1,184","227","26,919"
"10004061","Bloomsbury Institute","2022-07-31","1,286","2,998","4,284","0","4,593","111","153","9,141"
"10006841","The University of Bolton","2022-07-31","36,151","28,870","65,021","33","50,561","7,033","1,933","124,581"
