﻿Title:,"Table 1 - HE student enrolments by HE provider"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT051 Table 1
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/students/table-1
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/students/table-1.zip
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Entrant marker,All 
,Level of study,All 
,Mode of study,All 
,Academic year,2016/17 
Search:,


"UKPRN","HE provider","England","Scotland","Wales","Northern Ireland","Other UK","Total UK","European Union","Non-European Union","Total Non-UK","Not known","Total"
"10008071","AA School of Architecture","70","0","0","0","0","70","100","275","380","0","450"
"10007783","The University of Aberdeen","1,515","7,970","35","200","10","9,730","2,715","1,705","4,420","0","14,150"
"10019746","ABI College Limited","70","0","0","0","0","70","0","0","0","0","70"
"10007849","Abertay University","120","3,115","0","65","0","3,300","450","95","545","0","3,845"
"10007856","Aberystwyth University","4,000","45","3,075","75","10","7,205","760","490","1,250","0","8,455"
"10000080","Access to Music Limited","60","0","0","0","0","60","0","0","0","0","60"
"10000248","Academy of Live and Recorded Arts","160","5","5","0","0","180","0","0","5","0","180"
"10000291","Anglia Ruskin University","19,285","70","85","90","15","19,540","970","1,990","2,960","0","22,500"
"10041898","Apex College","50","0","0","0","0","50","0","0","0","0","50"
"10005451","Arden University","2,430","20","35","5","0","2,490","5","5","10","0","2,500"
"10000381","Arts Educational Schools","210","10","5","5","5","235","10","5","15","0","250"
"10007759","Aston University","10,900","60","190","25","5","11,180","685","1,745","2,430","0","13,610"
"10007857","Bangor University","4,710","40","3,995","95","45","8,880","505","1,880","2,385","0","11,270"
"10000571","Bath Spa University","6,590","10","515","65","20","7,200","245","540","780","0","7,980"
"10007850","The University of Bath","10,825","145","770","145","80","11,965","1,700","3,245","4,945","0","16,910"
"10007152","University of Bedfordshire","11,440","10","40","55","10","11,555","940","1,505","2,445","0","14,000"
"10005343","Queen's University Belfast","1,215","115","50","19,385","20","20,790","940","2,125","3,065","0","23,850"
"10037544","BIMM University","4,070","45","140","30","30","4,315","575","105","680","0","4,995"
"10007760","Birkbeck College","11,500","15","35","5","5","11,560","665","690","1,355","0","12,920"
"10007140","Birmingham City University","20,620","100","330","90","10","21,150","685","2,295","2,980","0","24,130"
"10006840","The University of Birmingham","25,300","195","815","90","125","26,530","1,825","6,385","8,210","100","34,835"
"10000712","University College Birmingham","3,495","5","65","10","0","3,580","850","505","1,355","0","4,935"
"10007832","Birmingham Newman University","2,775","0","10","10","0","2,795","15","15","35","0","2,830"
"10000894","Bristol Baptist College","25","0","5","0","0","25","0","0","0","0","25"
