﻿Title:,"Table 7 - HE academic staff by HE provider and employment conditions"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT025 Table 7
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-7
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-7.zip
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Mode of employment,All 
,Activity standard occupational classification,All 
,Academic year,2021/22 
Search:,


"UKPRN","HE provider","Teaching only","Research only","Both teaching and research","Neither teaching nor research","Total academic staff"
"10007783","The University of Aberdeen","540","400","675","0","1,620"
"10007849","Abertay University","40","25","155","10","225"
"10007856","Aberystwyth University","270","140","290","0","700"
"10067853","ACM Guildford Limited","105","0","0","5","110"
"10000163","AECC University College","0","0","55","5","60"
"10000291","Anglia Ruskin University","180","30","705","5","920"
"10005451","Arden University","295","0","0","40","335"
"10007759","Aston University","340","195","410","0","950"
"10038772","British Academy of Jewellery Limited","15","0","0","0","20"
"10007857","Bangor University","495","225","260","25","1,010"
"10000571","Bath Spa University","195","5","415","10","625"
"10007850","The University of Bath","440","315","765","10","1,525"
"10007152","University of Bedfordshire","90","30","400","20","540"
"10005343","Queen's University Belfast","355","685","1,005","0","2,045"
"10037544","BIMM University","775","0","0","50","820"
"10007760","Birkbeck College","500","120","420","0","1,040"
"10007140","Birmingham City University","770","35","1,210","5","2,025"
"10006840","The University of Birmingham","1,035","1,455","1,600","10","4,100"
"10000712","University College Birmingham","225","0","0","0","225"
"10007832","Birmingham Newman University","0","0","130","10","140"
"10007811","Bishop Grosseteste University","15","10","105","5","135"
"10004061","Bloomsbury Institute","35","0","0","0","35"
"10006841","The University of Bolton","30","0","420","10","465"
"10000385","The Arts University Bournemouth","240","5","150","5","395"
"10000824","Bournemouth University","170","50","710","5","930"
"10007785","The University of Bradford","50","35","475","5","565"
"10000886","The University of Brighton","175","135","1,200","0","1,510"
"10000936","The University College of Osteopathy","50","0","5","5","60"
"10007786","The University of Bristol","765","1,410","1,405","20","3,595"
"10000961","Brunel University London","515","150","650","0","1,315"
"10000975","Buckinghamshire New University","260","5","250","0","515"
"10007788","The University of Cambridge","320","4,130","1,675","0","6,130"
"10003324","The Institute of Cancer Research","0","600","80","0","680"
"10001143","Canterbury Christ Church University","0","35","670","40","745"
"10007814","Cardiff University","1,050","1,010","1,340","0","3,400"
"10007854","Cardiff Metropolitan University","230","20","515","5","770"
"10007141","The University of Central Lancashire","140","120","1,445","0","1,710"
"10024024","Central Film School London","5","0","0","0","5"
"10007848","University of Chester","0","15","630","0","645"
"10007137","The University of Chichester","230","10","270","0","510"
"10001386","Chicken Shed Theatre Company","20","0","5","0","25"
"10001478","City, University of London","940","140","670","0","1,750"
"10007912","Cliff College","0","0","10","0","10"
"10066502","The College of Health Ltd","5","0","0","0","5"
"10001653","Conservatoire for Dance and Drama","115","0","10","5","130"
"10007761","Courtauld Institute of Art","40","10","35","0","80"
"10034324","Court Theatre Training Company Ltd","10","0","0","0","10"
"10001726","Coventry University","995","0","1,890","5","2,890"
"10007822","Cranfield University","100","270","360","5","730"
"10006427","University for the Creative Arts","155","0","275","15","440"
"10007842","University of Cumbria","10","5","485","20","520"
"10001883","De Montfort University","430","15","1,190","0","1,635"
"10007851","University of Derby","505","5","890","10","1,410"
"10007852","The University of Dundee","385","565","480","15","1,445"
"10007143","University of Durham","710","425","1,150","25","2,310"
"10007789","The University of East Anglia","890","370","720","0","1,980"
"10007144","The University of East London","255","30","635","10","930"
"10032282","The Queen's Foundation for Ecumenical Theological Education","0","0","10","0","15"
"10007823","Edge Hill University","315","10","615","0","945"
"10007772","Edinburgh Napier University","215","70","605","0","890"
"10007790","The University of Edinburgh","3,180","2,080","2,330","130","7,725"
"10042570","Escape Studios","30","0","0","5","40"
"10007791","The University of Essex","665","130","705","0","1,500"
"10008173","University College of Estate Management","90","0","0","15","105"
"10007792","The University of Exeter","1,320","1,005","1,260","0","3,585"
"10008640","Falmouth University","105","10","265","0","380"
"10004511","The National Film and Television School","35","5","0","30","70"
"10022087","Futureworks","25","0","0","0","25"
"10007762","Glasgow Caledonian University","35","100","650","5","790"
"10002681","Glasgow School of Art","0","10","205","10","225"
"10007794","The University of Glasgow","2,500","1,310","1,425","25","5,255"
"10007145","University of Gloucestershire","485","35","150","5","675"
"10002718","Goldsmiths College","650","60","460","0","1,170"
"10007146","The University of Greenwich","95","65","800","0","955"
"10007825","Guildhall School of Music and Drama","700","5","30","85","820"
"10040812","Harper Adams University","165","0","50","10","230"
"10080811","Hartpury University","145","0","15","15","175"
"10007764","Heriot-Watt University","180","290","385","5","865"
