﻿Title:,"Table 49 - HE student enrolments by HE provider and subject of study"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT051 Table 49
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/students/table-49
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/students/table-49.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Level of study,All 
,Mode of study,All 
,Academic year,2021/22 
Search:,


"UKPRN","HE provider","15-01-01 Social sciences (non-specific)","15-01-02 Sociology","15-01-03 Social policy","15-01-04 Anthropology","15-01-05 Development studies","15-01-06 Cultural studies","15-02-01 Economics","15-03-01 Politics","15-04-01 Social work","15-04-02 Childhood and youth studies","15-04-03 Health studies","15 Social sciences"
"10008071","AA School of Architecture","0","0","0","0","0","0","0","0","0","0","0","0"
"10007783","The University of Aberdeen","5","245","5","115","0","0","305","555","0","0","115","1,340"
"10007849","Abertay University","60","360","0","0","0","0","0","0","0","0","0","420"
"10007856","Aberystwyth University","0","200","20","0","0","0","50","360","0","0","0","630"
"10067853","ACM Guildford Limited","0","0","0","0","0","0","0","0","0","0","0","0"
"10000163","AECC University College","0","0","0","0","0","0","0","0","0","0","5","5"
"10032036","Amity Global Education","0","0","0","0","0","0","0","0","0","0","0","0"
"10000291","Anglia Ruskin University","0","1,090","55","0","0","0","10","70","745","355","2,405","4,735"
"10041898","Apex College","0","0","0","0","0","0","0","0","0","0","0","0"
"10062759","Applied Business Academy Limited","0","0","0","0","0","0","0","0","0","0","0","0"
"10005451","Arden University","15","1,065","10","0","0","0","0","0","0","0","1,655","2,745"
"10000381","Arts Educational Schools","0","0","0","0","0","0","0","0","0","0","0","0"
"10008899","The Ashridge (Bonar Law Memorial) Trust","0","0","0","0","0","0","0","0","0","0","0","0"
"10003212","Hult International Business School Ltd","0","0","0","0","0","0","0","0","0","0","0","0"
"10007759","Aston University","5","185","50","0","0","0","720","470","0","0","0","1,425"
"10038772","British Academy of Jewellery Limited","0","0","0","0","0","0","0","0","0","0","0","0"
"10007857","Bangor University","0","200","140","0","0","0","45","15","40","135","175","755"
"10000571","Bath Spa University","140","245","0","0","0","10","95","10","0","0","0","500"
