﻿Title:,"Table 24 - HE staff by HE provider and nationality"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT025 Table 24
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-24
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-24.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Atypical marker,Non-atypical 
,Contract marker,All (excluding atypical) 
,Mode of employment,All 
,Academic year,2018/19 
Search:,


"UKPRN","HE provider","UK","European Union","Non-European Union","Not known","Total"
"10007783","The University of Aberdeen","2,425","515","295","0","3,230"
"10007849","Abertay University","435","45","25","0","500"
"10007856","Aberystwyth University","1,685","160","85","0","1,935"
"10000163","AECC University College","135","20","5","0","160"
"10000291","Anglia Ruskin University","1,555","185","130","0","1,870"
"10007759","Aston University","1,400","230","190","0","1,825"
"10007857","Bangor University","1,800","145","105","0","2,050"
"10000571","Bath Spa University","1,105","80","55","35","1,280"
"10007850","The University of Bath","2,740","540","320","0","3,595"
"10007152","University of Bedfordshire","900","105","90","45","1,145"
"10005343","Queen's University Belfast","2,830","955","310","40","4,140"
"10007760","Birkbeck College","1,270","375","220","5","1,870"
"10007140","Birmingham City University","2,750","205","175","90","3,220"
"10006840","The University of Birmingham","6,570","1,000","830","5","8,400"
"10000712","University College Birmingham","580","35","15","0","630"
"10007832","Birmingham Newman University","300","10","5","0","320"
"10007811","Bishop Grosseteste University","335","15","5","0","350"
"10006841","The University of Bolton","605","20","25","0","650"
"10000385","The Arts University Bournemouth","505","35","25","0","570"
"10000824","Bournemouth University","1,530","185","155","0","1,865"
"10007785","The University of Bradford","1,315","70","85","0","1,465"
"10000886","The University of Brighton","2,850","295","160","5","3,305"
"10000936","The University College of Osteopathy","125","15","5","5","145"
"10007786","The University of Bristol","5,760","890","680","0","7,335"
"10000961","Brunel University London","1,620","305","370","5","2,300"
"10000975","Buckinghamshire New University","635","40","35","0","710"
"10007787","The University of Buckingham","380","25","35","5","445"
"10007788","The University of Cambridge","7,905","2,420","1,715","125","12,165"
"10003324","The Institute of Cancer Research","760","240","85","0","1,085"
"10001143","Canterbury Christ Church University","1,535","125","70","0","1,730"
"10007814","Cardiff University","5,660","660","490","0","6,805"
"10007854","Cardiff Metropolitan University","1,280","65","45","0","1,395"
"10007141","The University of Central Lancashire","2,890","165","140","5","3,200"
"10007848","University of Chester","1,680","70","50","0","1,805"
"10007137","The University of Chichester","830","65","25","0","920"
"10001478","City, University of London","2,360","685","320","15","3,385"
"10001653","Conservatoire for Dance and Drama","500","55","60","0","615"
"10007761","Courtauld Institute of Art","110","20","10","0","140"
"10001726","Coventry University","3,715","445","450","0","4,615"
"10007822","Cranfield University","1,140","210","175","0","1,530"
"10006427","University for the Creative Arts","750","50","25","10","840"
"10007842","University of Cumbria","1,000","25","15","0","1,035"
"10001883","De Montfort University","2,580","195","245","25","3,040"
"10007851","University of Derby","2,640","135","105","0","2,880"
"10007852","The University of Dundee","2,685","305","255","0","3,250"
"10007143","University of Durham","3,510","445","400","0","4,360"
"10007789","The University of East Anglia","3,325","420","290","0","4,035"
"10007144","The University of East London","1,135","170","160","25","1,490"
"10007823","Edge Hill University","1,905","95","55","0","2,060"
"10007772","Edinburgh Napier University","1,455","225","70","0","1,750"
"10007790","The University of Edinburgh","9,875","2,780","1,755","0","14,410"
"10007791","The University of Essex","2,035","410","385","20","2,845"
"10007792","The University of Exeter","4,340","700","510","5","5,555"
"10008640","Falmouth University","475","35","10","5","525"
"10004511","The National Film and Television School","110","10","5","0","125"
"10007762","Glasgow Caledonian University","1,390","90","50","0","1,530"
"10002681","Glasgow School of Art","475","35","20","0","530"
"10007794","The University of Glasgow","6,050","1,150","815","0","8,015"
"10007145","University of Gloucestershire","1,150","65","50","0","1,265"
"10002718","Goldsmiths College","1,430","305","210","5","1,950"
"10007146","The University of Greenwich","1,620","255","275","15","2,170"
"10007825","Guildhall School of Music and Drama","740","90","60","0","895"
"10040812","Harper Adams University","545","20","15","10","585"
"10080811","Hartpury University","355","35","10","0","395"
"10007764","Heriot-Watt University","1,415","310","225","0","1,950"
"10007147","University of Hertfordshire","2,895","355","175","0","3,430"
"10007148","The University of Huddersfield","1,795","130","145","0","2,070"
"10007149","The University of Hull","2,180","175","95","10","2,460"
"10003270","Imperial College of Science, Technology and Medicine","5,075","2,060","1,315","10","8,460"
"10007767","Keele University","1,860","100","70","0","2,030"
"10007150","The University of Kent","2,785","480","325","0","3,590"
"10003645","King's College London","5,650","1,960","1,075","20","8,710"
"10003678","Kingston University","1,520","220","155","10","1,910"
"10007768","The University of Lancaster","3,165","460","415","10","4,045"
"10003854","Leeds Arts University","260","15","5","0","285"
"10003861","Leeds Beckett University","2,615","160","115","0","2,890"
"10034449","Leeds Conservatoire","310","20","5","0","330"
"10007795","The University of Leeds","6,925","790","725","0","8,440"
"10003863","Leeds Trinity University","410","20","10","5","445"
"10007796","The University of Leicester","3,215","410","285","0","3,910"
"10007151","The University of Lincoln","1,805","195","170","5","2,180"
"10003956","Liverpool Hope University","615","55","25","0","700"
"10003957","Liverpool John Moores University","2,610","195","140","5","2,945"
"10003945","The Liverpool Institute for Performing Arts","175","10","5","0","190"
"10006842","The University of Liverpool","5,260","695","415","0","6,365"
"10003958","Liverpool School of Tropical Medicine","420","65","55","0","540"
"10007162","University of the Arts, London","2,955","480","215","60","3,710"
"10007769","London Business School","525","170","130","5","825"
"10007797","University of London (Institutes and activities)","790","145","55","5","995"
"10004048","London Metropolitan University","730","110","45","5","885"
"10004078","London South Bank University","1,450","205","260","40","1,960"
"10004063","London School of Economics and Political Science","2,330","1,060","850","0","4,240"
"10007771","London School of Hygiene and Tropical Medicine","1,025","295","250","0","1,570"
"10004113","Loughborough University","3,140","360","265","5","3,765"
"10004180","The Manchester Metropolitan University","4,130","365","245","70","4,810"
"10007798","The University of Manchester","8,705","1,225","1,000","0","10,925"
"10004351","Middlesex University","1,385","295","180","0","1,860"
"10007799","Newcastle University","5,240","595","455","0","6,290"
"10007138","The University of Northampton","1,275","70","90","5","1,440"
"10001282","University of Northumbria at Newcastle","2,590","135","175","10","2,915"
"10004775","Norwich University of the Arts","330","15","10","0","355"
"10007154","University of Nottingham","6,320","770","825","5","7,915"
"10004797","The Nottingham Trent University","3,835","310","305","0","4,455"
"10007773","The Open University","7,515","665","235","5","8,415"
"10004930","Oxford Brookes University","2,070","305","200","0","2,570"
"10007774","The University of Oxford","8,615","2,370","2,080","965","14,030"
"10005127","Arts University Plymouth","265","15","10","0","290"
"10007801","University of Plymouth","2,505","210","105","0","2,815"
"10007155","The University of Portsmouth","3,145","405","315","105","3,965"
"10005337","Queen Margaret University, Edinburgh","410","45","20","5","485"
"10007775","Queen Mary University of London","3,510","1,205","860","0","5,580"
"10005389","Ravensbourne University London","305","55","20","0","380"
"10007802","The University of Reading","3,185","590","415","0","4,195"
"10005500","Robert Gordon University","1,265","135","120","15","1,530"
"10007776","Roehampton University","875","180","90","5","1,145"
"10005523","Rose Bruford College of Theatre and Performance","105","10","0","0","115"
"10007835","Royal Academy of Music","375","50","25","5","450"
"10005545","Royal Agricultural University","220","10","5","0","240"
"10007777","Royal College of Art","370","60","35","0","465"
"10007778","Royal College of Music","330","65","30","0","425"
"10005561","Royal Conservatoire of Scotland","435","40","30","15","530"
"10007816","The Royal Central School of Speech and Drama","150","15","15","0","180"
"10005553","Royal Holloway and Bedford New College","1,600","355","260","5","2,220"
"10007837","Royal Northern College of Music","445","40","20","0","500"
"10007779","The Royal Veterinary College","795","115","85","0","995"
"10007803","The University of St. Andrews","2,095","380","300","5","2,780"
"10007782","St George's, University of London","810","110","60","30","1,010"
"10008026","St Mary's University College","55","100","5","0","155"
"10007843","St Mary's University, Twickenham","650","100","50","5","800"
"10007156","The University of Salford","2,030","115","115","0","2,260"
"10007780","SOAS University of London","710","215","285","50","1,265"
"10005700","SRUC","1,030","70","25","35","1,160"
"10005790","Sheffield Hallam University","4,130","175","185","20","4,510"
"10007157","The University of Sheffield","6,215","620","630","0","7,470"
"10006022","Solent University","1,160","80","55","0","1,290"
"10007158","The University of Southampton","4,705","785","650","20","6,160"
"10006299","Staffordshire University","1,385","35","30","0","1,450"
"10007804","The University of Stirling","1,860","275","140","20","2,290"
"10037449","University of St Mark and St John","280","10","10","0","300"
"10008010","Stranmillis University College","160","20","5","5","185"
"10007805","The University of Strathclyde","3,130","400","315","5","3,850"
"10014001","University of Suffolk","440","35","15","0","490"
"10007159","The University of Sunderland","1,675","70","70","55","1,870"
"10007160","The University of Surrey","2,540","405","350","0","3,295"
"10007806","The University of Sussex","2,345","500","390","90","3,320"
"10007855","Swansea University","3,215","265","290","50","3,820"
"10007161","Teesside University","1,665","55","60","0","1,780"
"10008017","Trinity Laban Conservatoire of Music and Dance","510","70","35","5","615"
"10007858","University of Wales Trinity Saint David","1,370","50","45","50","1,515"
"10007114","University of the Highlands and Islands","305","15","5","0","330"
"10007807","Ulster University","1,635","845","135","0","2,610"
"10007784","University College London","8,430","2,875","1,750","25","13,075"
"10007793","University of South Wales","2,550","115","110","0","2,780"
"10008574","The University of Wales (central functions)","90","0","5","0","95"
"10007163","The University of Warwick","5,220","840","725","30","6,815"
"10007164","University of the West of England, Bristol","3,465","255","220","45","3,990"
"10007800","The University of the West of Scotland","1,265","70","65","0","1,400"
"10006566","The University of West London","1,215","200","105","0","1,520"
"10007165","The University of Westminster","1,855","440","180","0","2,475"
"10003614","The University of Winchester","1,110","75","50","15","1,245"
"10007166","The University of Wolverhampton","2,280","95","120","0","2,490"
"10007139","University of Worcester","2,680","195","70","0","2,945"
"10007833","Wrexham University","460","10","10","0","480"
"10007657","Writtle University College","260","15","5","0","280"
"10007713","York St John University","800","40","25","0","865"
"10007167","The University of York","3,535","460","345","30","4,370"
"","Total","345,600","53,640","38,165","2,545","439,955"
