﻿Title:,"Table 7 - HE academic staff by HE provider and employment conditions"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT025 Table 7
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-7
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-7.zip
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Mode of employment,All 
,Activity standard occupational classification,All 
,Academic year,2017/18 
Search:,


"UKPRN","HE provider","Teaching only","Research only","Both teaching and research","Neither teaching nor research","Total academic staff"
"10007783","The University of Aberdeen","280","455","670","0","1,410"
"10007849","Abertay University","15","10","190","0","220"
"10007856","Aberystwyth University","280","170","320","0","770"
"10000163","AECC University College","0","0","45","5","50"
"10000291","Anglia Ruskin University","120","25","735","5","885"
"10007759","Aston University","200","150","435","0","785"
"10007857","Bangor University","400","205","345","25","975"
"10000571","Bath Spa University","240","5","405","10","655"
"10007850","The University of Bath","340","350","740","0","1,435"
"10007152","University of Bedfordshire","45","0","495","20","565"
"10005343","Queen's University Belfast","235","665","895","0","1,795"
"10007760","Birkbeck College","425","100","440","0","965"
"10007140","Birmingham City University","105","25","1,805","5","1,940"
"10006840","The University of Birmingham","1,045","1,290","1,540","5","3,880"
"10000712","University College Birmingham","275","0","0","0","280"
"10007832","Birmingham Newman University","0","0","150","10","165"
"10007811","Bishop Grosseteste University","5","0","95","5","105"
"10006841","The University of Bolton","30","5","300","10","345"
"10000385","The Arts University Bournemouth","245","5","130","5","380"
"10000824","Bournemouth University","205","35","725","5","970"
"10007785","The University of Bradford","40","45","485","5","575"
"10000886","The University of Brighton","115","160","1,395","0","1,670"
"10000936","The University College of Osteopathy","90","0","5","5","100"
"10007786","The University of Bristol","455","1,385","1,270","5","3,120"
"10000961","Brunel University London","360","155","570","0","1,090"
"10000975","Buckinghamshire New University","145","0","265","0","410"
"10007787","The University of Buckingham","100","5","40","10","155"
"10007788","The University of Cambridge","240","4,205","1,650","10","6,110"
"10003324","The Institute of Cancer Research","0","610","70","0","675"
"10001143","Canterbury Christ Church University","40","25","710","20","800"
"10007814","Cardiff University","1,105","1,015","1,245","155","3,520"
"10007854","Cardiff Metropolitan University","245","25","420","5","695"
"10007141","The University of Central Lancashire","205","110","1,190","5","1,505"
"10007848","University of Chester","0","15","605","5","620"
"10007137","The University of Chichester","290","10","260","5","565"
"10001478","City, University of London","1,280","130","690","0","2,100"
"10001653","Conservatoire for Dance and Drama","275","0","5","5","285"
"10007761","Courtauld Institute of Art","5","5","30","0","40"
"10001726","Coventry University","780","10","1,715","25","2,530"
"10007822","Cranfield University","55","215","400","40","710"
"10006427","University for the Creative Arts","125","0","245","10","375"
"10007842","University of Cumbria","25","5","430","10","465"
"10001883","De Montfort University","520","10","950","0","1,480"
"10007851","University of Derby","625","20","765","0","1,405"
"10007852","The University of Dundee","370","645","375","25","1,410"
"10007143","University of Durham","270","430","885","60","1,650"
"10007789","The University of East Anglia","965","365","705","0","2,035"
"10007144","The University of East London","235","35","585","5","860"
