﻿Title:,"Table 1 - Buildings and spaces"
Subtitle:,"Academic years 2015/16 to 2022/23"
Reference ID:,DT042 Table 1
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/estates/table-1
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/estates/table-1.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2024
Filters:,Country of HE provider,Choose a value... 
,Region of HE provider,Choose a value... 
,Academic year,2018/19 
Search:,


"UKPRN","HE provider","Total number of sites","Total number of buildings","Total site area (hectares)","Total grounds area (hectares)","Total playing fields area (hectares)","Total gross internal area (m2)","Total number of car parking spaces","Total number of cycle spaces"
"10007783","The University of Aberdeen","4","117","81.854","40.847","21.203","265,414.844","1,528","861"
"10007849","Abertay University","1","10","2.600","1.100","0.000","47,784.000","225","86"
"10007856","Aberystwyth University","15","688","1,709.000","56.000","23.000","263,320.860","2,930","362"
"10000163","AECC University College","","","","","","8,029.284","",""
"10000291","Anglia Ruskin University","3","188","22.801","9.140","8.000","129,750.170","676","2,096"
"10007759","Aston University","2","20","30.300","24.950","6.230","107,884.000","753","126"
"10007857","Bangor University","16","172","359.480","353.000","15.200","230,234.847","1,814","685"
"10000571","Bath Spa University","5","74","64.080","53.736","5.270","68,954.000","1,000","290"
"10007850","The University of Bath","1","102","95.563","31.000","24.000","304,920.000","2,200","865"
"10007152","University of Bedfordshire","5","50","36.218","27.741","5.683","107,618.000","637","209"
"10005343","Queen's University Belfast","7","237","59.900","40.230","27.920","397,670.000","1,290","1,426"
"10007760","Birkbeck College","2","18","4.049","0.000","0.000","40,491.850","0","30"
"10007140","Birmingham City University","3","42","28.190","10.090","18.100","235,049.112","",""
"10000712","University College Birmingham","5","8","2.700","1.760","0.000","67,293.810","309","159"
"10007832","Birmingham Newman University","1","19","5.900","4.660","1.280","28,129.000","389","65"
"10007811","Bishop Grosseteste University","1","24","8.100","4.300","4.200","22,386.850","364","102"
"10006841","The University of Bolton","","","","","","69,092.000","",""
"10000385","The Arts University Bournemouth","1","13","3.800","3.800","0.000","35,090.950","224","180"
"10000824","Bournemouth University","4","28","18.550","10.880","3.580","91,393.000","1,200","755"
"10007785","The University of Bradford","6","24","19.980","19.980","1.076","111,395.600","857","202"
"10000886","The University of Brighton","6","126","48.665","38.260","9.300","203,867.984","997","1,115"
"10000936","The University College of Osteopathy","1","2","","","0.000","5,187.000","10","81"
"10007786","The University of Bristol","6","338","287.256","55.265","16.400","534,626.560","1,932","3,443"
"10000961","Brunel University London","1","135","78.350","78.350","19.620","246,280.819","2,221","787"
"10000975","Buckinghamshire New University","5","26","8.500","8.500","","65,873.390","530","378"
"10007788","The University of Cambridge","16","372","238.410","","","723,229.629","3,560","11,120"
