﻿Title:,"Table 17 - HE full-time academic staff by HE provider and contract salary"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT025 Table 17
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-17
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-17.zip
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Sex,All 
,Academic employment function,All 
,Contract levels,All 
,Academic year,2015/16 
Search:,


"UKPRN","HE provider","Contract salary < £18,211 ","Contract salary ≥ £18,211 and < £24,298 ","Contract salary ≥ £24,298 and < £32,600 ","Contract salary ≥ £32,600 and < £43,758 ","Contract salary ≥ £43,758 and < £58,754 ","Contract salary ≥ £58,754 ","Total"
"10007783","The University of Aberdeen","0","0","125","365","415","260","1,170"
"10007849","Abertay University","0","0","20","65","70","20","175"
"10007856","Aberystwyth University","0","5","35","190","180","115","525"
"10000291","Anglia Ruskin University","0","5","45","210","310","85","655"
"10007759","Aston University","0","0","45","160","255","105","565"
"10007857","Bangor University","0","5","70","220","240","110","640"
"10000571","Bath Spa University","0","0","0","45","160","25","235"
"10007850","The University of Bath","5","5","60","360","380","235","1,045"
"10007152","University of Bedfordshire","5","10","40","180","230","45","515"
"10005343","Queen's University Belfast","0","5","135","635","500","275","1,555"
"10007760","Birkbeck College","0","0","10","130","135","175","445"
"10007140","Birmingham City University","0","0","30","280","420","80","810"
"10006840","The University of Birmingham","0","0","500","610","945","560","2,610"
"10000712","University College Birmingham","5","0","30","95","75","10","220"
"10007832","Birmingham Newman University","0","0","10","50","75","10","145"
"10007811","Bishop Grosseteste University","0","0","0","20","45","5","75"
"10006841","The University of Bolton","0","0","30","115","100","30","275"
"10000385","The Arts University Bournemouth","0","5","60","60","20","5","155"
"10000824","Bournemouth University","0","10","60","225","230","110","630"
"10007785","The University of Bradford","0","0","30","120","245","105","505"
"10000886","The University of Brighton","0","0","15","170","520","145","845"
"10007786","The University of Bristol","0","0","155","1,075","675","485","2,395"
"10000961","Brunel University London","0","5","35","140","360","190","730"
"10000975","Buckinghamshire New University","0","5","20","50","195","25","295"
"10007787","The University of Buckingham","0","0","10","40","35","10","100"
"10007788","The University of Cambridge","5","15","1,375","1,635","985","1,015","5,030"
"10003324","The Institute of Cancer Research","0","0","65","320","115","70","570"
"10001143","Canterbury Christ Church University","0","0","10","145","260","70","485"
"10007814","Cardiff University","10","0","240","780","700","595","2,325"
"10007854","Cardiff Metropolitan University","0","5","10","145","200","70","430"
"10007141","The University of Central Lancashire","0","35","50","335","475","110","1,005"
"10007848","University of Chester","0","5","5","185","265","50","510"
"10007137","The University of Chichester","0","0","0","35","125","15","180"
"10001478","City, University of London","0","0","5","105","185","370","665"
"10001653","Conservatoire for Dance and Drama","0","0","20","50","15","5","90"
"10007761","Courtauld Institute of Art","0","0","5","10","10","15","35"
"10001726","Coventry University","0","15","300","570","430","170","1,490"
"10007822","Cranfield University","0","10","75","165","220","140","610"
"10006427","University for the Creative Arts","0","35","30","30","75","10","180"
"10007842","University of Cumbria","0","0","10","85","155","15","265"
"10001883","De Montfort University","0","0","35","175","375","60","640"
"10007851","University of Derby","0","20","60","215","290","40","625"
"10007852","The University of Dundee","0","0","115","490","390","225","1,220"
"10007143","University of Durham","0","10","100","515","440","295","1,365"
"10007789","The University of East Anglia","0","0","90","325","460","210","1,085"
"10007144","The University of East London","0","0","15","140","270","75","500"
"10007823","Edge Hill University","0","0","35","205","285","70","595"
"10007772","Edinburgh Napier University","0","5","30","130","295","55","510"
"10007790","The University of Edinburgh","0","5","340","1,365","1,140","755","3,600"
"10007791","The University of Essex","0","0","30","190","310","160","685"
"10007792","The University of Exeter","0","0","235","600","360","300","1,495"
"10008640","Falmouth University","0","5","35","35","80","20","175"
"10004511","The National Film and Television School","0","0","0","0","10","0","10"
"10007762","Glasgow Caledonian University","0","0","25","70","420","105","625"
"10002681","Glasgow School of Art","0","0","0","20","50","15","85"
"10007794","The University of Glasgow","0","0","295","815","765","505","2,385"
"10007145","University of Gloucestershire","0","0","20","70","160","35","280"
"10002718","Goldsmiths College","0","5","30","80","200","110","425"
"10007146","The University of Greenwich","0","0","25","190","400","115","730"
"10007825","Guildhall School of Music and Drama","5","15","20","15","25","25","105"
"10040812","Harper Adams University","0","0","0","40","70","20","130"
"10007764","Heriot-Watt University","0","5","65","205","290","160","725"
"10007147","University of Hertfordshire","0","10","40","185","405","120","755"
"10007765","Heythrop College","10","0","5","5","15","0","35"
"10007148","The University of Huddersfield","0","0","35","205","380","105","725"
"10007149","The University of Hull","0","0","30","220","460","125","830"
"10003270","Imperial College of Science, Technology and Medicine","0","0","105","2,005","665","945","3,720"
"10007767","Keele University","0","0","35","185","240","110","565"
"10007150","The University of Kent","0","0","70","290","375","250","985"
"10003645","King's College London","0","0","210","1,275","790","910","3,185"
"10003678","Kingston University","0","5","25","170","405","120","725"
"10007768","The University of Lancaster","0","0","115","340","355","230","1,035"
"10003854","Leeds Arts University","0","15","15","20","10","5","65"
"10003861","Leeds Beckett University","0","0","15","110","545","95","760"
"10007795","The University of Leeds","0","0","210","965","865","605","2,645"
"10003863","Leeds Trinity University","0","0","5","30","60","10","110"
"10007796","The University of Leicester","0","0","100","455","545","285","1,380"
"10007151","The University of Lincoln","0","0","50","250","265","75","635"
"10003956","Liverpool Hope University","0","0","20","140","55","20","235"
"10003957","Liverpool John Moores University","0","10","75","160","580","125","950"
"10003945","The Liverpool Institute for Performing Arts","0","0","0","20","15","0","35"
"10006842","The University of Liverpool","0","0","140","790","550","600","2,085"
"10003958","Liverpool School of Tropical Medicine","0","5","45","100","45","50","250"
"10007162","University of the Arts, London","0","0","5","140","225","140","510"
"10007769","London Business School","0","0","0","5","0","95","100"
"10007797","University of London (Institutes and activities)","0","0","0","20","5","25","55"
"10004048","London Metropolitan University","0","0","0","55","275","35","370"
"10004078","London South Bank University","0","0","10","85","205","35","335"
"10004063","London School of Economics and Political Science","0","0","20","210","165","460","855"
"10007771","London School of Hygiene and Tropical Medicine","0","0","5","265","155","150","570"
"10004113","Loughborough University","0","10","180","285","385","260","1,120"
"10004180","The Manchester Metropolitan University","0","10","185","360","740","180","1,470"
"10007798","The University of Manchester","0","0","645","1,475","970","1,110","4,195"
"10004351","Middlesex University","0","50","50","205","355","95","755"
"10007799","Newcastle University","0","5","465","640","615","480","2,205"
"10007138","The University of Northampton","0","0","10","160","225","35","430"
"10001282","University of Northumbria at Newcastle","0","20","95","250","705","135","1,205"
"10004775","Norwich University of the Arts","0","0","30","20","20","5","75"
"10007154","University of Nottingham","0","20","625","730","680","870","2,925"
"10004797","The Nottingham Trent University","0","15","60","350","500","130","1,050"
"10007773","The Open University","0","0","15","170","505","200","895"
"10004930","Oxford Brookes University","0","0","55","170","290","110","625"
"10007774","The University of Oxford","0","0","900","2,480","1,015","1,660","6,055"
"10005127","Arts University Plymouth","0","5","15","25","5","5","55"
"10007801","University of Plymouth","0","5","90","260","510","160","1,025"
"10007155","The University of Portsmouth","0","5","60","330","475","135","1,000"
"10005337","Queen Margaret University, Edinburgh","0","0","5","30","105","20","165"
"10007775","Queen Mary University of London","0","0","60","575","525","465","1,625"
"10005389","Ravensbourne University London","0","0","0","0","35","5","40"
"10007802","The University of Reading","0","0","115","285","445","230","1,080"
"10005500","Robert Gordon University","0","0","10","110","255","90","465"
"10007776","Roehampton University","0","5","15","105","185","70","375"
"10005523","Rose Bruford College of Theatre and Performance","0","0","0","5","20","5","25"
"10007835","Royal Academy of Music","0","0","0","5","10","5","20"
"10005545","Royal Agricultural University","0","0","0","15","25","5","45"
"10007777","Royal College of Art","0","0","5","5","10","25","40"
"10007778","Royal College of Music","0","0","0","0","10","10","25"
"10005561","Royal Conservatoire of Scotland","0","0","0","20","25","0","45"
"10007816","The Royal Central School of Speech and Drama","0","0","0","10","20","5","35"
"10005553","Royal Holloway and Bedford New College","0","0","30","135","275","190","630"
"10007837","Royal Northern College of Music","0","0","0","0","15","10","25"
"10007779","The Royal Veterinary College","0","0","45","60","105","45","255"
"10007803","The University of St. Andrews","0","5","105","360","355","190","1,015"
"10007782","St George's, University of London","0","0","15","75","90","70","250"
"10008026","St Mary's University College","0","0","0","0","35","5","40"
"10007843","St Mary's University, Twickenham","0","0","5","90","105","30","230"
"10007156","The University of Salford","0","0","85","160","465","65","780"
"10007780","SOAS University of London","0","0","0","60","185","105","350"
"10005700","SRUC","0","15","50","155","50","20","295"
"10005790","Sheffield Hallam University","0","5","40","340","750","140","1,275"
"10007157","The University of Sheffield","0","5","515","800","815","540","2,675"
"10006022","Solent University","0","0","25","235","185","15","460"
"10007158","The University of Southampton","0","0","430","655","560","635","2,280"
"10006299","Staffordshire University","0","5","45","135","245","50","480"
"10007804","The University of Stirling","0","5","30","135","230","100","495"
"10037449","University of St Mark and St John","0","0","0","30","40","5","75"
"10008010","Stranmillis University College","0","0","0","5","35","5","45"
"10007805","The University of Strathclyde","0","5","210","360","415","270","1,255"
"10014001","University of Suffolk","0","0","0","90","40","10","135"
"10007159","The University of Sunderland","0","0","5","95","230","35","365"
"10007160","The University of Surrey","0","0","80","240","325","245","895"
"10007806","The University of Sussex","0","0","80","365","390","260","1,090"
"10007855","Swansea University","0","5","170","355","345","195","1,075"
"10007161","Teesside University","0","10","20","155","395","60","640"
"10008017","Trinity Laban Conservatoire of Music and Dance","0","0","0","5","20","10","30"
"10007858","University of Wales Trinity Saint David","0","0","5","155","135","25","320"
"10007114","University of the Highlands and Islands","0","0","5","10","10","10","35"
"10007807","Ulster University","0","0","110","180","585","150","1,025"
"10007784","University College London","0","10","330","2,530","1,480","1,080","5,435"
