﻿Title:,"Table 11 - HE staff FTE by HE provider and cost centre"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT025 Table 11
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-11
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-11.zip
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Contract marker,All (including atypical) 
,Academic year,2021/22 
Search:,


"UKPRN","HE Provider","Medicine, dentistry & health","Agriculture, forestry & veterinary science","Biological, mathematical & physical sciences","Engineering & technology","Architecture & planning","Administration & business studies","Social studies","Humanities & language based studies & archaeology","Design, creative & performing arts","Education","Total academic services","Central administration & services, staff and student facilities","Premises","Residences & catering","Total all cost centres"
"10007783","The University of Aberdeen","610","0","370","155","0","85","185","165","25","70","310","455","215","85","2,730"
"10007849","Abertay University","35","15","20","60","0","20","20","0","30","15","35","125","40","5","420"
"10007856","Aberystwyth University","25","75","260","50","0","30","125","65","45","55","55","465","35","135","1,420"
"10067853","ACM Guildford Limited*","","","","","","","","","","","","","","",""
"10000163","AECC University College*","","","","","","","","","","","","","","",""
"10032036","Amity Global Education*","","","","","","","","","","","","","","",""
"10000291","Anglia Ruskin University","425","0","105","80","35","140","160","45","95","105","40","635","75","35","1,980"
"10005451","Arden University*","","","","","","","","","","","","","","",""
"10007759","Aston University","280","0","110","345","50","340","55","65","0","0","60","465","120","30","1,930"
"10038772","British Academy of Jewellery Limited*","","","","","","","","","","","","","","",""
"10007857","Bangor University","260","60","210","75","0","55","50","75","10","100","140","345","130","55","1,565"
"10000571","Bath Spa University","25","0","15","10","0","50","65","45","135","105","55","280","90","20","895"
"10007850","The University of Bath","270","0","460","375","85","230","175","35","0","110","300","685","230","190","3,145"
"10007152","University of Bedfordshire","125","0","25","45","5","130","125","30","25","110","190","280","25","5","1,125"
"10005343","Queen's University Belfast","1,110","0","450","405","50","150","285","190","70","65","395","705","180","100","4,155"
"10037544","BIMM University*","","","","","","","","","","","","","","",""
"10007760","Birkbeck College","95","0","105","45","0","75","165","145","15","5","60","455","80","0","1,235"
"10007140","Birmingham City University*","","","","","","","","","","","","","","",""
"10006840","The University of Birmingham*","","","","","","","","","","","","","","",""
"10000712","University College Birmingham","55","0","0","0","0","120","0","0","50","25","150","55","15","40","510"
"10007832","Birmingham Newman University","40","0","0","0","0","5","10","15","0","70","75","65","5","15","305"
"10007811","Bishop Grosseteste University","25","0","0","0","0","5","0","15","5","70","45","105","15","20","310"
"10004061","Bloomsbury Institute*","","","","","","","","","","","","","","",""
"10006841","The University of Bolton*","","","","","","","","","","","","","","",""
"10000385","The Arts University Bournemouth","0","0","0","0","10","5","80","0","175","0","60","85","10","0","430"
"10000824","Bournemouth University","240","0","50","170","0","195","195","35","20","25","260","370","60","20","1,650"
