﻿Title:,"Table 59 - UK permanent address HE students by HE provider and permanent address"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT051 Table 59
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/students/table-59
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/students/table-59.zip
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Level of study,All 
,Mode of study,All 
,Academic year,2020/21 
Search:,


"UKPRN","HE Provider","Antrim and Newtownabbey","Armagh, Banbridge and Craigavon","Belfast","Causeway Coast and Glens","Derry and Strabane","Fermanagh and Omagh","Lisburn and Castlereagh","Mid Ulster","Mid and East Antrim","North Down and Ards","Newry, Mourne and Down","Northern Ireland (district council area unknown)","Total Northern Ireland","Total"
"10008071","AA School of Architecture","0","0","0","0","0","0","0","0","0","0","0","0","0","95"
"10007783","The University of Aberdeen","10","25","20","10","10","10","20","10","10","25","10","5","170","11,255"
"10007849","Abertay University","0","5","5","0","0","0","0","0","5","5","5","0","25","3,930"
"10007856","Aberystwyth University","5","10","15","10","5","5","10","5","10","5","10","0","90","6,620"
"10067853","ACM Guildford Limited","0","0","0","0","0","0","0","0","0","0","0","0","0","1,120"
"10000248","Academy of Live and Recorded Arts","0","0","0","0","0","0","0","0","0","0","0","0","0","260"
"10000163","AECC University College","0","0","0","0","0","0","0","0","0","0","0","0","10","585"
"10032036","Amity Global Education","0","0","0","0","0","0","0","0","0","0","0","0","0","80"
"10000291","Anglia Ruskin University","5","10","15","5","5","5","5","0","0","5","5","0","50","25,830"
"10041898","Apex College","0","0","0","0","0","0","0","0","0","0","0","0","0","170"
"10062759","Applied Business Academy Limited","0","0","0","0","0","0","0","0","0","0","0","0","0","220"
"10005451","Arden University","0","5","0","0","0","0","0","0","0","0","0","0","10","11,735"
"10000381","Arts Educational Schools","0","0","0","0","0","0","0","0","0","0","0","0","0","330"
"10008899","The Ashridge (Bonar Law Memorial) Trust","0","0","0","0","0","0","0","0","0","0","0","0","5","1,000"
"10003212","Hult International Business School Ltd","0","0","0","0","0","0","0","0","0","0","0","0","0","60"
"10007759","Aston University","5","0","5","0","5","0","0","0","0","0","0","0","20","14,145"
"10038772","British Academy of Jewellery Limited","0","0","0","0","0","0","0","0","0","0","0","0","0","30"
"10007857","Bangor University","5","10","10","5","0","5","5","5","5","15","10","0","75","7,860"
"10000571","Bath Spa University","5","5","5","5","5","0","5","5","0","5","0","0","45","8,610"
"10007850","The University of Bath","5","10","20","5","5","5","25","5","10","15","10","0","105","13,650"
"10007152","University of Bedfordshire","5","5","0","0","0","0","0","5","0","0","0","0","25","11,170"
"10005343","Queen's University Belfast","1,460","2,260","3,405","1,010","1,220","1,095","1,850","1,520","1,340","1,540","1,985","15","18,700","20,375"
"10037544","BIMM University","5","5","5","5","5","0","5","0","0","5","0","0","30","5,275"
"10007760","Birkbeck College","0","0","5","0","0","0","0","0","0","0","0","0","10","10,515"
"10007140","Birmingham City University","5","15","10","5","5","5","5","5","5","15","5","0","90","24,665"
"10006840","The University of Birmingham","10","10","20","10","5","5","10","0","5","10","10","0","90","28,220"
"10000712","University College Birmingham","0","5","5","0","0","0","0","5","0","0","0","0","15","3,800"
"10007832","Birmingham Newman University","0","0","0","0","0","0","0","0","0","0","0","0","5","2,820"
"10000894","Bristol Baptist College","0","0","0","0","0","0","0","0","0","0","0","0","0","60"
"10007811","Bishop Grosseteste University","0","0","0","0","0","0","0","0","0","0","0","0","0","2,430"
"10004061","Bloomsbury Institute","0","0","0","0","0","0","0","0","0","0","0","0","0","955"
"10006841","The University of Bolton","0","5","0","5","0","0","0","0","0","0","5","0","20","9,345"
"10000385","The Arts University Bournemouth","5","0","5","0","0","0","5","0","0","0","0","0","15","2,945"
"10000824","Bournemouth University","5","5","5","5","5","0","5","5","0","10","5","0","45","15,005"
"10031982","BPP University","0","0","5","0","5","0","5","0","0","0","0","0","30","8,425"
"10007785","The University of Bradford","5","0","5","0","5","0","0","0","0","0","0","0","20","8,535"
"10000886","The University of Brighton","15","5","15","5","5","5","10","5","5","15","10","0","90","15,340"
"10000936","The University College of Osteopathy","0","0","0","0","0","0","0","0","0","0","0","0","0","400"
"10007786","The University of Bristol","10","20","45","15","10","10","20","5","10","20","20","5","185","21,695"
"10028216","Brit College","0","0","0","0","0","0","0","0","0","0","0","0","0","25"
"10023464","Trinity College Bristol","0","0","0","0","0","0","0","0","0","0","0","0","0","160"
"10000961","Brunel University London","0","0","5","0","0","0","5","0","0","0","0","0","15","12,105"
"10000975","Buckinghamshire New University","0","5","10","0","5","5","10","0","5","5","0","0","50","17,035"
"10007787","The University of Buckingham","0","0","5","0","0","0","0","0","0","0","0","0","5","2,290"
"10019368","London College of Business Studies","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10010308","Cambridge Arts and Sciences Limited","0","0","0","0","0","0","0","0","0","0","0","0","0","50"
"10007788","The University of Cambridge","10","15","45","10","15","5","25","5","5","15","15","0","165","14,880"
"10032072","The Cambridge Theological Federation","0","0","0","0","0","0","0","0","0","0","0","0","0","150"
"10003324","The Institute of Cancer Research","0","0","0","0","0","0","0","0","0","0","0","0","0","265"
"10001143","Canterbury Christ Church University","0","0","10","0","0","0","0","0","5","5","5","0","25","15,665"
"10007814","Cardiff University","10","15","30","15","20","20","25","10","5","20","10","0","180","25,780"
"10007854","Cardiff Metropolitan University","5","5","5","0","0","5","5","5","0","5","0","0","35","9,565"
"10057213","CEG UFP Limited","0","0","0","0","0","0","0","0","0","0","0","0","0","10"
"10007141","The University of Central Lancashire","10","10","25","25","25","10","5","10","15","15","15","0","165","22,315"
"10024024","Central Film School London","0","0","0","0","0","0","0","0","0","0","0","0","0","45"
"10007848","University of Chester","5","20","10","5","15","10","5","5","5","25","10","0","120","12,405"
"10007137","The University of Chichester","0","0","0","5","5","0","0","0","0","0","0","0","15","5,650"
"10001386","Chicken Shed Theatre Company","0","0","0","0","0","0","0","0","0","0","0","0","0","95"
"10001546","The College of Integrated Chinese Medicine","0","0","0","0","0","0","0","0","0","0","0","0","0","185"
"10001419","Christie's Education Limited","0","0","0","0","0","0","0","0","0","0","0","0","0","20"
"10026921","Christ the Redeemer College","0","0","0","0","0","0","0","0","0","0","0","0","0","220"
"10010213","The City College","0","0","0","0","0","0","0","0","0","0","0","0","0","70"
"10001478","City, University of London","0","5","5","0","0","0","0","0","0","5","5","0","30","14,590"
"10007912","Cliff College","0","0","0","0","0","0","0","0","0","0","0","0","0","140"
"10066502","The College of Health Ltd","0","0","0","0","0","0","0","0","0","0","0","0","0","255"
"10023442","The College of Osteopaths","0","0","0","0","0","0","0","0","0","0","0","0","0","40"
"10001653","Conservatoire for Dance and Drama","0","0","0","0","0","0","0","0","0","0","0","0","5","700"
"10081618","The Council of the Inns of Court","0","0","0","0","0","0","0","0","0","0","0","0","0","85"
"10007761","Courtauld Institute of Art","0","0","0","0","0","0","0","0","0","0","0","0","0","340"
"10034324","Court Theatre Training Company Ltd","0","0","0","0","0","0","0","0","0","0","0","0","0","35"
"10001726","Coventry University","5","10","10","10","10","5","5","5","0","10","5","0","65","25,400"
"10007822","Cranfield University","0","0","5","0","0","0","0","0","0","0","0","0","10","2,895"
"10006427","University for the Creative Arts","5","0","5","0","5","5","5","5","5","5","5","0","40","6,300"
"10007842","University of Cumbria","30","40","55","15","15","15","35","20","15","25","30","0","295","9,005"
"10026767","Dartington Hall Trust (The)","0","0","0","0","0","0","0","0","0","0","0","0","0","60"
"10015688","David Game College Ltd","0","0","0","0","0","0","0","0","0","0","0","0","0","195"
"10001883","De Montfort University","5","5","15","5","0","5","5","5","5","5","5","0","55","21,170"
"10007851","University of Derby","10","10","15","5","5","5","10","10","5","10","10","0","95","19,055"
"10007852","The University of Dundee","60","60","115","25","25","20","80","25","40","80","60","0","585","13,170"
"10007143","University of Durham","20","20","55","15","10","5","20","5","20","35","15","0","215","14,465"
"10007789","The University of East Anglia","5","5","10","10","5","5","5","5","5","5","5","0","60","15,920"
"10007144","The University of East London","0","5","0","0","5","0","0","0","0","5","5","0","25","12,175"
"10032282","The Queen's Foundation for Ecumenical Theological Education","0","0","0","0","0","0","0","0","0","0","0","0","5","360"
"10007823","Edge Hill University","15","20","25","45","40","10","10","15","20","20","25","0","250","14,185"
"10007772","Edinburgh Napier University","20","25","25","10","10","10","20","5","10","45","25","0","200","11,505"
"10007790","The University of Edinburgh","35","45","105","30","55","40","55","25","45","75","55","0","570","22,235"
"10022047","Empire College London Limited","0","0","0","0","0","0","0","0","0","0","0","0","0","170"
"10042570","Escape Studios","0","0","0","0","0","0","0","0","0","0","0","0","0","1,330"
"10007791","The University of Essex","0","10","15","0","5","5","5","5","5","5","10","0","65","12,490"
"10008173","University College of Estate Management","0","5","5","0","0","0","0","0","0","0","0","0","15","3,015"
"10002313","ESCP Europe Business School","0","0","0","0","0","0","0","0","0","0","0","0","0","5"
"10007792","The University of Exeter","5","10","10","5","0","10","10","5","5","30","5","0","95","22,615"
"10008640","Falmouth University","5","0","5","0","0","0","5","0","0","0","10","0","35","5,635"
"10033187","Fairfield School of Business Ltd","0","0","0","0","0","0","0","0","0","0","0","0","0","30"
"10045476","Met Film School Limited","0","0","0","0","0","0","0","0","0","0","0","0","0","195"
"10004511","The National Film and Television School","0","0","0","0","0","0","0","0","0","0","0","0","5","410"
"10038763","ForMission Ltd","0","0","0","0","0","0","0","0","0","0","0","0","0","85"
"10022087","Futureworks","0","0","0","0","0","0","0","0","0","0","0","0","5","395"
"10042500","Global Banking School Limited","0","0","0","0","0","0","0","0","0","0","0","0","0","1,640"
"10007762","Glasgow Caledonian University","10","10","25","15","15","15","15","5","10","5","10","0","140","16,505"
"10002681","Glasgow School of Art","0","0","10","0","0","0","5","5","0","0","0","0","30","1,535"
"10007794","The University of Glasgow","50","40","140","50","50","25","95","25","30","70","50","0","635","23,900"
"10007145","University of Gloucestershire","5","0","5","0","0","0","0","0","0","5","0","0","20","7,610"
"10002718","Goldsmiths College","0","0","5","0","0","0","5","0","0","0","0","0","20","7,125"
"10030408","Gower College Swansea","0","0","0","0","0","0","0","0","0","0","0","0","0","65"
"10007146","The University of Greenwich","0","5","5","5","5","5","5","5","5","0","5","0","45","15,800"
"10007825","Guildhall School of Music and Drama","0","0","0","0","0","0","0","0","0","5","0","0","5","745"
"10040812","Harper Adams University","10","20","5","20","10","25","5","20","15","15","15","0","160","4,870"
"10080811","Hartpury University","0","5","0","0","0","0","5","0","0","5","0","0","15","2,030"
"10007764","Heriot-Watt University","30","35","55","30","30","25","35","25","10","45","20","10","340","7,925"
"10007147","University of Hertfordshire","5","5","15","0","10","5","10","5","0","0","5","0","65","20,390"
"10007148","The University of Huddersfield","5","5","5","5","0","5","0","5","0","5","0","0","35","16,915"
"10007149","The University of Hull","0","5","0","5","5","5","5","5","5","0","0","0","30","12,420"
"10003239","ICON College of Technology and Management","0","0","0","0","0","0","0","0","0","0","0","0","0","1,750"
"10003270","Imperial College of Science, Technology and Medicine","10","5","10","5","5","0","10","5","5","5","5","0","65","10,105"
"10013220","Institute of Art - London Limited","0","0","0","0","0","0","0","0","0","0","0","0","0","90"
"10067388","The Institute of Ismaili Studies","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10035638","Institute of Contemporary Music Performance","0","0","0","0","0","0","0","0","0","0","0","0","5","755"
"10029682","The Islamic College","0","0","0","0","0","0","0","0","0","0","0","0","0","100"
"10082570","Kaplan International Colleges U.K. Limited","0","0","0","0","0","0","0","0","0","0","0","0","0","10"
"10021682","Kaplan Open Learning (Essex) Limited","0","0","0","0","0","0","0","0","0","0","0","0","10","1,755"
"10007767","Keele University","5","5","15","0","0","0","5","5","5","10","5","0","60","10,700"
"10003566","Kensington College of Business","0","0","0","0","0","0","0","0","0","0","0","0","0","60"
"10007150","The University of Kent","5","5","15","5","5","5","5","5","5","5","5","0","55","15,045"
"10003645","King's College London","5","15","20","5","5","10","15","5","0","10","5","0","95","22,895"
"10008325","KLC School of Design","0","0","0","0","0","0","0","0","0","0","0","0","0","175"
"10003678","Kingston University","0","0","5","0","0","0","0","0","0","0","5","0","25","13,650"
"10003758","LAMDA Limited","0","0","0","0","0","0","0","0","0","0","0","0","0","185"
"10007768","The University of Lancaster","5","10","15","5","5","5","10","10","0","10","10","0","85","12,000"
"10066551","LCCM AU UK Limited","0","0","0","0","0","0","0","0","0","0","0","0","0","75"
"10003854","Leeds Arts University","0","0","0","5","0","0","0","0","5","5","0","0","15","2,085"
"10003861","Leeds Beckett University","10","15","20","5","10","10","10","5","10","10","5","0","115","21,410"
