﻿Title:,"Table 8 - HE academic staff by HE provider and highest qualification held"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT025 Table 8
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-8
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-8.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Mode of employment,All 
,Academic year,2022/23 
Search:,


"UKPRN","HE Provider","Doctorate","Other higher degree","Other postgraduate qualification","First degree","Other undergraduate qualification","Other","Unknown","Total academic staff"
"10007783","The University of Aberdeen","1,050","250","100","190","30","15","20","1,655"
"10007849","Abertay University","95","30","25","50","5","5","10","215"
"10007856","Aberystwyth University","430","70","105","80","20","20","10","735"
"10067853","ACM Guildford Limited","10","15","40","45","5","5","0","125"
"10000163","AECC University College","20","15","35","10","0","0","0","80"
"10000291","Anglia Ruskin University","555","310","105","120","10","5","0","1,105"
"10005451","Arden University","130","200","90","45","5","5","0","470"
"10007759","Aston University","695","105","80","50","5","5","20","960"
"10038772","British Academy of Jewellery Limited","0","0","15","5","0","0","0","20"
"10007857","Bangor University","530","220","70","195","10","15","60","1,095"
"10000571","Bath Spa University","210","215","75","90","10","10","55","660"
"10007850","The University of Bath","1,085","65","110","65","5","10","230","1,570"
"10007152","University of Bedfordshire","205","135","95","55","10","5","35","540"
"10005343","Queen's University Belfast","1,635","210","35","135","0","0","10","2,030"
"10037544","BIMM University","20","55","75","30","10","10","10","205"
"10007760","Birkbeck College","590","165","115","55","10","0","30","960"
"10007140","Birmingham City University","490","515","465","300","55","60","140","2,025"
"10006840","The University of Birmingham","2,595","525","180","235","35","30","660","4,260"
"10000712","University College Birmingham","20","80","55","60","35","15","0","260"
"10007832","Birmingham Newman University","50","40","20","20","5","0","0","135"
"10007811","Bishop Grosseteste University","60","25","15","10","0","0","5","115"
"10004061","Bloomsbury Institute","20","10","15","0","0","0","0","50"
"10006841","The University of Bolton","135","180","90","105","15","5","0","530"
"10000385","The Arts University Bournemouth","50","205","20","125","10","15","0","425"
"10000824","Bournemouth University","570","200","115","105","30","25","0","1,045"
"10007785","The University of Bradford","350","135","35","65","10","10","5","610"
"10000886","The University of Brighton","700","375","200","125","15","0","30","1,440"
"10000936","The University College of Osteopathy","5","5","25","10","10","0","5","65"
"10007786","The University of Bristol","2,635","420","230","160","15","10","205","3,675"
"10000961","Brunel University London","900","290","50","90","25","10","20","1,380"
"10000975","Buckinghamshire New University","125","240","90","75","20","15","5","570"
"10007788","The University of Cambridge","4,265","820","180","285","35","20","340","5,940"
"10003324","The Institute of Cancer Research","365","90","110","110","10","5","0","690"
"10001143","Canterbury Christ Church University","270","150","145","135","10","10","15","740"
"10007814","Cardiff University","2,205","430","225","200","25","45","280","3,410"
"10007854","Cardiff Metropolitan University","365","270","95","125","10","10","10","885"
"10001264","Central School of Ballet","0","0","5","0","0","0","0","15"
"10007141","The University of Central Lancashire","485","430","130","250","10","25","445","1,780"
"10024024","Central Film School London","0","0","5","0","0","0","0","5"
"10007848","University of Chester","360","220","70","55","10","0","0","710"
"10007137","The University of Chichester","145","150","110","100","40","20","0","565"
"10001386","Chicken Shed Theatre Company","0","0","0","20","0","5","0","25"
"10001478","City, University of London","865","570","190","130","35","20","20","1,830"
"10007912","Cliff College","10","0","0","0","0","0","0","10"
"10066502","The College of Health Ltd","0","0","5","0","0","0","0","10"
"10007761","Courtauld Institute of Art","45","5","20","20","0","0","0","90"
"10034324","Court Theatre Training Company Ltd","0","5","0","0","5","0","0","10"
"10001726","Coventry University","1,190","395","805","400","95","90","25","3,005"
"10007822","Cranfield University","500","65","120","40","5","15","5","755"
"10006427","University for the Creative Arts","90","130","110","80","15","15","20","460"
"10007842","University of Cumbria","115","195","130","110","25","5","0","575"
"10015688","David Game College Ltd","5","15","5","0","0","0","5","30"
"10001883","De Montfort University","585","440","210","180","35","15","45","1,510"
"10007851","University of Derby","520","470","235","155","50","30","30","1,490"
"10007852","The University of Dundee","905","270","50","140","15","25","35","1,440"
"10007143","University of Durham","1,655","400","105","225","15","65","65","2,530"
"10007789","The University of East Anglia","1,090","455","145","235","15","40","25","2,005"
"10007144","The University of East London","385","245","220","95","25","15","70","1,055"
"10032282","The Queen's Foundation for Ecumenical Theological Education","10","0","0","0","0","0","0","15"
"10007823","Edge Hill University","400","335","130","80","10","5","10","970"
"10007772","Edinburgh Napier University","560","120","135","90","20","5","5","940"
"10007790","The University of Edinburgh","2,620","420","1,145","655","95","105","2,825","7,870"
"10042570","Escape Studios","5","15","10","5","0","0","0","35"
"10007791","The University of Essex","810","335","90","40","15","10","235","1,540"
"10008173","University College of Estate Management","30","40","25","10","0","0","0","110"
"10007792","The University of Exeter","2,125","225","330","830","20","40","195","3,760"
"10008640","Falmouth University","85","165","65","85","10","15","5","430"
"10004511","The National Film and Television School","5","10","15","30","10","5","5","75"
"10022087","Futureworks","0","0","10","5","0","0","0","20"
"10007762","Glasgow Caledonian University","455","165","85","90","10","5","0","810"
"10002681","Glasgow School of Art","35","100","20","75","5","0","5","245"
"10007794","The University of Glasgow","3,410","385","130","1,370","15","170","110","5,585"
"10007145","University of Gloucestershire","250","210","135","85","10","5","0","695"
"10002718","Goldsmiths College","475","410","95","95","20","10","65","1,170"
"10007146","The University of Greenwich","640","260","200","25","0","10","20","1,155"
"10007825","Guildhall School of Music and Drama","70","220","190","220","60","40","0","805"
"10040812","Harper Adams University","85","40","30","55","15","5","5","235"
"10080811","Hartpury University","40","55","30","35","10","10","0","180"
"10007764","Heriot-Watt University","760","50","20","20","5","5","65","925"
"10007147","University of Hertfordshire","765","870","150","335","35","35","0","2,195"
"10007148","The University of Huddersfield","715","190","25","15","5","0","0","945"
"10007149","The University of Hull","600","85","180","75","20","10","5","970"
"10003239","ICON College of Technology and Management","10","5","5","0","0","0","0","25"
"10003270","Imperial College of Science, Technology and Medicine","3,170","565","130","240","5","30","250","4,395"
"10013220","Institute of Art - London Limited","15","5","0","0","0","0","0","20"
"10035638","Institute of Contemporary Music Performance","0","5","5","0","0","0","0","15"
"10082570","Kaplan International Colleges U.K. Limited","80","185","70","30","5","0","10","380"
"10021682","Kaplan Open Learning (Essex) Limited","10","10","5","5","0","0","0","30"
"10007767","Keele University","480","115","160","100","20","0","0","875"
"10007150","The University of Kent","865","290","55","125","15","10","5","1,365"
"10003645","King's College London","3,335","1,775","325","565","35","50","100","6,195"
"10003678","Kingston University","465","115","130","60","10","70","115","965"
"10003758","LAMDA Limited","0","15","10","30","5","0","0","60"
"10007768","The University of Lancaster","1,345","325","260","200","35","90","0","2,250"
"10003854","Leeds Arts University","25","85","25","30","5","0","0","170"
"10003861","Leeds Beckett University","625","315","310","165","25","25","0","1,460"
"10034449","Leeds Conservatoire","25","60","25","45","5","5","25","190"
"10007795","The University of Leeds","2,545","575","130","300","35","115","175","3,875"
"10003863","Leeds Trinity University","100","60","35","30","0","0","5","235"
"10082828","College of Legal Practice Limited","0","0","5","0","0","0","0","5"
"10007796","The University of Leicester","1,105","375","35","280","5","35","10","1,840"
"10089591","LIBF Limited","5","15","10","5","5","5","0","45"
"10007151","The University of Lincoln","735","430","135","180","35","30","5","1,555"
"10036456","Academy of Live Technology Ltd","0","0","5","0","0","0","0","10"
"10003956","Liverpool Hope University","220","55","25","20","0","0","0","325"
"10003957","Liverpool John Moores University","895","535","140","135","25","10","25","1,765"
"10003945","The Liverpool Institute for Performing Arts","5","30","15","30","5","10","0","100"
"10006842","The University of Liverpool","2,000","600","150","260","25","25","100","3,160"
"10003958","Liverpool School of Tropical Medicine","180","40","15","15","0","0","0","250"
"10007162","University of the Arts, London","480","640","645","430","50","45","440","2,740"
"10007769","London Business School","105","0","0","5","0","0","0","110"
"10007797","University of London (Institutes and activities)","75","5","5","0","0","0","0","90"
"10004036","London Film School Limited","0","15","10","5","0","10","0","45"
"10004048","London Metropolitan University","200","150","85","35","10","10","5","500"
"10004078","London South Bank University","350","275","345","155","35","20","135","1,305"
"10004063","London School of Economics and Political Science","930","500","80","155","0","5","235","1,910"
"10007771","London School of Hygiene and Tropical Medicine","635","255","160","25","5","0","20","1,105"
"10022285","London School of Management Education","10","0","10","0","0","0","0","20"
"10004075","London School of Theology","20","0","5","0","0","0","0","25"
"10062810","The London School of Architecture","0","0","0","0","0","0","0","5"
"10067623","The London Interdisciplinary School Ltd","10","5","0","0","0","0","0","20"
"10004113","Loughborough University","1,090","110","230","130","45","30","45","1,675"
"10009612","Luther King House Educational Trust","0","0","0","0","0","0","0","5"
"10004180","The Manchester Metropolitan University","1,090","430","495","305","60","100","20","2,500"
"10007798","The University of Manchester","3,975","860","235","240","55","20","0","5,385"
"10023453","Matrix College of Counselling and Psychotherapy Ltd","0","0","0","0","0","0","0","0"
"10020416","Missio Dei","0","0","0","0","0","0","0","5"
"10030776","St Mellitus College","20","0","0","10","0","0","0","30"
"10004320","The Metanoia Institute","25","30","20","5","0","0","0","85"
"10004351","Middlesex University","420","175","150","105","15","5","0","870"
"10023777","Mont Rose College of Management and Sciences","10","25","5","5","0","0","0","40"
"10023454","Moorlands College","10","10","5","0","0","0","0","20"
"10001444","National Centre for Circus Arts","0","0","10","15","5","5","0","35"
"10004538","Nazarene Theological College","20","0","0","0","0","0","0","20"
"10030129","Nelson College London Ltd","0","0","10","0","0","0","0","10"
"10007799","Newcastle University","2,110","365","70","305","25","200","25","3,095"
"10067406","New Model Institute for Technology and Engineering (NMITE)","10","0","0","5","0","0","0","15"
"10048199","Northeastern University London","90","5","5","5","0","0","15","120"
"10007138","The University of Northampton","300","320","105","155","45","15","5","950"
"10008816","Northern School of Contemporary Dance","0","5","10","5","0","0","0","25"
"10001282","University of Northumbria at Newcastle","1,195","280","60","145","20","15","50","1,765"
"10004775","Norwich University of the Arts","30","60","60","80","5","5","0","240"
"10007154","University of Nottingham","2,860","410","85","235","10","15","5","3,615"
"10004797","The Nottingham Trent University","1,015","695","390","425","30","45","80","2,680"
"10007773","The Open University","2,820","2,000","480","330","50","0","75","5,755"
"10004930","Oxford Brookes University","580","305","295","220","35","75","90","1,605"
"10007774","The University of Oxford","5,415","1,015","90","410","15","20","90","7,050"
"10004028","The Place, London Contemporary Dance School (LCDS)","5","10","10","0","5","5","0","30"
"10005127","Arts University Plymouth","10","55","25","30","0","0","0","120"
"10007801","University of Plymouth","810","235","310","215","55","10","85","1,720"
"10019178","Point Blank Music School","5","15","20","30","15","10","0","95"
"10007155","The University of Portsmouth","925","275","270","120","30","20","110","1,750"
"10005337","Queen Margaret University, Edinburgh","115","75","50","45","5","5","20","315"
"10007775","Queen Mary University of London","1,675","600","85","75","25","15","1,055","3,530"
"10009292","Royal Academy of Dramatic Art","0","10","20","15","10","5","10","70"
"10005378","Rambert School","0","0","5","0","5","0","0","15"
"10005389","Ravensbourne University London","30","70","60","65","20","5","5","250"
"10007802","The University of Reading","1,095","185","190","65","15","5","50","1,610"
"10008455","Regent College London","80","80","35","0","0","0","0","200"
"10005500","Robert Gordon University","210","175","125","105","20","10","35","680"
"10007776","Roehampton University","220","75","55","25","5","5","30","415"
"10005523","Rose Bruford College of Theatre and Performance","15","40","15","30","5","5","0","105"
"10007835","Royal Academy of Music","30","80","30","95","45","15","25","320"
"10005545","Royal Agricultural University","25","0","15","5","0","0","0","45"
"10007777","Royal College of Art","115","105","50","15","5","10","125","425"
"10007778","Royal College of Music","40","35","55","90","50","25","15","305"
"10005561","Royal Conservatoire of Scotland","50","35","135","75","15","10","40","355"
"10007816","The Royal Central School of Speech and Drama","25","0","35","15","0","5","0","85"
"10005553","Royal Holloway and Bedford New College","880","180","65","95","0","5","10","1,235"
"10007837","Royal Northern College of Music","50","65","110","55","20","10","5","320"
"10007779","The Royal Veterinary College","170","25","60","25","5","10","5","295"
"10007803","The University of St. Andrews","1,140","120","0","65","0","5","10","1,335"
"10007839","SAE Education Limited","5","20","10","15","0","0","0","55"
"10007782","St George's, University of London","215","40","105","50","5","5","35","450"
"10008026","St Mary's University College","20","40","5","0","0","0","0","60"
"10007843","St Mary's University, Twickenham","130","100","95","80","10","10","10","440"
"10007156","The University of Salford","460","235","180","190","30","20","55","1,175"
"10007780","SOAS University of London","355","90","100","15","5","5","35","605"
"10005700","SRUC","155","45","65","75","55","30","80","505"
"10005790","Sheffield Hallam University","855","525","370","185","25","15","165","2,135"
"10007157","The University of Sheffield","2,550","640","95","265","35","10","100","3,700"
"10006022","Solent University","125","150","145","85","40","10","0","555"
"10007158","The University of Southampton","1,935","265","245","115","30","10","45","2,645"
"10088214","S P Jain London School of Management Limited","0","0","0","0","0","0","0","0"
"10006093","Spurgeon's College","10","5","0","0","0","0","0","20"
"10006299","Staffordshire University","260","265","135","245","70","25","40","1,030"
"10007804","The University of Stirling","555","165","130","100","15","20","35","1,020"
"10037449","University of St Mark and St John","50","55","15","15","0","0","0","135"
"10008010","Stranmillis University College","30","25","5","5","0","0","0","65"
"10007805","The University of Strathclyde","1,355","275","100","145","10","10","115","2,010"
"10014001","University of Suffolk","115","80","40","40","5","0","0","280"
"10007159","The University of Sunderland","315","375","180","95","20","20","375","1,380"
"10007160","The University of Surrey","1,150","240","80","120","20","10","5","1,625"
"10007806","The University of Sussex","1,045","540","35","205","10","20","165","2,020"
"10007855","Swansea University","860","285","180","205","30","70","140","1,760"
"10083403","The Engineering and Design Institute London","10","0","5","0","0","0","0","15"
"10007161","Teesside University","435","315","110","110","20","20","0","1,010"
"10082743","ThinkSpace Education Limited","0","5","0","0","0","0","0","10"
"10008017","Trinity Laban Conservatoire of Music and Dance","45","80","95","115","35","30","25","425"
"10007858","University of Wales Trinity Saint David","330","225","185","65","20","10","40","870"
"10067648","University Academy 92 Limited","5","15","5","0","0","0","0","30"
"10007114","University of the Highlands and Islands","60","20","5","15","0","0","0","95"
"10007807","Ulster University","780","265","85","190","10","5","0","1,340"
"10039956","The University of Law","50","125","390","10","0","5","0","580"
"10007784","University College London","2,415","350","90","70","5","10","6,975","9,910"
"10007793","University of South Wales","405","350","315","230","70","30","410","1,810"
"10029843","Waltham International College Limited","5","10","25","0","0","0","0","40"
"10007163","The University of Warwick","2,145","380","300","135","25","30","490","3,500"
"10007361","Waverley Abbey College","5","10","0","0","0","0","0","20"
"10007164","University of the West of England, Bristol","980","525","390","380","50","55","90","2,465"
"10007800","The University of the West of Scotland","360","150","100","70","20","10","40","745"
"10006566","The University of West London","330","420","195","155","35","55","0","1,185"
"10007165","The University of Westminster","615","605","350","260","45","40","70","1,980"
"10003614","The University of Winchester","300","220","85","95","15","15","30","760"
"10007166","The University of Wolverhampton","325","250","95","130","5","15","60","875"
"10007139","University of Worcester","185","270","145","120","10","5","5","745"
"10007833","Wrexham University","55","75","55","35","5","5","0","230"
"10007657","Writtle University College","15","0","60","10","15","10","0","115"
"10007713","York St John University","210","85","55","50","10","5","25","445"
"10007167","The University of York","1,750","385","90","60","5","5","320","2,615"
"","Total","123,565","43,930","23,170","22,820","3,300","3,280","20,350","240,420"
