﻿Title:,"Table 3 - Emissions and waste"
Subtitle:,"Academic years 2015/16 to 2022/23"
Reference ID:,DT042 Table 3
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/estates/table-3
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/estates/table-3.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2024
Filters:,Country of HE provider,Choose a value... 
,Region of HE provider,Choose a value... 
,Academic year,2016/17 
Search:,


"UKPRN","HE provider","Total scope 1 and 2 carbon emissions (Kg CO2e)","Total volume of wastewater (m3)","Total scope 3 carbon emissions from waste (tonnes CO2e)","Total scope 3 carbon emissions from water supply (tonnes CO2e)","Total scope 3 carbon emissions from wastewater treatment (tonnes CO2e)","Total waste mass (tonnes)"
"10007783","The University of Aberdeen","35,369,694.318","171,805.580","129.439","65.769","",""
"10007849","Abertay University","2,292,708.567","","","4.810","","58.800"
"10007856","Aberystwyth University","10,801,008.798","159,902.000","","55.007","113.211","759.890"
"10000291","Anglia Ruskin University","7,923,955.510","61,433.783","11.518","22.245","43.495","533.455"
"10007759","Aston University","7,545,490.059","63,778.000","12.080","21.940","45.155","610.790"
"10007857","Bangor University","9,686,572.953","144,285.740","146.078","53.926","102.183","742.550"
"10000571","Bath Spa University","3,209,434.059","66,652.000","","24.135","47.402","492.407"
"10007850","The University of Bath","18,593,035.211","274,581.000","","104.951","194.403","2,181.100"
"10007152","University of Bedfordshire","5,266,509.631","40,691.100","10.221","15.553","30.803","504.273"
"10005343","Queen's University Belfast","22,950,101.832","244,847.000","90.584","88.661","250.816","20,743.583"
"10007760","Birkbeck College","2,751,745.574","11,924.000","4.880","11.719","8.442","224.000"
"10007140","Birmingham City University","8,795,445.348","68,924.200","","23.931","48.798","13,006.778"
"10006840","The University of Birmingham","45,901,419.846","514,775.000","61.800","177.083","364.461","4,512.300"
"10000712","University College Birmingham","3,644,127.715","84,017.570","","28.902","59.484","2,287.300"
"10007832","Birmingham Newman University","950,852.578","9,735.000","","5.056","6.892","76.000"
"10007811","Bishop Grosseteste University","563,034.501","6,988.480","532.790","1.244","5.053","330.321"
"10006841","The University of Bolton","2,600,354.801","30,949.390","","12.832","22.213","1,252.300"
"10000385","The Arts University Bournemouth","1,414,571.327","20,704.000","2,863.677","7.117","14.658","361.701"
"10000824","Bournemouth University","5,124,602.323","75,436.000","","27.316","53.712","2,082.440"
"10007785","The University of Bradford","6,255,889.564","70,536.000","6.400","25.541","50.166","708.050"
"10000886","The University of Brighton","9,241,575.902","96,990.000","15.360","42.180","68.693","4,233.801"
"10000936","The University College of Osteopathy","274,090.686","3,317.918","","1.141","2.349","39.142"
"10007786","The University of Bristol","39,484,259.510","318,679.000","","121.806","226.312","3,549.508"
"10000961","Brunel University London","16,147,442.911","433,646.000","33.000","149.174","307.552","1,560.860"
"10000975","Buckinghamshire New University","3,155,881.997","39,067.000","0.000","13.546","27.659","380.130"
"10007788","The University of Cambridge","65,392,992.578","299,322.000","134.652","114.408","216.269","19,849.056"
"10003324","The Institute of Cancer Research","6,590,865.954","25,436.000","15.150","9.722","18.009","673.550"
"10001143","Canterbury Christ Church University","6,361,532.042","112,792.000","15,516.000","46.557","79.857","735.890"
"10007814","Cardiff University","29,372,898.081","346,236.000","","126.055","245.843","14,883.781"
"10007854","Cardiff Metropolitan University","4,139,574.296","63,047.000","17.320","22.828","44.840","791.907"
"10007141","The University of Central Lancashire","10,515,619.291","91,161.349","16,982.198","34.413","66.139","1,224.029"
"10007848","University of Chester","11,040,114.728","121,629.450","","44.042","149.224","977.832"
"10007137","The University of Chichester","2,521,790.661","55,215.900","","19.994","39.093","733.031"
"10001478","City, University of London","7,145,005.553","22,636.000","47,480.000","15.891","16.026","1,244.000"
"10001653","Conservatoire for Dance and Drama","1,769,037.211","778,823.283","0.800","6.844","551.407","2,328.318"
"10007761","Courtauld Institute of Art","526,737.885","16,697.590","11.832","4.884","21.874","406.415"
"10001726","Coventry University","11,035,983.258","81,432.000","","28.012","59.240","7,469.290"
"10007822","Cranfield University","12,000,343.551","4,643.430","21.418","57.734","3.288","1,142.385"
"10006427","University for the Creative Arts","3,694,735.932","61,769.080","22.773","21.787","43.733","531.823"
"10007842","University of Cumbria","4,187,652.714","30,001.000","65.034","11.945","21.241","1,194.598"
"10001883","De Montfort University","8,598,618.507","61,523.140","818.730","21.164","43.616","936.034"
"10007851","University of Derby","9,269,260.560","111,228.000","","40.487","78.749","1,025.780"
"10007852","The University of Dundee","","","48.700","58.832","","1,396.770"
"10007143","University of Durham","27,782,056.876","477,926.000","71.000","163.707","340.718","3,411.607"
"10007789","The University of East Anglia","21,771,266.159","218,142.630","3,348.905","105.509","156.839","1,510.143"
"10007144","The University of East London","5,646,944.009","103,504.104","","35.605","73.654","609.430"
"10007823","Edge Hill University","6,497,641.362","94,358.400","","40.490","66.806","523,286.000"
"10007772","Edinburgh Napier University","4,852,308.741","27,493.950","334.600","9.956","19.466","2,162.290"
"10007790","The University of Edinburgh","68,453,242.335","500,686.350","248.450","199.955","354.486","13,469.200"
"10007791","The University of Essex","11,855,502.562","208,724.736","32.304","79.929","147.834","7,487.630"
"10007792","The University of Exeter","18,300,473.069","230,831.000","","83.585","167.344","1,088.290"
"10008640","Falmouth University","3,717,646.054","45,889.750","212.000","16.617","32.490","214.275"
"10004511","The National Film and Television School","721,594.246","7,068.000","","1.692","5.004","127.020"
"10007762","Glasgow Caledonian University","6,516,210.140","41,096.000","83.890","14.881","29.096","464.270"
"10002681","Glasgow School of Art","2,508,164.980","","4.077","5.774","",""
"10007794","The University of Glasgow","39,079,872.339","279,103.000","567.200","101.064","197.605",""
"10007145","University of Gloucestershire","2,427,645.571","29,850.010","16.815","10.268","21.134","385.914"
"10002718","Goldsmiths College","3,860,756.137","58,545.000","","20.140","41.450","895.889"
"10007146","The University of Greenwich","8,117,070.230","91,643.000","20.605","32.478","64.883","4,638.104"
"10007825","Guildhall School of Music and Drama","2,044,971.234","12,000.000","11,934.534","10.590","8.496","539.457"
"10040812","Harper Adams University","3,130,284.043","80,508.163","","29.152","119.721","1,111.390"
"10007764","Heriot-Watt University","14,749,600.001","337,373.000","370.524","122.165","250.575","1,341.078"
"10007147","University of Hertfordshire","18,426,975.193","308,992.497","","111.888","218.767","1,250.658"
"10007148","The University of Huddersfield","7,550,078.716","47,088.000","","17.051","33.338","465.433"
"10007149","The University of Hull","14,117,716.653","151,646.600","172.454","76.421","107.527","8,619.053"
"10003270","Imperial College of Science, Technology and Medicine","75,787,075.160","673,872.000","117.323","231.812","477.101","60,533.955"
"10007767","Keele University","9,272,150.372","369,472.000","2,921.480","127.098","262.015","2,048.910"
"10007150","The University of Kent","13,777,513.060","250,676.633","56.565","90.771","177.479","2,380.639"
"10003645","King's College London","36,531,997.629","338,627.310","66.622","116.488","240.455","4,321.686"
"10003678","Kingston University","9,095,105.336","237,955.000","37.200","81.856","168.472","8,272.543"
"10007768","The University of Lancaster","18,648,555.300","429,869.000","","147.875","304.517","2,328.000"
"10003854","Leeds Arts University","724,290.820","9,524.000","0.000","3.276","6.743","247.800"
"10003861","Leeds Beckett University","9,889,093.842","94,047.160","173.310","34.055","66.748","2,168.010"
"10007795","The University of Leeds","48,478,544.726","743,300.460","56.520","261.052","526.257","3,910.470"
"10003863","Leeds Trinity University","2,024,316.958","36,842.000","","13.341","26.084","254.519"
"10007796","The University of Leicester","23,644,070.727","307,486.396","45.073","105.775","217.922","1,907.355"
"10007151","The University of Lincoln","7,236,148.401","65,825.000","17.541","25.160","46.604","24,914.877"
"10003956","Liverpool Hope University","3,958,721.664","68,359.000","8.000","23.877","48.398","366.971"
"10003957","Liverpool John Moores University","8,431,140.000","56,297.000","26.400","19.366","39.858","981.462"
"10003945","The Liverpool Institute for Performing Arts","783,185.003","5,745.000","","1.976","4.067","69.881"
"10006842","The University of Liverpool","46,212,159.089","322,382.000","39,417.000","110.395","228.246","3,314.730"
"10003958","Liverpool School of Tropical Medicine","1,633,459.678","5,274.827","2.510","3.204","3.735","87.326"
"10007162","University of the Arts, London","6,592,035.686","174,917.925","23.660","60.172","123.842","1,087.308"
"10007769","London Business School","2,677,653.703","37,518.000","","12.907","26.563","653.430"
"10007797","University of London (Institutes and activities)","7,796,577.000","222,107.480","","76.405","157.252","889.130"
"10004048","London Metropolitan University","4,656,185.981","46,948.360","9.237","16.707","33.239","423.750"
"10004078","London South Bank University","6,091,969.215","160,502.319","24.399","55.213","113.636","5,536.891"
"10004063","London School of Economics and Political Science","9,700,225.714","215,783.000","53.131","74.341","154.334","1,690.393"
"10007771","London School of Hygiene and Tropical Medicine","2,622,613.510","12,409.000","3.730","12.197","8.786","191.400"
"10004113","Loughborough University","20,990,352.543","347,443.000","119.960","119.521","245.990","2,821.469"
"10004180","The Manchester Metropolitan University","13,443,510.986","164,464.043","37.683","56.576","121.907","13,511.210"
"10007798","The University of Manchester","60,233,305.448","807,247.488","9,551.700","277.693","571.531","79,868.705"
"10004351","Middlesex University","6,896,488.177","30,061.000","9.340","10.341","21.283","650.000"
"10007799","Newcastle University","31,600,223.990","335,297.000","41.000","115.342","237.625","5,041.000"
"10007138","The University of Northampton","6,263,709.334","93,526.000","0.000","35.748","66.662","696.821"
"10001282","University of Northumbria at Newcastle","13,589,409.619","219,062.000","34.296","79.324","156.158","1,504.462"
"10004775","Norwich University of the Arts","748,344.253","6,380.000","","2.385","4.517","248.846"
"10007154","University of Nottingham","50,726,859.124","724,804.000","66.000","277.036","556.339","3,114.000"
"10004797","The Nottingham Trent University","12,315,252.467","95,623.524","30.292","34.626","67.701","1,637.584"
"10007773","The Open University","9,456,421.876","53,040.000","","19.542","37.862","2,069.000"
"10004930","Oxford Brookes University","11,530,283.063","217,952.000","","75.198","155.844","1,333.983"
"10007774","The University of Oxford","53,771,819.038","180,631.195","","89.406","135.871","2,428.420"
"10005127","Arts University Plymouth","766,146.222","5,904.000","","2.031","4.180","9,120.210"
"10007801","University of Plymouth","8,058,601.161","79,627.000","156.000","27.392","56.792","1,784.080"
"10007155","The University of Portsmouth","10,610,033.529","152,850.160","33.597","55.348","108.218","1,513.353"
"10005337","Queen Margaret University, Edinburgh","1,731,293.295","44,054.000","4.064","17.615","31.190","186.805"
"10007775","Queen Mary University of London","18,722,036.471","111,323.160","","57.449","78.817","1,969.524"
"10005389","Ravensbourne University London","1,317,222.756","3,583.880","","1.233","2.537","89.800"
"10007802","The University of Reading","12,406,839.764","164,504.516","18.665","57.865","144.192","1,766.930"
"10005500","Robert Gordon University","6,659,907.261","103,728.000","21.700","37.704","73.439","814.480"
"10007776","Roehampton University","5,690,104.870","117,752.628","","40.507","83.369","4,572.400"
"10005523","Rose Bruford College of Theatre and Performance","627,043.095","7,025.000","27.000","2.417","4.974","154.000"
"10007835","Royal Academy of Music","766,241.859","7,840.000","","2.697","5.551","77.255"
"10005545","Royal Agricultural University","1,112,875.643","20,504.440","22.821","7.425","14.656","193.700"
"10007777","Royal College of Art","2,238,111.008","21,870.000","10.863","7.523","15.484","517.268"
"10007778","Royal College of Music","1,185,831.017","6.790","","3.170","0.005","72.000"
"10007816","The Royal Central School of Speech and Drama","507,249.047","5,260.000","0.000","1.809","3.724","135.077"
"10005553","Royal Holloway and Bedford New College","10,505,064.020","134,921.610","","48.600","95.524","1,422.236"
"10007837","Royal Northern College of Music","1,063,437.607","4,408.000","2.660","1.516","3.121","124.246"
"10007779","The Royal Veterinary College","5,417,457.060","75,340.000","0.000","47.144","56.173","1,470.000"
"10007803","The University of St. Andrews","18,282,211.120","292,880.000","451.990","111.786","208.350","2,700.000"
"10007782","St George's, University of London","6,896,495.196","111,014.000","6.127","38.189","107.157","591.227"
