﻿Title:,"Table 59 - UK permanent address HE students by HE provider and permanent address"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT051 Table 59
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/students/table-59
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/students/table-59.zip
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Level of study,All 
,Mode of study,All 
,Academic year,2017/18 
Search:,


"UKPRN","HE Provider","Channel Islands not otherwise specified","Isle of Man","Total Other UK","Not known","Total"
"10008071","AA School of Architecture","0","0","0","0","100"
"10007783","The University of Aberdeen","5","10","10","0","9,590"
"10019746","ABI College Limited","0","0","0","0","105"
"10007849","Abertay University","0","0","0","0","3,420"
"10007856","Aberystwyth University","5","10","15","0","6,800"
"10000080","Access to Music Limited","0","0","0","0","45"
"10000248","Academy of Live and Recorded Arts","0","0","0","0","245"
"10000163","AECC University College","5","0","5","0","260"
"10000291","Anglia Ruskin University","10","5","20","5","20,415"
"10041898","Apex College","0","0","0","0","50"
"10005451","Arden University","0","0","5","5","3,690"
"10000381","Arts Educational Schools","0","0","5","0","260"
"10007759","Aston University","5","5","10","0","12,185"
"10007857","Bangor University","10","25","35","0","8,665"
"10000571","Bath Spa University","15","5","20","0","7,425"
"10007850","The University of Bath","60","15","80","5","12,325"
"10007152","University of Bedfordshire","10","0","10","0","10,350"
"10005343","Queen's University Belfast","5","20","25","0","20,880"
"10037544","BIMM University","25","10","35","0","4,515"
"10007760","Birkbeck College","0","0","5","0","10,580"
"10007140","Birmingham City University","10","0","15","5","21,650"
"10006840","The University of Birmingham","35","20","115","60","26,705"
"10000712","University College Birmingham","0","0","0","0","3,420"
"10007832","Birmingham Newman University","0","0","0","0","2,740"
"10000894","Bristol Baptist College","0","0","0","0","45"
"10007811","Bishop Grosseteste University","0","0","0","0","2,240"
"10004061","Bloomsbury Institute","0","0","0","0","1,560"
"10006841","The University of Bolton","0","0","0","0","6,025"
"10000385","The Arts University Bournemouth","50","5","55","0","2,965"
"10000824","Bournemouth University","55","5","60","0","16,385"
"10031982","BPP University","20","5","30","0","6,700"
"10007785","The University of Bradford","5","5","10","0","8,610"
"10000886","The University of Brighton","135","5","140","0","18,800"
"10000936","The University College of Osteopathy","5","0","5","0","440"
"10007786","The University of Bristol","40","15","55","0","18,980"
"10028216","Brit College","0","0","0","0","560"
"10023464","Trinity College Bristol","0","0","0","0","170"
"10000961","Brunel University London","10","0","15","0","10,320"
"10000975","Buckinghamshire New University","10","5","15","0","8,305"
"10007787","The University of Buckingham","5","0","10","0","1,950"
"10022021","UK College of Business and Computing","0","0","0","0","750"
"10041974","London College of Business Sciences","0","0","0","0","60"
"10010308","Cambridge Arts and Sciences Limited","0","0","0","0","30"
"10007788","The University of Cambridge","10","0","10","0","13,460"
"10032072","The Cambridge Theological Federation","0","0","0","0","220"
"10003324","The Institute of Cancer Research","0","0","0","0","255"
"10001143","Canterbury Christ Church University","20","0","25","5","13,640"
"10007814","Cardiff University","40","10","55","10","23,960"
"10007854","Cardiff Metropolitan University","10","0","15","0","9,120"
"10007141","The University of Central Lancashire","10","30","40","0","20,725"
"10007848","University of Chester","10","60","75","0","14,505"
"10007137","The University of Chichester","30","0","30","0","5,345"
"10001386","Chicken Shed Theatre Company","0","0","0","0","85"
"10001546","The College of Integrated Chinese Medicine","0","0","0","0","125"
"10001419","Christie's Education Limited","0","0","0","0","20"
"10026921","Christ the Redeemer College","0","0","0","0","20"
"10010213","The City College","0","0","0","0","380"
"10001478","City, University of London","10","5","15","0","12,405"
"10007912","Cliff College","0","0","0","0","135"
"10013357","The Academy of Contemporary Music","0","0","5","0","995"
"10001653","Conservatoire for Dance and Drama","0","0","0","0","930"
"10007761","Courtauld Institute of Art","0","0","0","0","330"
"10034324","Court Theatre Training Company Ltd","0","0","0","0","35"
"10001726","Coventry University","10","0","10","0","22,850"
"10007822","Cranfield University","0","0","10","5","2,200"
"10006427","University for the Creative Arts","10","0","15","5","5,770"
"10007842","University of Cumbria","10","10","20","0","7,345"
"10001883","De Montfort University","25","20","50","5","20,990"
"10007851","University of Derby","5","10","20","5","16,960"
"10007852","The University of Dundee","10","10","20","0","13,020"
"10007143","University of Durham","40","25","65","0","13,155"
"10007789","The University of East Anglia","15","10","20","0","13,995"
"10007144","The University of East London","5","5","10","0","11,775"
"10032282","The Queen's Foundation for Ecumenical Theological Education","0","0","0","0","355"
"10007823","Edge Hill University","15","60","75","0","13,985"
"10007772","Edinburgh Napier University","5","5","10","5","10,535"
"10007790","The University of Edinburgh","35","25","65","5","20,865"
"10022047","Empire College London Limited","0","0","0","0","145"
"10042570","Escape Studios","0","0","0","0","770"
"10007791","The University of Essex","15","0","15","0","10,380"
"10002113","East End Computing and Business College Limited","0","0","0","0","270"
"10008173","University College of Estate Management","0","0","5","5","2,750"
"10007792","The University of Exeter","105","15","120","5","18,035"
"10008640","Falmouth University","20","5","25","0","5,350"
"10033187","Fairfield School of Business Ltd","0","0","75","75","725"
"10045476","Met Film School Limited","0","0","0","0","125"
"10004511","The National Film and Television School","0","0","0","0","200"
"10038763","ForMission Ltd","0","0","0","0","180"
"10022087","Futureworks","0","0","0","0","470"
"10007762","Glasgow Caledonian University","0","0","0","0","14,435"
"10002681","Glasgow School of Art","0","0","5","5","1,515"
"10007794","The University of Glasgow","5","5","10","0","20,910"
"10007145","University of Gloucestershire","5","5","10","0","7,990"
"10002718","Goldsmiths College","10","0","10","0","7,475"
"10030408","Gower College Swansea","0","0","0","0","130"
"10007146","The University of Greenwich","5","5","10","0","15,150"
"10007937","GSM London","0","0","0","0","5,495"
"10007825","Guildhall School of Music and Drama","0","0","0","0","730"
"10040812","Harper Adams University","5","5","15","0","5,120"
"10007764","Heriot-Watt University","10","5","15","0","7,765"
"10007147","University of Hertfordshire","5","5","15","0","20,435"
"10007765","Heythrop College","0","0","0","0","180"
"10007148","The University of Huddersfield","0","15","15","0","14,855"
"10007149","The University of Hull","5","15","25","5","13,655"
"10003239","ICON College of Technology and Management","0","0","0","0","1,095"
"10003270","Imperial College of Science, Technology and Medicine","5","0","5","0","8,815"
"10004023","London College of International Business Studies Ltd","0","0","0","0","10"
"10035638","Institute of Contemporary Music Performance","0","0","0","0","625"
"10029682","The Islamic College","0","0","0","0","60"
"10021682","Kaplan Open Learning (Essex) Limited","0","0","0","0","875"
"10007767","Keele University","15","15","30","0","9,755"
"10003566","Kensington College of Business","0","0","0","0","440"
"10007150","The University of Kent","35","20","60","5","15,280"
"10003645","King's College London","25","10","35","0","21,095"
"10008325","KLC School of Design","0","0","0","0","180"
"10003678","Kingston University","15","5","20","0","14,650"
"10009285","Kogan Academy of Dramatic Arts","0","0","0","0","10"
"10007768","The University of Lancaster","25","35","60","0","9,530"
"10066551","LCCM AU UK Limited","0","0","0","0","160"
"10003854","Leeds Arts University","0","5","5","0","1,480"
"10003861","Leeds Beckett University","15","35","50","0","22,185"
"10007795","The University of Leeds","30","25","60","5","26,335"
"10003863","Leeds Trinity University","0","0","0","0","3,315"
"10007796","The University of Leicester","15","15","45","15","13,080"
"10007151","The University of Lincoln","5","5","10","0","13,770"
"10003956","Liverpool Hope University","5","20","25","0","5,010"
"10003957","Liverpool John Moores University","30","65","95","0","21,595"
"10003945","The Liverpool Institute for Performing Arts","5","0","5","0","625"
"10006842","The University of Liverpool","55","50","120","20","20,830"
"10003958","Liverpool School of Tropical Medicine","0","0","0","0","265"
"10007820","Grŵp Llandrillo Menai","0","0","0","0","1,405"
"10007162","University of the Arts, London","20","5","25","0","9,795"
