﻿Title:,"Table 1 - HE student enrolments by HE provider"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT051 Table 1
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/students/table-1
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/students/table-1.zip
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Entrant marker,All 
,Level of study,All 
,Mode of study,All 
,Academic year,2014/15 
Search:,


"UKPRN","HE provider","England","Scotland","Wales","Northern Ireland","Other UK","Total UK","European Union","Non-European Union","Total Non-UK","Not known","Total"
"10007783","The University of Aberdeen","1,485","8,310","35","230","5","10,065","2,455","1,515","3,970","0","14,035"
"10019746","ABI College Limited","110","0","0","0","0","110","0","0","0","0","110"
"10007849","Abertay University","195","3,395","5","155","0","3,750","365","110","475","0","4,220"
"10007856","Aberystwyth University","4,765","45","3,570","60","20","8,460","765","615","1,375","0","9,835"
"10000080","Access to Music Limited","65","0","0","0","0","65","0","0","5","0","70"
"10000248","Academy of Live and Recorded Arts","175","10","5","0","0","190","5","5","10","0","195"
"10000291","Anglia Ruskin University","16,880","55","90","75","5","17,110","835","1,885","2,720","0","19,830"
"10000381","Arts Educational Schools","200","10","10","5","5","230","10","5","15","0","245"
"10007759","Aston University","8,275","75","145","35","5","8,540","755","1,775","2,530","0","11,070"
"10007857","Bangor University","4,250","50","4,075","65","35","8,475","385","1,905","2,295","0","10,765"
"10000571","Bath Spa University","6,100","10","440","40","30","6,625","190","570","755","0","7,380"
"10007850","The University of Bath","9,970","125","740","135","90","11,060","1,440","3,070","4,510","0","15,570"
"10007152","University of Bedfordshire","12,170","20","50","50","10","12,295","695","2,665","3,360","0","15,655"
"10005343","Queen's University Belfast","1,005","90","40","20,100","30","21,265","940","1,650","2,590","0","23,855"
"10037544","BIMM University","1,980","15","105","5","10","2,120","85","20","105","0","2,225"
"10007760","Birkbeck College","12,425","30","35","10","5","12,505","720","715","1,435","0","13,935"
"10007140","Birmingham City University","20,050","85","325","65","10","20,540","660","2,135","2,795","0","23,335"
"10006840","The University of Birmingham","24,630","200","730","100","205","25,860","1,455","6,840","8,295","0","34,160"
"10000712","University College Birmingham","3,600","5","60","15","0","3,680","465","710","1,175","0","4,855"
"10007832","Birmingham Newman University","2,690","0","15","5","0","2,710","10","0","15","0","2,725"
"10007811","Bishop Grosseteste University","2,280","0","5","0","0","2,290","5","0","5","0","2,290"
"10004061","Bloomsbury Institute","940","0","0","0","0","940","0","0","0","0","940"
"10006841","The University of Bolton","5,760","15","50","25","0","5,845","190","350","540","0","6,385"
"10000385","The Arts University Bournemouth","2,415","10","45","15","45","2,525","175","255","430","0","2,955"
"10000824","Bournemouth University","15,220","55","225","45","105","15,650","940","1,635","2,575","0","18,225"
"10031982","BPP University","3,725","50","35","5","10","3,825","170","840","1,010","0","4,835"
"10007785","The University of Bradford","9,445","35","60","30","10","9,585","665","1,275","1,940","0","11,520"
"10000886","The University of Brighton","17,340","50","140","80","160","17,775","1,145","1,765","2,910","0","20,685"
"10007786","The University of Bristol","15,425","180","815","160","50","16,635","1,045","3,875","4,915","0","21,555"
"10028216","Brit College","320","0","0","0","0","320","220","0","220","0","535"
"10000961","Brunel University London","9,175","25","105","25","10","9,340","810","3,570","4,385","0","13,720"
"10000975","Buckinghamshire New University","8,005","40","100","70","5","8,220","455","360","810","0","9,035"
"10007787","The University of Buckingham","1,320","20","15","5","5","1,365","135","745","880","0","2,245"
"10022021","UK College of Business and Computing","1,705","0","0","0","0","1,705","0","0","0","0","1,705"
"10019368","London College of Business Studies","510","0","0","0","0","510","0","0","0","0","510"
"10007788","The University of Cambridge","12,210","360","295","250","30","13,145","2,370","3,995","6,370","0","19,515"
"10003324","The Institute of Cancer Research","270","0","0","0","0","275","15","5","20","0","300"
"10001143","Canterbury Christ Church University","14,950","45","60","80","30","15,170","605","245","850","0","16,020"
"10007814","Cardiff University","11,815","105","11,315","185","75","23,490","1,315","5,675","6,990","0","30,480"
"10007854","Cardiff Metropolitan University","3,230","30","5,620","55","20","8,950","380","4,340","4,720","0","13,670"
"10007141","The University of Central Lancashire","22,115","160","295","150","55","22,775","635","2,250","2,880","0","25,655"
"10007848","University of Chester","11,995","40","1,600","130","75","13,840","250","1,035","1,285","0","15,130"
"10007137","The University of Chichester","5,220","10","35","10","35","5,305","55","85","140","0","5,445"
"10001386","Chicken Shed Theatre Company","75","0","0","0","0","75","0","0","0","0","75"
"10001546","The College of Integrated Chinese Medicine","200","0","5","0","0","210","5","0","5","0","210"
"10010213","The City College","260","0","0","0","0","260","0","0","0","0","260"
"10001478","City, University of London","10,870","60","85","45","5","11,065","2,145","5,070","7,215","0","18,280"
"10013357","The Academy of Contemporary Music","700","5","10","0","0","720","35","10","45","0","765"
"10001653","Conservatoire for Dance and Drama","795","35","30","5","0","870","175","215","390","0","1,260"
"10007761","Courtauld Institute of Art","300","5","5","0","0","310","65","95","160","0","470"
"10001726","Coventry University","18,160","50","200","80","15","18,500","1,750","7,350","9,100","0","27,600"
"10007822","Cranfield University","1,700","60","65","5","5","1,835","1,050","1,270","2,320","0","4,150"
"10006427","University for the Creative Arts","4,035","10","55","30","5","4,135","335","335","670","0","4,805"
"10007842","University of Cumbria","8,185","290","110","165","30","8,775","165","125","290","0","9,065"
"10001883","De Montfort University","16,520","70","170","60","20","16,840","660","2,150","2,810","0","19,650"
"10007851","University of Derby","14,225","130","180","75","20","14,625","625","685","1,305","0","15,935"
"10007852","The University of Dundee","2,560","9,255","85","740","25","12,660","1,155","1,360","2,515","0","15,180"
"10007143","University of Durham","12,215","210","250","180","100","12,960","960","3,680","4,640","0","17,595"
"10007789","The University of East Anglia","11,865","40","110","70","15","12,100","720","3,345","4,065","0","16,165"
"10007144","The University of East London","13,855","40","90","60","15","14,060","565","1,220","1,785","15","15,855"
"10007823","Edge Hill University","15,270","30","350","205","60","15,915","120","135","255","0","16,170"
"10007772","Edinburgh Napier University","985","9,030","55","275","5","10,355","1,610","1,160","2,770","0","13,125"
"10007790","The University of Edinburgh","6,950","11,110","210","445","90","18,805","3,335","6,745","10,075","0","28,880"
"10022047","Empire College London Limited","120","0","0","0","0","120","0","0","0","0","120"
"10042570","Escape Studios","145","0","0","0","0","145","5","0","5","0","155"
"10007791","The University of Essex","9,585","35","85","25","15","9,745","1,755","2,940","4,690","0","14,435"
"10002113","East End Computing and Business College Limited","485","0","0","0","0","485","0","0","0","0","485"
"10008229","EThames Graduate School Limited","580","0","0","0","0","580","0","5","5","0","585"
"10007792","The University of Exeter","14,170","130","820","105","105","15,330","1,265","3,965","5,225","0","20,555"
"10008640","Falmouth University","3,780","15","135","20","30","3,975","100","205","305","0","4,280"
"10033187","Fairfield School of Business Ltd","585","0","0","0","0","585","5","0","5","0","585"
"10045476","Met Film School Limited","65","5","0","0","0","70","35","40","75","0","145"
"10004511","The National Film and Television School","155","5","0","0","0","165","30","30","60","0","225"
"10038763","ForMission Ltd","145","5","0","0","0","150","0","0","0","0","155"
"10022087","Futureworks","175","0","0","0","0","175","5","0","5","0","180"
"10007762","Glasgow Caledonian University","585","13,870","30","185","5","14,680","690","1,560","2,255","0","16,930"
"10002681","Glasgow School of Art","390","905","10","35","0","1,340","230","265","500","0","1,840"
"10007794","The University of Glasgow","2,625","16,030","65","745","10","19,480","3,200","4,130","7,335","0","26,815"
"10007145","University of Gloucestershire","6,955","25","395","80","20","7,475","85","300","380","0","7,855"
"10002718","Goldsmiths College","5,860","45","110","25","10","6,050","785","1,330","2,115","0","8,165"
"10002735","Grafton College","845","0","0","0","0","845","125","5","135","0","975"
"10007146","The University of Greenwich","16,775","65","120","70","15","17,045","1,150","3,095","4,245","0","21,295"
"10007937","GSM London","7,040","5","5","0","0","7,050","30","135","165","0","7,215"
