﻿Title:,"Table 59 - UK permanent address HE students by HE provider and permanent address"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT051 Table 59
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/students/table-59
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/students/table-59.zip
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Level of study,All 
,Mode of study,All 
,Academic year,2019/20 
Search:,


"UKPRN","HE Provider","Antrim and Newtownabbey","Armagh, Banbridge and Craigavon","Belfast","Causeway Coast and Glens","Derry and Strabane","Fermanagh and Omagh","Lisburn and Castlereagh","Mid Ulster","Mid and East Antrim","North Down and Ards","Newry, Mourne and Down","Northern Ireland (district council area unknown)","Total Northern Ireland","Total"
"10008071","AA School of Architecture","0","0","0","0","0","0","0","0","0","0","0","0","0","90"
"10007783","The University of Aberdeen","10","20","25","10","10","5","20","10","10","30","10","5","170","10,040"
"10007849","Abertay University","0","0","10","5","0","0","0","0","0","0","0","0","20","3,675"
"10007856","Aberystwyth University","5","5","15","10","5","5","5","5","10","5","10","0","80","6,320"
"10067853","ACM Guildford Limited","0","0","0","0","0","0","0","0","0","0","0","0","5","955"
"10000248","Academy of Live and Recorded Arts","0","0","0","0","0","0","0","0","0","0","0","0","0","245"
"10000163","AECC University College","0","0","0","0","0","0","0","0","0","0","0","0","5","445"
"10032036","Amity Global Education","0","0","0","0","0","0","0","0","0","0","0","0","0","50"
"10000291","Anglia Ruskin University","5","15","10","5","5","5","5","0","0","5","5","0","60","22,040"
"10041898","Apex College","0","0","0","0","0","0","0","0","0","0","0","0","0","105"
"10005451","Arden University","0","0","0","0","0","0","0","0","0","0","0","0","5","6,220"
"10000381","Arts Educational Schools","0","0","0","0","0","0","0","0","0","0","0","0","5","245"
"10003212","Hult International Business School Ltd","0","0","0","0","0","0","0","0","0","0","0","0","0","65"
"10007759","Aston University","0","0","5","0","5","0","5","0","0","0","0","0","25","13,025"
"10007857","Bangor University","5","10","10","5","5","5","5","5","10","10","10","0","85","7,710"
"10000571","Bath Spa University","5","5","5","10","5","0","5","0","5","10","0","0","50","8,080"
