﻿Title:,"Table 3 - Emissions and waste"
Subtitle:,"Academic years 2015/16 to 2022/23"
Reference ID:,DT042 Table 3
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/estates/table-3
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/estates/table-3.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2024
Filters:,Country of HE provider,Choose a value... 
,Region of HE provider,Choose a value... 
,Academic year,2018/19 
Search:,


"UKPRN","HE provider","Total scope 1 and 2 carbon emissions (Kg CO2e)","Total volume of wastewater (m3)","Total scope 3 carbon emissions from waste (tonnes CO2e)","Total scope 3 carbon emissions from water supply (tonnes CO2e)","Total scope 3 carbon emissions from wastewater treatment (tonnes CO2e)","Total waste mass (tonnes)"
"10007783","The University of Aberdeen","30,367,579.529","143,303.710","21.177","54.983","106.843",""
"10007849","Abertay University","2,025,643.690","","","4.403","","62.000"
"10007856","Aberystwyth University","9,823,672.370","138,912.160","","87.467","98.350","552.670"
"10000163","AECC University College","385,184.180","2,916.500","24.040","1.056","2.065","59.320"
"10000291","Anglia Ruskin University","6,005,516.418","73,194.108","10.359","26.504","51.821","491.209"
"10007759","Aston University","6,398,041.653","186,437.000","12.280","64.134","131.997","611.010"
"10007857","Bangor University","7,589,767.161","121,559.780","","52.326","86.095","795.210"
"10000571","Bath Spa University","2,486,984.472","68,075.100","","24.651","48.410","561.000"
"10007850","The University of Bath","15,741,419.634","246,616.000","","94.262","174.604","2,181.100"
"10007152","University of Bedfordshire","3,852,088.987","41,421.600","5.680","15.832","31.026","293.632"
"10005343","Queen's University Belfast","22,419,802.289","299,872.000","101.909","108.585","296.445","3,688.268"
"10007760","Birkbeck College","1,985,649.671","10,312.400","6.234","10.136","7.301","291.940"
"10007140","Birmingham City University","9,348,323.039","91,027.000","13.846","31.313","64.447","678.161"
"10000712","University College Birmingham","3,102,714.214","95,130.670","","32.725","67.353","2,287.300"
"10007832","Birmingham Newman University","963,545.897","9,735.000","","5.007","6.892","82.000"
"10007811","Bishop Grosseteste University","897,127.757","32,579.300","532.790","11.807","23.211","330.321"
"10006841","The University of Bolton","2,463,255.816","36,524.000","","12.564","26.178","1,340.000"
"10000385","The Arts University Bournemouth","1,133,069.664","17,101.750","5.597","7.102","12.108","262.112"
"10000824","Bournemouth University","3,581,959.766","39,719.500","","14.382","28.429","1,055.293"
"10007785","The University of Bradford","6,623,145.570","72,801.000","6.238","24.748","51.791","368.961"
"10000886","The University of Brighton","7,832,994.955","96,059.000","17.277","40.266","68.034","1,189.172"
"10000936","The University College of Osteopathy","243,843.290","4,289.216","","1.475","3.037","35.307"
"10007786","The University of Bristol","32,125,423.051","355,624.900","","128.774","252.490","3,655.110"
"10000961","Brunel University London","12,159,992.518","490,491.000","50.014","168.729","347.940","2,322.564"
"10000975","Buckinghamshire New University","2,681,619.953","63,207.000","0.000","21.743","44.751","433.160"
"10007788","The University of Cambridge","57,556,831.572","415,420.000","93.280","158.783","297.760","5,218.275"
"10003324","The Institute of Cancer Research","5,178,025.426","3,133.500","4.170","10.779","2.219","267.350"
"10001143","Canterbury Christ Church University","4,670,931.872","112,727.000","","40.819","79.811","718.090"
"10007814","Cardiff University","24,705,478.550","333,867.030","","126.412","237.086","20,606.545"
"10007854","Cardiff Metropolitan University","3,419,613.824","62,124.000","14.860","22.496","44.583","718.890"
"10007141","The University of Central Lancashire","9,217,372.297","78,993.950","17,193.197","29.184","57.071","1,251.280"
"10007848","University of Chester","11,418,858.538","82,515.000","","28.385","88.290","989.856"
"10007137","The University of Chichester","2,358,924.987","54,514.800","","19.740","38.596","656.490"
"10001478","City, University of London","6,096,841.847","22,635.000","9,994.000","15.890","16.026","800.200"
"10001653","Conservatoire for Dance and Drama","1,574,784.073","15,348.000","52.000","5.051","10.866","954.520"
"10007761","Courtauld Institute of Art","456,340.662","61,887.000","3,258.919","4.117","60.766","1,139.560"
"10001726","Coventry University","13,102,365.226","97,092.110","43.530","33.400","70.327","5,234.800"
"10007822","Cranfield University","10,709,009.442","5,488.793","18.861","53.313","3.886","1,021.800"
"10006427","University for the Creative Arts","3,331,343.941","59,981.400","7.260","21.054","42.467","345.615"
"10007842","University of Cumbria","3,736,234.559","27,090.090","14.096","12.541","19.180","346.289"
"10001883","De Montfort University","6,537,804.866","87,029.720","861.958","29.938","62.057","930.753"
"10007851","University of Derby","7,235,526.946","106,107.000","","36.501","75.158","655.890"
"10007852","The University of Dundee","19,538,149.393","","207.000","67.746","","1,209.460"
"10007143","University of Durham","23,773,037.289","435,748.000","59.300","149.897","312.138","2,685.620"
"10007789","The University of East Anglia","18,731,800.260","316,698.000","83.840","108.944","224.270","1,718.061"
"10007144","The University of East London","4,493,719.819","110,811.000","","38.119","78.589","758.790"
"10007823","Edge Hill University","6,229,061.659","128,262.000","","55.135","90.809","758.000"
"10007772","Edinburgh Napier University","3,797,531.211","20,616.000","332.800","7.465","14.596","2,085.330"
"10007790","The University of Edinburgh","61,825,544.559","446,159.000","224.923","197.121","315.881","7,481.770"
"10007791","The University of Essex","9,882,696.619","173,914.010","22.167","67.221","123.188","4,527.189"
"10007792","The University of Exeter","14,940,738.814","273,883.651","33.268","99.174","194.051","1,544.505"
"10008640","Falmouth University","2,993,218.522","54,519.000","6,720.940","19.742","38.599","333.171"
"10004511","The National Film and Television School","670,596.918","1,012.228","","1.079","0.717","138.030"
"10007762","Glasgow Caledonian University","6,537,798.844","37,864.000","16.290","","26.808","503.420"
"10002681","Glasgow School of Art","2,034,136.004","","5.170","6.315","","243.000"
"10007794","The University of Glasgow","29,938,303.743","240,055.178","579.403","88.144","169.959",""
"10007145","University of Gloucestershire","2,114,615.963","65,436.000","14.187","23.695","46.329","364.997"
"10002718","Goldsmiths College","3,385,380.480","56,566.000","26.250","21.621","40.049","752.800"
"10007146","The University of Greenwich","6,949,838.467","96,120.000","12.393","33.754","68.053","622.840"
"10007825","Guildhall School of Music and Drama","1,696,165.294","19,519.200","5.743","7.461","13.820","271.712"
"10040812","Harper Adams University","2,499,883.587","51,081.079","25.314","24.749","86.699","1,232.265"
"10007764","Heriot-Watt University","12,533,792.370","217,801.000","238.200","78.867","163.653","4,706.908"
"10007147","University of Hertfordshire","17,044,801.966","332,847.000","","128.176","235.656","895.620"
"10007148","The University of Huddersfield","6,009,594.876","52,788.621","","19.115","37.374","462.869"
"10007149","The University of Hull","10,881,877.518","183,043.150","28.795","66.281","129.595","7,635.241"
"10003270","Imperial College of Science, Technology and Medicine","55,268,542.317","609,311.000","105.009","232.578","431.392","6,312.589"
"10007767","Keele University","7,480,630.317","322,336.000","1,987.900","110.884","228.233","2,656.200"
"10007150","The University of Kent","11,958,278.883","238,312.250","31.327","86.294","168.725","1,364.311"
"10003645","King's College London","30,616,877.512","332,289.550","48.682","114.308","235.869","2,933.362"
"10003678","Kingston University","7,214,127.822","172,975.000","31.805","59.504","122.466","2,494.382"
"10007768","The University of Lancaster","15,006,758.840","450,363.647","","154.925","319.027","2,181.670"
"10003854","Leeds Arts University","739,259.227","9,796.000","0.000","3.370","6.936","125.934"
"10003861","Leeds Beckett University","7,572,847.878","91,181.000","27.670","33.017","64.719","1,773.160"
"10007795","The University of Leeds","42,411,465.387","648,975.458","60.330","241.315","459.475","3,423.000"
"10003863","Leeds Trinity University","1,724,491.836","31,073.000","","11.251","22.000","162.560"
"10007796","The University of Leicester","18,486,166.000","296,185.000","32.740","101.887","209.839","1,398.210"
"10007151","The University of Lincoln","6,314,089.771","80,383.355","23.779","30.724","56.911","589.994"
"10003956","Liverpool Hope University","3,260,350.156","67,298.290","8.192","23.151","47.669","322.420"
"10003957","Liverpool John Moores University","7,071,031.535","55,465.000","","19.080","39.269","778.392"
"10003945","The Liverpool Institute for Performing Arts","573,827.565","7,084.960","","2.437","5.016","52.720"
"10006842","The University of Liverpool","40,803,660.036","312,961.021","39,417.000","109.856","221.576","3,374.990"
"10003958","Liverpool School of Tropical Medicine","1,621,099.282","9,798.576","2.090","4.213","6.937","77.214"
"10007162","University of the Arts, London","7,370,518.978","131,665.708","28.137","45.293","93.219","1,363.392"
"10007769","London Business School","2,611,689.613","27,096.000","","9.331","19.184","620.370"
"10007797","University of London (Institutes and activities)","7,234,093.000","124,660.000","","47.197","88.259","1,125.880"
"10004048","London Metropolitan University","3,817,967.830","43,571.000","121.890","17.407","30.848","401.420"
"10004078","London South Bank University","5,012,773.082","131,725.000","24.399","45.624","93.261","5,536.891"
"10004063","London School of Economics and Political Science","8,089,540.253","198,591.000","604.170","68.572","142.304","28,696.950"
"10007771","London School of Hygiene and Tropical Medicine","1,804,899.263","9,927.750","5.680","9.758","7.029","266.105"
"10004113","Loughborough University","19,674,461.337","410,973.000","95.930","139.168","290.969","14,081.234"
"10004180","The Manchester Metropolitan University","10,803,621.585","145,925.581","29.825","50.198","105.646","2,361.433"
"10007798","The University of Manchester","50,673,672.822","753,244.852","2,764.000","259.116","533.297","15,404.860"
"10004351","Middlesex University","4,123,392.011","42,993.000","9.741","14.790","31.237","512.500"
"10007799","Newcastle University","26,774,647.655","296,288.850","65.700","107.288","209.816","9,130.700"
"10007138","The University of Northampton","4,424,883.703","125,803.000","0.000","48.084","89.515","716.834"
"10001282","University of Northumbria at Newcastle","10,442,212.021","144,852.910","28.500","52.452","103.618","1,218.119"
"10004775","Norwich University of the Arts","745,990.231","7,211.000","","2.756","5.105","272.545"
"10007154","University of Nottingham","42,094,945.702","590,737.500","51.917","225.793","455.458","3,154.067"
"10004797","The Nottingham Trent University","10,922,535.455","85,435.000","23.542","30.519","60.488","1,556.056"
"10007773","The Open University","7,127,026.139","74,423.000","","28.446","52.691","1,081.500"
"10004930","Oxford Brookes University","9,740,829.094","232,815.000","21,705.000","80.151","165.338","3,545.000"
"10007774","The University of Oxford","48,970,721.211","306,907.000","0.000","151.480","224.937","2,344.023"
"10005127","Arts University Plymouth","684,432.093","4,307.000","","1.482","3.049","200.200"
"10007801","University of Plymouth","7,441,927.554","87,913.000","91.021","30.242","62.611","550.640"
"10007155","The University of Portsmouth","7,742,695.947","119,156.276","14.205","50.008","84.363","694.317"
"10005337","Queen Margaret University, Edinburgh","","57,776.000","4.234","20.922","40.905","218.558"
"10007775","Queen Mary University of London","15,203,290.891","281,656.000","","116.701","199.412","2,213.761"
"10005389","Ravensbourne University London","943,446.255","2,428.888","","0.836","1.720","92.000"
