﻿Title:,"Table 59 - UK permanent address HE students by HE provider and permanent address"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT051 Table 59
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/students/table-59
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/students/table-59.zip
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Level of study,All 
,Mode of study,All 
,Academic year,2014/15 
Search:,


"UKPRN","HE Provider","Abertawe - Swansea","Blaenau Gwent - Blaenau Gwent","Bro Morgannwg - The Vale of Glamorgan","Caerdydd - Cardiff","Caerffili - Caerphilly","Casnewydd - Newport","Castell-Nedd Port Talbot - Neath Port Talbot","Conwy - Conwy","Gwynedd - Gwynedd","Merthyr Tudful - Merthyr Tydfil","Pen-Y-Bont Ar Ogwr - Bridgend","Powys - Powys","Rhondda, Cynon, Taff - Rhondda, Cynon, Taff","Sir Benfro - Pembrokeshire","Sir Ceredigion - Ceredigion","Sir Ddinbych - Denbighshire","Sir Fynwy - Monmouthshire","Sir Gaerfyrddin - Carmarthenshire","Sir Y Fflint - Flintshire","Sir Ynys Môn - Isle of Anglesey","Tor-Faen - Torfaen","Wrecsam - Wrexham","Wales (unitary authority unknown)","Total Wales","Total"
"10007783","The University of Aberdeen","5","0","5","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","35","10,065"
"10019746","ABI College Limited","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","110"
"10007849","Abertay University","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","3,750"
"10007856","Aberystwyth University","130","30","75","115","85","60","100","95","265","15","80","510","150","190","925","75","65","295","95","65","40","105","0","3,570","8,460"
"10000080","Access to Music Limited","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","65"
"10000248","Academy of Live and Recorded Arts","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","190"
"10000291","Anglia Ruskin University","10","0","5","20","0","5","5","5","0","5","5","5","5","5","0","0","5","5","0","0","0","5","0","90","17,110"
"10000381","Arts Educational Schools","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","230"
"10007759","Aston University","10","0","5","30","5","10","5","5","5","5","5","10","5","5","5","5","10","5","5","0","5","5","0","145","8,540"
"10007857","Bangor University","20","15","15","30","20","10","20","680","1,190","5","20","70","20","20","35","405","15","45","370","740","10","300","15","4,075","8,475"
"10000571","Bath Spa University","25","10","40","80","20","35","15","5","5","5","25","20","25","20","15","0","35","30","5","5","25","5","0","440","6,625"
"10007850","The University of Bath","90","5","65","145","25","45","25","15","10","5","40","30","25","30","20","10","40","45","15","5","30","10","0","740","11,060"
"10007152","University of Bedfordshire","0","0","0","10","0","5","0","0","5","0","0","5","0","0","0","0","0","5","0","0","0","5","0","50","12,295"
"10005343","Queen's University Belfast","5","0","0","5","0","0","0","0","0","0","0","0","5","0","0","0","0","0","5","0","0","0","0","40","21,265"
"10037544","BIMM University","5","0","10","10","0","10","0","5","5","0","0","10","0","5","5","0","10","10","5","0","5","5","0","105","2,120"
"10007760","Birkbeck College","5","0","5","10","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","35","12,505"
"10007140","Birmingham City University","15","5","10","45","15","20","10","15","10","10","15","40","10","10","20","10","15","20","10","5","5","20","0","325","20,540"
"10006840","The University of Birmingham","50","10","50","150","20","45","20","15","15","5","20","70","35","15","20","25","55","25","30","10","20","25","5","730","25,860"
"10000712","University College Birmingham","5","0","5","5","0","5","5","0","5","0","0","5","0","5","5","0","10","0","5","0","0","0","0","60","3,680"
"10007832","Birmingham Newman University","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","15","2,710"
"10007811","Bishop Grosseteste University","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","2,290"
"10004061","Bloomsbury Institute","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","940"
"10006841","The University of Bolton","5","0","0","0","0","5","5","5","5","0","0","0","5","0","0","0","0","0","5","0","0","5","0","50","5,845"
"10000385","The Arts University Bournemouth","0","0","5","5","5","0","0","0","5","0","0","0","5","0","0","0","5","0","0","0","0","0","0","45","2,525"
"10000824","Bournemouth University","15","5","20","35","10","20","10","0","0","0","5","20","15","10","5","5","20","10","5","0","10","0","0","225","15,650"
"10031982","BPP University","0","0","0","10","0","0","0","0","5","0","0","5","5","0","0","0","5","0","0","0","0","5","0","35","3,825"
"10007785","The University of Bradford","5","0","0","5","0","0","5","5","5","0","0","5","5","0","0","5","5","0","5","5","0","5","0","60","9,585"
"10000886","The University of Brighton","15","0","10","30","5","10","0","5","5","0","0","10","5","5","5","5","5","10","0","0","5","0","0","140","17,775"
"10007786","The University of Bristol","75","5","75","180","20","55","20","15","25","10","30","35","30","35","25","10","60","50","15","10","20","15","0","815","16,635"
"10028216","Brit College","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","320"
"10000961","Brunel University London","15","5","5","10","5","10","0","5","5","0","5","5","5","5","5","5","5","5","0","0","5","5","0","105","9,340"
"10000975","Buckinghamshire New University","10","0","5","15","5","10","0","0","5","0","5","5","5","5","10","5","0","5","5","0","0","0","0","100","8,220"
"10007787","The University of Buckingham","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15","1,365"
"10022021","UK College of Business and Computing","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1,705"
