﻿Title:,"Table 11 - HE staff FTE by HE provider and cost centre"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT025 Table 11
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-11
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-11.zip
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Contract marker,All (including atypical) 
,Academic year,2022/23 
Search:,


"UKPRN","HE Provider","Medicine, dentistry & health","Agriculture, forestry & veterinary science","Biological, mathematical & physical sciences","Engineering & technology","Architecture & planning","Administration & business studies","Social studies","Humanities & language based studies & archaeology","Design, creative & performing arts","Education","Total academic services","Central administration & services, staff and student facilities","Premises","Residences & catering","Total all cost centres"
"10007783","The University of Aberdeen","610","0","370","165","0","95","195","170","25","70","325","475","230","90","2,810"
"10007849","Abertay University","35","15","20","70","0","20","20","0","25","15","30","130","35","5","415"
"10007856","Aberystwyth University","35","75","265","50","0","30","125","65","45","55","60","465","40","125","1,435"
"10067853","ACM Guildford Limited*","","","","","","","","","","","","","","",""
"10000163","AECC University College*","","","","","","","","","","","","","","",""
"10032036","Amity Global Education*","","","","","","","","","","","","","","",""
"10000291","Anglia Ruskin University","495","0","120","105","40","160","220","40","100","115","40","740","70","40","2,280"
"10005451","Arden University*","","","","","","","","","","","","","","",""
"10007759","Aston University","245","0","160","395","45","320","45","60","0","0","65","525","130","30","2,015"
"10038772","British Academy of Jewellery Limited*","","","","","","","","","","","","","","",""
"10007857","Bangor University","275","55","235","75","0","65","50","75","10","105","155","340","145","45","1,630"
"10000571","Bath Spa University","25","0","20","15","0","70","70","45","150","100","70","295","105","20","980"
"10007850","The University of Bath","275","0","455","385","95","245","175","35","0","115","300","745","245","185","3,250"
"10007152","University of Bedfordshire","135","0","25","40","5","95","105","25","20","115","170","280","25","5","1,045"
"10005343","Queen's University Belfast","1,135","0","435","415","45","170","285","190","75","65","420","740","185","110","4,270"
"10037544","BIMM University*","","","","","","","","","","","","","","",""
"10007760","Birkbeck College","80","0","85","40","0","65","150","120","10","0","55","435","80","5","1,130"
"10007140","Birmingham City University*","","","","","","","","","","","","","","",""
"10006840","The University of Birmingham*","","","","","","","","","","","","","","",""
"10000712","University College Birmingham","75","0","0","10","5","130","0","0","45","30","165","70","25","40","595"
"10007832","Birmingham Newman University","40","0","0","0","0","5","15","10","0","65","75","60","5","15","295"
"10007811","Bishop Grosseteste University","20","0","0","0","0","5","0","15","5","65","45","90","15","15","270"
"10004061","Bloomsbury Institute*","","","","","","","","","","","","","","",""
"10006841","The University of Bolton*","","","","","","","","","","","","","","",""
"10000385","The Arts University Bournemouth","0","0","0","0","15","5","85","0","185","0","60","90","10","0","455"
"10000824","Bournemouth University","245","0","50","150","0","175","180","35","20","25","265","400","65","20","1,630"
"10007785","The University of Bradford","290","0","100","105","0","95","80","25","0","0","85","545","115","0","1,440"
"10000886","The University of Brighton","410","0","100","100","60","80","160","55","135","155","165","510","160","50","2,140"
"10000936","The University College of Osteopathy*","","","","","","","","","","","","","","",""
"10007786","The University of Bristol","1,370","165","1,110","715","0","250","670","450","95","110","595","1,670","600","20","7,815"
"10000961","Brunel University London","175","0","105","355","0","115","210","45","25","60","545","295","60","90","2,075"
"10000975","Buckinghamshire New University*","","","","","","","","","","","","","","",""
"10007788","The University of Cambridge","3,210","230","2,150","1,165","105","340","500","745","30","420","945","1,470","280","20","11,610"
"10003324","The Institute of Cancer Research","305","0","505","0","0","0","0","0","0","0","105","135","45","0","1,090"
"10001143","Canterbury Christ Church University","300","0","35","40","0","45","140","40","30","160","325","365","115","95","1,690"
"10007814","Cardiff University","1,645","0","820","430","130","245","595","420","35","80","910","640","210","175","6,330"
"10007854","Cardiff Metropolitan University","100","50","30","70","0","175","25","5","130","295","240","265","45","55","1,475"
"10001264","Central School of Ballet*","","","","","","","","","","","","","","",""
"10007141","The University of Central Lancashire","600","15","110","140","30","155","260","75","75","120","650","465","210","5","2,905"
"10024024","Central Film School London*","","","","","","","","","","","","","","",""
"10007848","University of Chester","235","0","130","50","0","95","115","70","55","120","265","405","90","50","1,680"
"10007137","The University of Chichester*","","","","","","","","","","","","","","",""
"10001386","Chicken Shed Theatre Company*","","","","","","","","","","","","","","",""
"10001478","City, University of London","360","0","30","210","0","385","350","25","40","5","320","500","115","0","2,340"
"10007912","Cliff College*","","","","","","","","","","","","","","",""
"10066502","The College of Health Ltd*","","","","","","","","","","","","","","",""
"10007761","Courtauld Institute of Art*","","","","","","","","","","","","","","",""
"10034324","Court Theatre Training Company Ltd*","","","","","","","","","","","","","","",""
"10001726","Coventry University","530","5","120","390","40","625","305","90","130","220","80","1,600","140","50","4,330"
"10007822","Cranfield University","0","100","55","660","0","145","5","0","0","5","0","580","75","20","1,645"
"10006427","University for the Creative Arts*","","","","","","","","","","","","","","",""
"10007842","University of Cumbria","260","15","15","0","0","80","30","0","25","100","90","210","45","5","890"
"10015688","David Game College Ltd*","","","","","","","","","","","","","","",""
"10001883","De Montfort University","310","0","75","270","45","275","205","35","165","35","350","510","165","15","2,455"
"10007851","University of Derby","325","0","95","145","15","155","145","35","60","170","160","655","125","5","2,090"
"10007852","The University of Dundee","685","0","790","195","25","95","115","55","165","70","290","530","160","10","3,180"
"10007143","University of Durham","100","0","755","205","0","135","520","560","25","160","330","985","105","735","4,605"
"10007789","The University of East Anglia","615","10","490","90","0","135","260","195","40","60","280","940","220","150","3,480"
"10007144","The University of East London","185","0","55","85","35","90","125","0","70","100","95","690","25","5","1,555"
"10032282","The Queen's Foundation for Ecumenical Theological Education*","","","","","","","","","","","","","","",""
"10007823","Edge Hill University*","","","","","","","","","","","","","","",""
"10007772","Edinburgh Napier University","160","5","65","205","80","155","70","20","85","45","20","595","85","40","1,625"
"10007790","The University of Edinburgh","1,495","670","1,575","790","70","265","670","680","345","415","655","2,900","800","545","11,875"
"10042570","Escape Studios*","","","","","","","","","","","","","","",""
"10007791","The University of Essex","310","0","210","135","0","230","405","165","80","0","190","755","210","0","2,685"
"10008173","University College of Estate Management*","","","","","","","","","","","","","","",""
"10007792","The University of Exeter","770","0","580","280","0","255","510","375","25","95","1,080","1,405","245","170","5,785"
"10008640","Falmouth University*","","","","","","","","","","","","","","",""
"10004511","The National Film and Television School*","","","","","","","","","","","","","","",""
"10022087","Futureworks*","","","","","","","","","","","","","","",""
"10007762","Glasgow Caledonian University","305","0","55","130","60","200","65","5","15","0","300","335","65","0","1,545"
"10002681","Glasgow School of Art","0","0","0","0","15","0","0","0","155","10","20","210","55","0","460"
"10007794","The University of Glasgow","1,265","295","1,165","715","50","290","490","410","100","240","230","1,930","285","50","7,515"
"10007145","University of Gloucestershire*","","","","","","","","","","","","","","",""
"10002718","Goldsmiths College","85","0","0","70","0","50","190","60","240","45","145","300","145","0","1,330"
"10007146","The University of Greenwich","225","90","135","210","65","220","185","45","10","85","0","815","0","0","2,080"
"10007825","Guildhall School of Music and Drama","0","0","0","0","0","0","0","0","265","0","5","5","0","0","275"
