﻿Title:,"Table 59 - UK permanent address HE students by HE provider and permanent address"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT051 Table 59
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/students/table-59
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/students/table-59.zip
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Level of study,All 
,Mode of study,All 
,Academic year,2015/16 
Search:,


"UKPRN","HE Provider","Antrim and Newtownabbey","Armagh, Banbridge and Craigavon","Belfast","Causeway Coast and Glens","Derry and Strabane","Fermanagh and Omagh","Lisburn and Castlereagh","Mid Ulster","Mid and East Antrim","North Down and Ards","Newry, Mourne and Down","Northern Ireland (district council area unknown)","Total Northern Ireland","Total"
"10008071","AA School of Architecture","0","0","0","0","0","0","0","0","0","0","0","0","0","75"
"10007783","The University of Aberdeen","10","20","35","10","15","20","20","5","15","35","20","0","210","9,775"
"10019746","ABI College Limited","0","0","0","0","0","0","0","0","0","0","0","0","0","70"
"10007849","Abertay University","10","10","20","15","10","10","5","5","5","15","10","0","105","3,505"
"10007856","Aberystwyth University","0","5","10","5","10","5","5","0","10","10","10","0","65","7,565"
"10000080","Access to Music Limited","0","0","0","0","0","0","0","0","0","0","0","0","0","70"
"10000248","Academy of Live and Recorded Arts","0","0","0","0","0","0","0","0","0","0","0","0","0","180"
"10000291","Anglia Ruskin University","5","10","5","10","5","5","10","5","5","10","5","0","80","17,955"
"10041898","Apex College","0","0","0","0","0","0","0","0","0","0","0","0","0","50"
"10005451","Arden University","0","5","5","0","5","0","0","0","0","0","0","0","10","1,825"
"10000381","Arts Educational Schools","0","0","0","0","0","0","0","0","0","0","0","0","5","230"
"10007759","Aston University","0","5","5","5","0","0","5","0","0","0","5","0","25","10,115"
"10007857","Bangor University","5","10","15","10","0","10","10","0","5","5","10","0","80","8,415"
"10000571","Bath Spa University","5","5","5","5","5","5","5","0","5","10","5","0","50","6,835"
"10007850","The University of Bath","10","20","20","5","10","10","25","5","5","25","10","0","145","11,455"
"10007152","University of Bedfordshire","0","10","5","5","5","10","0","5","0","10","10","0","55","11,800"
"10005343","Queen's University Belfast","1,360","2,235","4,280","1,055","1,205","1,030","2,020","1,435","1,285","1,760","2,090","40","19,795","21,065"
"10037544","BIMM University","0","0","5","0","5","5","5","0","5","0","5","0","30","3,765"
"10007760","Birkbeck College","0","0","5","0","0","0","0","0","0","0","0","0","10","10,975"
"10007140","Birmingham City University","5","10","15","5","5","5","5","5","10","5","5","0","75","21,240"
"10006840","The University of Birmingham","5","10","15","10","10","5","10","5","5","15","10","0","95","26,110"
"10000712","University College Birmingham","0","0","0","0","0","5","0","0","0","0","0","0","15","3,790"
"10007832","Birmingham Newman University","0","0","5","0","0","0","0","0","0","0","0","0","10","2,795"
"10000894","Bristol Baptist College","0","0","0","0","0","0","0","0","0","0","0","0","0","30"
"10007811","Bishop Grosseteste University","0","0","0","0","0","0","0","0","0","0","0","0","5","2,230"
"10004061","Bloomsbury Institute","0","0","0","0","0","0","0","0","0","0","0","0","0","1,305"
"10006841","The University of Bolton","5","5","10","0","5","5","5","0","0","5","0","0","35","5,815"
"10000385","The Arts University Bournemouth","0","0","5","0","0","0","0","0","0","5","5","0","15","2,765"
"10000824","Bournemouth University","0","5","5","10","5","0","5","0","5","5","5","0","45","16,390"
"10031982","BPP University","0","0","5","0","0","0","0","0","0","0","0","0","10","4,430"
"10007785","The University of Bradford","5","0","5","0","5","5","0","0","0","5","0","0","35","9,575"
"10000886","The University of Brighton","5","5","20","5","10","5","5","10","10","20","10","0","105","18,235"
"10007786","The University of Bristol","10","20","40","20","10","5","20","0","10","10","20","0","170","17,185"
"10028216","Brit College","0","0","0","0","0","0","0","0","0","0","0","0","0","495"
"10023464","Trinity College Bristol","0","0","0","0","0","0","0","0","0","0","0","0","0","80"
"10000961","Brunel University London","0","0","0","5","5","0","5","0","0","5","0","0","25","9,600"
"10000975","Buckinghamshire New University","5","10","10","10","0","0","5","0","5","5","10","0","65","7,820"
"10007787","The University of Buckingham","0","0","0","0","0","0","0","0","0","0","0","0","5","1,480"
"10022021","UK College of Business and Computing","0","0","0","0","0","0","0","0","0","0","0","0","0","945"
"10041974","London College of Business Sciences","0","0","0","0","0","0","0","0","0","0","0","0","0","55"
"10010308","Cambridge Arts and Sciences Limited","0","0","0","0","0","0","0","0","0","0","0","0","0","20"
"10007788","The University of Cambridge","15","15","40","15","20","10","30","15","25","30","20","0","230","13,135"
"10032072","The Cambridge Theological Federation","0","0","0","0","0","0","0","0","0","0","0","0","0","155"
"10003324","The Institute of Cancer Research","0","0","0","0","0","0","0","0","0","0","0","0","0","260"
"10001143","Canterbury Christ Church University","5","10","5","10","5","10","0","0","5","0","10","0","60","15,245"
"10007814","Cardiff University","10","20","30","15","20","10","15","5","5","20","25","0","175","23,560"
"10007854","Cardiff Metropolitan University","5","5","10","5","5","5","5","5","5","5","10","0","65","9,295"
"10007141","The University of Central Lancashire","15","20","25","20","25","10","15","15","10","15","20","0","190","22,045"
"10007848","University of Chester","5","20","15","5","15","5","10","5","15","20","10","0","130","14,060"
"10007137","The University of Chichester","0","0","0","0","0","0","5","0","0","0","0","0","10","5,355"
"10001386","Chicken Shed Theatre Company","0","0","0","0","0","0","0","0","0","0","0","0","0","85"
"10001546","The College of Integrated Chinese Medicine","0","0","0","0","0","0","0","0","0","0","0","0","0","200"
"10001419","Christie's Education Limited","0","0","0","0","0","0","0","0","0","0","0","0","0","15"
"10010213","The City College","0","0","0","0","0","0","0","0","0","0","0","0","0","305"
"10001478","City, University of London","5","0","5","5","5","0","5","0","0","5","5","0","35","11,490"
"10007912","Cliff College","0","0","0","0","0","0","0","0","0","0","0","0","0","80"
"10013357","The Academy of Contemporary Music","0","0","0","0","0","0","0","0","0","0","0","0","5","800"
"10001653","Conservatoire for Dance and Drama","0","0","5","0","0","0","0","0","0","0","0","0","5","880"
"10007761","Courtauld Institute of Art","0","0","0","0","0","0","0","0","0","0","0","0","0","320"
"10034324","Court Theatre Training Company Ltd","0","0","0","0","0","0","0","0","0","0","0","0","0","15"
"10001726","Coventry University","5","10","10","10","10","10","5","5","5","15","10","0","90","19,710"
"10007822","Cranfield University","0","0","0","0","0","0","0","0","0","0","0","0","10","1,880"
"10006427","University for the Creative Arts","0","0","0","5","5","5","0","0","0","0","0","0","20","4,110"
"10007842","University of Cumbria","25","15","50","20","15","10","30","15","20","35","30","5","275","8,555"
"10001883","De Montfort University","5","5","10","5","5","5","0","5","10","5","10","0","65","18,085"
"10007851","University of Derby","5","10","10","5","10","10","10","5","10","5","10","0","80","15,075"
"10007852","The University of Dundee","65","70","95","65","35","30","65","40","50","110","70","0","690","12,530"
"10007143","University of Durham","15","15","50","5","10","10","15","5","15","30","20","0","180","13,020"
"10007789","The University of East Anglia","0","10","10","10","5","5","10","5","5","5","10","0","75","12,120"
"10007144","The University of East London","5","5","10","0","10","5","0","0","5","5","5","0","50","12,335"
"10032282","The Queen's Foundation for Ecumenical Theological Education","0","0","0","0","0","0","0","0","0","0","0","0","0","235"
"10007823","Edge Hill University","15","20","25","25","30","20","15","15","10","15","25","0","220","15,280"
"10007772","Edinburgh Napier University","25","45","30","15","30","15","25","15","25","50","25","0","295","10,005"
"10007790","The University of Edinburgh","35","45","90","35","50","30","50","15","35","55","30","0","475","19,565"
"10022047","Empire College London Limited","0","0","0","0","0","0","0","0","0","0","0","0","0","130"
"10042570","Escape Studios","0","0","0","0","0","0","0","0","0","0","0","0","0","225"
"10007791","The University of Essex","5","5","10","5","5","5","0","0","0","5","5","0","40","9,335"
"10002113","East End Computing and Business College Limited","0","0","0","0","0","0","0","0","0","0","0","0","0","360"
"10008173","University College of Estate Management","0","0","0","0","0","0","0","0","0","0","0","0","0","1,100"
"10008229","EThames Graduate School Limited","0","0","0","0","0","0","0","0","0","0","0","0","0","560"
"10007792","The University of Exeter","5","15","20","10","5","5","10","5","5","10","10","5","110","16,220"
"10008640","Falmouth University","0","5","5","0","5","0","5","0","0","0","5","0","25","4,265"
"10033187","Fairfield School of Business Ltd","0","0","0","0","0","0","0","0","0","0","0","0","0","585"
"10045476","Met Film School Limited","0","0","0","0","0","0","0","0","0","0","0","0","0","85"
"10004511","The National Film and Television School","0","0","0","0","0","0","0","0","0","0","0","0","5","165"
"10038763","ForMission Ltd","0","0","0","0","0","0","0","0","0","0","0","0","0","175"
"10022087","Futureworks","0","0","0","0","0","0","0","0","0","0","0","0","0","305"
"10007762","Glasgow Caledonian University","15","10","15","25","20","15","10","10","15","20","20","0","175","14,535"
"10002681","Glasgow School of Art","5","5","10","5","5","0","5","0","0","5","0","0","35","1,400"
"10007794","The University of Glasgow","50","55","125","45","65","40","95","30","60","90","55","0","705","19,585"
"10007145","University of Gloucestershire","10","15","10","5","5","5","15","0","5","15","10","0","95","7,430"
"10002718","Goldsmiths College","0","5","5","0","5","5","0","0","0","0","5","0","30","6,345"
"10002735","Grafton College","0","0","0","0","0","0","0","0","0","0","0","0","0","345"
