﻿Title:,"Table 7 - HE academic staff by HE provider and employment conditions"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT025 Table 7
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-7
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-7.zip
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Mode of employment,All 
,Activity standard occupational classification,All 
,Academic year,2022/23 
Search:,


"UKPRN","HE provider","Female","Male","Other","Not known","Total academic staff"
"10007783","The University of Aberdeen","805","850","0","0","1,655"
"10007849","Abertay University","90","125","0","0","215"
"10007856","Aberystwyth University","370","360","0","0","735"
"10067853","ACM Guildford Limited","35","90","0","0","125"
"10000163","AECC University College","40","40","0","0","80"
"10000291","Anglia Ruskin University","645","460","0","0","1,105"
"10005451","Arden University","245","225","0","0","470"
"10007759","Aston University","405","550","0","0","960"
"10038772","British Academy of Jewellery Limited","10","10","0","0","20"
"10007857","Bangor University","595","495","5","0","1,095"
"10000571","Bath Spa University","360","295","5","0","660"
"10007850","The University of Bath","620","950","5","0","1,570"
"10007152","University of Bedfordshire","330","210","0","0","540"
"10005343","Queen's University Belfast","915","1,115","0","0","2,030"
"10037544","BIMM University","75","130","0","0","205"
"10007760","Birkbeck College","500","425","5","30","960"
"10007140","Birmingham City University","1,075","950","0","0","2,025"
"10006840","The University of Birmingham","1,995","2,260","0","0","4,260"
"10000712","University College Birmingham","175","85","0","0","260"
"10007832","Birmingham Newman University","75","60","0","0","135"
"10007811","Bishop Grosseteste University","75","40","0","0","115"
"10004061","Bloomsbury Institute","20","30","0","0","50"
"10006841","The University of Bolton","285","245","0","0","530"
"10000385","The Arts University Bournemouth","220","200","0","0","425"
"10000824","Bournemouth University","540","500","5","0","1,045"
"10007785","The University of Bradford","295","315","0","0","610"
"10000886","The University of Brighton","830","610","0","0","1,440"
"10000936","The University College of Osteopathy","30","35","0","0","65"
"10007786","The University of Bristol","1,735","1,940","0","0","3,675"
"10000961","Brunel University London","605","780","0","0","1,380"
"10000975","Buckinghamshire New University","315","255","0","0","570"
"10007788","The University of Cambridge","2,530","3,405","5","0","5,940"
