﻿Title:,"Table 5 - Finances and people"
Subtitle:,"Academic years 2015/16 to 2022/23"
Reference ID:,DT042 Table 5
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/estates/table-5
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/estates/table-5.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2024
Filters:,Country of HE provider,Choose a value... 
,Region of HE provider,Choose a value... 
,Academic year,2019/20 
Search:,


"UKPRN","HE provider","Total income (£)","Teaching income (£)","Research income (£)","Other non-residential income (£)","Non-residential income total (£)","Total expenditure (£)"
"10007783","The University of Aberdeen","233,771,000","127,417,000","71,717,000","23,934,000","223,068,000","199,984,000"
"10007849","Abertay University","35,984,000","28,641,000","3,748,000","2,538,000","34,927,000","38,945,000"
"10007856","Aberystwyth University","107,534,000","58,422,000","25,655,000","14,106,000","98,183,000","110,551,000"
"10000291","Anglia Ruskin University","234,101,000","213,658,000","6,983,000","7,333,000","227,974,000","227,670,000"
"10007759","Aston University","165,195,000","130,357,000","22,497,000","7,461,000","160,315,000","139,468,000"
"10007857","Bangor University","147,696,000","89,809,000","30,029,000","17,053,000","136,891,000","136,620,000"
"10000571","Bath Spa University","82,495,000","68,706,000","3,166,000","3,685,000","75,557,000","82,341,000"
"10007850","The University of Bath","297,661,000","192,955,000","55,056,000","22,534,000","270,545,000","276,634,000"
"10007152","University of Bedfordshire","140,855,000","126,007,000","5,872,000","7,871,000","139,750,000","128,463,000"
"10005343","Queen's University Belfast","376,997,000","193,446,000","121,205,000","47,199,000","361,850,000","322,159,000"
"10007760","Birkbeck College","108,707,000","78,647,000","18,709,000","10,452,000","107,808,000","90,127,000"
"10007140","Birmingham City University","256,434,000","229,322,000","4,697,000","16,786,000","250,805,000","251,602,000"
"10007811","Bishop Grosseteste University","22,652,000","19,103,000","358,000","1,421,000","20,882,000","24,915,000"
"10000385","The Arts University Bournemouth","43,087,000","35,897,000","158,000","1,622,000","37,677,000","43,463,000"
"10000824","Bournemouth University","164,420,000","141,259,000","8,900,000","6,079,000","156,238,000","168,386,000"
"10007785","The University of Bradford","112,018,000","94,137,000","9,656,000","7,325,000","111,118,000","99,553,000"
"10000886","The University of Brighton","197,371,000","156,102,000","14,244,000","13,177,000","183,523,000","207,089,000"
"10007786","The University of Bristol","706,626,000","365,186,000","210,383,000","90,577,000","666,146,000","624,245,000"
"10000961","Brunel University London","237,084,000","156,090,000","38,455,000","10,393,000","204,938,000","215,656,000"
"10000975","Buckinghamshire New University","117,266,000","105,599,000","737,000","6,772,000","113,108,000","113,192,000"
"10007788","The University of Cambridge","2,074,890,000","401,581,000","716,997,000","948,109,000","2,066,687,000","1,969,823,000"
"10003324","The Institute of Cancer Research","131,766,000","9,631,000","76,262,000","45,873,000","131,766,000","101,602,000"
"10007814","Cardiff University","568,812,000","329,356,000","158,583,000","59,522,000","547,461,000","499,562,000"
"10007854","Cardiff Metropolitan University","107,124,000","86,407,000","3,556,000","11,778,000","101,741,000","108,410,000"
"10007141","The University of Central Lancashire","243,992,000","202,972,000","11,498,000","22,781,000","237,251,000","252,699,000"
"10007848","University of Chester","119,754,000","101,868,000","3,447,000","8,714,000","114,029,000","124,364,000"
"10007137","The University of Chichester","54,878,000","42,756,000","2,264,000","4,036,000","49,056,000","56,732,000"
"10001478","City, University of London","244,991,000","208,854,000","22,595,000","12,345,000","243,794,000","218,386,000"
"10001726","Coventry University","428,279,000","361,694,000","18,809,000","28,126,000","408,629,000","421,858,000"
"10007822","Cranfield University","184,561,000","76,416,000","55,176,000","43,364,000","174,956,000","180,166,000"
"10006427","University for the Creative Arts","70,570,000","61,854,000","530,000","3,190,000","65,574,000","68,646,000"
"10007842","University of Cumbria","56,393,000","49,219,000","563,000","4,625,000","54,407,000","63,337,000"
"10001883","De Montfort University","253,853,000","235,946,000","7,961,000","7,915,000","251,822,000","238,828,000"
"10007851","University of Derby","193,812,000","162,839,000","3,298,000","15,878,000","182,015,000","201,293,000"
"10007852","The University of Dundee","253,343,000","133,300,000","84,731,000","27,690,000","245,721,000","230,756,000"
"10007143","University of Durham","385,598,000","242,041,000","74,097,000","33,670,000","349,808,000","309,661,000"
"10007789","The University of East Anglia","303,884,000","179,472,000","68,852,000","34,790,000","283,114,000","281,060,000"
"10007144","The University of East London","155,275,000","133,794,000","4,607,000","7,395,000","145,796,000","224,324,000"
"10007823","Edge Hill University","119,296,000","102,842,000","3,126,000","4,830,000","110,798,000","120,415,000"
"10007772","Edinburgh Napier University","127,616,000","108,673,000","5,481,000","5,304,000","119,458,000","131,622,000"
"10007790","The University of Edinburgh","1,125,321,000","493,579,000","383,962,000","179,517,000","1,057,058,000","933,711,000"
