﻿Title:,"Table 16 - HE qualifiers by HE provider and level of qualification obtained"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT051 Table 16
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/students/table-16
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/students/table-16.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Academic year,2023/24 
Search:,


"UKPRN","HE provider","Doctorate research","Other postgraduate research","Master's taught","Postgraduate Certificate in Education","Other postgraduate taught","Total postgraduate","First degree","Foundation degree","HNC/HND","Professional Graduate Certificate in Education","Other undergraduate","Total undergraduate","Total"
"10008071","AA School of Architecture","5","0","230","0","0","235","195","0","0","0","25","220","455"
"10007783","The University of Aberdeen","215","15","1,985","255","390","2,865","2,070","0","0","0","320","2,390","5,255"
"10007849","Abertay University","10","15","220","0","65","310","855","0","0","0","145","1,000","1,310"
"10007856","Aberystwyth University","50","10","385","35","85","565","1,345","10","0","10","80","1,445","2,010"
"10067853","ACM Guildford Limited","0","0","5","0","5","10","215","0","0","0","85","305","315"
"10000163","AECC University College","0","0","75","0","100","175","180","0","0","0","5","185","360"
"10032036","Amity Global Education","0","0","35","0","0","35","10","0","0","0","10","20","55"
"10000291","Anglia Ruskin University","90","0","4,160","10","845","5,105","5,250","300","0","0","1,180","6,730","11,835"
"10041898","Apex College","0","0","0","0","0","0","0","0","300","0","0","300","300"
"10005451","Arden University","0","0","280","0","115","400","1,190","0","0","0","605","1,795","2,195"
"10000381","Arts Educational Schools","0","0","25","0","0","25","80","0","0","0","40","120","150"
"10008899","The Ashridge (Bonar Law Memorial) Trust","5","0","225","0","20","250","10","0","0","0","15","25","275"
"10003212","Hult International Business School Ltd","0","0","475","0","0","475","280","0","0","0","0","280","750"
"10007759","Aston University","80","0","1,845","0","470","2,395","2,865","65","0","0","340","3,270","5,665"
"10038772","British Academy of Jewellery Limited","0","0","0","0","0","0","0","0","110","0","0","110","110"
"10007857","Bangor University","100","45","1,805","115","255","2,320","1,660","5","0","0","140","1,805","4,130"
"10000571","Bath Spa University","15","0","575","265","610","1,465","1,950","20","165","0","470","2,610","4,075"
"10007850","The University of Bath","275","0","1,785","0","235","2,295","3,315","50","0","0","120","3,485","5,780"
"10007152","University of Bedfordshire","20","10","3,755","140","220","4,145","1,860","115","0","10","405","2,390","6,540"
"10005343","Queen's University Belfast","485","35","2,465","110","1,305","4,400","4,535","0","0","0","850","5,380","9,785"
"10037544","BIMM University","0","0","125","0","30","155","1,595","0","0","0","425","2,015","2,170"
"10007810","Birmingham Christian College","0","0","0","0","0","0","0","0","0","0","5","5","5"
"10007760","Birkbeck College","110","0","1,895","0","330","2,340","1,015","10","0","0","495","1,520","3,860"
"10007140","Birmingham City University","70","0","3,980","325","715","5,090","5,110","215","135","0","650","6,105","11,200"
"10006840","The University of Birmingham","725","140","5,245","245","1,035","7,385","6,720","145","0","0","335","7,205","14,590"
"10000712","University College Birmingham","0","0","395","5","130","525","1,145","430","0","0","195","1,770","2,295"
"10007832","Birmingham Newman University","0","0","90","160","60","310","450","40","0","35","110","635","945"
"10000894","Bristol Baptist College","0","0","5","0","0","5","0","0","0","0","5","10","15"
"10007811","Bishop Grosseteste University","0","0","70","165","35","270","420","55","0","0","15","490","760"
"10004061","Bloomsbury Institute","0","0","650","0","50","700","40","0","0","0","10","50","750"
"10006841","The University of Bolton","30","0","1,415","120","330","1,890","1,980","200","35","0","485","2,700","4,590"
"10000385","The Arts University Bournemouth","0","0","140","0","10","155","1,170","5","0","0","85","1,260","1,415"
"10000824","Bournemouth University","50","10","2,330","0","300","2,690","3,210","15","10","0","410","3,645","6,335"
