﻿Title:,"Table 7 - HE academic staff by HE provider and employment conditions"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT025 Table 7
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-7
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-7.zip
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Mode of employment,All 
,Activity standard occupational classification,All 
,Academic year,2014/15 
Search:,


"UKPRN","HE provider","Wholly general financed by the provider","All other sources of finance","Total academic staff"
"10007783","The University of Aberdeen","1,165","500","1,665"
"10007849","Abertay University","210","5","210"
"10007856","Aberystwyth University","840","100","940"
"10000291","Anglia Ruskin University","780","0","780"
"10007759","Aston University","535","120","660"
"10007857","Bangor University","845","200","1,045"
"10000571","Bath Spa University","570","0","570"
"10007850","The University of Bath","990","295","1,285"
"10007152","University of Bedfordshire","680","0","680"
"10005343","Queen's University Belfast","1,045","655","1,705"
"10007760","Birkbeck College","965","0","965"
"10007140","Birmingham City University","1,405","175","1,580"
"10006840","The University of Birmingham","2,140","1,370","3,510"
"10000712","University College Birmingham","290","0","290"
"10007832","Birmingham Newman University","155","0","155"
"10007811","Bishop Grosseteste University","80","0","80"
"10006841","The University of Bolton","275","30","305"
"10000385","The Arts University Bournemouth","325","0","325"
"10000824","Bournemouth University","820","5","830"
"10007785","The University of Bradford","575","65","640"
"10000886","The University of Brighton","1,690","55","1,745"
"10007786","The University of Bristol","1,500","1,395","2,895"
"10000961","Brunel University London","1,090","115","1,200"
"10000975","Buckinghamshire New University","475","10","485"
"10007787","The University of Buckingham","160","0","160"
"10007788","The University of Cambridge","1,535","4,155","5,690"
"10003324","The Institute of Cancer Research","90","550","640"
"10001143","Canterbury Christ Church University","675","50","730"
"10007814","Cardiff University","2,705","675","3,380"
"10007854","Cardiff Metropolitan University","695","25","720"
"10007141","The University of Central Lancashire","1,355","25","1,380"
"10007848","University of Chester","600","0","600"
"10007137","The University of Chichester","500","0","500"
"10001478","City, University of London","1,620","110","1,730"
"10001653","Conservatoire for Dance and Drama","260","0","260"
"10007761","Courtauld Institute of Art","35","5","35"
"10001726","Coventry University","2,000","0","2,000"
"10007822","Cranfield University","660","0","660"
"10006427","University for the Creative Arts","360","0","360"
"10007842","University of Cumbria","415","5","420"
"10001883","De Montfort University","1,175","45","1,215"
"10007851","University of Derby","105","1,145","1,250"
"10007852","The University of Dundee","825","710","1,535"
"10007143","University of Durham","1,265","425","1,690"
"10007789","The University of East Anglia","1,355","345","1,700"
"10007144","The University of East London","905","5","910"
"10007823","Edge Hill University","1,000","0","1,000"
"10007772","Edinburgh Napier University","845","5","850"
"10007790","The University of Edinburgh","2,155","2,125","4,280"
"10007791","The University of Essex","1,035","80","1,115"
"10007792","The University of Exeter","1,300","560","1,860"
"10008640","Falmouth University","210","25","235"
"10007762","Glasgow Caledonian University","715","50","770"
"10002681","Glasgow School of Art","190","0","190"
"10007794","The University of Glasgow","2,165","1,015","3,175"
"10007145","University of Gloucestershire","650","0","650"
"10002718","Goldsmiths College","950","60","1,010"
"10007146","The University of Greenwich","1,205","25","1,230"
"10007825","Guildhall School of Music and Drama","575","0","575"
"10040812","Harper Adams University","155","0","155"
"10007764","Heriot-Watt University","615","175","795"
"10007147","University of Hertfordshire","1,360","130","1,490"
"10007765","Heythrop College","80","0","80"
"10007148","The University of Huddersfield","815","0","815"
"10007149","The University of Hull","940","120","1,065"
"10003270","Imperial College of Science, Technology and Medicine","1,290","3,055","4,350"
"10007766","Institute of Education","375","90","465"
"10007767","Keele University","580","275","855"
"10007150","The University of Kent","1,830","140","1,970"
"10003645","King's College London","2,660","1,850","4,510"
"10003678","Kingston University","845","155","995"
"10007768","The University of Lancaster","1,735","0","1,735"
"10003854","Leeds Arts University","160","0","160"
"10003861","Leeds Beckett University","1,310","100","1,410"
"10007795","The University of Leeds","2,615","680","3,290"
"10003863","Leeds Trinity University","145","0","145"
"10007796","The University of Leicester","1,180","520","1,700"
"10007151","The University of Lincoln","855","90","945"
"10003956","Liverpool Hope University","265","5","265"
"10003957","Liverpool John Moores University","1,200","105","1,310"
"10003945","The Liverpool Institute for Performing Arts","60","0","60"
"10006842","The University of Liverpool","1,600","1,120","2,720"
"10003958","Liverpool School of Tropical Medicine","35","215","255"
"10007162","University of the Arts, London","1,885","0","1,885"
"10007769","London Business School","105","0","105"
"10007797","University of London (Institutes and activities)","40","35","80"
"10004048","London Metropolitan University","640","0","640"
"10004078","London South Bank University","1,035","0","1,035"
"10004063","London School of Economics and Political Science","1,515","130","1,645"
"10007771","London School of Hygiene and Tropical Medicine","220","575","800"
"10004113","Loughborough University","1,110","320","1,430"
