﻿Title:,"Table 6 - Tuition fees and education contracts analysed by HE provider, domicile, mode, level, source"
Subtitle:,"Academic years 2016/17 to 2023/24"
Reference ID:,DT031 Table 6
Data source:,HESA / OfS
Data source link:,https://www.hesa.ac.uk/data-and-analysis/finances/table-6
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/finances/table-6.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2024
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Source of fee,Total 
,Academic year,2021/22 
,Financial Year End,All 
Search:,


"","","","","(£000s)",""
"UKPRN","HE Provider","Financial Year End","Total Home fees","Total Rest of UK fees","Total UK fees","Total EU fees","Total UK and EU fees","Total Non-EU fees","Total HE course fees","Total research training support grants","Non-credit bearing course fees","FE course fees","Total tuition fees and education contracts"
"10008071","AA School of Architecture","2022-07-31","","","1,333","3,101","4,434","17,420","21,854","0","842","0","22,696"
"10007783","The University of Aberdeen","2022-07-31","17,128","9,293","26,421","4,512","30,933","57,296","88,229","296","1,398","0","89,923"
"10007849","Abertay University","2022-07-31","6,256","1,439","7,695","825","8,520","2,221","10,741","0","0","82","10,823"
"10007856","Aberystwyth University","2022-07-31","14,885","25,608","40,493","3,663","44,156","9,147","53,303","0","933","0","54,236"
"10067853","ACM Guildford Limited","2021-08-31","","","10,688","474","11,162","87","11,249","0","0","2,112","13,361"
"10000163","AECC University College","2022-07-31","","","5,513","1,395","6,908","2,775","9,683","0","154","0","9,837"
"10032036","Amity Global Education","2022-03-31","","","418","18","436","27","463","0","0","0","463"
"10030497","Anglo Skills College","2022-02-28","","","0","0","0","85","85","0","0","0","85"
"10000291","Anglia Ruskin University","2022-07-31","","","216,383","12,518","228,901","44,191","273,092","0","1,061","0","274,153"
"10041898","Apex College","2021-12-31","","","900","138","1,038","120","1,158","0","0","0","1,158"
"10062759","Applied Business Academy Limited","2021-12-31","","","1,215","0","1,215","0","1,215","0","0","0","1,215"
"10005451","Arden University","2021-10-31","","","50,106","5,708","55,814","3,122","58,936","0","0","0","58,936"
"10000381","Arts Educational Schools","2021-08-31","","","3,677","509","4,186","205","4,391","0","5,073","0","9,464"
"10008899","The Ashridge (Bonar Law Memorial) Trust","2021-12-31","","","4,421","454","4,875","255","5,130","0","154","0","5,284"
"10003212","Hult International Business School Ltd","2022-07-31","","","1,752","5,120","6,872","7,967","14,839","0","0","0","14,839"
"10007759","Aston University","2022-07-31","","","101,179","1,605","102,784","39,017","141,801","1,785","767","0","144,353"
"10038772","British Academy of Jewellery Limited","2022-06-30","","","463","0","463","0","463","0","0","196","659"
"10007857","Bangor University","2022-07-31","27,868","28,819","56,687","2,494","59,181","19,918","79,099","1,046","620","0","80,765"
"10000571","Bath Spa University","2022-07-31","","","70,740","3,762","74,502","3,356","77,858","0","302","0","78,160"
"10007850","The University of Bath","2022-07-31","","","101,014","13,267","114,281","63,311","177,592","9,785","1,386","0","188,763"
"10000911","BCNO Limited","2021-08-31","","","0","0","0","0","0","0","0","0","0"
"10007152","University of Bedfordshire","2022-07-31","","","75,816","12,827","88,643","33,742","122,385","0","422","0","122,807"
"10005343","Queen's University Belfast","2022-07-31","77,129","11,279","88,408","4,343","92,751","56,916","149,667","1,855","725","0","152,247"
"10037544","BIMM University","2021-08-31","","","44,153","10,555","54,708","2,546","57,254","0","0","3,830","61,084"
"10002011","Bird College","2022-07-31","","","3,185","0","3,185","49","3,234","0","523","504","4,261"
"10007760","Birkbeck College","2022-07-31","","","55,315","3,756","59,071","11,700","70,771","1,259","236","0","72,266"
"10007140","Birmingham City University","2022-07-31","","","192,638","4,186","196,824","43,820","240,644","332","2,932","37","243,945"
"10006840","The University of Birmingham","2022-07-31","","","212,863","7,942","220,805","187,561","408,366","2,095","7,885","0","418,346"
"10000712","University College Birmingham","2022-07-31","","","25,456","6,952","32,408","6,467","38,875","647","0","456","39,978"
"10007832","Birmingham Newman University","2022-07-31","","","20,691","80","20,771","3","20,774","0","10","0","20,784"
"10000894","Bristol Baptist College","2022-06-30","","","249","2","251","30","281","0","31","0","312"
"10007811","Bishop Grosseteste University","2022-07-31","","","16,305","23","16,328","196","16,524","0","0","0","16,524"
"10004061","Bloomsbury Institute","2022-07-31","","","4,501","33","4,534","1,397","5,931","0","0","0","5,931"
"10006841","The University of Bolton","2022-07-31","","","63,781","2,031","65,812","13,286","79,098","0","957","2,177","82,232"
"10000385","The Arts University Bournemouth","2022-07-31","","","26,561","2,612","29,173","5,892","35,065","0","301","706","36,072"
"10000824","Bournemouth University","2022-07-31","","","109,653","2,979","112,632","23,419","136,051","0","1,558","0","137,609"
"10031982","BPP University","2021-08-31","","","63,531","2,074","65,605","42,412","108,017","0","0","0","108,017"
"10007785","The University of Bradford","2022-07-31","","","64,846","2,530","67,376","46,125","113,501","0","676","0","114,177"
"10000886","The University of Brighton","2022-07-31","","","101,950","5,093","107,043","22,620","129,663","1,524","350","0","131,537"
"10000936","The University College of Osteopathy","2022-07-31","","","2,613","464","3,077","241","3,318","0","101","9","3,428"
