﻿Title:,"Table 5 - Finances and people"
Subtitle:,"Academic years 2015/16 to 2022/23"
Reference ID:,DT042 Table 5
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/estates/table-5
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/estates/table-5.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2024
Filters:,Country of HE provider,Choose a value... 
,Region of HE provider,Choose a value... 
,Academic year,2021/22 
Search:,


"UKPRN","HE provider","Total income (£)","Teaching income (£)","Research income (£)","Other non-residential income (£)","Non-residential income total (£)","Total expenditure (£)"
"10007783","The University of Aberdeen","260,909,000","154,463,000","73,216,000","24,424,000","252,103,000","313,654,000"
"10007849","Abertay University","38,177,000","31,245,000","4,154,000","1,864,000","37,263,000","38,557,000"
"10007856","Aberystwyth University","123,523,000","63,273,000","27,518,000","21,695,000","112,486,000","150,725,000"
"10000291","Anglia Ruskin University","317,866,000","294,327,000","8,764,000","7,478,000","310,569,000","316,847,000"
"10007759","Aston University","200,789,000","159,667,000","26,314,000","9,406,000","195,387,000","222,151,000"
"10007857","Bangor University","163,249,000","94,320,000","40,739,000","16,426,000","151,485,000","200,296,000"
"10000571","Bath Spa University","98,792,000","81,191,000","3,124,000","5,670,000","89,985,000","103,154,000"
"10007850","The University of Bath","361,782,000","233,906,000","62,480,000","28,955,000","325,341,000","389,835,000"
"10007152","University of Bedfordshire","145,831,000","128,509,000","6,015,000","10,312,000","144,836,000","139,543,000"
"10005343","Queen's University Belfast","437,681,000","230,798,000","130,813,000","59,939,000","421,550,000","517,107,000"
"10007760","Birkbeck College","108,248,000","76,801,000","20,404,000","10,754,000","107,959,000","131,731,000"
"10007140","Birmingham City University","288,486,000","261,147,000","7,342,000","15,168,000","283,657,000","284,427,000"
"10006840","The University of Birmingham","887,940,000","471,740,000","257,169,000","113,881,000","842,790,000","1,042,613,000"
"10007811","Bishop Grosseteste University","21,833,000","18,091,000","417,000","1,705,000","20,213,000","26,919,000"
"10000385","The Arts University Bournemouth","48,820,000","38,216,000","443,000","1,818,000","40,477,000","51,046,000"
"10000824","Bournemouth University","169,674,000","147,211,000","8,954,000","6,476,000","162,641,000","176,504,000"
"10007785","The University of Bradford","145,134,000","126,771,000","10,674,000","6,843,000","144,288,000","167,456,000"
"10000886","The University of Brighton","193,530,000","147,011,000","13,607,000","13,737,000","174,355,000","214,912,000"
"10007786","The University of Bristol","858,485,000","456,086,000","245,133,000","97,077,000","798,296,000","994,276,000"
"10000961","Brunel University London","271,349,000","178,469,000","35,112,000","21,495,000","235,076,000","312,002,000"
"10000975","Buckinghamshire New University","169,010,000","158,097,000","645,000","3,818,000","162,560,000","161,466,000"
"10007788","The University of Cambridge","2,218,748,000","429,201,000","696,106,000","1,084,210,000","2,209,517,000","2,301,047,000"
"10003324","The Institute of Cancer Research","161,155,000","10,456,000","85,265,000","65,434,000","161,155,000","163,476,000"
"10001143","Canterbury Christ Church University","185,834,000","162,718,000","4,629,000","10,714,000","178,061,000","191,206,000"
"10007814","Cardiff University","634,167,000","363,832,000","183,998,000","58,549,000","606,379,000","725,313,000"
"10007854","Cardiff Metropolitan University","137,176,000","112,278,000","5,453,000","13,136,000","130,867,000","137,885,000"
"10007141","The University of Central Lancashire","277,957,000","230,253,000","15,043,000","26,742,000","272,038,000","277,163,000"
"10007848","University of Chester","","","0","0","0","0"
"10007137","The University of Chichester","63,787,000","48,186,000","1,728,000","5,597,000","55,511,000","64,539,000"
"10001478","City, University of London","262,148,000","220,355,000","24,417,000","16,463,000","261,235,000","328,182,000"
"10001726","Coventry University","","","0","0","0","0"
"10007822","Cranfield University","200,313,000","100,868,000","52,736,000","32,452,000","186,056,000","244,147,000"
"10006427","University for the Creative Arts","99,973,000","87,064,000","591,000","5,032,000","92,687,000","97,439,000"
"10007842","University of Cumbria","70,324,000","61,299,000","1,134,000","5,547,000","67,980,000","69,997,000"
"10001883","De Montfort University","243,020,000","222,894,000","8,448,000","9,149,000","240,491,000","251,471,000"
"10007851","University of Derby","197,913,000","164,498,000","3,138,000","18,336,000","185,972,000","217,426,000"
"10007852","The University of Dundee","291,992,000","162,156,000","93,548,000","27,083,000","282,787,000","345,433,000"
"10007143","University of Durham","468,543,000","287,378,000","79,006,000","45,593,000","411,977,000","532,686,000"
"10007789","The University of East Anglia","321,428,000","189,332,000","72,492,000","33,365,000","295,189,000","395,582,000"
"10007144","The University of East London","191,974,000","165,267,000","5,315,000","11,477,000","182,059,000","181,787,000"
"10007772","Edinburgh Napier University","148,309,000","124,076,000","7,399,000","8,350,000","139,825,000","155,018,000"
"10007790","The University of Edinburgh","1,297,443,000","604,322,000","422,570,000","196,843,000","1,223,735,000","1,389,038,000"
"10007791","The University of Essex","284,356,000","193,214,000","39,633,000","28,173,000","261,020,000","326,120,000"
"10007792","The University of Exeter","586,924,000","361,228,000","134,928,000","42,001,000","538,157,000","685,468,000"
"10008640","Falmouth University","63,105,000","55,610,000","955,000","6,067,000","62,632,000","68,020,000"
"10004511","The National Film and Television School","19,228,000","13,081,000","1,633,000","4,514,000","19,228,000","18,501,000"
"10007762","Glasgow Caledonian University","152,233,000","129,835,000","11,646,000","6,679,000","148,160,000","154,249,000"
"10002681","Glasgow School of Art","44,335,000","32,787,000","3,058,000","6,729,000","42,574,000","43,723,000"
"10007794","The University of Glasgow","929,358,000","499,465,000","256,318,000","144,688,000","900,471,000","1,002,724,000"
"10007145","University of Gloucestershire","80,992,000","66,897,000","3,552,000","6,232,000","76,681,000","88,412,000"
"10002718","Goldsmiths College","137,440,000","109,041,000","10,532,000","9,428,000","129,001,000","170,081,000"
"10007146","The University of Greenwich","272,201,000","230,556,000","18,065,000","6,532,000","255,153,000","258,006,000"
"10007825","Guildhall School of Music and Drama","36,452,000","21,149,000","1,233,000","12,469,000","34,851,000","37,624,000"
"10007764","Heriot-Watt University","","","","","",""
"10007147","University of Hertfordshire","339,471,000","254,639,000","14,959,000","41,501,000","311,099,000","332,330,000"
"10007148","The University of Huddersfield","182,938,000","151,422,000","21,774,000","8,853,000","182,049,000","192,141,000"
"10007149","The University of Hull","198,150,000","142,881,000","20,478,000","18,955,000","182,314,000","229,647,000"
"10003270","Imperial College of Science, Technology and Medicine","1,163,193,000","472,277,000","471,087,000","171,905,000","1,115,269,000","1,259,502,000"
"10007767","Keele University","","","0","0","0","0"
"10007150","The University of Kent","260,378,000","171,239,000","34,272,000","17,129,000","222,640,000","326,652,000"
"10003645","King's College London","1,149,251,000","674,105,000","296,523,000","121,166,000","1,091,794,000","1,396,640,000"
"10003678","Kingston University","219,310,000","188,053,000","6,602,000","17,134,000","211,789,000","231,342,000"
"10007768","The University of Lancaster","357,886,000","213,347,000","72,165,000","35,234,000","320,746,000","398,906,000"
"10003861","Leeds Beckett University","230,904,000","191,027,000","7,239,000","16,953,000","215,219,000","236,316,000"
"10007795","The University of Leeds","929,535,000","547,023,000","226,021,000","93,751,000","866,795,000","1,048,952,000"
"10003863","Leeds Trinity University","54,559,000","50,098,000","158,000","1,032,000","51,288,000","47,984,000"
"10007796","The University of Leicester","340,226,000","205,573,000","83,432,000","31,935,000","320,940,000","399,792,000"
"10007151","The University of Lincoln","215,181,000","157,321,000","19,051,000","15,459,000","191,831,000","203,623,000"
"10003956","Liverpool Hope University","58,119,000","50,304,000","1,179,000","1,536,000","53,019,000","54,707,000"
"10003957","Liverpool John Moores University","257,896,000","230,358,000","20,946,000","5,551,000","256,855,000","236,811,000"
"10006842","The University of Liverpool","614,928,000","358,365,000","146,602,000","81,106,000","586,073,000","756,073,000"
"10003958","Liverpool School of Tropical Medicine","196,652,000","10,066,000","117,194,000","69,392,000","196,652,000","203,314,000"
"10007162","University of the Arts, London","384,907,000","340,437,000","7,184,000","12,335,000","359,956,000","367,402,000"
"10007797","University of London (Institutes and activities)","182,657,000","95,649,000","1,769,000","43,924,000","141,342,000","207,952,000"
"10004048","London Metropolitan University","122,546,000","112,060,000","2,346,000","8,140,000","122,546,000","125,511,000"
"10004078","London South Bank University","199,114,000","171,787,000","6,891,000","11,701,000","190,379,000","197,548,000"
"10004063","London School of Economics and Political Science","441,373,000","274,861,000","56,949,000","79,533,000","411,343,000","463,553,000"
"10007771","London School of Hygiene and Tropical Medicine","261,383,000","38,456,000","196,190,000","26,635,000","261,281,000","291,273,000"
"10004113","Loughborough University","337,261,000","202,663,000","56,935,000","26,823,000","286,421,000","388,391,000"
"10004180","The Manchester Metropolitan University","393,007,000","327,658,000","21,912,000","21,390,000","370,960,000","382,458,000"
"10007798","The University of Manchester","1,217,127,000","693,598,000","351,630,000","119,312,000","1,164,540,000","1,316,976,000"
"10007799","Newcastle University","558,606,000","328,390,000","146,747,000","63,736,000","538,873,000","639,627,000"
"10007138","The University of Northampton","","","0","0","0","0"
"10001282","University of Northumbria at Newcastle","329,456,000","269,963,000","27,994,000","19,287,000","317,244,000","329,055,000"
"10004775","Norwich University of the Arts","28,714,000","26,423,000","427,000","781,000","27,631,000","23,640,000"
"10007154","University of Nottingham","801,866,000","487,497,000","186,115,000","81,218,000","754,830,000","925,347,000"
"10004797","The Nottingham Trent University","404,137,000","363,668,000","15,177,000","17,094,000","395,939,000","395,611,000"
"10007773","The Open University","553,956,000","527,386,000","24,109,000","2,461,000","553,956,000","777,504,000"
"10004930","Oxford Brookes University","216,558,000","147,558,000","14,376,000","31,413,000","193,347,000","232,269,000"
"10007774","The University of Oxford","2,775,240,000","518,568,000","865,707,000","1,387,607,000","2,771,882,000","2,897,326,000"
"10007801","University of Plymouth","247,093,000","172,189,000","31,100,000","40,833,000","244,122,000","247,345,000"
"10007155","The University of Portsmouth","290,521,000","254,084,000","19,677,000","12,045,000","285,806,000","281,814,000"
"10005337","Queen Margaret University, Edinburgh","48,317,000","36,863,000","4,617,000","1,809,000","43,289,000","48,723,000"
"10007775","Queen Mary University of London","634,528,000","388,993,000","161,766,000","62,464,000","613,223,000","630,957,000"
"10007802","The University of Reading","316,857,000","201,724,000","58,140,000","48,332,000","308,196,000","406,535,000"
"10005500","Robert Gordon University","114,741,000","98,894,000","5,687,000","7,044,000","111,625,000","114,913,000"
"10005523","Rose Bruford College of Theatre and Performance","","","0","0","0","0"
"10007778","Royal College of Music","33,095,000","22,154,000","1,224,000","9,283,000","32,661,000","32,980,000"
"10007816","The Royal Central School of Speech and Drama","","","0","0","0","0"
"10005553","Royal Holloway and Bedford New College","201,103,000","132,458,000","32,327,000","12,038,000","176,823,000","232,447,000"
"10007803","The University of St. Andrews","313,650,000","163,703,000","71,191,000","39,071,000","273,965,000","338,430,000"
"10007782","St George's, University of London","87,834,000","53,180,000","15,397,000","15,783,000","84,360,000","96,401,000"
"10008026","St Mary's University College","9,855,000","9,125,000","0","613,000","9,738,000","9,509,000"
"10007843","St Mary's University, Twickenham","54,358,000","43,078,000","1,755,000","2,917,000","47,750,000","53,927,000"
"10007156","The University of Salford","247,881,000","212,836,000","11,187,000","13,353,000","237,376,000","264,345,000"
"10005700","SRUC","88,629,000","31,287,000","19,110,000","37,057,000","87,454,000","89,417,000"
