﻿Title:,"Table 7 - HE academic staff by HE provider and employment conditions"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT025 Table 7
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-7
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-7.zip
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Mode of employment,All 
,Activity standard occupational classification,All 
,Academic year,2022/23 
Search:,


"UKPRN","HE provider","Teaching only","Research only","Both teaching and research","Neither teaching nor research","Total academic staff"
"10007783","The University of Aberdeen","535","390","730","0","1,655"
"10007849","Abertay University","30","15","160","10","215"
"10007856","Aberystwyth University","285","140","305","5","735"
"10067853","ACM Guildford Limited","115","0","0","5","125"
"10000163","AECC University College","0","0","75","5","80"
"10000291","Anglia Ruskin University","205","70","820","5","1,105"
"10005451","Arden University","435","0","0","35","470"
"10007759","Aston University","365","170","425","0","960"
"10038772","British Academy of Jewellery Limited","20","0","0","0","20"
"10007857","Bangor University","530","260","285","20","1,095"
"10000571","Bath Spa University","240","10","405","5","660"
"10007850","The University of Bath","490","310","760","10","1,570"
"10007152","University of Bedfordshire","105","25","395","15","540"
"10005343","Queen's University Belfast","380","640","1,005","0","2,030"
"10037544","BIMM University","165","0","0","45","205"
"10007760","Birkbeck College","445","120","395","0","960"
"10007140","Birmingham City University","710","30","1,280","5","2,025"
"10006840","The University of Birmingham","1,195","1,420","1,610","30","4,260"
"10000712","University College Birmingham","260","0","0","0","260"
"10007832","Birmingham Newman University","0","0","125","10","135"
"10007811","Bishop Grosseteste University","10","5","90","5","115"
"10004061","Bloomsbury Institute","45","0","0","0","50"
"10006841","The University of Bolton","40","0","480","10","530"
"10000385","The Arts University Bournemouth","260","5","155","0","425"
"10000824","Bournemouth University","245","65","730","5","1,045"
"10007785","The University of Bradford","45","40","525","5","610"
"10000886","The University of Brighton","155","110","1,170","0","1,440"
"10000936","The University College of Osteopathy","55","5","0","5","65"
"10007786","The University of Bristol","785","1,375","1,490","25","3,675"
"10000961","Brunel University London","580","135","665","0","1,380"
"10000975","Buckinghamshire New University","275","5","290","5","570"
"10007788","The University of Cambridge","365","3,910","1,665","0","5,940"
"10003324","The Institute of Cancer Research","0","610","85","0","690"
"10001143","Canterbury Christ Church University","5","35","665","35","740"
"10007814","Cardiff University","1,050","985","1,375","0","3,410"
"10007854","Cardiff Metropolitan University","250","30","605","5","885"
"10001264","Central School of Ballet","15","0","0","0","15"
"10007141","The University of Central Lancashire","270","120","1,375","10","1,780"
"10024024","Central Film School London","5","0","0","0","5"
"10007848","University of Chester","5","25","680","5","710"
"10007137","The University of Chichester","270","10","280","0","565"
"10001386","Chicken Shed Theatre Company","20","0","5","0","25"
"10001478","City, University of London","1,020","160","650","0","1,830"
"10007912","Cliff College","0","0","10","0","10"
"10066502","The College of Health Ltd","10","0","0","0","10"
"10007761","Courtauld Institute of Art","45","10","35","0","90"
"10034324","Court Theatre Training Company Ltd","10","0","0","0","10"
"10001726","Coventry University","1,210","0","1,795","0","3,005"
"10007822","Cranfield University","95","275","380","5","755"
"10006427","University for the Creative Arts","165","0","275","20","460"
"10007842","University of Cumbria","20","5","530","25","575"
"10015688","David Game College Ltd","30","0","0","0","30"
"10001883","De Montfort University","405","10","1,095","0","1,510"
"10007851","University of Derby","535","10","940","5","1,490"
"10007852","The University of Dundee","405","535","490","10","1,440"
"10007143","University of Durham","865","430","1,220","15","2,530"
"10007789","The University of East Anglia","935","350","720","0","2,005"
"10007144","The University of East London","345","35","640","30","1,055"
"10032282","The Queen's Foundation for Ecumenical Theological Education","0","0","10","0","15"
"10007823","Edge Hill University","310","10","650","0","970"
"10007772","Edinburgh Napier University","210","75","655","0","940"
"10007790","The University of Edinburgh","3,370","2,075","2,415","5","7,870"
"10042570","Escape Studios","25","0","0","5","35"
"10007791","The University of Essex","655","135","750","0","1,540"
"10008173","University College of Estate Management","90","0","5","15","110"
"10007792","The University of Exeter","1,470","980","1,305","0","3,760"
"10008640","Falmouth University","125","5","300","0","430"
"10004511","The National Film and Television School","35","5","0","35","75"
"10022087","Futureworks","20","0","0","0","20"
"10007762","Glasgow Caledonian University","35","85","685","5","810"
"10002681","Glasgow School of Art","0","10","225","10","245"
"10007794","The University of Glasgow","2,655","1,390","1,520","20","5,585"
"10007145","University of Gloucestershire","515","35","140","5","695"
"10002718","Goldsmiths College","665","40","460","5","1,170"
"10007146","The University of Greenwich","200","40","910","0","1,155"
"10007825","Guildhall School of Music and Drama","680","5","35","85","805"
"10040812","Harper Adams University","180","0","45","10","235"
"10080811","Hartpury University","150","5","20","10","180"
"10007764","Heriot-Watt University","225","270","425","10","925"
"10007147","University of Hertfordshire","875","45","1,255","20","2,195"
"10007148","The University of Huddersfield","15","155","775","0","945"
"10007149","The University of Hull","455","130","375","10","970"
"10003239","ICON College of Technology and Management","25","0","0","0","25"
"10003270","Imperial College of Science, Technology and Medicine","500","2,340","1,545","10","4,395"
"10013220","Institute of Art - London Limited","0","0","20","0","20"
"10035638","Institute of Contemporary Music Performance","15","0","0","0","15"
"10082570","Kaplan International Colleges U.K. Limited","345","0","0","35","380"
"10021682","Kaplan Open Learning (Essex) Limited","0","0","0","30","30"
"10007767","Keele University","360","100","415","0","875"
"10007150","The University of Kent","505","210","650","5","1,365"
"10003645","King's College London","2,185","1,990","2,020","0","6,195"
"10003678","Kingston University","40","40","885","0","965"
"10003758","LAMDA Limited","60","0","0","0","60"
"10007768","The University of Lancaster","850","435","945","20","2,250"
"10003854","Leeds Arts University","140","5","20","5","170"
"10003861","Leeds Beckett University","430","5","1,025","0","1,460"
"10034449","Leeds Conservatoire","175","0","0","15","190"
"10007795","The University of Leeds","915","1,110","1,850","0","3,875"
"10003863","Leeds Trinity University","25","0","210","0","235"
"10082828","College of Legal Practice Limited","5","0","0","0","5"
"10007796","The University of Leicester","650","485","710","0","1,840"
"10089591","LIBF Limited","0","0","25","20","45"
"10007151","The University of Lincoln","1,030","120","405","0","1,555"
"10036456","Academy of Live Technology Ltd","10","0","0","0","10"
"10003956","Liverpool Hope University","115","0","205","5","325"
"10003957","Liverpool John Moores University","435","165","1,160","0","1,765"
"10003945","The Liverpool Institute for Performing Arts","100","0","0","0","100"
"10006842","The University of Liverpool","980","885","1,290","10","3,160"
"10003958","Liverpool School of Tropical Medicine","15","155","80","0","250"
"10007162","University of the Arts, London","2,240","5","495","0","2,740"
"10007769","London Business School","0","5","105","0","110"
"10007797","University of London (Institutes and activities)","15","20","45","10","90"
"10004036","London Film School Limited","30","0","0","15","45"
"10004048","London Metropolitan University","250","0","230","20","500"
"10004078","London South Bank University","955","55","295","0","1,305"
"10004063","London School of Economics and Political Science","715","475","660","60","1,910"
"10007771","London School of Hygiene and Tropical Medicine","25","460","615","0","1,105"
"10022285","London School of Management Education","20","0","0","0","20"
"10004075","London School of Theology","0","0","25","0","25"
"10062810","The London School of Architecture","5","0","0","0","5"
"10067623","The London Interdisciplinary School Ltd","0","0","20","0","20"
"10004113","Loughborough University","580","285","805","0","1,675"
"10009612","Luther King House Educational Trust","0","0","5","0","5"
"10004180","The Manchester Metropolitan University","1,360","95","1,030","15","2,500"
"10007798","The University of Manchester","1,350","1,990","2,045","0","5,385"
"10023453","Matrix College of Counselling and Psychotherapy Ltd","0","0","0","0","0"
"10020416","Missio Dei","0","0","0","0","5"
"10030776","St Mellitus College","30","0","0","0","30"
"10004320","The Metanoia Institute","80","0","5","0","85"
