﻿Title:,"Table 7 - HE academic staff by HE provider and employment conditions"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT025 Table 7
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-7
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-7.zip
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Mode of employment,All 
,Activity standard occupational classification,All 
,Academic year,2015/16 
Search:,


"UKPRN","HE provider","Teaching only","Research only","Both teaching and research","Neither teaching nor research","Total academic staff"
"10007783","The University of Aberdeen","265","550","745","0","1,565"
"10007849","Abertay University","25","10","175","0","210"
"10007856","Aberystwyth University","315","170","365","5","850"
"10000291","Anglia Ruskin University","95","10","695","5","805"
"10007759","Aston University","130","165","380","0","675"
"10007857","Bangor University","365","215","390","20","990"
"10000571","Bath Spa University","270","5","325","10","610"
"10007850","The University of Bath","330","350","665","0","1,345"
"10007152","University of Bedfordshire","80","5","545","5","635"
"10005343","Queen's University Belfast","225","580","910","0","1,715"
"10007760","Birkbeck College","755","125","390","0","1,270"
"10007140","Birmingham City University","15","10","1,670","0","1,700"
"10006840","The University of Birmingham","995","1,185","1,450","5","3,635"
"10000712","University College Birmingham","290","0","0","5","290"
"10007832","Birmingham Newman University","5","0","145","10","160"
"10007811","Bishop Grosseteste University","5","0","90","0","95"
"10006841","The University of Bolton","25","5","280","15","330"
"10000385","The Arts University Bournemouth","220","5","120","5","355"
"10000824","Bournemouth University","240","35","655","10","935"
"10007785","The University of Bradford","15","30","580","5","630"
"10000886","The University of Brighton","100","160","1,530","10","1,800"
"10007786","The University of Bristol","360","1,340","1,225","130","3,055"
"10000961","Brunel University London","345","170","615","5","1,130"
"10000975","Buckinghamshire New University","140","5","310","5","465"
"10007787","The University of Buckingham","95","10","40","15","160"
"10007788","The University of Cambridge","215","3,970","1,635","10","5,825"
"10003324","The Institute of Cancer Research","0","590","65","0","655"
"10001143","Canterbury Christ Church University","0","25","685","20","730"
"10007814","Cardiff University","1,110","950","1,180","180","3,415"
"10007854","Cardiff Metropolitan University","225","25","460","5","715"
"10007141","The University of Central Lancashire","320","90","1,030","0","1,440"
"10007848","University of Chester","0","20","650","0","670"
"10007137","The University of Chichester","270","0","245","5","515"
"10001478","City, University of London","1,095","130","670","0","1,895"
"10001653","Conservatoire for Dance and Drama","245","0","5","5","250"
"10007761","Courtauld Institute of Art","5","5","35","0","45"
"10001726","Coventry University","665","10","1,520","50","2,250"
"10007822","Cranfield University","0","235","415","20","665"
"10006427","University for the Creative Arts","115","0","240","10","370"
"10007842","University of Cumbria","0","5","390","10","405"
"10001883","De Montfort University","480","15","800","0","1,300"
"10007851","University of Derby","585","25","670","0","1,285"
"10007852","The University of Dundee","335","685","430","20","1,465"
"10007143","University of Durham","255","445","935","50","1,690"
"10007789","The University of East Anglia","755","375","615","0","1,745"
"10007144","The University of East London","190","40","640","20","895"
"10007823","Edge Hill University","450","10","580","0","1,040"
"10007772","Edinburgh Napier University","245","65","535","15","865"
"10007790","The University of Edinburgh","460","1,935","2,055","5","4,455"
"10007791","The University of Essex","635","120","445","0","1,195"
"10007792","The University of Exeter","325","630","915","0","1,870"
"10008640","Falmouth University","65","5","200","0","265"
"10004511","The National Film and Television School","15","0","0","0","15"
"10007762","Glasgow Caledonian University","35","90","660","15","795"
"10002681","Glasgow School of Art","0","30","165","5","200"
"10007794","The University of Glasgow","1,225","1,210","1,225","5","3,665"
"10007145","University of Gloucestershire","250","5","355","25","635"
"10002718","Goldsmiths College","465","60","460","5","990"
"10007146","The University of Greenwich","345","65","825","0","1,240"
"10007825","Guildhall School of Music and Drama","520","0","60","45","625"
"10040812","Harper Adams University","50","5","95","10","155"
"10007764","Heriot-Watt University","130","240","435","10","825"
"10007147","University of Hertfordshire","405","130","955","10","1,505"
"10007765","Heythrop College","20","5","40","0","60"
"10007148","The University of Huddersfield","5","115","745","0","870"
"10007149","The University of Hull","265","135","620","5","1,030"
"10003270","Imperial College of Science, Technology and Medicine","270","2,670","1,430","0","4,370"
"10007767","Keele University","180","130","490","0","800"
"10007150","The University of Kent","1,010","210","760","15","1,990"
"10003645","King's College London","1,140","1,775","1,795","5","4,710"
"10003678","Kingston University","80","50","890","15","1,035"
"10007768","The University of Lancaster","660","335","865","20","1,880"
"10003854","Leeds Arts University","95","5","60","5","165"
"10003861","Leeds Beckett University","485","35","965","0","1,490"
"10007795","The University of Leeds","680","1,045","1,620","0","3,345"
"10003863","Leeds Trinity University","15","0","145","0","160"
"10007796","The University of Leicester","365","505","840","5","1,715"
"10007151","The University of Lincoln","390","55","550","0","995"
"10003956","Liverpool Hope University","55","0","225","0","280"
"10003957","Liverpool John Moores University","190","75","1,090","0","1,355"
"10003945","The Liverpool Institute for Performing Arts","60","0","0","0","60"
"10006842","The University of Liverpool","870","800","1,150","5","2,825"
"10003958","Liverpool School of Tropical Medicine","0","110","80","100","295"
"10007162","University of the Arts, London","1,005","0","1,080","0","2,085"
"10007769","London Business School","0","5","100","0","105"
"10007797","University of London (Institutes and activities)","15","20","30","10","80"
"10004048","London Metropolitan University","0","10","530","5","545"
"10004078","London South Bank University","750","25","165","0","940"
"10004063","London School of Economics and Political Science","625","395","635","0","1,655"
"10007771","London School of Hygiene and Tropical Medicine","0","340","455","0","795"
"10004113","Loughborough University","375","350","755","0","1,480"
"10004180","The Manchester Metropolitan University","955","50","1,405","35","2,445"
"10007798","The University of Manchester","800","2,250","2,025","0","5,075"
"10004351","Middlesex University","65","65","885","0","1,010"
"10007799","Newcastle University","435","1,065","1,250","0","2,750"
"10007138","The University of Northampton","290","15","485","5","790"
"10001282","University of Northumbria at Newcastle","95","75","1,210","0","1,385"
"10004775","Norwich University of the Arts","100","5","55","0","160"
"10007154","University of Nottingham","465","1,245","1,695","5","3,410"
"10004797","The Nottingham Trent University","480","0","1,255","0","1,735"
"10007773","The Open University","4,425","170","860","20","5,470"
"10004930","Oxford Brookes University","510","45","725","5","1,285"
"10007774","The University of Oxford","90","5,015","1,820","15","6,945"
"10005127","Arts University Plymouth","60","0","65","5","135"
"10007801","University of Plymouth","525","205","580","20","1,335"
"10007155","The University of Portsmouth","400","15","1,205","0","1,625"
"10005337","Queen Margaret University, Edinburgh","10","20","230","5","260"
"10007775","Queen Mary University of London","450","720","1,015","5","2,185"
"10005389","Ravensbourne University London","185","0","0","5","190"
"10007802","The University of Reading","635","375","665","15","1,690"
"10005500","Robert Gordon University","135","50","535","5","725"
"10007776","Roehampton University","255","0","260","10","520"
"10005523","Rose Bruford College of Theatre and Performance","0","0","75","0","75"
"10007835","Royal Academy of Music","260","0","25","0","290"
"10005545","Royal Agricultural University","5","0","55","5","60"
"10007777","Royal College of Art","0","35","130","0","165"
"10007778","Royal College of Music","0","0","275","0","280"
"10005561","Royal Conservatoire of Scotland","210","5","80","0","295"
"10007816","The Royal Central School of Speech and Drama","0","5","65","0","70"
"10005553","Royal Holloway and Bedford New College","545","140","495","0","1,185"
"10007837","Royal Northern College of Music","0","0","335","0","335"
"10007779","The Royal Veterinary College","70","95","130","0","295"
"10007803","The University of St. Andrews","145","395","625","0","1,165"
"10007782","St George's, University of London","230","115","115","10","470"
"10008026","St Mary's University College","20","0","40","0","60"
"10007843","St Mary's University, Twickenham","140","10","250","20","430"
"10007156","The University of Salford","120","25","785","0","925"
"10007780","SOAS University of London","435","35","300","0","775"
"10005700","SRUC","195","125","30","0","350"
"10005790","Sheffield Hallam University","480","140","1,450","0","2,070"
"10007157","The University of Sheffield","475","1,385","1,400","0","3,255"
"10006022","Solent University","85","10","655","0","750"
"10007158","The University of Southampton","595","1,045","1,350","5","2,995"
"10006299","Staffordshire University","390","0","530","10","930"
"10007804","The University of Stirling","430","105","425","0","960"
"10037449","University of St Mark and St John","5","0","95","5","110"
"10008010","Stranmillis University College","10","0","45","5","60"
"10007805","The University of Strathclyde","225","495","670","80","1,475"
"10014001","University of Suffolk","0","0","175","10","190"
"10007159","The University of Sunderland","365","10","430","5","810"
"10007160","The University of Surrey","485","295","555","0","1,340"
"10007806","The University of Sussex","645","380","750","5","1,785"
"10007855","Swansea University","455","315","550","0","1,320"
"10007161","Teesside University","25","55","665","0","745"
"10008017","Trinity Laban Conservatoire of Music and Dance","315","0","20","5","340"
"10007858","University of Wales Trinity Saint David","160","10","460","20","650"
"10007114","University of the Highlands and Islands","0","15","20","0","40"
"10007807","Ulster University","570","140","565","0","1,280"
"10007784","University College London","1,060","3,500","2,655","0","7,220"
"10007793","University of South Wales","1,045","45","705","15","1,805"
"10008574","The University of Wales (central functions)","0","20","0","30","50"
"10007163","The University of Warwick","785","820","1,135","0","2,740"
"10007164","University of the West of England, Bristol","275","125","1,175","35","1,610"
"10007800","The University of the West of Scotland","10","35","535","5","585"
"10006566","The University of West London","570","0","305","0","875"
"10007165","The University of Westminster","740","70","865","5","1,675"
"10003614","The University of Winchester","350","20","325","20","715"
"10007166","The University of Wolverhampton","190","30","615","5","830"
"10007139","University of Worcester","250","25","425","5","705"
"10007833","Wrexham University","35","15","195","20","265"
"10007657","Writtle University College","100","0","5","5","110"
"10007713","York St John University","25","0","305","0","330"
"10007167","The University of York","270","590","845","0","1,710"
"","Total","52,970","48,645","98,630","1,525","201,770"
