﻿Title:,"Table 1 - HE student enrolments by HE provider"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT051 Table 1
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/students/table-1
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/students/table-1.zip
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Entrant marker,All 
,Level of study,All 
,Mode of study,All 
,Academic year,2022/23 
Search:,


"UKPRN","HE provider","England","Scotland","Wales","Northern Ireland","Other UK","Total UK","European Union","Non-European Union","Total Non-UK","Not known","Total"
"10008071","AA School of Architecture","75","0","0","0","0","75","110","810","925","0","1,000"
"10007783","The University of Aberdeen","1,850","9,135","70","155","30","11,235","1,000","3,055","4,050","165","15,455"
"10007849","Abertay University","265","3,940","10","30","0","4,245","315","280","595","0","4,840"
"10007856","Aberystwyth University","4,050","45","2,905","60","15","7,070","445","900","1,345","0","8,415"
"10067853","ACM Guildford Limited","955","10","15","5","10","990","20","10","30","0","1,020"
"10000163","AECC University College","790","10","30","15","5","850","125","210","335","0","1,185"
"10032036","Amity Global Education","40","0","0","0","0","40","0","70","70","0","105"
"10000291","Anglia Ruskin University","27,245","60","105","75","15","27,495","1,025","6,540","7,570","15","35,080"
"10041898","Apex College","630","0","0","0","0","630","0","0","0","0","630"
"10062759","Applied Business Academy Limited","2,355","0","0","0","0","2,355","0","0","0","0","2,355"
"10005451","Arden University","20,420","25","205","5","0","20,655","10","25","35","10","20,700"
"10000381","Arts Educational Schools","280","10","10","5","0","305","25","15","40","0","345"
"10008899","The Ashridge (Bonar Law Memorial) Trust","650","5","5","0","50","710","20","25","45","0","755"
"10003212","Hult International Business School Ltd","110","5","0","0","0","110","625","965","1,590","0","1,700"
"10007759","Aston University","14,275","25","175","20","5","14,505","255","4,450","4,705","0","19,210"
"10038772","British Academy of Jewellery Limited","765","0","0","0","0","765","10","5","10","0","780"
"10007857","Bangor University","3,805","40","3,810","75","50","7,775","290","2,715","3,005","45","10,825"
"10000571","Bath Spa University","15,765","20","600","45","35","16,465","210","660","865","0","17,335"
"10007850","The University of Bath","13,170","145","880","110","85","14,395","1,345","3,495","4,840","10","19,240"
"10007152","University of Bedfordshire","8,215","15","30","15","0","8,275","905","5,515","6,415","0","14,695"
"10005343","Queen's University Belfast","1,550","155","95","17,980","20","19,800","1,340","4,440","5,775","20","25,600"
"10037544","BIMM University","6,075","90","230","35","40","6,465","405","190","595","0","7,060"
"10007760","Birkbeck College","8,390","30","50","5","5","8,485","440","1,275","1,715","0","10,200"
"10007140","Birmingham City University","25,755","95","330","75","10","26,260","300","5,185","5,480","0","31,745"
"10006840","The University of Birmingham","26,730","165","860","90","75","27,920","865","9,895","10,760","30","38,710"
"10000712","University College Birmingham","4,070","10","60","15","5","4,165","305","2,020","2,325","0","6,490"
"10007832","Birmingham Newman University","2,750","5","10","5","0","2,770","5","0","5","0","2,775"
"10000894","Bristol Baptist College","45","0","0","0","0","45","0","5","5","0","50"
"10007811","Bishop Grosseteste University","2,045","0","10","5","0","2,060","10","60","70","0","2,125"
"10004061","Bloomsbury Institute","440","0","0","0","0","440","0","1,000","1,005","0","1,440"
"10006841","The University of Bolton","9,060","25","60","30","5","9,175","150","1,520","1,670","0","10,845"
"10000385","The Arts University Bournemouth","3,155","10","65","30","50","3,310","180","400","580","0","3,890"
"10000824","Bournemouth University","14,830","30","170","45","60","15,130","285","3,510","3,795","0","18,925"
"10031982","BPP University","8,075","80","80","50","15","8,300","180","19,025","19,205","0","27,505"
"10007785","The University of Bradford","8,280","15","35","20","10","8,360","195","4,370","4,565","0","12,925"
"10000886","The University of Brighton","14,720","40","170","115","85","15,135","465","2,160","2,630","110","17,870"
"10000936","The University College of Osteopathy","410","5","0","0","0","420","15","30","45","0","465"
"10007786","The University of Bristol","20,340","215","1,510","165","50","22,275","1,070","8,745","9,815","10","32,100"
"10028216","Brit College","900","0","0","0","0","900","0","0","0","0","900"
"10023464","Trinity College Bristol","140","0","0","0","0","145","0","5","10","0","150"
"10000961","Brunel University London","10,070","35","95","20","20","10,235","680","7,450","8,135","0","18,370"
"10000975","Buckinghamshire New University","20,200","40","85","25","15","20,365","300","610","910","0","21,275"
"10007787","The University of Buckingham","2,325","35","30","10","135","2,530","105","1,115","1,225","5","3,760"
"10019368","London College of Business Studies","245","0","0","0","0","245","0","0","0","0","245"
"10010308","Cambridge Arts and Sciences Limited","40","0","5","0","0","45","15","75","85","0","135"
"10007788","The University of Cambridge","14,870","290","335","155","15","15,665","1,800","5,505","7,305","5","22,975"
"10032072","The Cambridge Theological Federation","120","0","0","0","0","125","0","5","10","0","135"
"10003324","The Institute of Cancer Research","330","0","0","0","0","330","20","20","40","5","375"
"10001143","Canterbury Christ Church University","30,780","15","65","25","5","30,890","225","635","860","10","31,760"
"10007814","Cardiff University","15,205","75","10,730","235","80","26,325","635","5,760","6,395","5","32,725"
