﻿Title:,"Table 8 - HE academic staff by HE provider and highest qualification held"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT025 Table 8
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-8
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-8.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Mode of employment,All 
,Academic year,2016/17 
Search:,


"UKPRN","HE Provider","Doctorate","Other higher degree","Other postgraduate qualification","First degree","Other undergraduate qualification","Other","Unknown","Total academic staff"
"10007783","The University of Aberdeen","1,035","110","75","140","45","10","50","1,460"
"10007849","Abertay University","105","30","20","50","5","5","0","220"
"10007856","Aberystwyth University","485","60","90","100","25","20","10","795"
"10000291","Anglia Ruskin University","515","225","70","55","5","5","0","875"
"10007759","Aston University","545","75","45","45","5","5","5","730"
"10007857","Bangor University","585","210","60","115","10","10","10","1,000"
"10000571","Bath Spa University","210","180","80","75","10","5","45","605"
"10007850","The University of Bath","910","65","80","55","5","5","245","1,370"
"10007152","University of Bedfordshire","225","150","90","80","15","5","25","590"
"10005343","Queen's University Belfast","1,285","185","20","175","0","0","0","1,665"
"10007760","Birkbeck College","570","230","25","85","10","0","200","1,125"
"10007140","Birmingham City University","390","575","330","320","45","75","135","1,875"
"10006840","The University of Birmingham","2,310","650","215","360","65","25","0","3,625"
"10000712","University College Birmingham","15","100","60","55","55","15","0","300"
"10007832","Birmingham Newman University","70","30","20","35","5","0","0","165"
"10007811","Bishop Grosseteste University","45","40","5","5","0","0","0","95"
"10006841","The University of Bolton","120","115","60","45","5","0","0","345"
"10000385","The Arts University Bournemouth","20","150","25","125","30","10","0","365"
"10000824","Bournemouth University","525","220","45","120","30","15","0","960"
"10007785","The University of Bradford","385","135","20","40","5","0","5","590"
"10000886","The University of Brighton","760","535","185","175","25","10","55","1,740"
"10000936","The University College of Osteopathy","10","10","30","30","15","5","0","100"
"10007786","The University of Bristol","2,360","350","110","190","10","10","145","3,175"
"10000961","Brunel University London","665","265","40","80","20","10","55","1,135"
"10000975","Buckinghamshire New University","95","215","55","60","20","10","5","460"
"10007787","The University of Buckingham","65","35","5","40","0","0","25","165"
"10007788","The University of Cambridge","3,970","395","170","250","45","15","1,115","5,965"
