﻿Title:,"Table 1 - Buildings and spaces"
Subtitle:,"Academic years 2015/16 to 2022/23"
Reference ID:,DT042 Table 1
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/estates/table-1
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/estates/table-1.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2024
Filters:,Country of HE provider,Choose a value... 
,Region of HE provider,Choose a value... 
,Academic year,2017/18 
Search:,


"UKPRN","HE provider","Total number of sites","Total number of buildings","Total site area (hectares)","Total grounds area (hectares)","Total playing fields area (hectares)","Total gross internal area (m2)","Total number of car parking spaces","Total number of cycle spaces"
"10007783","The University of Aberdeen","4","117","82.053","40.847","21.203","266,036.245","1,528","831"
"10007849","Abertay University","1","11","2.600","1.100","0.000","49,624.000","225","86"
"10007856","Aberystwyth University","4","152","118.720","56.000","23.000","219,625.000","2,930","342"
"10000163","AECC University College","","","","","","8,029.284","",""
"10000291","Anglia Ruskin University","3","189","22.801","9.140","8.000","125,508.070","676","2,096"
"10007759","Aston University","2","20","34.260","24.950","6.230","106,254.612","866","126"
"10007857","Bangor University","15","171","345.000","327.000","15.200","222,679.000","1,951","685"
"10000571","Bath Spa University","5","73","60.570","53.570","2.240","69,005.000","915","290"
"10007850","The University of Bath","1","99","53.000","31.000","24.000","289,904.840","2,072","855"
"10007152","University of Bedfordshire","5","51","36.218","27.741","5.683","101,570.000","637","209"
"10005343","Queen's University Belfast","6","234","59.500","40.230","27.920","345,795.000","1,270","1,074"
"10007760","Birkbeck College","2","18","4.049","0.000","0.000","40,491.850","0","30"
"10007140","Birmingham City University","","44","9.940","9.940","0.000","194,677.060","",""
"10006840","The University of Birmingham","8","199","109.800","93.200","27.600","542,830.200","3,591","1,500"
"10000712","University College Birmingham","5","8","2.700","1.760","0.000","67,293.810","309","159"
"10007832","Birmingham Newman University","1","19","5.900","4.660","1.280","28,129.000","389","65"
"10007811","Bishop Grosseteste University","1","25","8.100","4.300","4.200","21,280.250","228","102"
"10006841","The University of Bolton","7","19","11.872","8.160","0.000","69,092.000","428","32"
"10000385","The Arts University Bournemouth","1","12","3.800","3.800","0.000","33,895.050","224","180"
"10000824","Bournemouth University","4","28","18.510","10.840","3.580","91,393.000","1,201","817"
"10007785","The University of Bradford","6","32","20.080","20.080","1.076","119,202.030","1,298","210"
"10000886","The University of Brighton","6","127","48.665","38.260","9.300","204,898.984","1,432","1,103"
"10000936","The University College of Osteopathy","1","2","","","0.000","5,187.000","10","81"
"10007786","The University of Bristol","6","338","285.018","52.527","16.400","532,986.948","1,826","3,487"
"10000961","Brunel University London","1","135","197.830","78.350","17.260","239,929.360","2,106","787"
"10000975","Buckinghamshire New University","3","24","8.100","7.000","0.000","53,514.040","524","228"
"10007788","The University of Cambridge","16","369","177.000","","","685,259.230","3,500","11,000"
"10003324","The Institute of Cancer Research","2","10","5.576","2.360","0.000","35,269.840","362","90"
"10001143","Canterbury Christ Church University","15","144","22.642","12.859","4.708","126,782.930","1,041","857"
"10007814","Cardiff University","6","293","69.270","25.970","13.770","457,642.000","1,990","3,554"
"10007854","Cardiff Metropolitan University","3","52","27.000","15.000","6.000","95,694.000","1,605","530"
"10007141","The University of Central Lancashire","6","74","58.337","20.186","24.909","176,337.130","1,955","669"
"10007848","University of Chester","3","213","73.610","43.100","17.900","196,941.560","2,417","272"
"10007137","The University of Chichester","2","123","28.603","16.052","11.685","75,710.300","800","513"
"10001478","City, University of London","3","20","10.920","","0.000","109,173.660","28","270"
"10001653","Conservatoire for Dance and Drama","","","","","","37,411.850","",""
"10007761","Courtauld Institute of Art","2","3","0.930","0.000","0.000","9,785.000","0","0"
"10001726","Coventry University","7","129","38.140","7.940","12.300","237,589.880","1,838","1,114"
"10007822","Cranfield University","3","272","254.400","238.100","5.840","170,986.000","2,126","474"
"10006427","University for the Creative Arts","4","58","8.000","8.000","0.000","78,229.000","723","142"
"10007842","University of Cumbria","6","98","33.918","28.814","3.500","80,209.640","924","329"
"10001883","De Montfort University","1","59","23.110","8.360","9.140","174,068.680","966","764"
"10007851","University of Derby","7","48","48.620","41.810","7.900","166,813.640","1,818","420"
"10007852","The University of Dundee","3","79","40.000","34.600","5.400","201,910.000","765","637"
"10007143","University of Durham","3","314","258.000","57.920","36.930","369,097.674","3,171","1,523"
"10007789","The University of East Anglia","1","92","146.000","130.000","14.000","279,338.000","1,972","3,618"
"10007144","The University of East London","3","30","13.350","12.773","0.200","122,480.190","700","516"
"10007823","Edge Hill University","3","116","51.000","25.700","4.700","130,079.720","1,647","209"
"10007772","Edinburgh Napier University","11","17","35.000","10.123","0.000","110,834.350","775","677"
"10007790","The University of Edinburgh","7","408","348.000","298.000","20.000","880,930.000","2,803","5,354"
"10007791","The University of Essex","4","127","111.560","102.000","7.000","267,434.190","2,052","1,068"
"10007792","The University of Exeter","3","211","107.670","107.670","31.000","276,090.910","1,986","1,659"
"10008640","Falmouth University","2","85","22.256","19.860","0.235","68,863.220","601","530"
"10004511","The National Film and Television School","1","11","1.420","1.420","0.000","12,424.080","105","30"
"10007762","Glasgow Caledonian University","2","23","7.116","4.762","0.000","100,807.510","141","168"
"10002681","Glasgow School of Art","4","18","2.000","2.000","0.000","66,196.000","40","72"
"10007794","The University of Glasgow","18","323","220.000","81.000","23.000","487,541.590","1,575","939"
"10007145","University of Gloucestershire","4","94","33.000","13.730","5.000","89,392.000","954","700"
"10002718","Goldsmiths College","5","92","17.513","9.013","8.500","85,802.000","111","450"
"10007146","The University of Greenwich","3","48","41.111","21.001","17.560","142,229.980","1,564","456"
"10007825","Guildhall School of Music and Drama","1","4","0.892","0.140","0.000","33,817.040","2","147"
"10040812","Harper Adams University","1","112","143.600","26.700","5.570","57,624.890","1,426","96"
"10007764","Heriot-Watt University","4","89","89.640","89.460","10.440","225,484.972","2,101","609"
"10007147","University of Hertfordshire","8","84","94.460","94.460","21.640","188,834.000","3,502","1,700"
"10007148","The University of Huddersfield","1","26","17.390","11.790","5.600","116,838.300","667","154"
"10007149","The University of Hull","2","185","90.340","55.440","34.900","209,206.000","2,025","970"
"10003270","Imperial College of Science, Technology and Medicine","11","113","152.209","118.873","24.453","534,196.000","1,276","2,610"
"10007767","Keele University","2","187","209.800","97.000","18.500","176,208.000","2,303","464"
"10007150","The University of Kent","2","397","129.360","120.160","9.200","247,866.330","2,405","1,504"
"10003645","King's College London","6","89","","5.800","20.920","449,526.810","151","989"
"10003678","Kingston University","5","169","50.920","23.700","21.320","162,213.920","1,697","1,145"
"10007768","The University of Lancaster","2","250","160.800","97.900","35.800","314,533.000","2,849","1,201"
"10003854","Leeds Arts University","","","","","0.000","16,976.000","60","20"
"10003861","Leeds Beckett University","3","105","56.232","18.050","19.207","226,604.540","1,610","1,025"
"10007795","The University of Leeds","6","301","126.730","63.821","50.289","555,111.406","1,891","2,214"
"10003863","Leeds Trinity University","1","33","18.000","7.000","6.600","42,994.000","483","44"
"10007796","The University of Leicester","5","214","89.714","40.901","26.604","301,708.430","2,033","2,542"
"10007151","The University of Lincoln","3","64","256.818","239.418","3.232","146,087.186","981","1,340"
"10003956","Liverpool Hope University","3","46","19.330","9.120","2.110","81,196.000","706","201"
"10003957","Liverpool John Moores University","3","42","23.990","5.750","6.870","153,430.060","742","473"
"10003945","The Liverpool Institute for Performing Arts","1","2","0.896","0.605","0.000","13,178.070","26","26"
"10006842","The University of Liverpool","7","217","246.500","83.200","18.600","490,206.000","1,900","745"
"10003958","Liverpool School of Tropical Medicine","1","5","1.120","0.000","0.000","21,088.040","121","120"
"10007162","University of the Arts, London","16","40","8.846","3.622","0.000","184,111.544","125","1,217"
"10007769","London Business School","","","","","","40,566.150","",""
"10007797","University of London (Institutes and activities)","","","","","","167,349.000","",""
"10004048","London Metropolitan University","4","8","2.648","0.860","0.000","92,984.270","25","138"
"10004078","London South Bank University","2","31","7.480","0.360","0.000","148,771.000","118","312"
"10004063","London School of Economics and Political Science","1","43","21.180","11.680","9.500","186,966.000","56","492"
"10007771","London School of Hygiene and Tropical Medicine","","","","","","27,429.000","",""
"10004113","Loughborough University","2","125","120.752","93.308","28.093","304,555.640","3,590","2,110"
"10004180","The Manchester Metropolitan University","2","54","37.460","24.150","7.440","265,919.000","1,433","1,154"
"10007798","The University of Manchester","7","219","163.830","95.960","45.150","878,432.060","3,669","3,000"
"10004351","Middlesex University","4","43","10.947","6.500","3.200","89,311.660","555","164"
"10007799","Newcastle University","28","239","633.223","26.359","22.170","454,818.990","728","2,040"
"10007138","The University of Northampton","4","56","45.000","33.000","9.000","113,759.000","2,085","414"
"10001282","University of Northumbria at Newcastle","4","62","45.000","25.000","13.000","256,557.000","1,493","863"
"10004775","Norwich University of the Arts","1","11","1.540","0.840","0.000","20,328.000","50","205"
"10007154","University of Nottingham","4","364","230.000","543.000","48.000","667,199.940","4,815","5,097"
"10004797","The Nottingham Trent University","3","107","259.485","239.106","7.679","198,865.000","1,891","899"
"10007773","The Open University","8","75","52.740","26.510","3.230","131,505.000","2,751","658"
"10004930","Oxford Brookes University","9","142","79.200","56.300","13.600","224,390.000","1,572","2,945"
"10007774","The University of Oxford","13","243","530.379","496.654","7.973","628,321.000","1,721","4,364"
"10005127","Arts University Plymouth","7","8","1.082","0.090","0.000","15,565.820","26","25"
"10007801","University of Plymouth","13","95","14.780","8.730","0.000","176,315.000","641","293"
"10007155","The University of Portsmouth","","95","","","","183,213.640","1,191","1,639"
