﻿Title:,"Table 7 - HE academic staff by HE provider and employment conditions"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT025 Table 7
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-7
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-7.zip
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Mode of employment,All 
,Activity standard occupational classification,All 
,Academic year,2023/24 
Search:,


"UKPRN","HE provider","Open-ended/Permanent","Fixed-term","Total academic staff"
"10007783","The University of Aberdeen","1,555","135","1,695"
"10007849","Abertay University","185","30","215"
"10007856","Aberystwyth University","520","200","720"
"10067853","ACM Guildford Limited","115","0","115"
"10000163","AECC University College","90","5","95"
"10000291","Anglia Ruskin University","1,145","120","1,270"
"10005451","Arden University","295","480","780"
"10007759","Aston University","810","205","1,015"
"10038772","British Academy of Jewellery Limited","25","0","25"
"10007857","Bangor University","595","365","960"
"10000571","Bath Spa University","495","180","675"
"10007850","The University of Bath","1,080","535","1,615"
"10007152","University of Bedfordshire","495","70","565"
"10005343","Queen's University Belfast","1,370","750","2,120"
"10037544","BIMM University","140","0","140"
"10007760","Birkbeck College","455","425","875"
"10007140","Birmingham City University","1,345","720","2,065"
"10006840","The University of Birmingham","2,505","1,700","4,205"
"10000712","University College Birmingham","310","10","320"
"10007832","Birmingham Newman University","140","10","150"
"10007811","Bishop Grosseteste University","105","15","125"
"10004061","Bloomsbury Institute","25","10","40"
"10006841","The University of Bolton","525","55","580"
"10000385","The Arts University Bournemouth","390","25","415"
"10000824","Bournemouth University","795","220","1,015"
"10007785","The University of Bradford","575","65","640"
"10000886","The University of Brighton","1,020","355","1,375"
"10000936","The University College of Osteopathy","60","5","65"
"10007786","The University of Bristol","3,400","370","3,770"
"10000961","Brunel University London","855","620","1,475"
"10000975","Buckinghamshire New University","380","245","625"
"10007788","The University of Cambridge","3,270","2,820","6,090"
"10003324","The Institute of Cancer Research","280","380","660"
"10001143","Canterbury Christ Church University","715","50","765"
"10007814","Cardiff University","2,635","1,345","3,975"
