﻿Title:,"Table 49 - HE student enrolments by HE provider and subject of study"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT051 Table 49
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/students/table-49
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/students/table-49.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Level of study,All 
,Mode of study,All 
,Academic year,2020/21 
Search:,


"UKPRN","HE provider","15-01-01 Social sciences (non-specific)","15-01-02 Sociology","15-01-03 Social policy","15-01-04 Anthropology","15-01-05 Development studies","15-01-06 Cultural studies","15-02-01 Economics","15-03-01 Politics","15-04-01 Social work","15-04-02 Childhood and youth studies","15-04-03 Health studies","15 Social sciences"
"10008071","AA School of Architecture","0","0","0","0","0","0","0","0","0","0","0","0"
"10007783","The University of Aberdeen","5","190","5","120","0","0","315","565","0","0","120","1,325"
"10007849","Abertay University","60","365","0","0","0","0","0","0","0","0","0","425"
"10007856","Aberystwyth University","0","165","40","0","0","0","40","320","0","0","0","560"
"10067853","ACM Guildford Limited","0","0","0","0","0","0","0","0","0","0","0","0"
"10000248","Academy of Live and Recorded Arts","0","0","0","0","0","0","0","0","0","0","0","0"
"10000163","AECC University College","0","0","0","0","0","0","0","0","0","0","0","0"
"10032036","Amity Global Education","0","0","0","0","0","0","0","0","0","0","0","0"
"10000291","Anglia Ruskin University","0","600","65","0","0","0","30","85","665","285","2,075","3,800"
"10041898","Apex College","0","0","0","0","0","0","0","0","0","0","0","0"
"10062759","Applied Business Academy Limited","0","0","0","0","0","0","0","0","0","0","0","0"
"10005451","Arden University","10","815","10","0","0","0","0","0","0","0","1,345","2,185"
"10000381","Arts Educational Schools","0","0","0","0","0","0","0","0","0","0","0","0"
"10008899","The Ashridge (Bonar Law Memorial) Trust","0","0","0","0","0","0","0","0","0","0","0","0"
"10003212","Hult International Business School Ltd","0","0","0","0","0","0","0","0","0","0","0","0"
"10007759","Aston University","0","215","60","0","0","0","680","465","0","0","0","1,415"
"10038772","British Academy of Jewellery Limited","0","0","0","0","0","0","0","0","0","0","0","0"
"10007857","Bangor University","0","185","140","0","0","15","55","10","45","135","75","655"
"10000571","Bath Spa University","150","245","0","0","0","10","60","0","0","5","0","475"
"10007850","The University of Bath","105","230","160","0","185","0","1,360","685","100","0","155","2,975"
"10007152","University of Bedfordshire","140","195","455","0","0","0","60","10","280","175","1,735","3,055"
"10005343","Queen's University Belfast","30","415","55","95","0","0","465","635","495","0","0","2,195"
"10037544","BIMM University","0","0","0","0","0","0","0","0","0","0","0","0"
"10007760","Birkbeck College","80","270","235","5","55","80","465","420","5","10","0","1,630"
"10007140","Birmingham City University","65","1,140","70","0","0","5","185","0","495","235","45","2,240"
"10006840","The University of Birmingham","65","465","225","45","415","15","1,335","1,550","520","0","605","5,245"
"10000712","University College Birmingham","0","0","0","0","0","0","0","0","145","275","225","650"
"10007832","Birmingham Newman University","0","75","0","0","0","0","0","0","235","0","80","385"
"10000894","Bristol Baptist College","0","0","0","0","0","0","0","0","0","0","0","0"
"10007811","Bishop Grosseteste University","0","30","0","0","0","0","0","0","0","90","95","215"
"10004061","Bloomsbury Institute","0","0","0","0","0","0","0","0","0","0","0","0"
"10006841","The University of Bolton","0","140","0","0","0","0","0","25","120","200","1,135","1,620"
"10000385","The Arts University Bournemouth","0","0","0","0","0","0","0","0","0","0","0","0"
"10000824","Bournemouth University","0","375","0","105","5","0","245","80","225","0","270","1,305"
"10031982","BPP University","0","0","10","0","0","0","0","0","0","0","120","130"
"10007785","The University of Bradford","170","255","0","0","85","0","85","165","140","165","5","1,070"
"10000886","The University of Brighton","105","630","25","0","0","0","100","65","260","45","345","1,580"
"10000936","The University College of Osteopathy","0","0","0","0","0","0","0","0","0","0","0","0"
"10007786","The University of Bristol","60","390","705","270","0","0","1,350","935","255","0","0","3,965"
"10028216","Brit College","0","0","0","0","0","0","0","0","0","0","0","0"
"10023464","Trinity College Bristol","0","0","0","0","0","0","0","0","0","0","0","0"
"10000961","Brunel University London","0","195","5","100","0","0","835","335","125","0","10","1,605"
"10000975","Buckinghamshire New University","1,040","60","0","0","0","0","0","0","255","95","255","1,715"
"10007787","The University of Buckingham","0","0","0","0","0","0","85","70","0","0","0","155"
"10019368","London College of Business Studies","0","0","0","0","0","0","0","0","0","0","0","0"
"10010308","Cambridge Arts and Sciences Limited","0","0","0","0","0","0","0","0","0","0","0","0"
"10007788","The University of Cambridge","0","565","25","310","70","0","745","490","0","0","0","2,210"
"10032072","The Cambridge Theological Federation","0","0","0","0","0","0","0","0","0","0","0","0"
"10003324","The Institute of Cancer Research","0","0","0","0","0","0","0","0","0","0","0","0"
"10001143","Canterbury Christ Church University","15","415","20","0","0","0","0","125","275","30","400","1,280"
"10007814","Cardiff University","400","615","80","0","0","0","985","855","90","5","5","3,040"
"10007854","Cardiff Metropolitan University","0","0","0","0","0","0","65","0","405","145","220","835"
"10057213","CEG UFP Limited","20","0","0","0","0","0","0","0","0","0","0","20"
"10007141","The University of Central Lancashire","320","480","155","20","0","0","25","55","1,010","190","830","3,085"
"10024024","Central Film School London","0","0","0","0","0","0","0","0","0","0","0","0"
"10007848","University of Chester","30","300","0","0","20","0","50","85","385","65","100","1,035"
"10007137","The University of Chichester","190","15","15","0","0","0","0","20","185","175","25","625"
"10001386","Chicken Shed Theatre Company","0","0","0","0","0","0","0","0","0","0","0","0"
"10001546","The College of Integrated Chinese Medicine","0","0","0","0","0","0","0","0","0","0","0","0"
"10001419","Christie's Education Limited","0","0","0","0","0","0","0","0","0","0","0","0"
"10026921","Christ the Redeemer College","0","0","0","0","0","0","0","0","0","0","0","0"
"10010213","The City College","0","0","0","0","0","0","0","0","0","0","0","0"
"10001478","City, University of London","0","570","85","0","0","45","940","695","0","0","135","2,475"
"10007912","Cliff College","0","0","0","0","0","0","0","0","0","0","0","0"
"10066502","The College of Health Ltd","0","0","0","0","0","0","0","0","0","0","0","0"
"10023442","The College of Osteopaths","0","0","0","0","0","0","0","0","0","0","0","0"
"10001653","Conservatoire for Dance and Drama","0","0","0","0","0","0","0","0","0","0","0","0"
"10081618","The Council of the Inns of Court","0","0","0","0","0","0","0","0","0","0","0","0"
"10007761","Courtauld Institute of Art","0","0","0","0","0","0","0","0","0","0","0","0"
"10034324","Court Theatre Training Company Ltd","0","0","0","0","0","0","0","0","0","0","0","0"
"10001726","Coventry University","0","755","125","0","40","0","665","445","370","275","725","3,405"
"10007822","Cranfield University","0","0","10","0","0","0","0","0","0","0","0","10"
"10006427","University for the Creative Arts","0","0","0","0","0","0","0","0","0","0","0","0"
"10007842","University of Cumbria","10","60","0","0","0","0","0","0","70","100","430","665"
"10026767","Dartington Hall Trust (The)","0","0","0","0","0","0","20","0","0","0","0","20"
"10015688","David Game College Ltd","0","0","0","0","0","0","0","95","0","0","0","95"
"10001883","De Montfort University","0","550","285","0","0","0","365","320","525","0","265","2,315"
"10007851","University of Derby","0","590","5","0","0","0","70","70","355","420","710","2,220"
"10007852","The University of Dundee","5","0","25","25","0","0","135","250","220","0","55","710"
"10007143","University of Durham","350","475","0","405","0","0","835","675","65","0","0","2,805"
"10007789","The University of East Anglia","55","95","25","25","400","20","785","600","575","0","475","3,050"
