﻿Title:,"Table 7 - HE academic staff by HE provider and employment conditions"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT025 Table 7
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-7
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-7.zip
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Mode of employment,All 
,Activity standard occupational classification,All 
,Academic year,2014/15 
Search:,


"UKPRN","HE provider","Teaching only","Research only","Both teaching and research","Neither teaching nor research","Total academic staff"
"10007783","The University of Aberdeen","275","590","800","0","1,665"
"10007849","Abertay University","20","10","180","5","210"
"10007856","Aberystwyth University","370","195","375","0","940"
"10000291","Anglia Ruskin University","85","35","655","5","780"
"10007759","Aston University","130","145","385","0","660"
"10007857","Bangor University","375","270","385","15","1,045"
"10000571","Bath Spa University","255","5","300","10","570"
"10007850","The University of Bath","325","320","640","0","1,285"
"10007152","University of Bedfordshire","70","5","590","15","680"
"10005343","Queen's University Belfast","225","550","930","0","1,705"
"10007760","Birkbeck College","425","115","425","0","965"
"10007140","Birmingham City University","0","0","1,575","0","1,580"
"10006840","The University of Birmingham","925","1,165","1,415","0","3,510"
"10000712","University College Birmingham","285","0","0","5","290"
"10007832","Birmingham Newman University","5","0","125","20","155"
"10007811","Bishop Grosseteste University","5","0","70","0","80"
"10006841","The University of Bolton","20","15","260","10","305"
"10000385","The Arts University Bournemouth","205","5","110","5","325"
"10000824","Bournemouth University","210","20","590","5","830"
"10007785","The University of Bradford","15","20","595","5","640"
"10000886","The University of Brighton","115","165","1,455","5","1,745"
"10007786","The University of Bristol","335","1,305","1,130","125","2,895"
"10000961","Brunel University London","385","170","635","10","1,200"
"10000975","Buckinghamshire New University","170","5","310","5","485"
"10007787","The University of Buckingham","105","10","30","15","160"
"10007788","The University of Cambridge","210","3,855","1,625","0","5,690"
"10003324","The Institute of Cancer Research","0","575","65","0","640"
"10001143","Canterbury Christ Church University","20","20","680","5","730"
"10007814","Cardiff University","1,190","915","1,120","155","3,380"
"10007854","Cardiff Metropolitan University","265","20","430","5","720"
"10007141","The University of Central Lancashire","305","85","985","0","1,380"
"10007848","University of Chester","0","0","600","0","600"
"10007137","The University of Chichester","260","0","235","5","500"
"10001478","City, University of London","920","100","710","0","1,730"
"10001653","Conservatoire for Dance and Drama","255","0","5","0","260"
"10007761","Courtauld Institute of Art","5","0","30","0","35"
"10001726","Coventry University","425","10","1,505","60","2,000"
"10007822","Cranfield University","0","210","420","30","660"
