﻿Title:,"Table 16 - HE qualifiers by HE provider and level of qualification obtained"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT051 Table 16
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/students/table-16
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/students/table-16.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Academic year,2020/21 
Search:,


"UKPRN","HE provider","Doctorate research","Other postgraduate research","Master's taught","Postgraduate Certificate in Education","Other postgraduate taught","Total postgraduate","First degree","Foundation degree","HNC/HND","Professional Graduate Certificate in Education","Other undergraduate","Total undergraduate","Total"
"10008071","AA School of Architecture","5","0","140","0","30","180","215","0","0","0","20","235","415"
"10007783","The University of Aberdeen","190","15","1,915","380","325","2,820","2,075","0","0","0","260","2,335","5,160"
"10007849","Abertay University","10","5","125","0","85","220","920","0","0","0","155","1,075","1,295"
"10007856","Aberystwyth University","65","10","275","70","75","490","1,505","20","0","25","95","1,645","2,135"
"10067853","ACM Guildford Limited","0","0","0","0","0","0","405","0","0","0","65","470","470"
"10000248","Academy of Live and Recorded Arts","0","0","35","0","0","35","55","0","0","0","0","55","90"
"10000163","AECC University College","0","0","25","0","35","60","120","0","0","0","5","125","185"
"10032036","Amity Global Education","0","0","5","0","0","5","0","0","0","0","0","0","5"
"10000291","Anglia Ruskin University","75","5","1,705","5","485","2,275","4,215","290","0","0","620","5,125","7,400"
"10041898","Apex College","0","0","0","0","0","0","0","0","55","0","0","55","55"
"10005451","Arden University","0","0","130","0","45","175","575","0","10","0","160","745","920"
"10000381","Arts Educational Schools","0","0","25","0","0","25","80","0","0","0","60","140","165"
"10008899","The Ashridge (Bonar Law Memorial) Trust","0","0","15","0","10","25","0","0","0","0","0","0","25"
"10003212","Hult International Business School Ltd","0","0","610","0","0","610","265","0","0","0","0","265","875"
"10007759","Aston University","80","0","1,000","0","235","1,320","2,515","65","0","0","155","2,735","4,055"
