﻿Title:,"Table 59 - UK permanent address HE students by HE provider and permanent address"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT051 Table 59
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/students/table-59
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/students/table-59.zip
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Level of study,All 
,Mode of study,All 
,Academic year,2023/24 
Search:,


"UKPRN","HE Provider","Channel Islands not otherwise specified","Isle of Man","Total Other UK","Not known","Total"
"10008071","AA School of Architecture","0","0","0","0","75"
"10007783","The University of Aberdeen","5","5","10","115","11,780"
"10007849","Abertay University","0","0","0","0","4,420"
"10007856","Aberystwyth University","5","10","15","0","7,110"
"10067853","ACM Guildford Limited","0","0","5","0","930"
"10000163","AECC University College","5","0","5","0","1,135"
"10032036","Amity Global Education","0","0","0","0","20"
"10030497","Anglo Skills College","0","0","0","0","50"
"10000291","Anglia Ruskin University","10","5","10","70","28,050"
"10041898","Apex College","0","0","0","0","820"
"10005451","Arden University","0","0","0","0","28,665"
"10000381","Arts Educational Schools","0","0","0","0","295"
"10008899","The Ashridge (Bonar Law Memorial) Trust","0","0","0","5","675"
"10003212","Hult International Business School Ltd","0","0","0","0","120"
"10007759","Aston University","0","0","0","0","14,185"
"10038772","British Academy of Jewellery Limited","0","0","0","0","1,255"
"10007857","Bangor University","10","15","25","40","7,865"
"10000571","Bath Spa University","30","5","35","5","23,495"
"10007850","The University of Bath","60","20","80","0","14,840"
"10007152","University of Bedfordshire","0","0","0","0","7,365"
"10005343","Queen's University Belfast","5","10","15","0","19,290"
"10037544","BIMM University","25","5","35","0","6,570"
"10007810","Birmingham Christian College","0","0","0","0","25"
"10007760","Birkbeck College","5","5","5","0","7,160"
"10007140","Birmingham City University","5","5","10","0","26,265"
"10006840","The University of Birmingham","30","10","40","25","26,780"
"10000712","University College Birmingham","0","5","5","0","3,930"
"10007832","Birmingham Newman University","0","0","0","0","4,070"
"10000894","Bristol Baptist College","0","0","0","0","40"
"10007811","Bishop Grosseteste University","0","0","0","0","2,330"
"10004061","Bloomsbury Institute","0","0","0","0","215"
"10006841","The University of Bolton","5","0","5","0","9,880"
"10000385","The Arts University Bournemouth","40","0","45","0","3,390"
"10000824","Bournemouth University","55","0","55","0","14,945"
"10031982","BPP University","5","0","5","0","10,040"
"10007785","The University of Bradford","0","5","5","0","8,290"
"10000886","The University of Brighton","75","5","80","20","14,145"
"10000936","The University College of Osteopathy","0","0","5","0","505"
"10007786","The University of Bristol","45","5","50","0","21,755"
"10028216","Brit College","0","0","0","0","565"
"10023464","Trinity College Bristol","0","0","0","0","120"
"10000961","Brunel University London","5","0","5","5","8,960"
"10000975","Buckinghamshire New University","10","0","10","5","18,570"
"10007787","The University of Buckingham","5","0","5","95","2,065"
"10042737","UK Business College Ltd","0","0","0","0","75"
"10019368","London College of Business Studies","0","0","0","0","220"
"10010308","Cambridge Arts and Sciences Limited","0","0","0","0","45"
"10007788","The University of Cambridge","10","5","15","0","15,395"
"10032072","The Cambridge Theological Federation","0","0","0","0","105"
"10003324","The Institute of Cancer Research","0","0","0","0","295"
"10001143","Canterbury Christ Church University","5","0","5","0","36,840"
"10007814","Cardiff University","70","5","75","5","26,530"
"10034450","Cardiff and Vale College","0","0","0","0","65"
