﻿Title:,"Table 5 - Finances and people"
Subtitle:,"Academic years 2015/16 to 2022/23"
Reference ID:,DT042 Table 5
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/estates/table-5
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/estates/table-5.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2024
Filters:,Country of HE provider,Choose a value... 
,Region of HE provider,Choose a value... 
,Academic year,2022/23 
Search:,


"UKPRN","HE provider","Total income (£)","Teaching income (£)","Research income (£)","Other non-residential income (£)","Non-residential income total (£)","Total expenditure (£)"
"10007783","The University of Aberdeen","268,635,000","156,904,000","76,697,000","24,625,000","258,226,000","259,370,000"
"10007849","Abertay University","40,928,000","32,711,000","4,040,000","4,177,000","40,928,000","39,711,000"
"10007856","Aberystwyth University","132,771,000","65,766,000","32,130,000","23,104,000","121,000,000","129,866,000"
"10000291","Anglia Ruskin University","335,300,000","303,106,000","11,718,000","12,348,000","327,172,000","328,861,000"
"10007759","Aston University","220,959,000","172,702,000","29,334,000","12,015,000","214,051,000","208,539,000"
"10007857","Bangor University","178,022,000","102,845,000","43,393,000","18,511,000","164,749,000","172,291,000"
"10000571","Bath Spa University","145,760,000","128,886,000","3,719,000","6,875,000","139,480,000","144,600,000"
"10007850","The University of Bath","362,945,000","226,901,000","70,615,000","21,590,000","319,106,000","361,923,000"
"10007152","University of Bedfordshire","153,148,000","135,027,000","5,243,000","11,650,000","151,920,000","144,786,000"
"10005343","Queen's University Belfast","460,525,000","237,359,000","134,911,000","66,198,000","438,468,000","441,464,000"
"10007760","Birkbeck College","110,284,000","75,360,000","21,774,000","12,421,000","109,555,000","108,152,000"
"10007140","Birmingham City University","316,832,000","284,423,000","7,924,000","18,972,000","311,319,000","297,555,000"
"10006840","The University of Birmingham","928,716,000","504,819,000","249,809,000","122,655,000","877,283,000","890,524,000"
"10000712","University College Birmingham","73,160,000","64,991,000","0","2,917,000","67,908,000","70,132,000"
"10007811","Bishop Grosseteste University","21,248,000","17,209,000","269,000","2,252,000","19,730,000","24,051,000"
"10000385","The Arts University Bournemouth","52,660,000","40,511,000","564,000","2,467,000","43,542,000","53,664,000"
"10000824","Bournemouth University","184,601,000","155,331,000","12,835,000","9,133,000","177,299,000","180,419,000"
"10007785","The University of Bradford","177,114,000","155,182,000","9,943,000","11,002,000","176,127,000","171,444,000"
"10000886","The University of Brighton","206,163,000","148,093,000","17,621,000","18,313,000","184,027,000","215,061,000"
"10007786","The University of Bristol","934,147,000","485,616,000","269,758,000","114,404,000","869,778,000","837,223,000"
"10000961","Brunel University London","282,373,000","185,992,000","30,878,000","22,735,000","239,605,000","278,195,000"
"10000975","Buckinghamshire New University","188,847,000","176,264,000","617,000","6,029,000","182,910,000","180,806,000"
"10007788","The University of Cambridge","2,518,255,000","453,908,000","713,320,000","1,337,382,000","2,504,610,000","2,317,852,000"
"10003324","The Institute of Cancer Research","138,641,000","13,074,000","84,190,000","41,377,000","138,641,000","134,937,000"
"10001143","Canterbury Christ Church University","263,808,000","238,454,000","5,387,000","11,712,000","255,553,000","260,420,000"
