﻿Title:,"Table 17 - HE full-time academic staff by HE provider and contract salary"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT025 Table 17
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-17
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-17.zip
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Sex,All 
,Academic employment function,All 
,Contract levels,All 
,Academic year,2017/18 
Search:,


"UKPRN","HE provider","Contract salary < £18,777 ","Contract salary ≥ £18,777 and < £24,983 ","Contract salary ≥ £24,983 and < £33,518 ","Contract salary ≥ £33,518 and < £44,992 ","Contract salary ≥ £44,992 and < £60,410 ","Contract salary ≥ £60,410 ","Total"
"10007783","The University of Aberdeen","0","0","95","275","425","245","1,035"
"10007849","Abertay University","0","0","20","65","65","30","185"
"10007856","Aberystwyth University","0","0","45","160","155","110","470"
"10000163","AECC University College","0","0","0","5","10","10","30"
"10000291","Anglia Ruskin University","0","5","60","245","320","85","715"
"10007759","Aston University","0","0","55","200","295","105","660"
"10007857","Bangor University","0","5","60","210","235","100","610"
"10000571","Bath Spa University","0","0","0","65","175","35","275"
"10007850","The University of Bath","0","20","75","340","440","235","1,105"
"10007152","University of Bedfordshire","5","0","25","160","225","55","470"
"10005343","Queen's University Belfast","0","10","170","650","500","280","1,610"
"10007760","Birkbeck College","0","0","20","115","130","185","450"
"10007140","Birmingham City University","0","0","45","295","505","70","915"
"10006840","The University of Birmingham","0","0","540","685","995","590","2,815"
"10000712","University College Birmingham","10","0","15","120","70","10","225"
"10007832","Birmingham Newman University","0","0","5","55","70","15","145"
"10007811","Bishop Grosseteste University","0","0","0","30","50","5","90"
"10006841","The University of Bolton","0","0","35","135","90","20","280"
"10000385","The Arts University Bournemouth","0","5","70","80","15","5","170"
"10000824","Bournemouth University","0","0","55","250","215","130","655"
"10007785","The University of Bradford","0","0","20","100","235","95","450"
"10000886","The University of Brighton","0","0","15","140","530","150","835"
"10000936","The University College of Osteopathy","0","0","0","0","5","0","5"
"10007786","The University of Bristol","0","0","75","1,145","730","465","2,415"
"10000961","Brunel University London","0","0","30","130","345","185","685"
"10000975","Buckinghamshire New University","0","5","20","65","150","15","260"
"10007787","The University of Buckingham","0","0","15","35","45","10","105"
"10007788","The University of Cambridge","0","5","1,395","1,695","1,030","1,095","5,225"
"10003324","The Institute of Cancer Research","0","0","60","330","120","75","585"
"10001143","Canterbury Christ Church University","0","0","15","145","255","70","485"
"10007814","Cardiff University","0","0","225","870","730","595","2,420"
