﻿Title:,"Table 7 - HE academic staff by HE provider and employment conditions"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT025 Table 7
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-7
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-7.zip
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Mode of employment,All 
,Activity standard occupational classification,All 
,Academic year,2015/16 
Search:,


"UKPRN","HE provider","Female","Male","Other","Total academic staff"
"10007783","The University of Aberdeen","695","870","0","1,565"
"10007849","Abertay University","80","130","0","210"
"10007856","Aberystwyth University","380","470","0","850"
"10000291","Anglia Ruskin University","430","375","0","805"
"10007759","Aston University","250","430","0","675"
"10007857","Bangor University","520","470","0","990"
"10000571","Bath Spa University","325","280","0","610"
"10007850","The University of Bath","460","885","0","1,345"
"10007152","University of Bedfordshire","360","275","0","635"
"10005343","Queen's University Belfast","695","1,020","0","1,715"
"10007760","Birkbeck College","630","640","0","1,270"
"10007140","Birmingham City University","805","895","0","1,700"
"10006840","The University of Birmingham","1,625","2,010","0","3,635"
"10000712","University College Birmingham","185","105","0","290"
"10007832","Birmingham Newman University","75","85","0","160"
"10007811","Bishop Grosseteste University","60","30","0","95"
"10006841","The University of Bolton","130","200","0","330"
"10000385","The Arts University Bournemouth","175","175","0","355"
"10000824","Bournemouth University","465","475","0","935"
"10007785","The University of Bradford","290","340","0","630"
"10000886","The University of Brighton","920","880","0","1,800"
"10007786","The University of Bristol","1,355","1,700","0","3,055"
"10000961","Brunel University London","400","730","0","1,130"
"10000975","Buckinghamshire New University","230","235","0","465"
"10007787","The University of Buckingham","65","95","0","160"
"10007788","The University of Cambridge","2,355","3,470","0","5,825"
"10003324","The Institute of Cancer Research","370","280","0","655"
"10001143","Canterbury Christ Church University","420","310","0","730"
"10007814","Cardiff University","1,525","1,890","0","3,415"
"10007854","Cardiff Metropolitan University","365","350","0","715"
"10007141","The University of Central Lancashire","695","740","0","1,440"
"10007848","University of Chester","355","315","0","670"
"10007137","The University of Chichester","270","245","0","515"
"10001478","City, University of London","810","1,085","0","1,895"
"10001653","Conservatoire for Dance and Drama","145","105","0","250"
"10007761","Courtauld Institute of Art","30","10","0","45"
"10001726","Coventry University","1,015","1,240","0","2,250"
"10007822","Cranfield University","155","510","0","665"
"10006427","University for the Creative Arts","170","195","0","370"
"10007842","University of Cumbria","225","180","0","405"
"10001883","De Montfort University","625","675","0","1,300"
"10007851","University of Derby","665","620","0","1,285"
"10007852","The University of Dundee","665","800","0","1,465"
"10007143","University of Durham","645","1,045","0","1,690"
"10007789","The University of East Anglia","865","880","0","1,745"
"10007144","The University of East London","435","460","0","895"
"10007823","Edge Hill University","655","390","0","1,040"
"10007772","Edinburgh Napier University","405","460","0","865"
"10007790","The University of Edinburgh","1,945","2,510","0","4,455"
"10007791","The University of Essex","515","680","0","1,195"
"10007792","The University of Exeter","810","1,065","0","1,870"
"10008640","Falmouth University","120","150","0","265"
"10004511","The National Film and Television School","5","10","0","15"
"10007762","Glasgow Caledonian University","445","350","0","795"
"10002681","Glasgow School of Art","90","110","0","200"
"10007794","The University of Glasgow","1,655","2,010","0","3,665"
"10007145","University of Gloucestershire","295","345","0","635"
"10002718","Goldsmiths College","515","470","0","990"
"10007146","The University of Greenwich","585","655","0","1,240"
"10007825","Guildhall School of Music and Drama","250","370","0","625"
"10040812","Harper Adams University","65","90","0","155"
"10007764","Heriot-Watt University","255","570","0","825"
"10007147","University of Hertfordshire","820","685","0","1,505"
"10007765","Heythrop College","20","45","0","60"
"10007148","The University of Huddersfield","370","495","0","870"
"10007149","The University of Hull","460","570","0","1,030"
"10003270","Imperial College of Science, Technology and Medicine","1,435","2,940","0","4,370"
"10007767","Keele University","415","380","0","800"
"10007150","The University of Kent","900","1,090","0","1,990"
"10003645","King's College London","2,365","2,345","0","4,710"
"10003678","Kingston University","510","525","0","1,035"
"10007768","The University of Lancaster","780","1,100","0","1,880"
"10003854","Leeds Arts University","95","70","0","165"
"10003861","Leeds Beckett University","750","735","0","1,490"
"10007795","The University of Leeds","1,410","1,930","0","3,345"
"10003863","Leeds Trinity University","90","75","0","160"
"10007796","The University of Leicester","735","975","0","1,715"
"10007151","The University of Lincoln","415","580","0","995"
"10003956","Liverpool Hope University","145","140","0","280"
"10003957","Liverpool John Moores University","580","770","0","1,355"
"10003945","The Liverpool Institute for Performing Arts","25","40","0","60"
"10006842","The University of Liverpool","1,140","1,690","0","2,825"
"10003958","Liverpool School of Tropical Medicine","155","135","0","295"
"10007162","University of the Arts, London","1,115","970","0","2,085"
"10007769","London Business School","30","75","0","105"
"10007797","University of London (Institutes and activities)","35","45","0","80"
"10004048","London Metropolitan University","255","290","0","545"
"10004078","London South Bank University","485","450","0","940"
"10004063","London School of Economics and Political Science","660","995","0","1,655"
"10007771","London School of Hygiene and Tropical Medicine","470","325","0","795"
"10004113","Loughborough University","490","990","0","1,480"
"10004180","The Manchester Metropolitan University","1,280","1,165","0","2,445"
"10007798","The University of Manchester","2,080","2,995","0","5,075"
"10004351","Middlesex University","495","515","0","1,010"
"10007799","Newcastle University","1,155","1,600","0","2,750"
"10007138","The University of Northampton","410","380","0","790"
"10001282","University of Northumbria at Newcastle","655","725","0","1,385"
"10004775","Norwich University of the Arts","65","95","0","160"
"10007154","University of Nottingham","1,375","2,035","0","3,410"
"10004797","The Nottingham Trent University","865","870","0","1,735"
"10007773","The Open University","3,020","2,450","0","5,470"
"10004930","Oxford Brookes University","695","590","0","1,285"
"10007774","The University of Oxford","2,860","4,085","0","6,945"
"10005127","Arts University Plymouth","70","65","0","135"
"10007801","University of Plymouth","595","735","0","1,335"
"10007155","The University of Portsmouth","705","915","0","1,625"
"10005337","Queen Margaret University, Edinburgh","175","80","0","260"
"10007775","Queen Mary University of London","970","1,220","0","2,185"
"10005389","Ravensbourne University London","75","120","0","190"
"10007802","The University of Reading","800","890","0","1,690"
"10005500","Robert Gordon University","380","345","0","725"
"10007776","Roehampton University","310","215","0","520"
"10005523","Rose Bruford College of Theatre and Performance","40","35","0","75"
"10007835","Royal Academy of Music","90","200","0","290"
"10005545","Royal Agricultural University","20","45","0","60"
"10007777","Royal College of Art","80","85","0","165"
"10007778","Royal College of Music","90","190","0","280"
"10005561","Royal Conservatoire of Scotland","115","175","0","295"
"10007816","The Royal Central School of Speech and Drama","40","30","0","70"
"10005553","Royal Holloway and Bedford New College","520","665","0","1,185"
"10007837","Royal Northern College of Music","145","195","0","335"
"10007779","The Royal Veterinary College","160","135","0","295"
"10007803","The University of St. Andrews","445","720","0","1,165"
"10007782","St George's, University of London","275","200","0","470"
"10008026","St Mary's University College","30","35","0","60"
"10007843","St Mary's University, Twickenham","215","215","0","430"
"10007156","The University of Salford","395","530","0","925"
"10007780","SOAS University of London","370","405","0","775"
"10005700","SRUC","145","205","0","350"
"10005790","Sheffield Hallam University","1,040","1,035","0","2,070"
"10007157","The University of Sheffield","1,240","2,015","0","3,255"
"10006022","Solent University","260","490","0","750"
"10007158","The University of Southampton","1,195","1,795","0","2,995"
"10006299","Staffordshire University","415","520","0","930"
"10007804","The University of Stirling","505","450","0","960"
"10037449","University of St Mark and St John","65","45","0","110"
"10008010","Stranmillis University College","35","20","0","60"
"10007805","The University of Strathclyde","500","970","0","1,475"
"10014001","University of Suffolk","105","85","0","190"
"10007159","The University of Sunderland","370","440","0","810"
"10007160","The University of Surrey","575","770","0","1,340"
"10007806","The University of Sussex","765","1,020","0","1,785"
"10007855","Swansea University","545","770","0","1,320"
"10007161","Teesside University","370","375","0","745"
"10008017","Trinity Laban Conservatoire of Music and Dance","160","180","0","340"
"10007858","University of Wales Trinity Saint David","350","300","0","650"
"10007114","University of the Highlands and Islands","15","20","0","40"
"10007807","Ulster University","575","705","0","1,280"
"10007784","University College London","3,320","3,895","0","7,220"
"10007793","University of South Wales","835","970","0","1,805"
"10008574","The University of Wales (central functions)","25","25","0","50"
"10007163","The University of Warwick","1,015","1,730","0","2,740"
"10007164","University of the West of England, Bristol","820","785","0","1,610"
"10007800","The University of the West of Scotland","265","325","0","585"
"10006566","The University of West London","420","460","0","875"
"10007165","The University of Westminster","830","845","0","1,675"
"10003614","The University of Winchester","395","320","0","715"
"10007166","The University of Wolverhampton","405","425","0","830"
"10007139","University of Worcester","440","265","0","705"
"10007833","Wrexham University","120","145","0","265"
"10007657","Writtle University College","65","45","0","110"
"10007713","York St John University","165","160","0","330"
"10007167","The University of York","735","975","0","1,710"
"","Total","91,345","110,420","0","201,770"
