﻿Title:,"Table 17 - HE full-time academic staff by HE provider and contract salary"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT025 Table 17
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-17
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-17.zip
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Sex,All 
,Academic employment function,All 
,Contract levels,All 
,Academic year,2023/24 
Search:,


"UKPRN","HE provider","Contract salary < £22,681 ","Contract salary ≥ £22,681 and < £28,759 ","Contract salary ≥ £28,759 and < £38,205 ","Contract salary ≥ £38,205 and < £51,283 ","Contract salary ≥ £51,283 and < £68,857 ","Contract salary ≥ £68,857 ","Total"
"10007783","The University of Aberdeen","0","0","75","285","445","280","1,090"
"10007849","Abertay University","0","0","15","70","70","35","190"
"10007856","Aberystwyth University","0","0","45","145","170","95","450"
"10067853","ACM Guildford Limited","0","0","5","10","5","0","25"
"10000163","AECC University College","0","5","0","25","25","5","60"
"10000291","Anglia Ruskin University","0","5","95","365","340","80","885"
"10005451","Arden University","0","0","25","180","50","25","280"
"10007759","Aston University","0","0","55","275","425","120","875"
"10038772","British Academy of Jewellery Limited","0","0","5","0","0","0","10"
"10007857","Bangor University","0","0","70","220","215","100","600"
"10000571","Bath Spa University","0","0","10","100","170","25","310"
"10007850","The University of Bath","0","0","80","315","525","265","1,190"
"10007152","University of Bedfordshire","0","0","10","195","235","40","485"
"10005343","Queen's University Belfast","0","25","175","620","580","450","1,850"
"10037544","BIMM University","0","0","5","70","20","5","95"
"10007760","Birkbeck College","0","0","5","95","100","160","360"
"10007140","Birmingham City University","0","0","60","435","560","100","1,155"
"10006840","The University of Birmingham","0","5","420","700","1,235","785","3,145"
"10000712","University College Birmingham","5","0","60","160","50","20","295"
"10007832","Birmingham Newman University","0","0","10","45","55","15","125"
"10007811","Bishop Grosseteste University","0","0","0","35","40","5","85"
"10004061","Bloomsbury Institute","0","0","0","10","10","5","25"
"10006841","The University of Bolton","0","0","45","245","135","25","460"
"10000385","The Arts University Bournemouth","0","10","70","95","10","5","190"
"10000824","Bournemouth University","0","5","60","240","235","150","695"
"10007785","The University of Bradford","0","0","25","150","250","85","510"
"10000886","The University of Brighton","0","0","5","125","420","105","650"
"10000936","The University College of Osteopathy","0","0","0","5","0","0","10"
"10007786","The University of Bristol","0","0","90","1,295","885","620","2,885"
"10000961","Brunel University London","0","0","15","215","485","285","1,000"
"10000975","Buckinghamshire New University","0","0","55","115","110","15","300"
"10007788","The University of Cambridge","0","15","1,045","1,815","1,015","1,235","5,120"
"10003324","The Institute of Cancer Research","0","0","55","300","145","75","575"
"10001143","Canterbury Christ Church University","0","10","30","210","230","55","535"
"10007814","Cardiff University","0","0","150","880","685","765","2,480"
"10007854","Cardiff Metropolitan University","0","5","0","165","275","85","525"
"10001264","Central School of Ballet","0","0","0","5","0","0","10"
"10007141","The University of Central Lancashire","0","15","45","550","455","135","1,195"
"10024024","Central Film School London","0","0","0","5","0","0","5"
"10007848","University of Chester","0","0","10","215","225","45","495"
"10007137","The University of Chichester","0","0","5","55","110","15","185"
"10001386","Chicken Shed Theatre Company","0","5","10","5","0","0","25"
