﻿Title:,"Table 7 - HE academic staff by HE provider and employment conditions"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT025 Table 7
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-7
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-7.zip
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Mode of employment,All 
,Activity standard occupational classification,All 
,Academic year,2019/20 
Search:,


"UKPRN","HE provider","Teaching only","Research only","Both teaching and research","Neither teaching nor research","Total academic staff"
"10007783","The University of Aberdeen","445","400","665","0","1,510"
"10007849","Abertay University","35","15","155","5","215"
"10007856","Aberystwyth University","285","140","280","0","710"
"10067853","ACM Guildford Limited","30","0","0","0","30"
"10000163","AECC University College","0","0","45","0","50"
"10000291","Anglia Ruskin University","160","20","650","0","835"
"10005451","Arden University","45","0","0","10","55"
"10007759","Aston University","275","180","450","0","905"
"10007857","Bangor University","485","220","285","20","1,010"
"10000571","Bath Spa University","165","5","390","10","575"
"10007850","The University of Bath","380","345","775","10","1,510"
"10007152","University of Bedfordshire","60","45","400","5","505"
"10005343","Queen's University Belfast","315","750","990","0","2,055"
"10037544","BIMM University","435","0","0","0","435"
"10007760","Birkbeck College","540","120","445","0","1,105"
"10007140","Birmingham City University","680","40","1,260","5","1,985"
"10006840","The University of Birmingham","1,060","1,535","1,540","10","4,145"
"10000712","University College Birmingham","290","0","0","0","295"
"10007832","Birmingham Newman University","0","0","130","10","140"
"10007811","Bishop Grosseteste University","5","5","95","5","115"
"10006841","The University of Bolton","35","5","360","10","405"
"10000385","The Arts University Bournemouth","240","5","140","5","390"
"10000824","Bournemouth University","155","40","705","5","900"
"10007785","The University of Bradford","25","45","450","5","525"
"10000886","The University of Brighton","150","140","1,290","0","1,580"
"10000936","The University College of Osteopathy","85","0","5","5","100"
"10007786","The University of Bristol","570","1,445","1,350","20","3,385"
"10000961","Brunel University London","450","155","610","0","1,215"
"10000975","Buckinghamshire New University","170","0","235","0","410"
"10007787","The University of Buckingham","100","5","60","10","175"
"10007788","The University of Cambridge","260","4,255","1,655","0","6,170"
"10003324","The Institute of Cancer Research","0","615","75","0","690"
"10001143","Canterbury Christ Church University","10","25","690","20","740"
"10007814","Cardiff University","990","1,090","1,270","0","3,350"
"10007854","Cardiff Metropolitan University","230","25","460","5","715"
"10007141","The University of Central Lancashire","225","120","1,340","5","1,695"
"10007848","University of Chester","0","25","620","5","650"
"10007137","The University of Chichester","225","10","235","5","470"
"10001386","Chicken Shed Theatre Company","25","0","5","0","25"
"10001478","City, University of London","1,545","150","680","0","2,375"
"10007912","Cliff College","0","0","10","0","10"
"10001653","Conservatoire for Dance and Drama","190","0","5","5","200"
"10007761","Courtauld Institute of Art","15","5","35","0","55"
"10034324","Court Theatre Training Company Ltd","10","0","0","0","10"
"10001726","Coventry University","940","0","1,860","10","2,810"
"10007822","Cranfield University","90","260","325","5","675"
"10006427","University for the Creative Arts","125","10","230","15","380"
"10007842","University of Cumbria","35","5","400","20","465"
"10001883","De Montfort University","545","10","1,095","0","1,650"
"10007851","University of Derby","555","10","900","15","1,480"
"10007852","The University of Dundee","400","615","400","20","1,435"
"10007143","University of Durham","365","425","1,020","20","1,830"
"10007789","The University of East Anglia","1,000","385","725","0","2,115"
"10007144","The University of East London","225","35","600","0","860"
"10032282","The Queen's Foundation for Ecumenical Theological Education","0","5","15","0","15"
"10007823","Edge Hill University","400","15","575","0","990"
"10007772","Edinburgh Napier University","215","55","540","0","815"
"10007790","The University of Edinburgh","3,225","2,005","2,255","5","7,490"
"10042570","Escape Studios","15","0","15","5","35"
"10007791","The University of Essex","695","130","620","0","1,450"
"10008173","University College of Estate Management","85","0","0","20","105"
"10007792","The University of Exeter","995","960","1,185","0","3,145"
"10008640","Falmouth University","85","5","235","0","325"
"10004511","The National Film and Television School","35","5","0","25","65"
"10022087","Futureworks","20","0","0","0","25"
"10007762","Glasgow Caledonian University","35","115","610","5","765"
"10002681","Glasgow School of Art","5","15","190","10","215"
"10007794","The University of Glasgow","2,105","1,255","1,290","25","4,680"
"10007145","University of Gloucestershire","430","25","140","5","600"
"10002718","Goldsmiths College","625","60","495","0","1,180"
"10007146","The University of Greenwich","85","70","740","0","895"
"10007825","Guildhall School of Music and Drama","660","5","25","70","755"
"10040812","Harper Adams University","135","0","50","15","205"
"10080811","Hartpury University","80","5","5","0","90"
"10007764","Heriot-Watt University","175","260","405","5","845"
"10007147","University of Hertfordshire","750","40","1,160","20","1,970"
"10007148","The University of Huddersfield","5","160","775","0","945"
"10007149","The University of Hull","495","150","345","10","1,005"
"10003270","Imperial College of Science, Technology and Medicine","410","2,495","1,525","5","4,435"
"10035638","Institute of Contemporary Music Performance","15","0","0","0","15"
"10007767","Keele University","245","100","440","0","785"
"10007150","The University of Kent","645","215","750","5","1,610"
"10003645","King's College London","1,675","1,905","1,905","0","5,485"
"10003678","Kingston University","55","55","870","0","980"
"10003758","LAMDA Limited","35","0","0","0","35"
"10007768","The University of Lancaster","790","385","985","20","2,175"
"10003854","Leeds Arts University","85","5","85","5","175"
"10003861","Leeds Beckett University","300","5","960","0","1,265"
"10034449","Leeds Conservatoire","185","0","0","25","210"
"10007795","The University of Leeds","865","1,175","1,775","0","3,815"
"10003863","Leeds Trinity University","10","0","140","0","150"
"10007796","The University of Leicester","460","510","720","5","1,695"
"10007151","The University of Lincoln","845","85","395","0","1,330"
"10003956","Liverpool Hope University","90","0","195","5","285"
"10003957","Liverpool John Moores University","385","125","1,060","0","1,570"
"10003945","The Liverpool Institute for Performing Arts","85","0","0","0","85"
"10006842","The University of Liverpool","990","930","1,230","10","3,155"
"10003958","Liverpool School of Tropical Medicine","15","135","75","10","235"
"10007162","University of the Arts, London","1,570","5","760","0","2,335"
"10007769","London Business School","0","5","110","10","120"
"10007797","University of London (Institutes and activities)","20","25","45","15","105"
"10004036","London Film School Limited","25","0","0","10","35"
"10004048","London Metropolitan University","320","0","100","20","445"
"10004078","London South Bank University","820","50","300","0","1,170"
"10004063","London School of Economics and Political Science","670","440","640","35","1,780"
