﻿Title:,"Table 59 - UK permanent address HE students by HE provider and permanent address"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT051 Table 59
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/students/table-59
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/students/table-59.zip
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Level of study,All 
,Mode of study,All 
,Academic year,2022/23 
Search:,


"UKPRN","HE Provider","Channel Islands not otherwise specified","Isle of Man","Total Other UK","Not known","Total"
"10008071","AA School of Architecture","0","0","0","0","75"
"10007783","The University of Aberdeen","10","5","10","20","11,235"
"10007849","Abertay University","0","0","0","0","4,245"
"10007856","Aberystwyth University","5","5","10","0","7,070"
"10067853","ACM Guildford Limited","5","0","10","0","990"
"10000163","AECC University College","5","0","5","0","850"
"10032036","Amity Global Education","0","0","0","0","40"
"10000291","Anglia Ruskin University","5","5","10","5","27,495"
"10041898","Apex College","0","0","0","0","630"
"10062759","Applied Business Academy Limited","0","0","0","0","2,355"
"10005451","Arden University","0","0","0","0","20,655"
"10000381","Arts Educational Schools","0","0","0","0","305"
"10008899","The Ashridge (Bonar Law Memorial) Trust","0","0","0","50","710"
"10003212","Hult International Business School Ltd","0","0","0","0","110"
"10007759","Aston University","0","0","5","0","14,505"
"10038772","British Academy of Jewellery Limited","0","0","0","0","765"
"10007857","Bangor University","10","20","25","20","7,775"
"10000571","Bath Spa University","30","5","35","0","16,465"
"10007850","The University of Bath","70","15","85","0","14,395"
"10007152","University of Bedfordshire","0","0","0","0","8,275"
"10005343","Queen's University Belfast","5","15","20","0","19,800"
"10037544","BIMM University","30","5","35","0","6,465"
"10007760","Birkbeck College","5","0","5","0","8,485"
"10007140","Birmingham City University","5","5","10","0","26,260"
"10006840","The University of Birmingham","25","15","40","35","27,920"
"10000712","University College Birmingham","0","5","5","0","4,165"
"10007832","Birmingham Newman University","0","0","0","0","2,770"
"10000894","Bristol Baptist College","0","0","0","0","45"
"10007811","Bishop Grosseteste University","0","0","0","0","2,060"
"10004061","Bloomsbury Institute","0","0","0","0","440"
"10006841","The University of Bolton","0","0","0","0","9,175"
"10000385","The Arts University Bournemouth","50","0","50","0","3,310"
"10000824","Bournemouth University","55","5","60","0","15,130"
"10031982","BPP University","10","5","15","0","8,300"
"10007785","The University of Bradford","5","5","10","0","8,360"
"10000886","The University of Brighton","80","5","85","0","15,135"
"10000936","The University College of Osteopathy","0","0","0","0","420"
"10007786","The University of Bristol","45","5","50","0","22,275"
"10028216","Brit College","0","0","0","0","900"
"10023464","Trinity College Bristol","0","0","0","0","145"
"10000961","Brunel University London","5","5","10","10","10,235"
"10000975","Buckinghamshire New University","10","5","15","0","20,365"
"10007787","The University of Buckingham","5","0","5","130","2,530"
"10019368","London College of Business Studies","0","0","0","0","245"
"10010308","Cambridge Arts and Sciences Limited","0","0","0","0","45"
"10007788","The University of Cambridge","10","5","15","0","15,665"
"10032072","The Cambridge Theological Federation","0","0","0","0","125"
"10003324","The Institute of Cancer Research","0","0","0","0","330"
"10001143","Canterbury Christ Church University","5","0","5","5","30,890"
"10007814","Cardiff University","65","10","75","0","26,325"
"10007854","Cardiff Metropolitan University","10","5","15","0","10,100"
"10057213","CEG UFP Limited","0","0","0","0","0"
"10001264","Central School of Ballet","0","0","0","0","80"
"10007141","The University of Central Lancashire","10","20","25","0","20,695"
"10024024","Central Film School London","0","0","0","0","115"
"10007848","University of Chester","10","45","55","5","11,145"
"10007137","The University of Chichester","35","5","40","0","5,645"
"10001386","Chicken Shed Theatre Company","0","0","0","0","70"
"10001546","The College of Integrated Chinese Medicine","0","0","0","0","185"
"10026921","Christ the Redeemer College","0","0","0","0","250"
"10010213","The City College","0","0","0","0","285"
"10001478","City, University of London","10","0","10","35","14,710"
"10007912","Cliff College","0","0","0","0","115"
"10066502","The College of Health Ltd","0","0","0","0","295"
"10023442","The College of Osteopaths","0","0","0","0","100"
"10020038","Commonwealth College of Excellence","0","0","0","0","10"
"10081618","The Council of the Inns of Court","0","0","0","0","205"
"10007761","Courtauld Institute of Art","0","0","0","0","410"
"10034324","Court Theatre Training Company Ltd","0","0","0","0","40"
"10001726","Coventry University","5","0","5","0","19,110"
"10007822","Cranfield University","0","0","0","5","2,590"
"10006427","University for the Creative Arts","5","0","5","65","7,590"
"10007842","University of Cumbria","10","10","20","50","9,815"
"10026767","Dartington Hall Trust (The)","0","0","0","15","110"
"10015688","David Game College Ltd","0","0","0","0","355"
"10001883","De Montfort University","5","5","15","25","18,090"
"10007851","University of Derby","5","5","10","15","18,030"
"10007852","The University of Dundee","0","10","10","0","12,790"
"10007143","University of Durham","85","30","115","0","15,470"
"10067355","Dyson Technical Training Limited","0","0","0","0","80"
"10007789","The University of East Anglia","15","10","25","0","15,490"
"10007144","The University of East London","5","0","10","35","12,095"
"10032282","The Queen's Foundation for Ecumenical Theological Education","0","0","0","0","280"
"10007823","Edge Hill University","35","90","125","0","13,845"
"10007772","Edinburgh Napier University","5","5","10","0","11,160"
"10007790","The University of Edinburgh","35","15","50","70","22,480"
"10022047","Empire College London Limited","0","0","0","0","200"
"10042570","Escape Studios","0","0","0","0","670"
"10007791","The University of Essex","20","0","20","100","11,500"
"10008173","University College of Estate Management","0","0","0","0","3,095"
"10002313","ESCP Europe Business School","0","0","0","0","5"
"10007792","The University of Exeter","95","15","110","10","24,610"
"10008640","Falmouth University","25","5","30","0","6,970"
"10045476","Met Film School Limited","0","0","0","0","230"
"10004511","The National Film and Television School","0","0","0","0","405"
"10022087","Futureworks","0","0","0","0","425"
"10042500","Global Banking School Limited","0","0","0","0","2,190"
"10007762","Glasgow Caledonian University","5","0","5","0","15,750"
"10002681","Glasgow School of Art","0","0","0","0","1,660"
"10007794","The University of Glasgow","20","5","25","0","24,510"
"10007145","University of Gloucestershire","5","0","5","0","7,215"
"10002718","Goldsmiths College","0","0","5","0","5,705"
"10030408","Gower College Swansea","0","0","0","0","40"
"10007146","The University of Greenwich","5","0","10","225","17,080"
"10007825","Guildhall School of Music and Drama","0","0","5","0","760"
"10040812","Harper Adams University","5","10","15","170","4,960"
"10080811","Hartpury University","5","5","10","0","2,315"
"10007764","Heriot-Watt University","5","5","5","25","7,130"
"10007147","University of Hertfordshire","10","5","15","0","17,185"
"10007148","The University of Huddersfield","5","15","20","0","15,835"
"10007149","The University of Hull","5","5","10","0","10,945"
"10003239","ICON College of Technology and Management","0","0","0","0","1,490"
"10003270","Imperial College of Science, Technology and Medicine","10","5","15","0","10,720"
"10003284","Inchbald School of Design Limited","0","0","0","0","15"
"10013220","Institute of Art - London Limited","0","0","0","0","85"
"10067388","The Institute of Ismaili Studies","0","0","0","0","0"
