﻿Title:,"Table 24 - HE staff by HE provider and nationality"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT025 Table 24
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-24
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-24.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Atypical marker,Non-atypical 
,Contract marker,All (excluding atypical) 
,Mode of employment,All 
,Academic year,2015/16 
Search:,


"UKPRN","HE provider","UK","European Union","Non-European Union","Not known","Total"
"10007783","The University of Aberdeen","2,595","495","315","0","3,410"
"10007849","Abertay University","485","40","20","0","540"
"10007856","Aberystwyth University","1,845","195","110","0","2,150"
"10000291","Anglia Ruskin University","1,605","145","130","0","1,885"
"10007759","Aston University","1,195","185","155","0","1,535"
"10007857","Bangor University","1,940","160","105","0","2,210"
"10000571","Bath Spa University","990","50","60","15","1,115"
"10007850","The University of Bath","2,535","505","225","0","3,265"
"10007152","University of Bedfordshire","1,030","125","95","60","1,315"
"10005343","Queen's University Belfast","2,645","765","280","45","3,740"
"10007760","Birkbeck College","1,295","360","205","15","1,880"
"10007140","Birmingham City University","2,450","130","135","75","2,790"
"10006840","The University of Birmingham","5,895","810","730","0","7,430"
"10000712","University College Birmingham","540","30","20","0","590"
"10007832","Birmingham Newman University","320","10","5","0","335"
"10007811","Bishop Grosseteste University","280","5","0","0","285"
"10006841","The University of Bolton","595","15","25","0","635"
"10000385","The Arts University Bournemouth","450","30","15","0","500"
"10000824","Bournemouth University","1,515","175","150","0","1,845"
"10007785","The University of Bradford","1,615","80","100","0","1,800"
"10000886","The University of Brighton","2,960","310","190","25","3,485"
"10007786","The University of Bristol","5,035","725","475","5","6,240"
"10000961","Brunel University London","1,675","280","350","0","2,305"
"10000975","Buckinghamshire New University","725","50","45","5","825"
"10007787","The University of Buckingham","340","20","30","10","395"
"10007788","The University of Cambridge","6,265","1,815","1,390","1,575","11,045"
"10003324","The Institute of Cancer Research","735","235","80","0","1,050"
"10001143","Canterbury Christ Church University","1,610","115","70","5","1,795"
"10007814","Cardiff University","5,820","620","385","0","6,825"
"10007854","Cardiff Metropolitan University","1,390","65","35","5","1,495"
"10007141","The University of Central Lancashire","2,555","135","115","0","2,805"
"10007848","University of Chester","1,680","70","45","0","1,795"
"10007137","The University of Chichester","835","30","20","0","890"
"10001478","City, University of London","2,000","590","350","35","2,975"
"10001653","Conservatoire for Dance and Drama","455","50","40","5","545"
"10007761","Courtauld Institute of Art","95","15","15","0","125"
"10001726","Coventry University","3,175","345","330","15","3,865"
"10007822","Cranfield University","1,220","200","145","0","1,560"
"10006427","University for the Creative Arts","720","50","25","0","790"
"10007842","University of Cumbria","1,020","20","10","5","1,055"
"10001883","De Montfort University","2,390","120","145","40","2,695"
"10007851","University of Derby","2,705","105","100","0","2,915"
"10007852","The University of Dundee","2,575","340","250","5","3,175"
"10007143","University of Durham","3,770","405","330","0","4,505"
"10007789","The University of East Anglia","3,050","380","240","0","3,670"
"10007144","The University of East London","1,220","190","180","135","1,730"
"10007823","Edge Hill University","1,855","80","35","0","1,970"
"10007772","Edinburgh Napier University","1,480","185","55","10","1,730"
"10007790","The University of Edinburgh","7,530","1,540","895","0","9,970"
"10007791","The University of Essex","1,770","365","375","10","2,525"
"10007792","The University of Exeter","3,410","480","315","0","4,205"
"10008640","Falmouth University","465","20","15","5","500"
"10004511","The National Film and Television School","85","5","5","0","95"
"10007762","Glasgow Caledonian University","1,515","70","50","5","1,640"
"10002681","Glasgow School of Art","390","25","25","10","450"
"10007794","The University of Glasgow","5,670","940","660","0","7,270"
"10007145","University of Gloucestershire","1,175","80","55","0","1,310"
"10002718","Goldsmiths College","1,220","230","160","25","1,635"
"10007146","The University of Greenwich","1,720","235","240","45","2,240"
"10007825","Guildhall School of Music and Drama","610","75","45","0","730"
"10040812","Harper Adams University","510","15","15","0","540"
"10007764","Heriot-Watt University","1,465","255","190","5","1,915"
"10007147","University of Hertfordshire","2,540","275","150","65","3,030"
"10007765","Heythrop College","85","15","5","0","110"
"10007148","The University of Huddersfield","1,740","115","90","0","1,950"
"10007149","The University of Hull","2,195","175","100","15","2,485"
"10003270","Imperial College of Science, Technology and Medicine","4,975","2,045","1,220","0","8,240"
"10007767","Keele University","1,860","100","85","10","2,050"
"10007150","The University of Kent","2,975","540","400","0","3,915"
"10003645","King's College London","5,025","1,680","860","25","7,590"
"10003678","Kingston University","1,610","245","165","45","2,070"
"10007768","The University of Lancaster","2,775","390","335","25","3,525"
"10003854","Leeds Arts University","250","10","10","0","270"
"10003861","Leeds Beckett University","2,760","170","115","0","3,045"
"10007795","The University of Leeds","6,310","615","615","0","7,540"
"10003863","Leeds Trinity University","400","10","15","0","430"
"10007796","The University of Leicester","3,245","440","270","5","3,960"
"10007151","The University of Lincoln","1,460","155","100","0","1,715"
"10003956","Liverpool Hope University","600","60","35","0","695"
"10003957","Liverpool John Moores University","2,450","135","105","0","2,695"
"10003945","The Liverpool Institute for Performing Arts","155","5","5","0","165"
"10006842","The University of Liverpool","4,825","605","410","0","5,840"
"10003958","Liverpool School of Tropical Medicine","330","50","35","0","420"
"10007162","University of the Arts, London","2,085","295","160","1,085","3,625"
"10007769","London Business School","480","160","115","10","765"
"10007797","University of London (Institutes and activities)","685","115","60","5","865"
"10004048","London Metropolitan University","965","135","85","15","1,205"
"10004078","London South Bank University","1,220","150","180","50","1,600"
"10004063","London School of Economics and Political Science","1,925","935","695","0","3,560"
"10007771","London School of Hygiene and Tropical Medicine","910","255","180","0","1,345"
"10004113","Loughborough University","2,980","265","290","30","3,570"
"10004180","The Manchester Metropolitan University","3,855","290","210","55","4,410"
"10007798","The University of Manchester","8,495","1,150","905","20","10,570"
"10004351","Middlesex University","1,420","275","190","0","1,885"
"10007799","Newcastle University","4,910","620","420","0","5,955"
"10007138","The University of Northampton","1,235","55","70","5","1,365"
"10001282","University of Northumbria at Newcastle","2,770","130","130","20","3,045"
"10004775","Norwich University of the Arts","275","10","10","0","295"
"10007154","University of Nottingham","6,015","770","735","5","7,520"
"10004797","The Nottingham Trent University","3,255","230","195","0","3,675"
"10007773","The Open University","7,990","555","230","5","8,780"
"10004930","Oxford Brookes University","2,105","275","150","15","2,545"
"10007774","The University of Oxford","8,435","2,350","1,875","380","13,040"
"10005127","Arts University Plymouth","235","10","10","0","255"
"10007801","University of Plymouth","2,605","195","115","0","2,915"
"10007155","The University of Portsmouth","3,165","380","305","55","3,905"
"10005337","Queen Margaret University, Edinburgh","405","40","25","5","475"
"10007775","Queen Mary University of London","2,875","850","520","5","4,250"
"10005389","Ravensbourne University London","240","35","15","0","290"
"10007802","The University of Reading","3,010","510","345","90","3,955"
"10005500","Robert Gordon University","1,325","135","120","0","1,575"
"10007776","Roehampton University","875","150","110","55","1,195"
"10005523","Rose Bruford College of Theatre and Performance","120","10","5","0","135"
"10007835","Royal Academy of Music","345","40","20","5","405"
"10005545","Royal Agricultural University","210","5","10","0","225"
"10007777","Royal College of Art","330","45","25","0","395"
"10007778","Royal College of Music","335","45","30","0","410"
"10005561","Royal Conservatoire of Scotland","405","30","25","0","460"
"10007816","The Royal Central School of Speech and Drama","130","15","10","0","155"
"10005553","Royal Holloway and Bedford New College","1,505","330","245","5","2,090"
"10007837","Royal Northern College of Music","445","40","15","0","500"
"10007779","The Royal Veterinary College","710","115","65","10","895"
"10007803","The University of St. Andrews","1,935","345","285","10","2,570"
"10007782","St George's, University of London","730","95","60","40","925"
"10008026","St Mary's University College","60","90","5","0","155"
"10007843","St Mary's University, Twickenham","680","95","60","5","840"
"10007156","The University of Salford","1,890","75","80","0","2,045"
"10007780","SOAS University of London","685","195","305","25","1,210"
