﻿Title:,"Table 3 - Emissions and waste"
Subtitle:,"Academic years 2015/16 to 2022/23"
Reference ID:,DT042 Table 3
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/estates/table-3
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/estates/table-3.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2024
Filters:,Country of HE provider,Choose a value... 
,Region of HE provider,Choose a value... 
,Academic year,2020/21 
Search:,


"UKPRN","HE provider","Total scope 1 and 2 carbon emissions (Kg CO2e)","Total volume of wastewater (m3)","Total scope 3 carbon emissions from waste (tonnes CO2e)","Total scope 3 carbon emissions from water supply (tonnes CO2e)","Total scope 3 carbon emissions from wastewater treatment (tonnes CO2e)","Total waste mass (tonnes)"
"10007783","The University of Aberdeen","15,392,562.556","88,480.000","11.672","16.480","24.645",""
"10007849","Abertay University","1,590,269.085","10,207.750","","1.601","2.777","41.000"
"10007856","Aberystwyth University","8,336,257.746","147,156.000","0.000","28.993","40.026","443.000"
"10000291","Anglia Ruskin University","5,417,354.458","69,189.018","5.817","10.852","18.819","274.535"
"10007759","Aston University","5,438,457.264","41,873.000","3.327","6.239","11.389","263.402"
"10007857","Bangor University","6,707,331.405","71,889.510","9.410","12.474","19.556","513.450"
"10000571","Bath Spa University","2,156,112.406","56,152.600","","8.808","15.355","469.752"
"10007850","The University of Bath","16,203,406.593","122,279.400","","20.244","33.260","2,181.100"
"10007152","University of Bedfordshire","2,864,109.396","14,335.000","2.979","2.136","4.375","101.851"
"10005343","Queen's University Belfast","22,501,843.382","570,929.000","77.129","89.546","198.489","56,046.960"
"10007760","Birkbeck College","1,480,922.486","6,873.979","1.770","2.927","1.870","83.291"
"10007140","Birmingham City University","8,167,415.265","61,777.000","4.475","9.205","16.803","1,248.813"
"10007811","Bishop Grosseteste University","732,220.921","14,241.450","532.790","2.234","4.087","293.501"
"10000385","The Arts University Bournemouth","1,198,075.252","18,867.000","3.515","2.959","5.132","164.893"
"10000824","Bournemouth University","3,178,847.164","25,289.000","3,909.940","3.966","7.039","326.687"
"10007785","The University of Bradford","7,622,527.064","57,086.000","3.200","9.847","15.623","198.260"
"10000886","The University of Brighton","7,170,268.270","84,343.800","5.770","12.981","40.485","6,678.050"
"10007786","The University of Bristol","29,455,079.549","278,426.000","","52.152","77.347","1,812.068"
"10000961","Brunel University London","10,846,305.748","402,823.348","36.820","60.021","109.826","1,597.958"
"10000975","Buckinghamshire New University","2,384,162.672","52,875.000","","7.879","14.382","388.000"
"10007788","The University of Cambridge","55,098,068.067","382,307.000","117.000","63.293","105.427","6,899.050"
"10003324","The Institute of Cancer Research","5,328,465.235","2,627.900","3.292","3.916","0.715","268.500"
"10001143","Canterbury Christ Church University","4,090,517.375","107,090.650","4.800","18.034","29.129","233.517"
"10007814","Cardiff University","23,036,985.274","304,844.290","","48.293","83.190","2,639.490"
"10007854","Cardiff Metropolitan University","2,457,395.604","44,151.000","8.160","6.925","12.104","387.310"
"10007141","The University of Central Lancashire","8,076,225.109","59,275.740","9.360","7.296","16.588","688.187"
"10007848","University of Chester","10,006,262.270","97,260.000","17.210","14.492","39.674","540.010"
"10007137","The University of Chichester","2,171,237.160","49,653.160","","7.425","13.506","392.023"
"10001478","City, University of London","5,771,696.941","23,445.000","4,088.000","3.881","6.377","190.500"
"10001726","Coventry University","11,283,575.254","306,064.450","18.800","45.604","83.859","2,242.159"
"10007822","Cranfield University","10,994,133.029","6,725.795","14.830","22.869","1.829","836.504"
"10006427","University for the Creative Arts","2,902,160.817","53,889.000","4.234","8.029","14.658","335.720"
"10007842","University of Cumbria","2,970,023.524","32,426.000","11.547","6.240","8.820","201.057"
"10001883","De Montfort University","6,694,539.332","30,687.850","457.314","4.813","8.347","485.265"
"10007851","University of Derby","6,257,634.872","84,435.000","13.462","13.243","22.966","640.300"
"10007852","The University of Dundee","17,746,000.000","","56.400","25.628","","57.400"
"10007143","University of Durham","23,041,191.079","285,659.000","36.780","42.563","77.921","1,714.528"
"10007789","The University of East Anglia","17,991,366.131","200,772.000","756.107","29.916","54.628","909.779"
"10007144","The University of East London","5,046,409.360","107,755.000","","16.055","29.309","369.610"
"10007772","Edinburgh Napier University","2,964,872.069","7,098.400","328.900","1.113","1.931","1,902.890"
"10007790","The University of Edinburgh","64,525,797.956","287,892.000","131.193","51.747","78.307","4,662.691"
"10007791","The University of Essex","9,680,485.821","120,748.680","90.700","19.991","32.844","622.612"
"10007792","The University of Exeter","13,713,954.736","268,144.279","91.040","42.210","72.963","2,409.958"
"10008640","Falmouth University","2,816,554.988","40,890.000","4.880","6.587","11.122","231.510"
"10004511","The National Film and Television School","594,598.465","2,385.000","0.000","0.472","0.649","85.000"
"10007762","Glasgow Caledonian University","5,477,596.729","","2.480","","",""
"10002681","Glasgow School of Art","1,721,183.037","","1.885","3.179","","88.000"
"10007794","The University of Glasgow","28,859,880.496","220,976.935","","34.658","60.106",""
"10002718","Goldsmiths College","2,610,588.288","40,049.270","","5.968","10.893","402.315"
"10007146","The University of Greenwich","5,816,534.083","37,437.000","7.910","5.872","10.183","571.370"
"10007825","Guildhall School of Music and Drama","1,238,562.160","9,379.000","1.393","1.762","2.551","69.055"
"10007764","Heriot-Watt University","10,181,692.170","153,706.000","42.612","24.108","45.449","707.929"
"10007147","University of Hertfordshire","12,044,496.566","177,478.000","","29.383","48.274","563.995"
"10007148","The University of Huddersfield","4,767,308.389","23,987.000","","3.762","6.524","169.556"
"10007149","The University of Hull","7,616,499.569","96,226.450","10.854","15.093","26.174","667.841"
"10003270","Imperial College of Science, Technology and Medicine","57,972,179.935","431,683.000","107.792","67.288","117.418","2,908.105"
