﻿Title:,"Table 1 - HE staff by HE provider and activity standard occupational classification"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT025 Table 1
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-1
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-1.zip
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Mode of employment,All 
,Academic year,2020/21 
Search:,


"UKPRN","HE Provider","Managers, directors and senior officials","Professional occupations","Associate professional occupations","Clerical and manual occupations","Total academic staff","Managers, directors and senior officials ","Professional occupations ","Associate professional occupations ","Administrative and secretarial occupations","Skilled trades occupations","Caring, leisure and other service occupations","Sales and customer service occupations","Process, plant and machine operatives","Elementary occupations","Total non-academic staff","Total"
"10007783","The University of Aberdeen","0","1,540","5","0","1,545","55","300","390","600","70","55","5","20","235","1,735","3,280"
"10007849","Abertay University","0","210","0","0","210","10","50","40","100","10","5","0","0","40","260","470"
"10007856","Aberystwyth University","0","685","10","0","695","50","315","250","205","75","45","15","5","175","1,135","1,830"
"10067853","ACM Guildford Limited*","0","110","0","0","110","","","","","","","","","","",""
"10000163","AECC University College*","0","55","0","0","55","","","","","","","","","","",""
"10032036","Amity Global Education*","0","0","0","0","0","","","","","","","","","","",""
"10000291","Anglia Ruskin University","10","795","25","0","830","70","225","250","335","25","5","15","0","50","975","1,805"
"10005451","Arden University*","0","85","0","0","85","","","","","","","","","","",""
"10007759","Aston University","0","930","0","0","930","80","170","330","235","30","35","5","5","125","1,010","1,940"
"10038772","British Academy of Jewellery Limited*","0","15","0","0","15","","","","","","","","","","",""
"10007857","Bangor University","5","960","30","0","995","45","80","240","315","30","50","5","10","205","985","1,980"
"10000571","Bath Spa University","5","605","0","0","610","20","100","185","135","20","20","5","0","70","555","1,165"
"10007850","The University of Bath","0","1,550","0","0","1,550","175","515","395","480","80","80","20","15","325","2,095","3,645"
"10007152","University of Bedfordshire","0","525","5","0","530","10","125","205","220","10","30","10","0","30","645","1,175"
"10005343","Queen's University Belfast","0","1,975","40","0","2,020","35","705","420","825","50","80","35","0","180","2,330","4,345"
"10037544","BIMM University*","5","640","0","0","645","","","","","","","","","","",""
"10007760","Birkbeck College","0","1,075","0","0","1,075","50","160","175","255","10","5","5","0","75","735","1,810"
"10007140","Birmingham City University*","5","1,955","30","0","1,985","","","","","","","","","","",""
"10006840","The University of Birmingham*","15","3,765","100","0","3,880","","","","","","","","","","",""
"10000712","University College Birmingham","5","260","0","0","265","15","75","55","75","10","5","10","0","65","310","575"
"10007832","Birmingham Newman University","0","125","5","0","130","15","25","45","60","10","5","0","0","25","185","315"
"10007811","Bishop Grosseteste University","0","120","0","0","120","20","40","50","60","5","25","0","0","10","210","330"
"10004061","Bloomsbury Institute*","0","5","0","0","5","","","","","","","","","","",""
"10006841","The University of Bolton*","0","390","35","0","425","","","","","","","","","","",""
"10000385","The Arts University Bournemouth","0","370","0","0","370","20","40","65","45","0","5","0","0","0","175","545"
"10000824","Bournemouth University","0","920","0","0","920","40","245","285","300","20","15","0","0","0","905","1,825"
"10007785","The University of Bradford","0","540","0","0","540","30","130","175","315","30","35","10","0","155","880","1,425"
"10000886","The University of Brighton","0","1,415","5","0","1,420","75","235","380","520","35","75","5","0","165","1,495","2,915"
"10000936","The University College of Osteopathy*","5","75","0","0","80","","","","","","","","","","",""
"10007786","The University of Bristol","0","3,450","0","0","3,450","440","695","930","1,360","125","80","50","20","555","4,255","7,705"
"10000961","Brunel University London","5","1,155","0","0","1,160","125","270","220","415","35","10","20","5","125","1,225","2,385"
"10000975","Buckinghamshire New University*","0","425","20","0","445","","","","","","","","","","",""
"10007788","The University of Cambridge","5","6,155","0","0","6,160","125","2,285","1,395","1,165","120","265","0","510","360","6,225","12,385"
"10003324","The Institute of Cancer Research","0","690","5","0","695","40","135","135","110","10","10","0","0","10","445","1,140"
"10001143","Canterbury Christ Church University","5","735","0","0","740","30","515","115","115","40","80","5","0","105","1,005","1,745"
"10007814","Cardiff University","35","3,330","15","0","3,380","520","805","480","1,435","100","5","25","5","160","3,535","6,915"
"10007854","Cardiff Metropolitan University","0","740","0","0","740","40","130","235","260","15","20","0","0","55","760","1,500"
"10007141","The University of Central Lancashire","0","1,575","20","0","1,595","10","205","470","600","15","60","10","10","180","1,555","3,150"
"10024024","Central Film School London*","0","5","0","0","5","","","","","","","","","","",""
"10007848","University of Chester","5","650","0","0","655","45","205","290","345","45","50","5","10","120","1,110","1,765"
"10007137","The University of Chichester*","0","475","0","0","475","","","","","","","","","","",""
"10001386","Chicken Shed Theatre Company*","0","0","25","0","25","","","","","","","","","","",""
"10001478","City, University of London","0","2,505","10","0","2,515","75","335","385","415","20","25","15","5","50","1,325","3,840"
"10007912","Cliff College*","0","10","0","0","10","","","","","","","","","","",""
"10066502","The College of Health Ltd*","0","0","0","0","0","","","","","","","","","","",""
"10001653","Conservatoire for Dance and Drama*","0","155","0","0","160","","","","","","","","","","",""
"10007761","Courtauld Institute of Art*","0","70","0","0","70","","","","","","","","","","",""
"10034324","Court Theatre Training Company Ltd*","0","10","0","0","10","","","","","","","","","","",""
"10001726","Coventry University","5","2,825","5","0","2,835","295","295","335","820","25","25","95","20","175","2,085","4,920"
"10007822","Cranfield University","0","690","5","0","695","20","140","290","390","40","10","0","5","20","915","1,610"
"10006427","University for the Creative Arts*","0","340","65","0","400","","","","","","","","","","",""
"10007842","University of Cumbria","5","465","0","0","465","10","35","170","250","15","5","0","10","35","535","1,000"
"10001883","De Montfort University","0","1,650","0","0","1,650","75","225","595","410","25","50","5","0","185","1,575","3,225"
"10007851","University of Derby","0","1,350","50","0","1,400","55","125","215","560","35","120","0","20","150","1,280","2,680"
"10007852","The University of Dundee","0","1,460","5","0","1,465","40","430","505","565","60","40","0","5","165","1,815","3,280"
"10007143","University of Durham","0","2,125","50","0","2,175","40","575","450","675","140","120","15","5","590","2,605","4,780"
"10007789","The University of East Anglia","0","1,840","0","0","1,840","40","340","575","605","85","150","10","5","310","2,115","3,955"
"10007144","The University of East London","0","815","0","0","815","80","165","140","280","15","5","25","0","70","780","1,600"
"10032282","The Queen's Foundation for Ecumenical Theological Education*","0","10","0","0","10","","","","","","","","","","",""
"10007823","Edge Hill University","0","905","0","0","905","50","145","225","315","35","55","15","5","180","1,020","1,930"
"10007772","Edinburgh Napier University","5","780","0","0","785","30","270","175","270","25","5","5","10","125","915","1,700"
"10007790","The University of Edinburgh","5","7,695","30","0","7,730","200","1,610","1,760","2,510","155","335","50","5","1,160","7,780","15,510"
"10042570","Escape Studios*","0","35","0","0","35","","","","","","","","","","",""
"10007791","The University of Essex","0","1,395","20","0","1,415","25","455","325","470","55","15","25","10","105","1,485","2,905"
"10008173","University College of Estate Management*","0","100","0","0","100","","","","","","","","","","",""
"10007792","The University of Exeter","5","3,345","0","0","3,350","105","790","710","850","180","90","55","10","190","2,975","6,325"
"10008640","Falmouth University*","0","320","25","0","345","","","","","","","","","","",""
"10004511","The National Film and Television School*","5","65","0","0","70","","","","","","","","","","",""
"10022087","Futureworks*","0","25","0","0","25","","","","","","","","","","",""
"10007762","Glasgow Caledonian University","0","755","0","0","755","35","135","220","260","15","20","0","5","115","800","1,560"
"10002681","Glasgow School of Art","0","145","70","0","220","5","5","20","295","0","0","0","0","0","325","545"
"10007794","The University of Glasgow","0","4,890","15","0","4,905","150","660","1,365","1,370","105","190","15","20","500","4,375","9,280"
"10007145","University of Gloucestershire*","0","620","0","0","625","","","","","","","","","","",""
"10002718","Goldsmiths College","0","1,110","0","0","1,110","30","175","215","275","20","15","5","0","155","880","1,990"
"10007146","The University of Greenwich","5","965","0","0","970","45","195","135","510","5","0","5","0","0","895","1,865"
"10007825","Guildhall School of Music and Drama","15","755","10","0","785","15","75","20","25","5","0","0","0","0","140","925"
"10040812","Harper Adams University*","0","225","5","0","230","","","","","","","","","","",""
"10080811","Hartpury University","10","105","30","0","145","35","15","50","85","25","25","0","10","60","305","450"
"10007764","Heriot-Watt University","0","940","15","0","950","45","275","230","425","60","55","10","5","220","1,325","2,275"
"10007147","University of Hertfordshire","0","1,960","0","0","1,960","70","260","380","435","20","60","0","165","5","1,400","3,360"
"10007148","The University of Huddersfield*","0","925","0","0","925","","","","","","","","","","",""
"10007149","The University of Hull","0","915","15","0","925","0","335","120","435","30","10","0","0","150","1,080","2,005"
"10003239","ICON College of Technology and Management*","0","15","0","0","15","","","","","","","","","","",""
"10003270","Imperial College of Science, Technology and Medicine","0","4,525","5","0","4,530","295","1,735","840","780","75","95","10","5","235","4,070","8,600"
