﻿Title:,"Table 1 - HE student enrolments by HE provider"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT051 Table 1
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/students/table-1
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/students/table-1.zip
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Entrant marker,All 
,Level of study,All 
,Mode of study,All 
,Academic year,2020/21 
Search:,


"UKPRN","HE provider","England","Scotland","Wales","Northern Ireland","Other UK","Total UK","European Union","Non-European Union","Total Non-UK","Not known","Total"
"10008071","AA School of Architecture","90","0","5","0","0","95","130","740","870","0","965"
"10007783","The University of Aberdeen","1,765","9,255","60","170","5","11,255","2,160","2,665","4,825","0","16,080"
"10007849","Abertay University","185","3,715","5","25","0","3,930","535","110","645","0","4,575"
"10007856","Aberystwyth University","3,560","45","2,905","90","15","6,620","920","500","1,420","0","8,040"
"10067853","ACM Guildford Limited","1,095","5","15","0","5","1,120","55","10","65","0","1,185"
"10000248","Academy of Live and Recorded Arts","240","5","5","0","0","260","10","5","10","0","270"
"10000163","AECC University College","550","5","15","10","5","585","135","155","285","0","875"
"10032036","Amity Global Education","80","0","0","0","0","80","0","0","0","0","80"
"10000291","Anglia Ruskin University","25,630","65","80","50","5","25,830","2,410","3,940","6,350","0","32,180"
"10041898","Apex College","165","0","0","0","5","170","0","0","0","0","170"
"10062759","Applied Business Academy Limited","210","0","0","0","10","220","0","0","0","0","220"
"10005451","Arden University","11,595","15","115","10","0","11,735","10","20","25","0","11,760"
"10000381","Arts Educational Schools","300","15","15","0","0","330","35","15","50","0","385"
"10008899","The Ashridge (Bonar Law Memorial) Trust","985","5","10","5","0","1,000","50","25","75","0","1,075"
"10003212","Hult International Business School Ltd","60","0","0","0","0","60","725","785","1,515","0","1,575"
"10007759","Aston University","13,900","40","175","20","5","14,145","430","2,220","2,655","0","16,795"
"10038772","British Academy of Jewellery Limited","30","0","0","0","0","30","0","0","0","0","30"
"10007857","Bangor University","3,690","40","4,030","75","25","7,860","455","1,390","1,845","0","9,705"
