﻿Title:,"Table 1 - HE student enrolments by HE provider"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT051 Table 1
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/students/table-1
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/students/table-1.zip
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Entrant marker,All 
,Level of study,All 
,Mode of study,All 
,Academic year,2017/18 
Search:,


"UKPRN","HE provider","England","Scotland","Wales","Northern Ireland","Other UK","Total UK","European Union","Non-European Union","Total Non-UK","Not known","Total"
"10008071","AA School of Architecture","95","0","0","0","0","100","130","485","615","0","710"
"10007783","The University of Aberdeen","1,465","7,900","35","185","10","9,590","2,865","1,915","4,780","0","14,370"
"10019746","ABI College Limited","105","0","0","0","0","105","0","0","0","0","105"
"10007849","Abertay University","125","3,265","0","30","0","3,420","515","115","630","0","4,055"
"10007856","Aberystwyth University","3,790","40","2,855","95","15","6,800","870","520","1,390","0","8,185"
"10000080","Access to Music Limited","45","0","0","0","0","45","0","0","0","0","45"
"10000248","Academy of Live and Recorded Arts","230","10","5","0","0","245","5","5","10","0","255"
"10000163","AECC University College","245","5","5","0","5","260","75","100","175","0","435"
"10000291","Anglia Ruskin University","20,145","75","90","85","20","20,415","1,270","1,800","3,070","0","23,485"
"10041898","Apex College","50","0","0","0","0","50","0","0","0","0","50"
"10005451","Arden University","3,630","15","40","5","5","3,690","0","10","10","0","3,700"
"10000381","Arts Educational Schools","235","5","10","5","5","260","15","5","20","0","280"
"10007759","Aston University","11,890","55","200","30","10","12,185","665","1,765","2,430","0","14,615"
"10007857","Bangor University","4,495","40","3,985","110","35","8,665","560","1,935","2,495","0","11,155"
"10000571","Bath Spa University","6,800","20","525","60","20","7,425","255","415","665","0","8,090"
"10007850","The University of Bath","11,200","140","745","155","80","12,325","1,745","3,485","5,230","0","17,555"
"10007152","University of Bedfordshire","10,270","5","25","45","10","10,350","1,025","1,370","2,395","0","12,745"
"10005343","Queen's University Belfast","1,360","115","65","19,315","25","20,880","995","2,610","3,605","0","24,490"
"10037544","BIMM University","4,245","55","145","35","35","4,515","635","125","760","0","5,275"
"10007760","Birkbeck College","10,520","15","35","10","5","10,580","650","710","1,360","0","11,940"
"10007140","Birmingham City University","21,140","85","335","80","15","21,650","755","2,165","2,925","0","24,575"
"10006840","The University of Birmingham","25,445","175","880","90","115","26,705","1,555","6,660","8,210","0","34,915"
"10000712","University College Birmingham","3,330","5","70","10","0","3,420","1,020","505","1,525","0","4,945"
"10007832","Birmingham Newman University","2,715","0","10","10","0","2,740","15","0","20","0","2,760"
"10000894","Bristol Baptist College","40","0","5","0","0","45","0","0","0","0","45"
"10007811","Bishop Grosseteste University","2,220","0","10","10","0","2,240","5","5","10","0","2,255"
"10004061","Bloomsbury Institute","1,560","0","0","0","0","1,560","40","15","55","0","1,615"
"10006841","The University of Bolton","5,895","25","75","30","0","6,025","170","340","515","0","6,540"
"10000385","The Arts University Bournemouth","2,810","20","55","25","55","2,965","215","315","525","0","3,490"
"10000824","Bournemouth University","16,005","45","225","50","60","16,385","860","1,465","2,325","0","18,705"
"10031982","BPP University","6,495","65","90","25","30","6,700","470","2,835","3,305","0","10,005"
"10007785","The University of Bradford","8,490","35","45","30","10","8,610","520","985","1,505","0","10,115"
"10000886","The University of Brighton","18,320","60","170","110","140","18,800","1,110","1,645","2,755","0","21,555"
"10000936","The University College of Osteopathy","425","5","5","0","5","440","35","20","55","0","495"
"10007786","The University of Bristol","17,455","210","1,075","180","55","18,980","1,270","4,605","5,875","0","24,850"
"10028216","Brit College","560","0","0","0","0","560","0","0","0","0","560"
"10023464","Trinity College Bristol","165","0","5","0","0","170","0","0","0","0","170"
"10000961","Brunel University London","10,150","25","110","20","15","10,320","810","2,915","3,730","0","14,050"
"10000975","Buckinghamshire New University","8,095","35","85","75","15","8,305","650","130","780","0","9,085"
"10007787","The University of Buckingham","1,865","35","35","0","10","1,950","125","790","910","0","2,860"
"10022021","UK College of Business and Computing","750","0","0","0","0","750","0","0","0","0","750"
"10041974","London College of Business Sciences","60","0","0","0","0","60","0","0","0","0","60"
"10010308","Cambridge Arts and Sciences Limited","30","0","0","0","0","30","10","160","170","0","200"
"10007788","The University of Cambridge","12,620","315","315","195","10","13,460","2,635","4,415","7,050","0","20,510"
"10032072","The Cambridge Theological Federation","215","0","0","0","0","220","10","10","20","0","240"
"10003324","The Institute of Cancer Research","250","0","5","0","0","255","20","15","35","0","290"
"10001143","Canterbury Christ Church University","13,505","35","30","45","25","13,640","500","220","725","0","14,365"
"10007814","Cardiff University","12,860","90","10,765","190","55","23,960","1,505","6,465","7,975","0","31,935"
"10007854","Cardiff Metropolitan University","3,345","35","5,665","55","15","9,120","280","1,030","1,315","0","10,435"
"10007141","The University of Central Lancashire","20,090","130","275","185","40","20,725","525","1,755","2,280","0","23,000"
"10007848","University of Chester","12,350","45","1,890","145","75","14,505","205","700","905","0","15,410"
"10007137","The University of Chichester","5,220","25","60","10","30","5,345","90","85","175","0","5,520"
"10001386","Chicken Shed Theatre Company","85","0","0","0","0","85","0","0","0","0","85"
"10001546","The College of Integrated Chinese Medicine","120","0","5","0","0","125","5","0","5","0","130"
"10001419","Christie's Education Limited","20","5","0","0","0","20","25","30","55","0","75"
"10026921","Christ the Redeemer College","20","0","0","0","0","20","0","0","0","0","20"
"10010213","The City College","380","0","0","0","0","380","5","0","10","0","385"
"10001478","City, University of London","12,220","65","80","30","15","12,405","2,080","5,295","7,375","0","19,780"
"10007912","Cliff College","125","5","0","0","0","135","5","0","5","0","140"
"10013357","The Academy of Contemporary Music","965","10","10","5","5","995","75","15","90","0","1,085"
"10001653","Conservatoire for Dance and Drama","860","30","35","0","0","930","155","340","495","0","1,425"
"10007761","Courtauld Institute of Art","320","5","5","0","0","330","70","110","180","0","505"
"10034324","Court Theatre Training Company Ltd","30","0","0","0","0","35","10","0","15","0","45"
"10001726","Coventry University","22,440","30","275","90","10","22,850","3,245","8,030","11,275","0","34,125"
"10007822","Cranfield University","2,055","55","65","15","10","2,200","940","1,155","2,090","0","4,290"
"10006427","University for the Creative Arts","5,505","100","120","30","15","5,770","400","455","850","0","6,620"
"10007842","University of Cumbria","6,705","220","85","315","20","7,345","165","70","235","0","7,580"
"10001883","De Montfort University","20,530","70","245","95","50","20,990","1,040","3,670","4,710","0","25,695"
"10007851","University of Derby","16,545","130","200","65","20","16,960","815","715","1,530","0","18,490"
"10007852","The University of Dundee","2,005","10,210","70","715","20","13,020","815","1,380","2,195","0","15,215"
"10007143","University of Durham","12,385","235","275","200","65","13,155","1,100","4,075","5,175","0","18,330"
"10007789","The University of East Anglia","13,740","50","110","75","20","13,995","895","2,915","3,810","0","17,805"
"10007144","The University of East London","11,645","30","50","35","10","11,775","440","875","1,315","0","13,090"
"10032282","The Queen's Foundation for Ecumenical Theological Education","340","5","10","0","0","355","0","5","5","0","355"
"10007823","Edge Hill University","13,295","20","330","265","75","13,985","95","185","280","0","14,265"
"10007772","Edinburgh Napier University","905","9,270","35","320","10","10,535","1,535","1,045","2,575","0","13,115"
"10007790","The University of Edinburgh","9,005","10,990","280","530","65","20,865","3,725","8,300","12,025","0","32,885"
"10022047","Empire College London Limited","145","0","0","0","0","145","0","0","0","0","145"
"10042570","Escape Studios","765","0","5","0","0","770","35","15","45","0","815"
"10007791","The University of Essex","10,185","35","85","55","15","10,380","1,885","2,460","4,345","0","14,725"
"10002113","East End Computing and Business College Limited","270","0","0","0","0","270","50","0","50","0","325"
"10008173","University College of Estate Management","2,585","65","90","5","5","2,750","0","0","0","0","2,755"
"10007792","The University of Exeter","16,735","165","890","120","120","18,035","1,490","4,525","6,010","0","24,045"
"10008640","Falmouth University","5,090","30","165","40","25","5,350","365","285","650","0","6,000"
"10033187","Fairfield School of Business Ltd","645","0","0","0","75","725","0","0","0","0","725"
"10045476","Met Film School Limited","120","5","5","0","0","125","80","75","155","0","285"
"10004511","The National Film and Television School","190","5","0","0","0","200","50","55","105","0","305"
"10038763","ForMission Ltd","170","5","5","0","0","180","5","0","5","0","185"
"10022087","Futureworks","455","5","10","5","0","470","20","0","20","0","490"
"10007762","Glasgow Caledonian University","605","13,645","30","150","0","14,435","810","1,205","2,020","0","16,450"
"10002681","Glasgow School of Art","540","925","15","30","5","1,515","310","475","785","0","2,300"
"10007794","The University of Glasgow","3,230","16,930","75","670","10","20,910","3,175","5,640","8,815","0","29,725"
"10007145","University of Gloucestershire","7,285","20","585","85","10","7,990","115","390","505","0","8,490"
"10002718","Goldsmiths College","7,305","50","80","30","10","7,475","870","1,660","2,530","0","10,000"
"10030408","Gower College Swansea","0","0","130","0","0","130","0","0","0","0","130"
"10007146","The University of Greenwich","14,935","75","85","45","10","15,150","1,370","2,155","3,525","0","18,675"
"10007937","GSM London","5,490","0","0","0","0","5,495","5","115","125","0","5,615"
"10007825","Guildhall School of Music and Drama","670","30","20","5","0","730","175","170","340","0","1,075"
"10040812","Harper Adams University","4,255","285","370","195","15","5,120","90","105","195","0","5,310"
"10007764","Heriot-Watt University","1,840","5,435","45","430","15","7,765","990","2,150","3,140","0","10,910"
