﻿Title:,"Table 1 - HE staff by HE provider and activity standard occupational classification"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT025 Table 1
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-1
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-1.zip
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Mode of employment,All 
,Academic year,2022/23 
Search:,


"UKPRN","HE Provider","Managers, directors and senior officials","Professional occupations","Associate professional occupations","Clerical and manual occupations","Total academic staff","Managers, directors and senior officials ","Professional occupations ","Associate professional occupations ","Administrative and secretarial occupations","Skilled trades occupations","Caring, leisure and other service occupations","Sales and customer service occupations","Process, plant and machine operatives","Elementary occupations","Total non-academic staff","Total"
"10007783","The University of Aberdeen","0","1,655","0","0","1,655","45","310","405","765","75","45","5","25","240","1,920","3,575"
"10007849","Abertay University","0","215","0","0","215","10","60","40","90","10","5","0","0","30","245","460"
"10007856","Aberystwyth University","0","720","10","0","735","45","285","285","230","75","45","15","5","140","1,130","1,860"
"10067853","ACM Guildford Limited*","0","125","0","0","125","","","","","","","","","","",""
"10000163","AECC University College*","0","80","0","0","80","","","","","","","","","","",""
"10032036","Amity Global Education*","0","0","0","0","0","","","","","","","","","","",""
"10000291","Anglia Ruskin University","10","1,070","25","0","1,105","85","270","320","430","35","15","20","0","45","1,215","2,320"
"10005451","Arden University*","0","470","0","0","470","","","","","","","","","","",""
"10007759","Aston University","0","960","0","0","960","80","175","430","220","25","25","5","0","145","1,110","2,065"
"10038772","British Academy of Jewellery Limited*","0","20","0","0","20","","","","","","","","","","",""
"10007857","Bangor University","5","1,060","30","0","1,095","45","110","225","320","30","40","10","10","205","990","2,090"
"10000571","Bath Spa University","0","635","25","0","660","25","115","185","125","20","10","5","0","85","570","1,230"
"10007850","The University of Bath","0","1,570","0","0","1,570","195","530","425","485","80","80","20","20","295","2,125","3,695"
"10007152","University of Bedfordshire","0","535","5","0","540","10","120","210","230","10","25","10","0","25","630","1,175"
"10005343","Queen's University Belfast","0","2,010","20","0","2,030","35","760","420","830","65","70","40","0","180","2,395","4,425"
"10037544","BIMM University*","0","205","0","0","205","","","","","","","","","","",""
"10007760","Birkbeck College","0","960","0","0","960","55","140","165","255","30","10","0","0","55","715","1,680"
"10007140","Birmingham City University*","5","2,000","20","0","2,025","","","","","","","","","","",""
"10006840","The University of Birmingham*","15","4,055","190","0","4,260","","","","","","","","","","",""
"10000712","University College Birmingham","15","245","0","0","260","25","75","65","80","10","5","10","0","50","325","585"
"10007832","Birmingham Newman University","0","130","5","0","135","15","30","35","60","10","5","0","0","30","180","315"
"10007811","Bishop Grosseteste University","0","110","0","0","115","20","35","40","45","15","20","0","0","5","180","295"
"10004061","Bloomsbury Institute*","0","45","0","0","50","","","","","","","","","","",""
"10006841","The University of Bolton*","0","490","40","0","530","","","","","","","","","","",""
"10000385","The Arts University Bournemouth","0","425","0","0","425","20","40","80","65","0","0","0","0","0","205","630"
"10000824","Bournemouth University","0","1,045","0","0","1,045","45","250","280","285","20","15","0","0","0","890","1,940"
"10007785","The University of Bradford","0","605","5","0","610","35","145","155","380","30","35","5","0","135","925","1,535"
"10000886","The University of Brighton","0","1,435","0","0","1,440","80","250","375","520","30","55","5","5","130","1,445","2,885"
"10000936","The University College of Osteopathy*","0","60","0","0","65","","","","","","","","","","",""
"10007786","The University of Bristol","0","3,675","0","0","3,675","520","935","1,130","1,520","135","120","55","25","565","5,010","8,690"
"10000961","Brunel University London","5","1,380","0","0","1,380","120","305","230","435","30","20","20","5","130","1,295","2,675"
"10000975","Buckinghamshire New University*","0","540","30","0","570","","","","","","","","","","",""
"10007788","The University of Cambridge","10","5,935","0","0","5,940","130","2,620","1,455","1,155","110","265","0","455","330","6,525","12,465"
"10003324","The Institute of Cancer Research","0","685","5","0","690","35","175","105","100","10","15","0","0","10","445","1,140"
"10001143","Canterbury Christ Church University","0","740","0","0","740","25","560","130","165","75","50","10","0","105","1,115","1,860"
"10007814","Cardiff University","30","3,375","10","0","3,410","585","885","475","1,435","105","15","15","10","140","3,660","7,075"
