﻿Title:,"Table 1 - HE staff by HE provider and activity standard occupational classification"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT025 Table 1
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-1
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-1.zip
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Mode of employment,All 
,Academic year,2019/20 
Search:,


"UKPRN","HE Provider","Managers, directors and senior officials","Professional occupations","Associate professional occupations","Clerical and manual occupations","Total academic staff","Managers, directors and senior officials ","Professional occupations ","Associate professional occupations ","Administrative and secretarial occupations","Skilled trades occupations","Caring, leisure and other service occupations","Sales and customer service occupations","Process, plant and machine operatives","Elementary occupations","Total non-academic staff","Total"
"10007783","The University of Aberdeen","0","1,505","5","0","1,510","55","315","400","715","70","55","5","25","240","1,880","3,390"
"10007849","Abertay University","0","210","0","0","215","15","55","45","95","10","5","0","0","40","265","480"
"10007856","Aberystwyth University","0","700","5","0","710","50","345","260","195","70","50","15","5","170","1,160","1,870"
"10067853","ACM Guildford Limited*","0","30","0","0","30","","","","","","","","","","",""
"10000163","AECC University College*","0","50","0","0","50","","","","","","","","","","",""
"10032036","Amity Global Education*","0","0","0","0","0","","","","","","","","","","",""
"10000291","Anglia Ruskin University","10","805","15","0","835","80","205","230","345","20","10","15","0","55","955","1,790"
"10005451","Arden University*","0","55","0","0","55","","","","","","","","","","",""
"10007759","Aston University","0","905","0","0","905","75","240","280","230","20","40","10","5","125","1,030","1,935"
"10007857","Bangor University","5","980","25","0","1,010","50","80","250","310","30","50","10","10","220","1,005","2,010"
"10000571","Bath Spa University","0","570","0","0","575","20","95","170","130","25","20","5","0","70","525","1,095"
"10007850","The University of Bath","0","1,510","0","0","1,510","175","510","430","520","85","75","20","15","360","2,195","3,705"
"10007152","University of Bedfordshire","0","505","0","0","505","10","120","195","215","10","30","10","0","30","630","1,135"
"10005343","Queen's University Belfast","0","2,010","45","0","2,055","30","700","415","830","45","70","30","0","185","2,315","4,365"
"10037544","BIMM University*","0","435","0","0","435","","","","","","","","","","",""
"10007760","Birkbeck College","0","1,105","0","0","1,105","40","115","195","265","15","5","0","0","10","650","1,755"
"10007140","Birmingham City University*","5","1,950","30","0","1,985","","","","","","","","","","",""
"10006840","The University of Birmingham*","15","4,035","100","0","4,145","","","","","","","","","","",""
"10000712","University College Birmingham","0","290","0","0","295","20","75","60","75","15","10","10","0","70","335","625"
"10007832","Birmingham Newman University","0","135","5","0","140","15","25","45","65","10","5","0","0","30","195","335"
"10007811","Bishop Grosseteste University","0","110","0","0","115","20","40","55","60","0","25","0","0","10","210","320"
"10006841","The University of Bolton*","0","375","35","0","405","","","","","","","","","","",""
"10000385","The Arts University Bournemouth","0","390","0","0","390","20","40","65","55","0","5","0","0","0","185","575"
"10000824","Bournemouth University","0","900","0","0","900","50","260","290","315","20","15","0","0","0","950","1,855"
"10007785","The University of Bradford","0","520","0","0","525","35","120","165","310","30","30","10","0","160","860","1,385"
"10000886","The University of Brighton","0","1,580","0","0","1,580","75","250","385","575","35","80","5","0","190","1,595","3,180"
"10000936","The University College of Osteopathy*","5","95","0","0","100","","","","","","","","","","",""
